"gene";"mean";"sd"
"A1CF";9.39878759487103e-07;2.33976548672195e-06
"A2BP1";2.09309961035586e-06;9.31998413959044e-06
"A2M";-1.08275720203276e-05;1.66806425457832e-05
"A2ML1";1.09518676582178e-05;2.44523380963662e-05
"A4GALT";-4.9201125588777e-06;1.77380956123351e-05
"AAAS";0;0
"AACS";0;0
"AADACL2";2.34312676221891e-06;1.15001365015741e-05
"AADACL3";-1.19520535602303e-06;1.60894082484925e-05
"AADAT";-1.16768154433077e-06;2.09874486223506e-05
"AAMP";-5.01712131713219e-07;1.45784958316032e-06
"AASDHPPT";9.38874519736011e-07;0.000117963383242029
"AATK";5.77432281937677e-05;0.000137043167225898
"ABCA2";-1.36150005701459e-06;1.92416533144546e-05
"ABCA4";-5.68616952969274e-06;2.06079626935968e-05
"ABCA6";-2.03984917739635e-06;4.13918487908133e-06
"ABCB4";-3.62420170694196e-05;0.000186849466885487
"ABCB5";7.01295385408525e-06;1.53807046788875e-05
"ABCB6";-0.000394289584135658;0.000543473466497839
"ABCB7";8.6309499924096e-06;7.0942148922515e-05
"ABCB9";-0.00324451093056544;0.0106952286339327
"ABCC12";-1.87844898880619e-06;1.60908264031485e-05
"ABCC13";-1.84326607949593e-05;0.0001025651958491
"ABCC2";2.00399709764907e-05;4.97941963242651e-05
"ABCC3";-9.99659961915424e-05;0.000195061665781455
"ABCC6P2";-0.00111394523246025;0.0029087117118015
"ABCC8";2.43229703856106e-05;7.17808864684535e-05
"ABCD1";0;0
"ABCG1";-7.28727188022439e-06;2.55327239325893e-05
"ABCG2";-2.31669817140042e-07;3.47660824809344e-06
"ABCG4";1.02973359216168e-05;2.77149617075547e-05
"ABHD1";1.98068321645785e-08;1.31778140717438e-07
"ABHD11";-5.99874871039788e-07;7.35062001927456e-06
"ABHD12B";4.6713839065671e-05;0.000190954254043988
"ABHD13";0;0
"ABHD14B";2.34169385324121e-06;3.28288125598751e-05
"ABHD15";-2.17513938073849e-07;2.99825568717011e-06
"ABHD3";-4.60305146606169e-06;4.8251433153881e-06
"ABHD5";9.93632600052852e-05;0.000115360282966096
"ABHD6";-9.129878963727e-06;3.90466446332845e-05
"ABHD8";-0.000346321305005733;0.00030841356908893
"ABI1";7.54055425086306e-06;1.53941313214126e-05
"ABI2";1.76535719622365e-06;3.59581605945469e-05
"ABL1";-0.00016568248222524;5.80300911961937e-05
"ABL2";-5.19683023297154e-05;0.000134702300585989
"ABLIM1";2.40670754732228e-06;1.93147158949204e-06
"ABLIM3";-2.64496591908266e-06;3.85025419594997e-06
"ABO";-1.65825895826919e-05;8.28473684626893e-05
"ABP1";-5.82829707546442e-06;1.38341109962062e-05
"ABRA";0.000283835041490649;0.00106492655590037
"ABTB2";-8.60975192238735e-07;3.28477769051765e-06
"ACAA2";-3.50099723341445e-05;4.37696387115584e-05
"ACACA";-1.11172064454109e-05;5.879857069156e-05
"ACACB";3.36925784431379e-05;2.97131537378613e-05
"ACAD8";-2.90818329829932e-07;4.26408161842709e-06
"ACADL";-2.16222268380252e-06;4.22904076869936e-05
"ACADM";0;0
"ACADSB";0;0
"ACAT1";0;0
"ACAT2";0.000293182299937345;0.000659651906372926
"ACBD7";2.13165417908855e-06;3.78345414909256e-06
"ACCN1";7.25113897820788e-06;6.68724671145161e-05
"ACCN2";-3.54514385081692e-05;3.5873537337135e-05
"ACE2";7.53354431159062e-08;2.04236106286508e-06
"ACER1";1.92723774676316e-08;1.0886585583747e-06
"ACER2";-6.24870504400588e-07;5.33047005764031e-06
"ACER3";-3.01311289075523e-05;5.64273051147076e-05
"ACHE";-9.32683278050957e-05;0.000251797164287112
"ACO1";5.73516827752278e-07;2.85891064900359e-06
"ACOT1";-0.000266027241789841;0.000257471384126399
