genes;pvalue;coef
CMTM3;0.0;0.0
DCTN1;0.0;0.0
GRAMD3;0.0;0.0
SHB;0.0;0.0
YBX2;0.0;0.0
ABLIM1;0.0485586671476435;-3.0830146602743986
ATP6V0B;0.07310897422743255;7.412644158455959
B3GNT6;0.011457084402420456;-3.4415859644128735
BTBD9;0.02212976862869042;-11.32803612264198
DNAJC28;0.012587325083358377;14.729522220538694
DTYMK;0.1424971615406859;4.373445706446882
FGF14;0.012606630140196017;-5.676380666831193
KIAA1875;0.013844661683676691;-6.743269483592747
PPARGC1B;0.012180600475834833;8.390014999372358
TKTL1;0.5727616558047133;-0.2084761623231212
C2orf42;0.0539767782399313;-11.703656959083611
CACNA1D;0.07643482953756521;-1.599288075244957
CHST7;0.192779591195814;1.8337319045345406
KIAA1751;0.021961042017568492;2.733810976276054
MRPS14;0.05547434171094977;7.206017564536943
PRDX2;0.020839942776365694;9.193709879591736
PSRC1;0.05855177886796125;5.473522389924037
ZHX2;0.0273375401344182;15.96517318011948
CAMK2N1;0.0;0.0
COL3A1;0.0;0.0
ESM1;0.0;0.0
TMEM222;0.0;0.0
FAM169A;0.0;0.0
PAK1IP1;0.0;0.0
PRR18;0.0;0.0
PYCR2;0.0;0.0
ZNF711;0.0;0.0
C11orf63;0.46930867989522185;-0.22047138939559804
DET1;0.7868358069228076;0.15016724219101923
HAS2;0.005823639392907844;0.7671238774797343
LHX3;0.8216291199690415;0.04271476775295067
P2RY8;0.7009160455370397;0.1316624421944335
POLR2J3;0.8779616754374139;0.05400002896912506
PPP1R3G;0.15540509961570695;0.5199430321158389
TMED7.TICAM2;0.046676749024966165;-0.702060566162994
ZNF322A;0.019516453799322854;-1.5144575957234394
ARL4C;0.7965252584069452;1.842829192343005
DHRS13;0.49321603969113226;2.042188344335065
MRPS30;0.7478264527172617;9.824768712948563
PALM2;0.8636214032518765;-4.094834608045938
PROS1;0.7156354948524417;9.006293151043963
ARCN1;0.5929901422343791;-0.46782318222026203
CLIP1;0.05520048296716104;-1.3147517495772605
CLTB;0.7531490247830925;-0.21587065966948313
GLT25D2;0.6647283852098902;-0.11605601875005514
HEY2;0.9505294695575331;0.029980778179188653
CCR4;0.013477111487682256;-5.637557487201791
GPR22;0.014118113946599018;7.128551017286459
RAD51L1;0.02554785681523818;-7.083201918507052
SLCO4A1;0.5479518285193432;-0.33898401373852166
TGM6;0.01520992785847442;-1.6028340425290315
THOC7;0.004762382024170424;21.917087334310906
TPP1;0.026774209540285237;6.6118911003403955
C22orf27;0.010496605420696099;-2.3178866962011906
CALHM3;0.0574251693269776;-0.4707131264180995
CCDC48;0.6193413928378417;0.1611002415605618
CLLU1OS;0.03400303087375921;0.7407654504820294
RASGEF1C;0.9072314524530255;-0.04026341247913357
SLCO2B1;0.20605603385031002;-0.4269820201412815
TMEM14B;0.03143410456585621;-1.9995113450637871
BAMBI;0.06967022472416817;-0.5038242721575517
CAB39L;0.7544223331218636;0.19413121670506428
POLE3;0.00802454934755974;-2.6218655981193146
PSORS1C3;0.42920345488072664;0.18394125063101455
STAG3L4;0.3412599086056024;0.6365358986069749
CCL28;0.7160992929344996;0.08969643677305691
DRAM2;0.004949091456392415;-3.040874170463719
HSPB8;0.18870650786722898;0.35526686318342676
LOC100130691;0.5230215959851909;0.24831490662807268
PXDNL;0.28576064350154273;-0.3051806685963816
RBM11;0.23012451042533377;-0.29162338438361757
SLC13A5;0.4937780509236903;0.09323461023810642
TDRD5;0.980786964869563;0.0036419811968272583
TMEM190;0.4121556666864449;-0.23171145859955405
ETV5;0.40022015794271304;-0.32638652993607026
FBXW4;0.5195612170172665;0.5317302901551042
IL22RA1;0.18241727804540686;-0.5748057440704596
NCRNA00181;0.11837840117318242;-0.5782037129210936
