genes;pvalue;coef
CDA;0.3531689344433422;1.2031574469019632
DAPL1;0.14520410352361607;1.325163588326586
FSTL4;0.055218815261473875;-2.871459656989525
LRIG1;0.016449355169476893;11.751523077045896
MRPL36;0.026406753672844813;-6.354567033438775
MT1M;0.006558103601156008;10.126955671519028
NSUN5;0.050909225146931636;-4.0050023795099445
PRDM2;0.053170719479307134;9.819642603697012
ANKRD34B;0.19761640677264025;1.4386075973191752
C19orf12;0.1773008405759745;4.08407991437346
C9orf45;0.345131909723821;1.8822779657526327
CALHM3;0.6745503511194948;-0.36406935524672734
LYG1;0.01413288912593671;7.109129222572583
MCAT;0.011585867211833916;-15.037013246589483
PDHA1;0.05726040415360107;6.430648285421807
VSIG10;0.33302345821656354;1.6735695156498362
AHRR;0.052991990073299085;-2.8690199356871138
AIFM2;0.08787798535587585;-4.043151696292051
C12orf23;0.023590189169177024;-9.334059991941299
CALML4;0.013134498081028477;22.240480170606013
CCDC134;0.015863497380114513;-11.75785949788245
CLYBL;0.0056688837620003756;-11.366631453725223
MDS2;0.3658355572829346;0.6725691635235381
PNMT;0.013162045387990332;4.615701039148966
POM121L10P;0.03671734687371838;2.3923927755351597
SLCO4A1;0.047427760003513626;5.8637190288758365
TLE2;0.19486343840746523;1.4877336922069708
ABLIM1;0.04295511437802304;-12.16106880607174
LSAMP;0.02837082154861886;11.710478070747902
MRPS5;0.1092641609002071;16.74783885959928
SAR1A;0.045709219410197496;-26.99807857174831
TMC3;0.0575236933263199;-3.6700415890131746
WBSCR22;0.47515223290483954;-4.194916350097653
ZNF732;0.0822248347263716;2.547005118304986
AMDHD2;0.04911018278029925;-17.19916541105323
CTNND2;0.9472335037528534;-0.0981591691771731
EPHA8;0.09454322152115648;3.7896029189940377
FER1L6;0.5497209310663143;0.7548414480515461
FGFR1;0.22801234493853684;-1.4574110861661582
HPCAL1;0.4198488045536851;-1.7328619696720706
HSN2;0.026798117828762232;-4.086182142930638
JAK2;0.11189474482548026;-3.6500433281267117
MAGOHB;0.5750996477980299;1.5306818453581699
MRO;0.030281464249723215;4.706685850343248
RHOA;0.2424252857322341;5.49305329355902
RNF126P1;0.024626095511940425;9.650884994370337
SMC1A;0.25894449398708796;-3.9307703283330246
ATP6V0B;0.008419717841684127;22.49002315500661
C19orf61;0.041365776779943415;10.025910343122185
C3orf36;0.017623581268298074;5.9777331265841696
CD70;0.0036355701497117433;-10.20689157985481
HOXC12;0.10767905676140922;5.534827737475871
ITGB1BP3;0.06083182494620281;-2.2468587926882866
LZTS2;0.009836972246282799;-11.050624301665737
RABAC1;0.057495991671134075;-11.325244439452408
SH3TC2;0.04442211387839093;-2.0178036854509482
UXT;0.11112790471798925;9.388033025771714
C2orf79;0.20140247451820725;-3.5118728364748875
FRAT1;0.003205028501192829;15.721518831690295
HADHA;0.14159330182888102;-6.859717372848188
HRH3;0.028778067709150347;-1.9716199414602957
IDS;0.01876463634302554;-4.9147990901481
LGI1;0.003066331121982724;4.4423753313019425
MTHFD1;0.025370903942457404;8.909819667138228
SCCPDH;0.1340182422361577;-6.6864059491113315
C12orf44;0.0;0.0
CBL;0.0;0.0
GALNT11;0.0;0.0
KRT7;0.0;0.0
LECT1;0.0;0.0
LRRC10;0.0;0.0
QKI;0.0;0.0
SELP;0.0;0.0
SLC26A3;0.0;0.0
ZCCHC8;0.0;0.0
ZNF513;0.0;0.0
AATK;0.0028847323596263106;5.0761359636521
AGAP7;0.009593860792603767;9.597502661344121
ARHGDIB;0.010863762908325043;-8.122690058621714
BNC1;0.0023911788337966054;-4.887062953078572
FAM102B;0.02871729040092854;-7.057592205016498
FATE1;0.6446930566543987;0.5337568100569626
FOXL2;0.2585500623102205;-1.8119848177404376
LOC387647;0.014480021966181318;-10.87762031760265
psiTPTE22;0.0059572584747856535;4.044764567030436
SPATS2L;0.010579478610645723;9.497489673324267
AIDA;0.0;0.0
CHEK2;0.0;0.0
DRAM2;0.0;0.0
INTS4L2;0.0;0.0
KIAA0922;0.0;0.0
LMOD1;0.0;0.0
NRN1;0.0;0.0
SLC7A2;0.0;0.0
TACSTD2;0.0;0.0
TAF15;0.0;0.0
TEC;0.0;0.0
TSGA14;0.0;0.0
USP44;0.0;0.0
ZNF230;0.0;0.0
ARPC4;0.0;0.0
C14orf64;0.0;0.0
CETP;0.0;0.0
