genes;pvalue;coef
ALG8;0.6264687324382914;0.2661648977390228
GABRB3;0.5377303511769067;-0.08850885476114574
ZNF662;0.9193374867784624;0.025075245434735202
CACNA1I;0.06657167228017632;0.4517540858830253
F3;0.011434900934381534;0.7796035280188649
HLA.L;0.9759738533899655;0.011989784063380186
SHROOM3;0.13185670694287155;-0.5335205975428502
TEX2;0.36526519234351473;-0.5791822633405246
TMEM213;0.38284155215706694;-0.19077352052647548
C14orf73;0.6376868592136955;0.0915433863392159
CLK2;0.8602883402384502;0.13912196897508203
RANBP10;0.29869613084524216;-0.8279036179250409
SPNS2;0.24452240378261003;-0.4136396110679816
ZNF32;0.9024970101876221;-0.08239447215127026
C1orf223;0.8709151791854811;-0.07890999844659272
DYSF;0.4138474437616815;-0.3117990174180266
FER1L6;0.062163867989097246;-0.30410790166511525
GARNL3;0.6871093278996581;-0.16178008427105522
HTR7P1;0.3240936426593918;-0.46235648388230105
MAP4K2;0.21218796470635304;-0.878273474886165
PHOX2B;0.7103585845752105;0.2382546238394166
PRR4;0.23631350249908167;0.25176215110309424
SYTL4;0.1686846978181945;0.6806254533735374
C9orf47;0.08151029104223476;0.5432187518118654
DDIT3;0.22341523908822836;0.519033250032892
FLJ37453;0.2473894763987986;-0.6477520663344393
LRTM1;0.6804462413603325;-0.18006496612956738
MPZL3;0.338998279496187;-0.3840360279508875
SLC1A2;0.43975193108348587;-0.24623025853476888
ATPIF1;0.5877684227579061;0.5533386580792742
C16orf61;0.9388985238382834;0.05692013729728174
CH25H;0.4189993816033233;-0.19248207473196807
GALNT13;0.5908956149304716;0.09281403930438238
LEMD2;0.43796238660284603;-0.6350258666149743
LPHN3;0.3278446114167245;-0.22492548720402872
MTCP1;0.3438179615309318;-0.553312889584914
TMEM178;0.505399894496427;0.1450265871335653
CDK6;0.8439759276196391;0.08122609969019651
FAM162A;0.40775805700118495;-0.4240582506523796
GAS8;0.9795598608955087;-0.01484100447337586
GPRIN3;0.555856832257459;-0.23503610493745244
LRRC69;0.3670306459691336;-0.21449770698375673
MDFI;0.840765873078035;-0.07599233475134505
PSAP;0.9819474337647921;-0.016415844682625098
RGS22;0.6952497271714128;0.09466878619244486
TMEM194B;0.7364486582163925;0.18735888406396922
ZBTB10;0.7389332091235983;-0.1297180566739976
AXIN2;0.7623180796278505;0.10463313057469142
LIF;0.5058981894857568;-0.18322590164416286
SLC25A30;0.3213032863795825;0.6648103599180137
UGT3A2;0.4108340723499173;-0.14299699165292457
C16orf62;0.1958960423137871;-0.5485936271316846
CDH5;0.6071065636186842;-0.18743115027348806
FANCG;0.6509494764878507;0.19915897374230213
ASPSCR1;0.3914046956440078;-0.6403654169310327
AVPR1B;0.38826138026129;0.4059903547158275
FBP1;0.7499117925031015;-0.0824906390104428
HS1BP3;0.4320066498403303;0.5489223652447816
LAPTM4B;0.10698995677819409;-0.8196940540327328
HTN1;0.2409027361759215;-1.8030795334165657
SLMO1;0.624595651343919;-0.22682552625020783
AK1;0.3276732762333776;0.4992881110922899
ARHGAP24;0.8889099450000747;0.05109622243910154
DNAH17;0.7730144562804074;0.057729156452642
MYBPC1;0.22465759084298453;-0.23285236795699965
NPAS3;0.11854380253611509;-0.40480704974267145
ZNF747;0.016065489000046805;-1.8622748686208948
C18orf34;0.4365109388563918;0.2137931761452751
HEXDC;0.3681849178473353;-0.5137865933905805
HVCN1;0.9533314692929596;0.023064677305500637
MEGF10;0.9263778559745977;0.014097495748017377
RHOBTB2;0.20389941742011564;-0.4743510308048329
AQP12A;0.9229799498817436;-0.08506136645966186
CACNB4;0.31597615888749775;0.22495384454193837
CTCF;0.20695917119409757;-1.1419443082911613
NAV3;0.8636873874375175;0.05171181023333796
CADM1;0.28971336648301593;-0.3181181495290437
DET1;0.161144266350555;-0.9137144434740628
ENPP2;0.9670894441436264;-0.016810324909202503
F12;0.01694691055703585;-0.9828693245798119
GSTO1;0.005696294704280147;1.9160203419213522
NBPF14;0.7910684170472088;0.13217696532046513
PGF;0.010993823010709993;0.9310233129056272
RALGDS;0.2759691426234824;-0.7761872621882278
TMEM132A;0.1947474450861375;-0.6740146078712081
CPA2;0.3669746920491116;-0.19970558225680957
EFCAB6;0.2797462443368901;-0.3280605990780097
FER1L5;0.8899122083343468;0.037711343206388026
FIGN;0.4754975074118528;-0.1775755965530194
MINPP1;0.5405934507873632;0.38054545494303077
OCLN;0.8778967833844313;0.05259265529511562
RPS6KC1;0.34477746073561044;-0.6266124264300784
C16orf5;0.16894774009465452;0.7413728252153263
FKBP1AP1;0.6870415962763191;-0.11230588704630892
IKBKB;0.2590252107615101;-0.6396305914347625
NNT;0.02854122111613452;-1.092388621094686
ZBTB7B;0.12282400230870279;-0.9991130179452791
GPC1;0.3559221341915959;-0.3565038444368275
IL11;0.5029091766268017;0.17673638462065985
MZF1;0.09883278550373722;-0.9250474874702838
TMEM109;0.2517589686255959;-0.8380837800065442
C1QTNF8;0.4625172045709476;-0.413088519150228
C7orf28A;0.39392302457048156;-0.6694926175123167
CCDC123;0.8683019367160743;0.11034612297393055
ENPP6;0.1560640306937204;-0.34111664681465104
HES5;0.40788872340585713;-0.20813654468962955
LGTN;0.12050611540662509;-1.22291383103058
LRRC7;0.6215826153173588;0.08173633346854486
TRIM4;0.8370507355599872;-0.1297130410504678
AADACL3;0.2887018795813948;-1.0570879957005148
FOXO3;0.9832041170837255;-0.017073382855566192
LANCL3;0.6532337819065654;0.10034345809216953
LGI4;0.28986925578541156;-0.48887626435054
MKNK2;0.6712813759040637;0.24320187776842392
NDUFS2;0.08153182211791624;-1.6725053520545863
RSU1;0.4613531348568173;0.4983940920354979
SEMA4F;0.13848740394138656;0.8552143252295914
SLC2A8;0.637029045544313;0.3189506296560732
SUSD4;0.09506485400426533;-0.43264516837844286
TSPYL6;0.8610654671801237;0.09137077659159548
ZNF618;0.6543534363736827;-0.2740024610151152
LOC100130331;0.12734219804645064;0.4263151392950234
MMACHC;0.8130024420728175;-0.11782472826447872
RNF144A;0.6305334546303316;0.18657553359738116
TNFSF12.TNFSF13;0.35892572800507094;0.16142161166042396
BCL6;0.017842285350156525;-1.5523357268994287
C10orf118;0.47139956537550076;0.4543214184102208
C8orf12;0.8063902960405778;0.057091384137649775
LILRA3;0.19418674553598403;-0.28883872533304417
PITX1;0.8456721986270983;0.05395453103578142
RNASEK;0.6632117273998377;0.32135612438458255
BARHL1;0.4872285687155823;-0.9146088934525618
DHRS9;0.09425971689288241;-0.368991068156223
DUSP27;0.24466795725849977;-0.32053383722358814
ENPP4;0.09402777246136335;-0.6124149619018191
HNRNPA2B1;0.4683413168833349;-0.6597888490956574
LOC152225;0.5443730097999555;0.17131013579156673
LPL;0.02066819272981443;0.7221532966083719
RAB39;0.24290530733189597;-0.34621560240209276
EIF1B;0.022483107418242144;1.8118514033083228
GTPBP5;0.02454372106353005;-1.7082783547120697
NEUROD4;0.2752721216232634;-1.442375485265815
RNF208;0.023060605175648043;-1.1031164596226375
STAT5B;0.8458495111254769;-0.11621577158811884
USP31;0.16292133081173232;-0.7416336426831925
AKR7A2;0.06343341499708878;-1.7673459384068204
CEACAM1;0.06497300781408025;0.5619235446907913
CITED1;0.4169978771892816;0.2892191766725474
DENND2D;0.48095923250340367;-0.5992795705403462
LOC100129034;0.06738442322811518;1.6808547438963748
LPXN;0.8619951153779535;0.10239989742258274
MNS1;0.15154379172596125;-0.5189455314198554
OSR2;0.055003448415018495;0.6926031993880516
SPRY2;0.18394352828411065;-0.5984269179402469
GCNT4;0.12525116509298;-0.48244624921775003
KLHL15;0.7886460853053765;-0.165250607467005
KLK2;0.7183636938382962;-0.07805380650791106
PRSS33;0.3347916941368976;-0.3123943469639118
VPS25;0.13820486640354865;-1.0833376640139216
BTG2;0.426938457923589;-0.37243668393204027
CCDC17;0.6861428200863398;-0.11144128773580855
EBF4;0.5655937682129762;-0.1935913070622848
MAGIX;0.839198807906827;-0.09341412530638563
METTL7B;0.4758305882814985;0.21135409269627503
PICALM;0.9370249856698813;0.04904234898329955
RAD21;0.6002681818724487;-0.4128513993837542
SHISA2;0.7117974792496429;0.07427941720050553
SLC5A9;0.36284010708598535;0.26018656178866006
SYS1.DBNDD2;0.226232399183813;-0.36076625981437777
ALS2CL;0.8199585957075162;-0.06917841192105746
CTSZ;0.2000589147961741;0.7415353531083847
KDM5C;0.14366172129392263;-1.0718017193426987
MEGF6;0.5635003894198408;0.2148303289252406
PSORS1C2;0.45506243710723904;-0.1513712002249306
ARAF;0.9324718289329954;-0.07993809755818461
KIAA1370;0.2256935446111754;-0.8320557237768185
PADI4;0.09801220714683057;-0.5267196518776791
POLM;0.0801741454156719;-1.2561760869018521
PQLC3;0.39161296391818956;0.5389113995972133
RAB3IP;0.5014059913638618;-0.3548298105119814
TAF15;0.5945231272744806;0.3809642045576799
EDAR;0.8196629200788115;-0.04381460593664678
LSP1;0.3595145410332099;-0.2923147273173387
RXFP1;0.29678656700741746;-0.2969674829273966
CEP70;0.5543371117045941;-0.32402391603776554
LRWD1;0.812821853226446;-0.17365546774317123
MORN2;0.15631468461337988;0.9757706110878787
PMS2;0.03693446752640524;-1.6855412356617017
SLC25A4;0.0037260336524502485;-2.0147039607467896
FETUB;0.48330091332328695;-0.08938613574169309
GDF6;0.48282562548204044;-0.13844819894417826
KRTAP3.3;0.741169744547559;-0.250571091953937
PCLO;0.8454392122996408;0.05286829707111871
SLC17A9;0.48226503029935763;-0.2389122147924543
TKTL1;0.6909391698180747;-0.06238371089180725
ZNF83;0.4931214900730513;0.2237507235587068
CXorf61;0.8438644706148688;-0.023481496175664418
FAM5C;0.0859378347365606;-0.4678823689666086
WDR72;0.054377404000707986;-0.4305579463394592
WDR86;0.5765215627587541;-0.15677708166817295
ZNF608;0.6396219345162537;0.1278925222447867
CBLN1;0.945987024784315;0.016098748656901626
FAM89A;0.6056359906243162;-0.16781232981201788
NDUFB3;0.7455949656129675;-0.2163704137704682
OAF;0.7754483356954855;0.13062295128718204
TMED7.TICAM2;0.5497319759878346;0.13066776369280214
BECN1;0.2490649196963951;-0.969618830662021
BRI3;0.8015508709352065;0.1705477824571922
CAMKK1;0.5483076474285797;-0.2542384607708101
GPT2;0.5857498491940969;-0.20104004156024993
HTR1F;0.7381096037567076;-0.11010864311810327
KDSR;0.8393093387432486;0.15726014370445293
SLC25A15;0.5979125015008928;-0.3670139811592909
ACSL6;0.4860134056707639;-0.16223120620814038
ARHGAP20;0.03247950438560496;0.7804459800692253
ARHGAP42;0.7446152689746525;0.15292997719095006
ATP1B1;0.4386850736906641;-0.33211930469705564
