genes;pvalue;coef
AGAP11;0.0;0.0
FARP2;0.0;0.0
MTMR4;0.0;0.0
NEDD8;0.0;0.0
C9orf50;0.0;0.0
GDA;0.0;0.0
ZNF330;0.0;0.0
CYP2B7P1;0.0;0.0
LIFR;0.0;0.0
LOC401052;0.0;0.0
LY96;0.0;0.0
SOX21;0.0;0.0
TNFSF9;0.0;0.0
EGLN3;0.2234110380858908;-10.80990467022536
PKDREJ;0.30055193539655833;-6.549167637474102
SLC25A43;0.2746864924403428;-16.668204553954098
COL22A1;0.0;0.0
g100133144;0.0;0.0
PTCRA;0.0;0.0
CSRP2BP;0.0;0.0
CYP4B1;0.0;0.0
KEAP1;0.0;0.0
SCTR;0.0;0.0
TMEM86A;0.0;0.0
CD109;0.0;0.0
UACA;0.0;0.0
FXYD4;0.0;0.0
NRBF2;0.0;0.0
PALM2;0.0;0.0
SHISA6;0.0;0.0
TEC;0.0;0.0
WNT2;0.0;0.0
SLITRK6;0.0;0.0
SUZ12;0.0;0.0
EBF4;0.0;0.0
NAA10;0.0;0.0
NAV2;0.0;0.0
PDF;0.0;0.0
RSU1;0.0;0.0
TSPYL5;0.0;0.0
VEPH1;0.0;0.0
HIP1R;0.0;0.0
RACGAP1;0.0;0.0
SSH2;0.0;0.0
C19orf54;0.0;0.0
DBI;0.0;0.0
EIF3I;0.0;0.0
ERMAP;0.0;0.0
LCE1C;0.0;0.0
MFSD5;0.0;0.0
MGAM;0.0;0.0
OTOP1;0.0;0.0
TSPAN15;0.0;0.0
UBR5;0.0;0.0
KCNE3;0.0;0.0
NEU1;0.0;0.0
CCDC74B;0.0;0.0
CHP2;0.0;0.0
FMO4;0.0;0.0
LRRIQ3;0.0;0.0
NTNG2;0.0;0.0
PAPL;0.0;0.0
ZNF428;0.0;0.0
BANK1;0.0;0.0
C8orf83;0.0;0.0
CDH1;0.0;0.0
CLEC18A;0.0;0.0
EAF2;0.0;0.0
FBXO11;0.0;0.0
LHFPL5;0.0;0.0
MEG3;0.0;0.0
MPV17L;0.0;0.0
SNX25;0.0;0.0
C1orf87;0.0;0.0
COMMD7;0.0;0.0
SFTPC;0.0;0.0
C1QTNF6;0.0014818796257619429;-4.103651518609137
SYN2;0.08501060466398616;-1.1027364485802933
ZNF784;0.332962539244101;-1.1716794233468841
ADRB1;0.0;0.0
C6orf118;0.0;0.0
CCDC87;0.0;0.0
CXorf61;0.0;0.0
DUSP27;0.0;0.0
IL2RB;0.0;0.0
LOC202781;0.0;0.0
TMEM141;0.0;0.0
EPN1;0.16583867740344893;-4.517625884758443
HPS1;0.2794041340028285;2.6248294205339286
PRKAA2;0.0581290244902471;-22.72498091348589
PRTFDC1;0.06290543435433651;20.33516917531013
SPINT3;0.1187062490092995;4.806999036109093
GAS2L2;0.0;0.0
RAD17;0.0;0.0
WNT3A;0.0;0.0
C7orf28A;0.0;0.0
FGFR3;0.0;0.0
LCN2;0.0;0.0
STK31;0.0;0.0
HYI;0.0;0.0
UCK2;0.0;0.0
ARAP1;0.0;0.0
HRH2;0.0;0.0
LOC81691;0.0;0.0
ZDHHC2;0.0;0.0
CLVS2;0.20862493600526877;1.902023113639398
FLJ10357;0.12819966006647393;-3.360762995518898
PNCK;0.02230323494582263;4.997496909843726
S100A10;0.845412129332704;-0.4970792481394426
AMTN;0.0;0.0
C10orf11;0.0;0.0
CSGALNACT1;0.0;0.0
DPF3;0.0;0.0
C13orf29;0.0;0.0
DNAJB3;0.0;0.0
LGR6;0.0;0.0
USE1;0.0;0.0
WBSCR28;0.0;0.0
C14orf39;0.0;0.0
MGMT;0.0;0.0
NCRNA00093;0.0;0.0
PPFIA4;0.0;0.0
RB1;0.0;0.0
TH;0.0;0.0
TNFRSF17;0.0;0.0
ATP6V1C1;0.0;0.0
APOBEC1;0.18007666544627343;-3.0633475710994578
LOC400794;0.08164082106675787;7.1807309808280735
NCRNA00182;0.11906650544926571;-22.854800061043058
RPUSD3;0.7842914505220675;0.6219741929552713
TRNP1;0.3474877886155944;3.610405253440908
ZNF555;0.1136922114230437;-16.988758539968618
ANGPT2;0.0;0.0
NPFF;0.0;0.0
RBM19;0.0;0.0
SLC29A1;0.0;0.0
TRAM2;0.0;0.0
FBN3;0.0;0.0
FUNDC2;0.0;0.0
PLCD1;0.0;0.0
SMTNL1;0.0;0.0
TMEM229B;0.0;0.0
ANGPT4;0.16086909875070687;7.259139942070734
CLCA4;0.39049386797207297;0.9566298088276869
EIF4B;0.2815405977497537;10.611936222539175
LANCL3;0.10721106441827036;9.738551770679544
SAMD10;0.11469237307450426;20.667118649189252
SULT1A3;0.09977601028885336;-17.689053784176764
CHSY3;0.0;0.0
MAN1B1;0.0;0.0
SHISA5;0.0;0.0
ARRB2;0.0;0.0
RABAC1;0.0;0.0
RMI1;0.0;0.0
ABCB7;0.0;0.0
ADAM2;0.0;0.0
ALDH3A1;0.0;0.0
GRM4;0.0;0.0
SIX1;0.0;0.0
ZNRF1;0.0;0.0
C17orf37;0.0;0.0
ETV6;0.0;0.0
ACYP2;0.0;0.0
C15orf24;0.0;0.0
IL1F10;0.0;0.0
ITPR2;0.0;0.0
MURC;0.0;0.0
NEU4;0.0;0.0
PSKH1;0.0;0.0
XKRX;0.0;0.0
ANKRD57;0.0;0.0
FAM128A;0.0;0.0
LOC387647;0.0;0.0
MMP19;0.0;0.0
PNLDC1;0.0;0.0
POLG;0.0;0.0
