genes;pvalue;coef
ABCC12;0.0;0.0
ABCG1;0.0;0.0
ABHD15;0.0;0.0
ADCK4;0.0;0.0
ALDH3A1;0.0;0.0
AP1M1;0.0;0.0
APOBEC1;0.0;0.0
APOO;0.0;0.0
B3GNT8;0.0;0.0
C10orf78;0.0;0.0
C15orf56;0.0;0.0
C16orf57;0.0;0.0
C16orf63;0.0;0.0
C17orf107;0.0;0.0
C1QTNF8;0.0;0.0
C6orf127;0.0;0.0
C8orf34;0.0;0.0
C8orf4;0.0;0.0
C8orf48;0.0;0.0
C9orf68;0.0;0.0
CACNG6;0.0;0.0
CCDC50;0.0;0.0
CD200;0.0;0.0
CEACAM20;0.0;0.0
CHD4;0.0;0.0
CITED4;0.0;0.0
CKMT1A;0.0;0.0
CRYZ;0.0;0.0
CTF1;0.0;0.0
CXXC5;0.0;0.0
DIAPH1;0.0;0.0
DLGAP4;0.0;0.0
DMRT1;0.0;0.0
DNAJB13;0.0;0.0
DOT1L;0.0;0.0
ELK4;0.0;0.0
ERG;0.0;0.0
ETS2;0.0;0.0
FAM119A;0.0;0.0
FAM8A1;0.0;0.0
FAT4;0.0;0.0
FCER1A;0.0;0.0
FOXF1;0.0;0.0
FRAT1;0.0;0.0
GMPS;0.0;0.0
GNAI2;0.0;0.0
GUCY1B2;0.0;0.0
HESRG;0.0;0.0
IFI35;0.0;0.0
ILK;0.0;0.0
IMMP1L;0.0;0.0
JAGN1;0.0;0.0
KARS;0.0;0.0
KCNIP3;0.0;0.0
KIAA1239;0.0;0.0
KIFC3;0.0;0.0
KISS1;0.0;0.0
KRT12;0.0;0.0
KRT37;0.0;0.0
KRT7;0.0;0.0
KRTAP17.1;0.0;0.0
KRTAP5.5;0.0;0.0
LAMA2;0.0;0.0
LEPROTL1;0.0;0.0
LMO7;0.0;0.0
LOC388387;0.0;0.0
LOC440896;0.0;0.0
LOC644538;0.0;0.0
LOC728643;0.0;0.0
LPCAT2;0.0;0.0
LRRC50;0.0;0.0
MAP3K9;0.0;0.0
MED18;0.0;0.0
MKNK2;0.0;0.0
MTCP1;0.0;0.0
MYL5;0.0;0.0
MYRIP;0.0;0.0
NDRG1;0.0;0.0
NEUROD1;0.0;0.0
NOV;0.0;0.0
NRSN2;0.0;0.0
NT5E;0.0;0.0
OSTM1;0.0;0.0
OTOL1;0.0;0.0
PDE7B;0.0;0.0
PGBD1;0.0;0.0
PHF21B;0.0;0.0
PIM1;0.0;0.0
PLEKHA8;0.0;0.0
PLEKHA9;0.0;0.0
PPP2R2C;0.0;0.0
PRAME;0.0;0.0
PRND;0.0;0.0
PRSS27;0.0;0.0
PTBP1;0.0;0.0
PYCR2;0.0;0.0
SCN5A;0.0;0.0
SFI1;0.0;0.0
SLC13A3;0.0;0.0
SLC14A1;0.0;0.0
SPRY2;0.0;0.0
ST3GAL3;0.0;0.0
STEAP4;0.0;0.0
STYX;0.0;0.0
SULT1B1;0.0;0.0
SV2C;0.0;0.0
TACO1;0.0;0.0
TAL1;0.0;0.0
TBC1D3;0.0;0.0
TBX4;0.0;0.0
TEAD3;0.0;0.0
THSD1;0.0;0.0
TMED7.TICAM2;0.0;0.0
TMPRSS11B;0.0;0.0
TNFSF12;0.0;0.0
TPMT;0.0;0.0
USH2A;0.0;0.0
ZC3H10;0.0;0.0
ZNF175;0.0;0.0
ZNRF1;0.0;0.0
ACP5;0.006362155092195171;-0.23386807946615523
ACP6;1.2928342288761415e-05;0.5635359018900595
ADAMTS7;1.1010086816171615e-05;-0.46023257898421693
AGAP7;0.02136908065785604;-0.254890289534132
ALK;0.35589571909083784;-0.05623495572838966
ATF6B;0.5513227103619763;-0.1487088605542332
ATXN7L1;0.00018239103068232315;-0.7308934126902217
BEX2;4.407803036385437e-06;0.30825244693104636
BTG2;0.009040950887064662;-0.3020429247075218
C12orf29;2.199147210579896e-06;-1.2486934157651672
C13orf36;0.010924313337878497;-0.1450151555160471
C20orf27;0.4459603152970203;0.14482228807237504
CALHM2;0.15475569057137475;-0.20876601135708853
CAPN12;0.8387799413191801;-0.021306177163872352
CARD11;0.801129259682779;0.019847158963319098
CASC1;0.9730506877208007;-0.0029031955503551884
CASP8;0.28971701504777736;0.18074486272047788
CCDC28B;0.0032779389712289143;0.37478208375363975
CCDC78;0.00048077636813681225;-0.30244752097535543
CDIPT;1.9776241703560593e-07;1.5323771304262048
CDR2;0.01582036042127689;0.49154188277590516
CHPF2;0.8386561548962271;0.04848980373333779
CLLU1;0.020559909648110188;0.19047585718759774
CLLU1OS;0.7626387141164619;0.026145159767334624
CPEB2;0.0013975089022719154;-0.43785183288580265
CSNK1A1P;3.915008100657476e-05;-0.3844922103696596
DDX10;0.2441515158669938;-0.2944308888720093
DEXI;1.508100299769454e-11;-1.792532781311367
DHX9;9.631542722747933e-08;2.135729216840555
EBF3;0.0033189892770607884;-0.19429956929977654
EMR1;0.33915909887164464;-0.06986383672273673
EPHX3;7.512049516699984e-13;-0.4310656769871762
EXOC4;0.03712540698466878;-0.6050022047338085
FAM110C;1.4927017301090634e-20;-0.6987937414200245
FZD2;0.4178583818561449;0.08927746562352569
G6PD;0.005359527501399312;0.40897111389464713
GAD1;0.5223600447048913;-0.033008129551917585
GOLGA6L1;0.0004353206993952712;-0.408234647093152
GPR12;0.0015429116816408895;0.19032039332359596
GPRIN1;0.06159324582445355;-0.19999045385156422
GREB1;0.00010572153241971767;0.2464740920954396
HDHD1A;1.0079467152334345e-08;-0.8686641137212402
HSP90AB1;0.0036488031356845902;0.6566833647844451
HVCN1;0.093172522339519;0.22770004055519544
IDS;2.1217808329003648e-06;0.8182606228684293
IER5L;0.3263115072929167;0.1124745438814034
ITGAD;0.3504220592491931;0.06410171934675289
KANK2;0.12551527947446092;-0.23277849314059526
KIAA2013;0.10801865842595287;0.4105703315306591
KIF5B;0.13134240311869358;-0.34692639649675083
KLK2;0.3672577629416357;-0.03736187701210519
LAP3;0.0819831585143351;-0.31605220432804104
LOC100128292;0.002533746756624226;0.3798901144727995
LOC153328;9.612209311513644e-10;-0.37943320541964265
LOC642826;0.16522147800073317;-0.19847880335481605
MAMSTR;0.009058773202023244;-0.2555020128273341
MOCS1;0.02639404659849413;0.316488346736801
MORF4L1;0.00011142928018767339;1.1191111786254253
MUCL1;1.8257286076509413e-08;-0.3213073253423609
NEDD9;0.5622754346905303;-0.06324945340651537
NELL2;0.08902663676920446;-0.09814081123470314
NFIL3;1.7433633143419987e-05;0.6725975156703472
NHLRC4;4.689417414630387e-06;0.487839174718202
NOX4;3.787829130862769e-09;0.4504267152823655
NPHS2;0.7028988651257562;-0.03795875882765408
NRAS;7.551348796045796e-05;0.9187093902181105
ORMDL1;0.23885065868768562;0.3406653246864472
OSR2;0.4416116102044284;0.047402482154398635
PABPC5;0.0034092515057056313;-0.21895952044951444
PARP10;0.10916820761250148;0.25013516418872145
PARP4;2.0629402717345845e-08;-1.153897248453374
PIGZ;0.08332599185035784;-0.18772449591236434
PNMA2;0.0005488168956594217;-0.21974953496225058
PTGES;0.14330003648010312;-0.0905999191047836
PTS;0.3273687473311473;0.21306968775500884
RAP1B;0.3008008831648593;0.24631745587288234
RASL11A;0.000214171663796694;0.36416034059906854
RIMBP2;0.015451528563403039;-0.13332756513699218
SGCZ;4.013633228043677e-05;0.3580228240874143
SIGLEC14;3.0908336397998504e-05;0.2537855587297064
SLC19A1;0.18290514173922479;0.20498655166443727
SLC24A2;0.7316390473643366;0.02515868421967567
SLC47A1;0.0003729358260693234;0.22390648303124416
SLC7A3;0.5396913989726921;0.03591579823986653
SNED1;5.496483059935288e-11;0.6565952427922019
SOCS1;0.6188032641279795;0.052275682825420985
STRC;0.001488871040440774;0.2754395807578218
SUN3;0.022194802623113435;-0.1967042314810297
SURF4;8.719454075759623e-13;-2.025236375846196
TCF7L2;0.00896009425563844;0.45468615227226894
TGFB1;0.002711592840215737;-0.43134571210458234
THEG;0.0021274222720448865;-0.27850684435440204
TMEM41B;0.0007341619271463866;0.854725532096468
TMEM70;0.00044183319858816044;-0.765694032090144
TRIM71;0.664844194544155;-0.027946459720740637
TRPM2;0.0001650847475252979;0.350095036011963
TTBK1;1.3200219011965113e-05;0.30012777634890914
TUBA4B;0.011040586712160332;0.18514141869148595
UBE2E2;1.4182486462430996e-09;-0.7698278611665634
USP44;0.013890445089378103;-0.17573075542302874
WNT5A;0.00796588079125801;-0.1775727874335467
YSK4;0.01937415101382646;0.17546974032759574
ZBTB16;0.10836220303812229;-0.1024558185988877
ZNF546;0.0065572597490675165;0.5035260735954554
ZNF774;0.03447840999555502;0.28161622219029364
AADACL2;0.0;0.0
ACBD7;0.0;0.0
ACOT7;0.0;0.0
ACSL5;0.0;0.0
ADCY9;0.0;0.0
AK1;0.0;0.0
ALG11;0.0;0.0
AMT;0.0;0.0
AP3S1;0.0;0.0
AQP8;0.0;0.0
ARCN1;0.0;0.0
AXIN2;0.0;0.0
BAIAP2L2;0.0;0.0
BNC1;0.0;0.0
C11orf20;0.0;0.0
C14orf4;0.0;0.0
C18orf19;0.0;0.0
C19orf73;0.0;0.0
C1orf194;0.0;0.0
C6orf204;0.0;0.0
C6orf62;0.0;0.0
C8orf12;0.0;0.0
C9orf47;0.0;0.0
CAMK2D;0.0;0.0
CCNB1IP1;0.0;0.0
CCS;0.0;0.0
CDC16;0.0;0.0
CDK4;0.0;0.0
CEBPG;0.0;0.0
CLCA3P;0.0;0.0
CPA2;0.0;0.0
CSGALNACT1;0.0;0.0
CSRP2BP;0.0;0.0
DUSP23;0.0;0.0
EDARADD;0.0;0.0
EPM2A;0.0;0.0
FAM171A1;0.0;0.0
FAM81B;0.0;0.0
FANCD2;0.0;0.0
FBXO42;0.0;0.0
FGF8;0.0;0.0
FLI1;0.0;0.0
FOSL2;0.0;0.0
FRG1B;0.0;0.0
GAST;0.0;0.0
