genes;pvalue;coef
C11orf80;0.834947182058359;0.02754465691910682
C15orf39;0.058458249667025376;-0.3220912831479892
C19orf50;0.21355536368280514;0.41037730462994737
C8orf77;0.3680560003690485;-0.10337777212581169
CHML;0.0032221476611759797;0.3642300478918483
COL1A1;0.3742510613141391;-0.05196741434717915
CRTC1;0.09428939656340322;-0.3400337425451967
DNAH6;0.033875415215808176;-0.14676657475470545
ELANE;0.0404607513146015;-0.1620350678607478
FAM27A;0.09128451057051856;-0.14612673420962305
FECH;0.747279918688765;0.06463988344003686
FEM1A;0.6749790688233761;0.11416573055395891
FLT3;0.3669461820335971;-0.06193554627685174
IGSF22;0.2876351698234937;0.09263270624659188
KCNMB3;0.8404281527582897;0.027728121858079737
LHX5;0.0016614914455202598;-0.20212194333366634
LMX1B;0.253993183826677;0.04748029177613377
LOC643008;1.2776638347543921e-05;-0.3188047123917288
MGAT4B;0.16602009327541012;0.2625269122454058
NSUN3;0.4163582459814721;-0.19094993233780178
NUDT7;0.1361494078374479;-0.13747712198340645
OSBPL1A;0.8173073939707926;-0.032535472802306974
P2RX4;0.8952482671523919;0.022526796033620136
PADI4;0.034708581535901104;0.1827571285769643
PHF15;0.39040255806671376;0.11768928575946797
PNLDC1;0.5170717401404796;0.03085426374744565
RCAN1;0.9806022214800686;-0.0027259842722262982
ROBO1;0.8090792493791178;-0.021423522423298764
SHF;0.20821340525455856;0.11627025390538617
SLC27A1;0.0004462260337326338;0.5388867073639262
SLC43A2;0.11278418078260592;0.201624512393667
SULT1C2;0.3723447880826328;-0.04063216265941627
TCAP;0.2616694873504902;0.07802059130515385
THSD1;0.036522775417376044;-0.2180701881369895
TLE3;0.3938037245563565;0.14396005119972574
TTC29;0.8459119234038279;0.016584206805589377
USP6;0.6826597444573087;0.06155019718899898
ZNF703;0.6335971881515161;-0.040933595535830876
ATP2A1;0.40474694694751345;-0.05716868059619176
BACE2;0.1857397972808852;0.12093420041046238
C14orf73;0.3540244557443014;-0.05401651405925905
C22orf26;0.4326270654855773;-0.1011593647964684
C6orf192;0.11374781868074588;-0.17851876553505752
CA6;0.6535588846218209;0.030909219337890165
CAPN8;0.06144032958693097;-0.08758285163412403
CCL7;0.7809178009374453;0.017964783881565007
CXCL16;0.5117052966178517;-0.08890787418611189
CYGB;0.3993868256989871;0.06699835209578106
DCP1B;0.21243213586901344;0.20545885046802762
DRGX;0.062010320700328865;-0.22145011583674992
EMP3;0.5354877996396803;-0.057068462852572825
ERAP1;0.7308561011690159;0.05348790385736377
FAM110C;0.2204477866188278;-0.07092821753584172
FOXF2;0.036959135670050144;-0.1205942728456624
GATA5;0.19514179897462303;-0.05606134069017611
GRIN2A;0.7173831711272752;-0.01603973448775104
HIST1H1D;0.5149156556668657;-0.05015274873471597
HLA.DRB6;0.04897546541583721;0.11750897498837196
IGFBP2;0.4906638567344077;0.040276091717856816
MCEE;0.024550085247130062;-0.4402687201434062
MRPL17;0.3456822360545103;0.20672133891796557
PRF1;0.9121100549046873;-0.009496073645959792
RDH10;0.4893258261947341;-0.06446479542541857
RG9MTD2;0.5449148513036454;0.11307462168041822
SAPS1;0.5960651667635057;0.1277426182971507
SCO2;0.15806142000174095;0.268627384899126
SDHD;0.7717011367356231;-0.06496589183708325
SETD7;0.5353393916887297;-0.0839887860035359
SLC15A4;0.3382294556244254;0.20017002528370256
TINAGL1;0.3728007111045162;-0.0724433662653814
TMLHE;0.4428033349701924;0.11944060261607209
ZNF319;0.8726795504391143;-0.03534366931451338
ZNF512B;0.4238387167210097;0.13626694814206086
ZNF518A;0.03524089733396103;0.3544817112771028
ZNF518B;0.9752380586987798;0.002837910317387365
ADAMTS8;0.15823021872543896;-0.0760584940186181
ANGPTL6;0.7196325875154761;-0.026616632082932964
ANKRD50;0.07602900071632981;0.22493935758752256
ARNTL2;0.006378196353236434;-0.1637423375279319
C11orf46;0.03847571377282815;0.42209752069741047
C9orf109;0.13215432214944922;0.10926350632573648
CDC42SE1;0.03675006612850174;0.41186870602408227
CDKN2C;0.26860941859673704;-0.09672677671663782
CEACAM20;0.6264605956562351;0.0402380739138111
CIC;0.2979527203953869;0.186708745780352
DAPL1;0.04744175313605353;-0.07482861898775951
EPN2;0.0005885741177359896;-0.49551550674464334
EPS15;0.6051075740195848;0.10116848266895266
EYA4;0.2732399555273419;0.045443414767723594
FAM153A;0.21729758167392854;-0.06679890538090948
LOC729020;0.4754134199432233;0.10168499316965884
NBR2;0.7099735127279201;-0.04699286173536458
PCSK1N;0.9402898222926068;0.0029483208877011924
REPS2;0.05800986484960206;-0.1439433579250636
TTLL10;0.12342844222037741;-0.11605228495979591
UBQLN3;0.5573612168266766;-0.2841390904074629
ACAD8;0.00889211438194828;-0.48226974205583234
ADAM7;0.5192855893480335;0.21824007140756757
AKR1C3;0.3279514266436233;-0.055280328439378516
AMELX;0.18783675042371828;-0.1607038482921639
APTX;0.9500866371816128;-0.013999169840148542
BSG;0.3330813762509245;0.1643727839980238
CCDC68;0.06932577843743766;-0.10212060690376819
CHRNA1;0.029876785934494148;0.09408707472533294
DMRTA2;0.0006298040128110949;-0.16845796613939912
FAM101A;0.30377400388411524;-0.047817949006105046
FAM86B2;0.240574818782473;0.07585690858832837
FAR2;0.056306115507925;0.14614700376400563
KCND2;0.6771152578062858;-0.01970891536412983
KLHDC3;0.020907371761750396;0.4442053648273082
MR1;0.029445111223415126;0.2784199043136031
MTCH2;0.024770277569836373;0.505129671444279
MVP;0.024729482723892506;-0.3162753802607103
NSUN7;0.48953601946671055;0.04046729332759628
NT5DC2;0.5366041434088129;-0.06929858650315007
SDHAF2;0.9605057771722979;0.015090228104021835
TCEA3;0.5017381189448725;-0.04585027864145487
TEX101;0.5163346100552115;-0.048913044205625957
TMEM233;0.6916549674287542;-0.02644239944106412
ABCC8;0.17871946448852838;-0.05531499231983535
ACER3;0.9702808270510065;0.005543190058594216
AMTN;0.5548119491799859;-0.030970980185820944
ASAH1;0.596381472659758;0.07285085827112386
CSMD3;0.1838694006042868;0.06658343323802599
DLEU7;0.019307937826376294;0.209555122861005
DLL1;0.12148373135908663;-0.1354153711368612
DNAJC28;0.08291826912066785;-0.27302181452287644
EXD3;0.45840828319473603;-0.12912534795618072
FDPS;0.017802519712191198;0.3941633018409704
GJC1;0.967856010792459;0.003960992864303724
HFE;0.9152899246667245;-0.009401674233619336
HMGB3;0.4113681270128744;-0.09654932659998079
HS3ST4;0.0071875169200168705;-0.15061490673621067
IMMP1L;0.14539986747205766;0.2801826524914652
LOC441204;0.30641185439337826;0.07536021692233834
LONP1;0.9044238187153673;-0.023556841721831867
LY6G5C;0.07657583537306081;-0.2321870700426289
LYG1;0.9079742401342906;0.011735728723967387
NCOA4;0.9690027364054279;0.008836789418520521
NUAK2;0.735829073416064;0.02889224257797308
PAOX;0.6392874149161016;-0.06815387430199778
PGBD1;0.04158981277197945;0.31869790261098735
PIK3R1;0.9784186000043704;0.0032470505781638523
RAB18;0.30101697638292657;-0.22228345926481227
RPUSD3;0.5024523864411892;0.14314488568109981
SH3BP2;0.459488325854868;-0.11741089763618864
SLC26A3;0.7066757663998621;-0.024776773116955437
TBC1D13;0.3426275169584835;0.21145800026513906
TCF3;0.5124955486576515;-0.12043935498043842
TH;0.7763947168418706;-0.015675402591925305
TMEM17;0.43018159174935444;0.11808497982719707
TMEM215;0.12656149874333525;0.08852517851772901
TP53;0.0160823830003999;0.25677380563837604
ZNF389;0.19768856630439502;-0.12336760868170056
ABLIM3;0.9543252984836793;0.004440282384119074
C14orf64;0.47603953997615844;0.04283889123964248
C21orf130;0.9692863346665217;-0.0025658300124209326
CA5B;0.7656038165075221;-0.03407381428410941
IFFO2;0.043001073236845926;0.22916314275499267
NAALAD2;0.6689012356673323;0.028752156157357493
NBPF15;0.26494214352949086;0.1281808755742993
NPAS2;0.4358908756740597;0.07015494702678983
NT5M;0.8362603826404021;-0.019706011981341167
NTN1;0.0022133642245629487;-0.1735583114915299
PRB3;0.32463856443008055;0.0832169620095113
PRPF6;0.18067012495715673;0.3351442865809241
RAB13;0.007117787118887644;0.5364358608268137
SDHC;0.15167139927824475;0.31529352269577887
SGIP1;0.8387416005036843;-0.014984839633383297
SLC44A2;0.8912709410465861;0.019263326729201974
SMARCA4;0.2651404255626644;0.22991960849893806
SNX33;0.6363698223232294;0.08627922332546022
STX4;0.13583435451006487;-0.3491866041132827
TMED7.TICAM2;0.6527745810724231;-0.025707614470286952
TMX4;0.4308622171470944;-0.10722363074362844
TNFRSF21;0.9708973145734234;-0.003469328092992593
TNFSF15;0.5229992016737791;-0.0433634192233887
TNK2;0.04180313551557266;-0.29662651836939347
TP63;0.01322954740149346;-0.11768017334517815
TSGA14;0.11706686451335488;0.22676350685348826
UCN3;0.11494684292384702;-0.09922236475934672
WNT3A;0.527129881670323;0.03633356631908924
ZNF323;0.9291780023745094;-0.00966850655144949
ZNF513;0.11503921784845689;-0.3437556495595758
AAAS;0.5455956200047914;-0.1572000144739342
ATP6AP1;0.20885499055441492;0.2825397067775915
BLM;0.1994941779616991;0.1445318165232022
C19orf70;0.9739880494258816;-0.007119685934685726
CCDC22;0.010312132617573954;0.6565499085661037
CCND3;0.8651282336798477;-0.02483884505251066
CHD2;0.8766142848361236;0.04376508851754021
COBLL1;0.5161588761677434;-0.05651340253383142
CREB3L2;0.6067971214699655;0.08366983550874094
CXorf38;0.44673564455492265;-0.15684733331708972
DDX60L;0.31742020850527575;-0.11204831663721747
DRAM2;0.30359682002868427;-0.23208608398766076
ENG;0.39305273482030534;-0.13744291523068886
FAM45A;0.05677540890105466;0.35474383024979084
FAM71E1;0.02597286430594402;-0.19421487485934308
GCNT2;0.7140813402552847;-0.027720544197322134
GNA11;0.06858292468332373;-0.2699265175765273
GPRIN1;0.6826784043388303;-0.04004446730006017
KIAA1211;0.8142401112280817;0.015618641544805493
KIAA1324;0.2355194832512505;-0.0680173032150249
LIMD1;0.8162392321089821;0.034340442323676085
LOC344595;0.708537860716893;0.045779957910689256
MLPH;0.6466603910611386;0.020424711219148912
MORN3;0.5321603820545341;-0.05175928461938929
NOS1;0.09201020690987223;-0.09107212579700166
NOS2;0.024633878066001966;-0.1289399381618488
PALB2;0.47119379754827806;0.16637327608929117
PTGES;0.021939386525080883;-0.12774732930800037
RBMS3;0.0019029283524841596;0.26259676276123967
RGS22;0.975793314211331;-0.0016575764979746169
SCN7A;0.5579173283893561;0.03115719171313245
SFT2D2;0.2129620160004959;0.17943976582788873
SLC35C1;0.7729862397210118;0.04768254244800347
TRIB3;0.2522904961287564;0.10669815137976596
ZNF676;0.31961423948441037;-0.05247270978519603
ACER1;0.32827929179207127;-0.08594925412843886
BMP1;0.8518505240935947;-0.025231032851380626
C6orf186;0.23064185124577952;-0.07466112469164256
CABP7;0.5600107831974381;0.03916492640215504
DHCR24;0.04952446888133037;-0.14559296011726083
DIRAS2;0.37528313689774073;-0.04166194255181391
ECE2;0.27087822145743645;-0.1371852861198153
FLJ45244;0.23406552012136417;-0.14138188931001483
GFI1B;0.04919140851595525;-0.13665152309543813
GSN;0.832283420106833;-0.025991645165655528
