genes;pvalue;coef
ABLIM3;0.8814986735329864;0.011526589714203356
ACVR2B;0.08523567245227667;0.22311193787172154
ADPRH;0.47700153238618614;-0.0891052234410673
AKR1B15;0.10693902383424564;-0.07877614176214064
ALDH3A1;0.4108065703731687;-0.03471401822662695
ALOX15B;0.6338172818411946;-0.018335654341176608
ANKRD34A;4.154082598787447e-07;0.5149021563373434
ANKRD57;0.88735958848095;0.018581132628693507
ANO2;0.883817419936403;0.009809231922256878
APOBEC1;0.01869355006770963;-0.18109155269814337
ATG9B;0.04167501677778881;-0.12759725424772478
ATP8B3;0.2040954032784752;0.1029892064047771
ATXN1;0.00012475513762450892;0.5469233473690868
BAK1;0.4772955470248621;-0.11684703278219834
BLM;0.00037835894638989367;0.4316903209355944
C1orf93;0.3645731154666807;-0.11937812214987688
C8orf83;0.0019562689017630056;0.4479383660255658
CCDC90A;0.08155653301635492;-0.33065089699800443
CCL2;0.10303655574413827;0.11580176833968457
CDH10;0.7678934543723931;-0.013784409705492695
CDH8;0.3203520242208139;-0.04969099111963201
COL7A1;0.004621206925595531;-0.15554813441207035
DCAF13;0.9818378716271163;-0.004538413526537914
DCP1B;0.19879339820653008;-0.17975847005200324
DEPDC5;0.0006610076489009896;-0.6928232650145009
DNMBP;0.024057047739599494;-0.3068376119757674
DUSP10;0.0035242863961236323;0.2830142495048878
EML4;0.06995040854855292;0.32711214579318937
EZH2;0.06827056175092795;0.25884730884554874
FBXO36;0.09529397972141192;-0.16038975169456676
FSTL3;0.8681882162328235;0.013665579490127058
GAS8;0.49556641609466223;0.11490367452933312
GLRB;0.3675190343186141;-0.04863212554259738
GRB14;0.1253842075646448;0.07600646380812695
HIBCH;0.21275585606732184;0.20236754371430357
HPCAL1;0.10960385311881693;0.22885822397793035
INMT;0.0403163624593862;0.13873881867507637
JMJD6;0.2897809673953903;-0.22877474083844562
KIAA1324;0.2630407316684449;-0.055758602620740574
KIF21A;0.042277630590612306;-0.1976156925588146
KRT77;0.005061077194402038;-0.15715478524165888
LGALS3BP;0.2761650975269959;-0.11147856289876669
LOC643387;0.06646760964404987;0.18218176155465063
LPAR2;2.2084660493120792e-05;-0.46870394656087944
MARCH3;0.1397426364666183;-0.12963385990247928
METT11D1;0.5270086237441053;-0.16176425673591094
MGRN1;0.0020095612868071735;0.791397111133409
MMP15;0.013790653868298633;0.23802312132545358
MPG;0.024831089797291754;-0.4846385720183574
