genes;pvalue;coef
ANGPT2;0.021387261931025213;0.814005867075755
C1QL1;0.15394756277803837;0.31463793206685786
FLOT1;0.9627866341444301;-0.02850955024985518
LOC146880;0.9299044425090334;0.03963675702065247
MIOX;0.034938460122341544;0.34155524905304835
PL.5283;0.07065443379106019;-0.9391108364764453
PQLC3;0.2700332739075666;0.6530492906456052
RNF125;0.8424208292377475;0.062367286182227366
STARD13;0.059801522626524606;-0.7142182045377877
ANGPTL6;0.6024950006561699;-0.1384652075546408
HTRA2;0.8161346067519379;0.13912376866715628
ODZ4;0.8560279128505296;-0.030276443895768564
SH3TC2;0.2746164853417322;0.23160243472152214
SPATA12;0.9045253867601545;0.0385287081862623
CRISP2;0.2074178544946742;0.19186700202617793
FAM118B;0.05586258086115651;0.8229938034332416
GPR155;0.9939163283106937;-0.002429795415040911
LQK1;0.9457419441435886;0.015008599771546135
NR1H2;0.13219633635173814;-0.8759826202141525
PKIA;0.6108712856626062;0.10360607852594926
TUBA4B;0.888515597376631;-0.035232449974323864
ARHGAP23;0.4127678074537525;-0.26600017957439265
BCOR;0.3343949423889775;0.4635239345797545
LRRFIP2;0.19493039522383648;-0.6975979859973317
MAP9;0.2398110530994506;0.226864053854776
MPPED1;0.550322579068921;0.08701330296166206
PNMAL2;0.6035581860594796;-0.14914886294280313
UGT1A10;0.8504288014572782;0.015795929258829892
HGF;0.2097704463048582;0.22755764462024358
MBOAT1;0.9128041410923093;-0.03965862936614843
SERPINB11;0.004528287406264961;-0.32340747454322405
CHST6;0.5226825759158316;0.13477862440839639
EBPL;0.6933918371541493;0.18625156684266556
LOH12CR1;0.45737472934688783;-0.43470607244908
LRRN4CL;0.48315317080684983;0.22765191243018643
LSP1;0.01688355746096053;-0.8077084709551317
MR1;0.7709251536109663;-0.13535513787131503
PDE7B;0.06739767034495639;0.6289548961083056
PLXNB1;0.9029174043154732;0.062082561297278814
TTC32;0.28637613832747244;-0.45852120251027223
CNTN6;0.7752079785469914;-0.07469598672242274
FOXH1;0.4239925607369832;0.1719828245183681
GATA1;0.7892845067229501;-0.07656351366107837
HOXD3;0.9663643316173803;-0.010685907058390986
IGSF5;0.44020358509589996;0.1630460636397706
PGPEP1;0.17187539477406544;0.42755517021750084
RFNG;0.3377998197755545;-0.6616488823372954
ZFP92;0.09504186936551776;0.376213645105015
ARFGEF2;0.5097858430221356;0.35883785233205345
CTAGE5;0.9090542078987067;-0.05494100118879914
FTL;0.8942993637976939;0.047691722243448885
MNX1;0.16498226630968504;0.22693285465630172
TMUB1;0.07687516925087601;-0.9414087151843737
BAHCC1;0.3034450881288646;0.32944095385599304
COX6A1;0.9453445686998518;-0.043468403644537884
EIF1;0.10886505591557169;-0.6737075604139167
HOXC11;0.28402100979626776;0.2153285679835606
NDUFA4L2;0.18988085451418368;-0.23906536743057855
RABGGTB;0.2085572774860014;0.8780748095406967
ZNF221;0.42970963016528874;-0.17635447966136458
C1QTNF8;0.6295629153976167;0.11850013867762572
DPP9;0.7709950099149636;-0.2448748412169363
EZR;0.32922496090159337;0.44044081392144274
LHFPL5;0.17362320741838522;0.24825929407855823
SCGB3A2;0.29269374387763736;0.21642078680445995
SMYD5;0.4937391147064415;-0.5176325136595904
TNKS1BP1;0.05643386298686498;-0.980153873815328
AADAT;0.5156149467139991;0.1547760213566854
AKAP6;0.7478413220412663;-0.09611382756819604
BTD;0.3653261793515541;-0.47927499708151233
C10orf25;0.023438452905472314;0.892694543081057
C4orf34;0.5584215532529635;0.2837552952420079
DCBLD1;0.9376654633104148;0.028952144985607015
KIAA1107;0.1623362839220418;0.6388204904920864
MORN3;0.9371366422732774;0.01599724612301508
NEAT1;0.1885732796595676;-0.49588226528446877
TRIL;0.19335641666328263;-0.34956565460735
ZNF428;0.7644270033201621;-0.17704985886143557
C3orf15;0.6260721445716577;-0.06339098468220986
CTNNBIP1;0.7492180502409036;-0.13192443782699864
LOC100009676;0.8108766646063499;-0.10124738185172145
MSH2;0.6942398940635406;0.22895112727428876
NAA38;0.955795657963542;-0.03180873085084062
NTN1;0.37896351142083684;-0.182979527151829
SCTR;0.4217374853138244;-0.13820640793796887
TIGD4;0.03900510512670903;0.636982553810236
FRMD3;0.9642878279837782;0.009487837585720926
LYNX1;0.05551788629354446;-0.3373336305986889
NDUFB8;0.9827784370891585;-0.014143832917886973
SLC28A2;0.7539072030122409;0.030938671181751688
TMC1;0.03510535589479055;-0.5775792208383685
UBXN8;0.0477695720286056;-0.8520990071853656
ALKBH5;0.8589639045398487;-0.1157544046943017
C2orf55;0.5047264989918058;0.18587719618237422
CDON;0.4537638059221266;0.18510390007363567
FBXO31;0.4467145717692862;0.5362015560225536
KCNJ1;0.16724299683097577;-0.3685953047128785
LRRC8E;0.7737271245160166;-0.08305328380092045
PRODH;0.43302279983753533;0.12045889570592917
TMIE;0.7281133769885071;-0.08811334627262574
FLJ44606;0.3840908735029842;0.26461105014375824
FRG1B;0.41760123998633547;0.29765904197850646
KIAA0495;0.11406504111649965;0.44530851727110565
PALLD;0.32396180767793314;-0.37278755196604824
PRSS16;0.8493852732966728;-0.06380552267934202
TCEA1;0.42046194511389934;0.4224880412576901
CCND2;0.6104893765735717;0.1013874177447677
TACR1;0.3831407054290603;0.15196272736625607
NEIL1;0.7448981314239163;0.09167959842509607
PFKFB4;0.28384327435436174;-0.2744448852399221
PYGB;0.959215347869838;0.01486915913274742
RPN1;0.09906002280082857;1.011943582118696
FAM173B;0.8604282327041373;-0.08284851629844878
PDLIM2;0.36339621105394704;-0.3770972212487764
PON3;0.3548227850699509;-0.10556500184571853
RAB22A;0.7134316331578671;0.21799545519561003
ZFYVE28;0.03748962208114108;0.7491264377950467
ZNF764;0.9088458234648602;-0.06039813377005722
ANKRD34A;0.11034072609258697;0.5035189644867234
SF3B14;0.5671373507160419;0.3304006275244589
SMARCE1;0.6359090887466132;-0.1820548860646431
APEH;0.36845358828490826;0.47667556612745904
AXIN2;0.5401806607712036;0.10304575934744234
FAM171A1;0.12101374314494041;0.39923402294200494
LASS2;0.6739441673313435;0.24510921576621916
CACYBP;0.9743599232927286;-0.018840311404270598
CHEK2;0.7103839018811926;0.21984952443616682
ITFG3;0.8408155552149362;-0.1138317314428653
LOC285359;0.7869905751495655;-0.1457517547193546
MASP1;0.14938583698055077;0.2576995072820983
MKNK2;0.015121042163607152;-1.1142969410657628
MTHFD1;0.41903765002757876;0.5197317266504601
TMOD4;0.7072298095436114;-0.11657016484038447
ZNF101;0.7207501894558017;0.17681470608109975
GLB1L;0.06538870931342212;0.582812195742189
SLC16A4;0.3166577601283793;0.24439194677370593
ALDH1A2;0.5788006708846296;-0.0726662411367871
CSF1;0.9023855936746024;0.04351686556483192
DCAF4;0.9820606036281863;-0.011626643305373786
GNAI2;0.0281599325505365;1.5505060998910145
GNG13;0.972168655621336;-0.009290431972526084
SGK494;0.6472527193953928;-0.17883745407774287
