genes;pvalue;coef
BCAS3;0.1150069752439035;0.5743663576132512
CCDC8;0.015785813341264065;-0.43228690445236767
CRLF2;0.16271254795569035;-0.23010009138563245
EP400NL;0.005940203358937313;0.7444939985545788
FOXF2;0.3903904000956385;-0.15641139949587962
MTHFD1;0.00904035981718807;-0.6819099822600343
NELL2;0.08102550786726936;-0.19433468758013323
OSGEP;0.27081387016114244;0.5687557608571445
STK11;0.002304064570432537;-1.5577001720173103
TMPRSS3;0.4377925646472307;0.06227524005209555
ZDHHC9;0.10416210397322942;-0.5449299842102122
ADAM7;0.4201180804379764;0.5630539223524056
ARPC1A;0.012968174441342708;-1.1475121781899371
CD28;0.8928557589736195;0.02781208357632433
DNMT3A;0.5758730956981144;0.15469150914317656
NOD1;0.747427727096424;0.1341049638971336
NRN1;0.005154346085112354;-0.5346872372515451
USF1;0.464574646086533;0.3797269767199958
USP8;0.8936425375752688;-0.054306158937843414
ACADSB;0.7197120177379229;0.07982066651169581
IPCEF1;0.13584510418185874;-0.2816317632514039
KIAA1467;3.377404603691102e-05;-1.2003521636091896
PRSS12;0.6221802901949578;0.039841641732200186
PVALB;0.7326372890961301;-0.058080529871460604
SYMPK;0.884909551343861;0.04855322268630279
ACAD8;0.5211521737895526;-0.2524590029853492
BCL7B;0.22207768162111885;-0.6148174712057531
ENOSF1;0.20810520481195272;-0.46225183912052176
GPATCH4;0.820122556844695;0.09162341929962524
GRAMD1B;0.6604398318230028;-0.04217678961589111
MYADML2;0.7503662569008751;-0.05990085639668652
PAK6;0.4490317589677929;-0.08898460517344911
SAMM50;0.6673249679452515;-0.15899940689915615
VHL;0.7029764407750232;-0.13297164007242368
ARHGAP39;0.3147601777596254;-0.24716724734326798
BLM;0.16016813400908958;-0.27098805307767987
COQ7;0.1985517429328464;0.6388417872338732
DIP2C;0.024347542477718448;-0.4137347560787338
EFNA4;0.8395642787885742;0.06632467860353194
EP300;0.9955601984729746;0.0019110356016168138
GLS2;0.830153724955172;-0.019056718997268792
GNAL;0.05528548812736687;-0.2503749931502891
GPR85;0.2587736968585558;-0.24357289628744086
KAT2A;0.015422079499118039;1.023701904490697
KCNH2;0.2647781590083662;-0.1115503272087409
KCTD13;0.14877304046961987;-0.6093554446234472
