genes;pvalue;coef
CYorf15A;0.9071851176976755;-0.005353698519266229
DEK;0.003080773892700637;0.9218137667372647
FLT3;0.9201968135582805;-0.012410716374170705
FUBP1;0.8984567045034173;-0.04224316753873956
GPAA1;0.8060860817729588;-0.062296313517690334
IDH1;0.6215627403039778;0.13514926490265913
LATS1;0.3222672605791512;0.26350529878868334
LCN15;0.3183261086421355;-0.3300220459767448
LYL1;0.14653704168955745;0.33830003384362395
MTERF;0.024372931857942846;-0.7611272997363732
PAPPA;0.19944948315208888;-0.13669629239310524
RECK;0.1221176849785288;0.35941437522242503
RNF17;0.212096140755336;0.143745019391787
RSPO2;0.002323948534473961;0.4967687619572557
STMN4;0.32664421892182194;-0.16147326266944856
TTC13;0.9940507962128506;-0.0023176418386635857
ZNF579;0.3478091687674042;0.2805138645617801
ACTB;0.32438587728206203;0.450152220287259
AGER;0.014498144339816964;-0.4828024353046986
ANKRD39;0.6878898431608425;0.13063070518203812
ATP5J;0.4841624932468994;-0.30400527707875
BMP2;0.5504788085991978;0.07830615574053036
BMP8B;0.2862851261486673;0.10398805533316335
CR1L;0.6926427332020275;-0.051153295933675284
DAGLA;0.9548445225311635;0.008708787611810181
DNPEP;0.9570855906956535;0.024530194614798582
ELOVL3;0.6711912211476427;0.05543233717092287
FAM107B;0.06273588039455655;0.3525992804711165
IRF4;0.01386280933251421;-0.455424981316064
KRTAP19.1;0.0588263206862916;-0.14379545805865365
LOC100130776;0.8651442150935676;-0.04097495244047142
OFD1;0.7197379466630851;0.10894326000267832
PAICS;0.25296890741249334;0.47950810208368455
PSIP1;0.20351171125088174;0.3636036430334717
RPGRIP1;0.7544949390573846;0.05346480631348098
SPRR1B;6.802924115727783e-08;-0.3195296345640666
TBC1D1;0.3496782637023611;0.2949862993009371
ZBTB10;0.2596186302877146;0.2700669840012238
ACHE;0.939290107915359;0.010350307500818456
BCL10;0.41112315750769346;0.28223412438229023
CAPN12;0.7501712736184923;0.07371506621450807
CAPN8;0.06908673245582005;-0.28957810207395757
CCK;0.3630962793536776;-0.15095760474901013
CEACAM1;0.9961586949524305;-0.0004560127205310228
CFDP1;0.006103462403847467;0.8520203770824416
CLVS2;0.2181622757108006;0.2483603800495497
CTNND2;0.25426717862161763;0.0819528663476227
DPY19L2P1;0.27286114053660393;-0.13000864930426823
GCOM1;0.64433389292248;-0.06105103087968963
IL13RA1;0.19757945586174264;-0.34407802188413916
JMJD7.PLA2G4B;0.018685045044824888;-0.6468207244818824
MT1B;0.21508842094865432;-0.5311367547391549
PBX2;0.24698902901375663;-0.37859411863885517
PRDM13;0.5173675592681228;-0.04578654825411339
PRICKLE4;0.6411214232274596;0.08036940257187572
TIMM17A;0.3254575945643926;0.3195540304274428
VASH2;9.351837260081555e-05;0.6949099420048735
CDKN1A;0.11803222017489115;-0.253566432821942
CFTR;0.3780274113026827;-0.1081346527869229
CRYM;0.002167431207815291;-0.23832065336678812
EIF1AX;0.16229378764923097;0.3749541551337006
FCHSD1;0.6282364760696386;-0.14125728550324143
FER1L4;0.34605333308575814;-0.0943258951982396
LIPA;0.022519867419974495;0.5442555092988779
MLF1;0.7179791232782352;0.0854186702594165
MTHFR;0.9229874136045628;-0.02789975485860641
NEURL3;0.07304204600738991;-0.21679637935881566
PAEP;0.191578392910003;-0.05730942779901351
PDZD7;0.16910356262563553;0.23463508085388876
PELO;0.7874509058241647;0.09176071222626643
SLC12A8;2.5311649212538802e-05;0.6112694962575441
TPPP;0.05257492695490601;-0.22005630850319552
WNT9A;0.8285202916694894;0.029615800976306218
ZNF697;0.40305134669456866;0.15251635845927444
ADARB1;0.14533092643582177;-0.3345815901830136
ADPRHL1;0.6006059544038511;0.058911952159093756
C21orf62;0.7536477272893376;-0.05061842871170522
C7orf26;0.7144048752750026;0.15279168013590036
CCDC51;0.9106374403392856;0.040650401769093014
CDK5;0.3230269937898662;-0.33351069251730464
FOXR2;0.9713015140277144;0.0033162107555348005
FRG1B;0.3439219153004094;-0.2821156897169436
GLS;0.04731318679314384;0.5283790304923108
HSPB8;0.07018196781991039;-0.1565733824362796
IL1RAPL2;0.46453965336329206;0.09069488123761621
KCNJ3;0.940910509148046;0.01114152757126096
KCTD17;0.2798357097691442;0.18263612028498666
KRT2;0.0012707733287727503;-0.22522801297682796
