"gene";"mean";"sd";"se"
"A1CF";-1.23599056503218e-05;7.16111803935669e-05;5.22330863675989e-09
"A2BP1";7.55068827686994e-05;0.000137805064466453;2.44781517021774e-08
"A2M";-1.49091369992071e-06;6.29339745673134e-06;4.13846544050892e-11
"A2ML1";-0.00014567647485699;0.000207522930943736;6.38035171732552e-08
"A4GALT";-4.28348983976057e-05;5.06969829889509e-05;4.37613413205921e-09
"AAAS";-1.19391733082087e-05;9.12083015823863e-06;2.24798688095111e-10
"AACS";2.14900215662816e-06;1.69672966546657e-05;2.89272656421258e-10
"AADACL2";-1.84053346286853e-05;5.14171467447188e-05;2.95277456958466e-09
"AADACL3";-1.02331796987839e-06;1.20781058222082e-05;1.45288711602492e-10
"AADAT";-0.000204474513345477;0.00021952064695048;8.94576880742184e-08
"AAMP";-7.11018284768013e-06;5.45206123728045e-05;2.98965302898692e-09
"AASDHPPT";-6.57393098009337e-05;9.13631321847328e-05;1.25750897653418e-08
"AATK";0.000368786067277046;0.000775276657730713;7.3030364487773e-07
"ABCA2";-3.26914432390539e-05;4.51002348218725e-05;3.07990735910787e-09
"ABCA4";-2.43057343747699e-05;4.59046003785468e-05;2.67432429159169e-09
"ABCA6";-8.40866962280734e-05;9.54223596739782e-05;1.60736910428445e-08
"ABCB4";0.00025849526550163;0.000381468948576801;2.10703321029337e-07
"ABCB5";-5.02962691955718e-07;3.94354930582421e-06;1.56298157303652e-11
"ABCB6";-1.38762183814466e-05;3.52970712094643e-05;1.42443398449103e-09
"ABCB7";-0.0033114412992329;0.00303848490756267;2.0094299286656e-05
"ABCB9";4.04984384164111e-06;1.15607307853687e-05;1.4855004046388e-10
"ABCC12";7.95111754238449e-06;4.25284329221309e-05;1.85156576904329e-09
"ABCC13";1.33164406720673e-05;1.4654257992689e-05;3.89661978732614e-10
"ABCC2";-1.10997362181839e-06;0.000169216325907582;2.83136648046117e-08
"ABCC3";-4.76551690776898e-07;2.52120214435491e-06;6.51214086496638e-12
"ABCC6P2";-1.88100191671718e-05;6.43355543871801e-05;4.44637404725939e-09
"ABCC8";0.000173415168758963;0.00044846836989558;2.28936880689613e-07
"ABCD1";-1.21634902935e-05;4.13011846048172e-05;1.83457219026597e-09
"ABCG1";-6.13804647225636e-05;0.000167167543393615;3.13985603894965e-08
"ABCG2";-1.66022907453034e-05;4.15041939521839e-05;1.97887913860512e-09
"ABCG4";-3.96606272099076e-06;1.6756758252851e-05;2.93363668660936e-10
"ABHD1";-5.69093108233622e-05;0.000133255361364655;2.07961442342707e-08
"ABHD11";-9.91822600145764e-05;6.24992391295787e-05;1.36993862125688e-08
"ABHD12B";-1.53238122549072e-05;4.67240287517314e-05;2.39342447961635e-09
"ABHD13";0.000107506759897197;0.000112652600290074;2.41057206706289e-08
"ABHD14B";-0.000145563944634116;0.000209447515370661;6.45642218555903e-08
"ABHD15";-5.5497378521203e-05;7.53316226735603e-05;8.69104999988957e-09
"ABHD3";8.03502882199647e-05;0.00012782354249755;2.26114441593103e-08
"ABHD5";0.000198637374364425;0.000143654509800985;5.98615525661026e-08
"ABHD6";9.84816316819812e-05;0.000131872921547028;2.68937007055621e-08
"ABHD8";-4.28728761834245e-05;0.000117317778790772;1.54468991009498e-08
"ABI1";4.44080091625024e-05;0.00020019230147526;4.15987259536937e-08
"ABI2";2.78748904472018e-06;4.58467045045841e-06;2.85531274919516e-11
"ABL1";-7.93114103008895e-05;0.000128448984045169;2.26040576937676e-08
"ABL2";2.06514681921512e-05;9.47770466769099e-05;9.30824263015604e-09
"ABLIM1";-6.300585935391e-06;2.01349665239084e-05;4.40559014240081e-10
"ABLIM3";8.02355748356987e-06;1.38852612902389e-05;2.55011658249927e-10
"ABO";4.55357469589851e-05;6.68234546200915e-05;6.48870559592151e-09
"ABP1";7.16361246659471e-05;0.000104139116004166;1.58548364069009e-08
"ABRA";1.20256728008198e-05;3.11963480578559e-05;1.10689397068234e-09
"ABTB2";-6.7852954517228e-06;2.30711549443076e-05;5.72337771005979e-10
"ACAA2";-0.00016975336166409;0.000236429715403695;8.40871353544254e-08
"ACACA";0;0;0
"ACACB";1.5539119170855e-06;6.70440400755967e-06;4.68586300269505e-11
"ACAD8";-8.4471290102218e-05;9.65430939075487e-05;1.63512423386036e-08
"ACADL";2.6658947250165e-05;9.14504895663705e-05;8.9799230605066e-09
"ACADM";2.65527556718078e-06;2.59976919538482e-05;6.75336318108366e-10
"ACADSB";0.000181301237578777;0.000219260856570033;8.04052898003664e-08
"ACAT1";-1.06982594979581e-05;2.11316352428806e-05;5.5598139344697e-10
"ACAT2";8.34345887089613e-05;5.00595976461053e-05;9.43913701832697e-09
"ACBD7";2.99888371051238e-05;2.76498957424742e-05;1.65525700981802e-09
"ACCN1";-2.65851250070974e-06;2.78682453499785e-05;7.74980505593067e-10
"ACCN2";-0.000808375925544535;0.000947494329585225;1.54113011345461e-06
"ACE2";1.93683757147623e-05;4.32811771359332e-05;2.22734640362526e-09
"ACER1";-2.22626604712521e-05;5.46144866729261e-05;3.44485424901281e-09
"ACER2";0.000946523516288738;0.00158838265492703;3.39051836627667e-06
"ACER3";-1.39970275186263e-05;3.07391333087437e-05;1.13019430585605e-09
"ACHE";4.42021607827286e-05;5.92865051072491e-05;5.42922756313416e-09
"ACO1";-5.53615235584104e-05;7.49398116215252e-05;8.61777280977059e-09
"ACOT1";0.000748788827232007;0.000316115354481039;6.59490828302128e-07
"ACOT11";-4.42635868513373e-05;5.38341268686805e-05;4.82481526681959e-09
"ACOT7";-0.000342586915876047;0.000317083739872192;2.16778206525389e-07
"ACOT9";0.000215108052980406;0.000196383533138784;8.4404635173317e-08
"ACOX1";3.20778501391712e-05;5.25632284206905e-05;3.76083771018596e-09
"ACOXL";-5.19821975469037e-06;1.3610938160033e-05;2.10197579724451e-10
"ACP2";-3.01071379226803e-07;1.68282449999667e-05;2.80098565554531e-10
"ACP5";-2.67528715325603e-05;3.13670507572286e-05;1.68855304357674e-09
"ACP6";-0.00015216017759538;0.000306103939114896;1.1579953645109e-07
