"gene";"mean";"sd";"se"
"A1CF";6.04883502638891e-06;2.40344751505838e-05;6.04284814806636e-10
"A2BP1";3.96744361745247e-06;1.37154699874728e-05;2.00611378990495e-10
"A2M";-2.82383525236983e-05;4.03919158072866e-05;2.40078198717037e-09
"A2ML1";5.18639900029443e-06;8.3625130346745e-06;9.56246411857853e-11
"A4GALT";-9.06702664439029e-06;3.66704012343928e-05;1.40374450012538e-09
"AAAS";1.03723155835745e-06;4.66527583066437e-05;2.14003019213724e-09
"AACS";3.97328473856704e-05;8.24548703873934e-05;8.26028402489547e-09
"AADACL2";-2.31747069669901e-05;6.56510923098897e-05;4.77282148308266e-09
"AADACL3";1.6182013117768e-05;4.85685629869985e-05;2.58009207794804e-09
"AADAT";1.02554604139457e-05;0.000120862447669669;1.4461048289545e-08
"AAMP";-2.37538067897384e-06;1.10744549988605e-05;1.26171442865591e-10
"AASDHPPT";-0.000127175998432554;0.000319003145220528;1.1618220664031e-07
"AATK";0.000320758386598567;0.000450951195113099;3.02736768113215e-07
"ABCA2";0.000173699972214851;0.000142255701043789;5.00594564738058e-08
"ABCA4";-7.4239966265846e-06;2.46772316029933e-05;6.53582075851243e-10
"ABCA6";7.66374217203924e-05;5.24585443884974e-05;8.57774675490647e-09
"ABCB4";-2.43872508037085e-05;4.12505232044437e-05;2.26700563770263e-09
"ABCB5";1.40426616849325e-06;7.22487231766074e-06;5.32707645128459e-11
"ABCB6";0.000152688200194999;6.9464265072325e-05;2.80557760469981e-08
"ABCB7";-9.05976659041448e-05;0.000121883311716372;2.28073487133508e-08
"ABCB9";-1.3163487477007e-05;5.26503262986024e-05;2.89754017812474e-09
"ABCC12";-1.93882641499409e-06;1.44010562931579e-05;2.07573773288963e-10
"ABCC13";4.54555195489219e-05;0.000155146902433156;2.57217559138828e-08
"ABCC2";-7.79103622323715e-05;0.000149779576082478;2.8117154206153e-08
"ABCC3";0.000343674985861556;0.000282508638468256;1.9654757273666e-07
"ABCC6P2";5.58774640472768e-06;2.57589964466609e-05;6.83308706134033e-10
"ABCC8";2.30932039743766e-07;1.48014970135092e-05;2.15360327692023e-10
"ABCD1";4.98554041626909e-05;7.51816696468954e-05;8.04039161217371e-09
"ABCG1";0.000585723308858014;0.00029977319221373;4.31386382572176e-07
"ABCG2";-0.00020194634260863;0.000172693593512775;7.0091211546455e-08
"ABCG4";0.00015874097586576;0.000268783070713484;9.6197444467498e-08
"ABHD1";-5.32228921047218e-05;7.02951561717271e-05;7.68888851862582e-09
