"gene";"mean";"sd";"se"
"A1CF";-3.54171348022829e-06;3.54034037201815e-05;1.24945261099527e-09
"A2BP1";-4.1105447902686e-06;9.74594124577886e-06;1.10630168044686e-10
"A2M";-1.31672768027981e-05;4.73781000995618e-05;2.38852622680029e-09
"A2ML1";0.000175658797774596;0.000169362383163797;5.9162214055604e-08
"A4GALT";3.33778718751492e-06;5.81262568343542e-05;3.34534648144069e-09
"AAAS";-0.000107395346546102;9.48667213428866e-05;2.04150382410226e-08
"AACS";-0.000602330216231584;0.000550466036017641;6.61827534920759e-07
"AADACL2";-5.33155474685862e-05;0.000464794167070226;2.16033617742505e-07
"AADACL3";-1.00974085371981e-05;5.93690527263676e-05;3.58026465419295e-09
"AADAT";0.000138973802891808;0.000224272408884276;6.89500139955623e-08
"AAMP";-4.31283207016762e-06;3.16095685370992e-05;1.00461843799991e-09
"AASDHPPT";-7.15306247732399e-07;2.3017885656346e-05;5.23363367062866e-10
"AATK";-0.000290673562233413;0.000152532780293504;1.07451233989422e-07
"ABCA2";0.000185260863836651;9.59797125805488e-05;4.34124809856648e-08
"ABCA4";0.000140318837244739;6.54135600899748e-05;2.39120081682597e-08
"ABCA6";-0.000260448475459757;0.000144341458851902;8.83937275240768e-08
"ABCB4";-0.00035514364297668;0.000230731260032024;1.78663435787503e-07
"ABCB5";3.11372679158501e-06;0.00011423229525423;1.28870149778052e-08
"ABCB6";3.93323065399573e-06;8.88689453573595e-06;9.34080282024923e-11
"ABCB7";-0.000220435900237243;0.000307495878427657;1.41901573531164e-07
"ABCB9";-4.49100212509268e-05;5.5168016473322e-05;5.02037386560151e-09
"ABCC12";-1.37643779957978e-05;5.7980966532625e-05;3.50701647008888e-09
"ABCC13";4.23850618714466e-05;0.000119705866211353;1.59374418962381e-08
"ABCC2";-7.8456727527867e-06;2.77127358741873e-05;8.19445103607438e-10
"ABCC3";-0.000314102779723713;0.000148909619856965;1.20542866972873e-07
"ABCC6P2";-0.00011810495665697;0.000178728820919665;4.54724565376033e-08
"ABCC8";1.78720965323033e-05;4.25089694165719e-05;2.10264783530771e-09
"ABCD1";5.43349090360243e-05;0.000171168254081534;3.18653460294142e-08
"ABCG1";-7.80797920662225e-07;2.63679097157041e-05;6.86728062605596e-10
"ABCG2";0.000119206741568409;8.19948788302877e-05;2.08449447561407e-08
"ABCG4";-2.16506115823566e-05;4.68820494509585e-05;2.63775545628691e-09
"ABHD1";-7.33361220677797e-05;8.93705773976231e-05;1.32601934818987e-08
"ABHD11";-5.42395349485867e-05;0.000268337806036491;7.39996687453314e-08
"ABHD12B";-1.34343722927997e-05;2.79461905548149e-05;9.51195746920647e-10
"ABHD13";0.000197342615550439;0.000169922010542288;6.74376832413015e-08
"ABHD14B";-5.8258457176891e-06;7.144042862848e-05;5.0705209151233e-09
"ABHD15";-8.35361018233812e-05;0.000189094246963843;4.22644325132634e-08
"ABHD3";-0.000169686827875474;0.000124241078281016;4.40263618561802e-08
"ABHD5";0.00018380103418024;0.000102399517992189;4.41305122233238e-08
"ABHD6";6.81805486441677e-05;7.18639688152371e-05;9.74506420079869e-09
"ABHD8";-1.68457134375466e-05;3.87608527760392e-05;1.76641329930459e-09
"ABI1";6.70841827161618e-06;1.69547881887161e-05;3.28685286092706e-10
"ABI2";-2.91274713495356e-05;6.40676518584516e-05;4.89906486483883e-09
"ABL1";2.81449581246575e-06;2.36383998308562e-05;5.59343044471236e-10
"ABL2";2.83518515784009e-06;1.65928352229026e-05;2.79737795340814e-10
"ABLIM1";9.25344812303795e-05;0.000110332832140734;2.05757886193999e-08
"ABLIM3";8.39300802337768e-05;8.83993602856903e-05;1.47558835972449e-08
"ABO";4.13543769488983e-05;4.32917015133435e-05;3.55969576248988e-09
"ABP1";2.75258535408014e-05;9.24660397431065e-05;9.19514153332111e-09
"ABRA";-6.24548287763675e-06;7.1398794296403e-05;5.06971772773676e-09
"ABTB2";2.17551838904867e-05;5.36135094806555e-05;3.3098752617987e-09
"ACAA2";0.000104782079655482;8.67989797462764e-05;1.84142146955407e-08
"ACACA";8.97867266315089e-05;0.000143363966117893;2.83444458657661e-08
"ACACB";-2.15356491448995e-05;8.69289749625484e-05;7.92100131044685e-09
"ACAD8";-6.18273679687955e-05;0.000236291841504498;5.89218020762515e-08
"ACADL";-4.00316586502954e-05;0.000212028522164874;4.59671003503006e-08
"ACADM";-1.38435243774657e-05;6.96009834924766e-05;4.97219932158423e-09
"ACADSB";-1.14509432016445e-05;2.85663499284764e-05;9.36423128071925e-10
"ACAT1";9.48247888731648e-06;4.88908591453701e-05;2.44878198608434e-09
"ACAT2";0.00542223286284806;0.00518145856230686;5.58948653040512e-05
"ACBD7";0.000829793830314082;0.000366961725118876;8.21446854480823e-07
"ACCN1";-9.26500607242134e-05;0.000117964603848676;2.23165808849389e-08
"ACCN2";-0.000260721207850281;0.000449102181298579;2.67014465243115e-07
"ACE2";-4.19031041547706e-05;0.000227246262871603;5.27172490744271e-08
"ACER1";1.22194878095169e-05;9.6234204463101e-05;9.28848243691173e-09
"ACER2";6.67933110629626e-05;9.04859945240851e-05;1.25413285129636e-08
"ACER3";-0.000116437870724241;0.000235120213855261;6.81119043473578e-08
"ACHE";-7.06200153046501e-05;7.50561707276676e-05;1.05464912632416e-08
"ACO1";5.06980697860859e-05;7.60848918871426e-05;8.28303517491461e-09
"ACOT1";0.000398325778545655;0.000633516902601866;5.54726254027287e-07
"ACOT11";-0.000279958416325509;0.000407251888798432;2.42048524999668e-07
"ACOT7";-0.000874999857485389;0.000737357958974169;1.3021676055296e-06
"ACOT9";5.63972256855935e-06;1.73497207148371e-05;3.28858584679442e-10
"ACOX1";7.37581938669734e-05;0.000136702955965195;2.38820785667503e-08
"ACOXL";-5.32658048384587e-05;0.000126570651836688;1.86465846884744e-08
"ACP2";-0.000422112840922184;0.000463592879810472;3.90269735548008e-07
"ACP5";-1.12949671288311e-05;7.19002603090798e-05;5.22920203821121e-09
"ACP6";-1.25377281922152e-05;1.35416235868093e-05;3.38157361149661e-10
"ACPT";3.77252264913755e-05;9.86261963062772e-05;1.10223308038035e-08
"ACSBG2";-2.41126594767073e-06;1.30118658290415e-05;1.72895110397677e-10
"ACSF3";-1.04213289447153e-05;4.84115497834532e-05;2.42144437898295e-09
"ACSL3";0;0;0
"ACSL4";0;0;0
"ACSL5";-0.000254291856522277;0.000236895045883479;1.20045199705522e-07
"ACSL6";0.000123764656193024;0.000134867962612992;3.32677236811755e-08
"ACSM3";-3.51706573923287e-05;5.79307171361084e-05;4.54878565578732e-09
"ACSS2";-3.20223474010889e-05;6.17386716460195e-05;4.78694084157767e-09
"ACTB";0.000200156719892689;0.000141771128825112;5.9897304263279e-08
"ACTBL2";-2.06920151251882e-05;0.000103673041832501;1.10348367295498e-08
"ACTG1";-0.000527763727495711;0.00108521773031253;1.44073605421609e-06
"ACTN1";-3.59889958829521e-05;5.20803659199409e-05;3.97188333225025e-09
"ACTR10";-7.71964942514046e-06;1.8509507769717e-05;3.97686945678531e-10
"ACTR1A";0.000151955146355488;0.000155602580898614;4.69839485917234e-08
"ACTR3C";3.8614480814445e-06;1.86009249490843e-05;3.56352632234508e-10
"ACVR1";0.00023678816742993;0.000157357533908063;8.05042219035357e-08
"ACVR1B";9.21157994765588e-06;4.61142111733232e-05;2.18339314474177e-09
"ACVR2A";0.000156468822429122;0.000231501942323163;7.7370468674656e-08
"ACVR2B";-6.07882236823024e-05;3.56921415631282e-05;4.95237488453094e-09
"ACY3";-7.35102711671417e-05;5.48462692215059e-05;8.37229277711726e-09
"ACYP1";0.000108742124882761;8.23452345001243e-05;1.85163671367291e-08
"ACYP2";-2.81555028780277e-05;2.49308703281106e-05;1.40610237058804e-09
"ADA";0.000112629511021265;0.000180918358986266;4.49861823630374e-08
"ADAD2";-1.6412246452238e-05;9.64106148825362e-05;9.44206577640048e-09
"ADAL";1.91084614901299e-05;4.17224232847587e-05;2.08298916047298e-09
"ADAM19";-2.71615787583957e-05;5.10222644770949e-05;3.30676926101427e-09
"ADAM2";-1.41022241375694e-05;9.58542914718639e-05;9.2660225877049e-09
"ADAM32";0;0;0
"ADAM7";1.80231335047088e-06;1.25537155283093e-05;1.58770478379451e-10
"ADAMTS1";-0.000158542798237965;0.00015060096140848;4.75180388505831e-08
"ADAMTS13";0.00100488673885886;0.00143529614093877;3.04276611996769e-06
"ADAMTS16";-1.54546361431158e-05;3.1656352180549e-05;1.22778456125586e-09
"ADAMTS19";3.70184752049015e-06;4.22503237934889e-05;1.77530551123731e-09
"ADAMTS3";-4.11745400469039e-05;0.000117653710668633;1.53556015975134e-08
"ADAMTS4";5.10675634983164e-05;8.32915085136532e-05;9.45408886120717e-09
"ADAMTS5";-0.000134943231693314;0.000268551589195762;8.93806850491472e-08
"ADAMTS7";2.22967632384438e-05;4.18928378342882e-05;2.22906327769737e-09
"ADAMTS8";-2.32588375791563e-05;3.76368042322115e-05;1.93886401844194e-09
"ADAMTS9";-7.35207227017561e-05;6.54508544106159e-05;9.63274503146973e-09
"ADAMTSL1";0.000370731079058423;0.000611073786268849;5.05939400346547e-07
"ADAMTSL2";-4.43353628770375e-05;8.18345707691201e-05;8.57440430897096e-09
"ADAP1";0.000490558161761768;0.000648121593596075;6.55181783839686e-07
"ADARB1";-1.41687020032553e-05;3.68660637106146e-05;1.54197578768905e-09
"ADARB2";-0.000145289842596136;0.000324527556104837;1.25041508103101e-07
"ADAT2";5.73480409351465e-05;6.23240264809014e-05;7.12197307224934e-09
"ADC";0.000217335516790588;0.000296738643022968;1.3412994619723e-07
"ADCK2";-4.1566888129183e-06;7.66398733000585e-05;5.81366310739634e-09
"ADCK4";-3.75086504435021e-06;1.48184290833776e-05;2.30765541705032e-10
"ADCY1";-8.31336449082787e-05;0.000213191925973372;5.17639634093897e-08
"ADCY10";0;0;0
"ADCY2";-5.33718385790828e-05;0.00040371730622364;1.63691641980093e-07
"ADCY5";-2.10156978446227e-06;2.89742692059099e-05;8.32878710048972e-10
"ADCY6";1.35519085662812e-05;1.75062189736175e-05;4.86089458768035e-10
"ADCY9";-0.000125134734070597;0.000154384534648739;3.917967325517e-08
"ADCYAP1";-0.000115080762349413;0.000178626267394101;4.47310918002401e-08
"ADH1C";-3.04448115344633e-06;1.33554785839845e-05;1.85290715698231e-10
"ADIPOQ";1.371933407274e-07;1.19602381591496e-06;1.43047296823578e-12
"ADIPOR1";2.8401542799327e-05;5.38199420958434e-05;3.66512082469772e-09
"ADIPOR2";-1.43498359497332e-05;1.9550263302938e-05;5.83101471271958e-10
"ADK";-0.000621191822055119;0.000393283354870933;5.38515921780135e-07
"ADORA1";-2.2856792710835e-05;4.85656636089821e-05;2.8500221326782e-09
"ADORA3";-0.000119087988077687;7.96154694184864e-05;2.04371689412919e-08
"ADPRH";-1.13068921184395e-05;1.73082501123344e-05;4.23479548145585e-10
