"gene";"mean";"sd";"se"
"A1CF";1.35560623090622e-05;2.10866770396386e-05;6.22925293054607e-10
"A2BP1";-1.90106236608915e-05;8.57455007400287e-05;7.62292568571261e-09
"A2M";-0.000391805369791082;0.000454132308671694;3.57201476221307e-07
"A2ML1";-1.02238695309704e-05;2.43520347471785e-05;6.90227850238442e-10
"A4GALT";-0.000403767876737292;0.000579284324467821;4.94455983296437e-07
"AAAS";-0.00012234572868782;0.000366668700462656;1.47754586858004e-07
"AACS";-9.55091548018837e-06;0.00010765036839814;1.15367526445397e-08
"AADACL2";-4.51680579130578e-06;2.02991928955152e-05;4.27371640442137e-10
"AADACL3";9.38863405661492e-08;8.44977065095343e-07;7.13986240537139e-13
"AADAT";-0.000291689117934439;0.000205771446493401;1.26901690352963e-07
"AAMP";-1.82507435901156e-05;6.49178695424026e-05;4.49539066472735e-09
"AASDHPPT";0.000256421700352374;0.000155591961694578;8.96620721587306e-08
"AATK";-2.81553451043746e-05;6.42261557648069e-05;4.86679662765037e-09
"ABCA2";9.87913823078705e-05;0.000126561980696236;2.55799198926251e-08
"ABCA4";0.000143871745541346;0.000150707774276178;4.31315070439084e-08
"ABCA6";0.000139658755570067;0.000220781650769831;6.76473209127148e-08
"ABCB4";-7.11008767301578e-06;2.62830943425549e-05;7.328259869349e-10
"ABCB5";-3.2478195569317e-06;1.55885681596783e-05;2.50551746460991e-10
"ABCB6";-0.00018293830177245;7.70986414358673e-05;3.93372375751475e-08
"ABCB7";0.000297861689488111;0.00059435909024335;4.37623045970788e-07
"ABCB9";4.20879705449311e-05;3.94028487569337e-05;3.30481404499769e-09
"ABCC12";3.0210021996268e-05;0.000172244080700295;3.02143968722643e-08
"ABCC13";1.8063837124527e-06;1.20017476305292e-05;1.45526672671591e-10
"ABCC2";-4.58066457770245e-05;4.31172581911357e-05;3.93439492467124e-09
"ABCC3";-0.000254844307199131;0.000263370219965123;1.33453149568079e-07
"ABCC6P2";1.94906051285014e-05;5.50101853189756e-05;3.36864466489545e-09
"ABCC8";-3.78972625858646e-06;3.41075363272782e-05;1.1633240343166e-09
"ABCD1";4.81137209215795e-05;5.84944741503572e-05;5.69429162845228e-09
"ABCG1";1.47406399001076e-05;4.45720828017299e-05;2.17943023284663e-09
"ABCG2";0.00013646810591946;8.24385350599429e-05;2.53357533780149e-08
"ABCG4";7.37654166988366e-05;0.00025783453719533;7.10992612150544e-08
"ABHD1";0;0;0
"ABHD11";4.30885478373795e-05;5.49659637474887e-05;4.84058065418129e-09
"ABHD12B";1.4233294874576e-06;7.34130854732812e-06;5.52553099775926e-11
"ABHD13";-0.000177143224406695;0.000144549909059638;5.2016439196805e-08
"ABHD14B";-0.000366477782853234;0.0011771920234963;1.50297861735792e-06
"ABHD15";1.49722932939755e-05;0.000166982968007687;2.77632427562647e-08
"ABHD3";1.3181258744129e-05;1.99078594500399e-05;5.6517557505009e-10
"ABHD5";-6.96466589331056e-05;0.000126891538160387;2.07533360701334e-08
"ABHD6";9.43929604030267e-06;1.53861559848083e-05;3.22911466268673e-10
"ABHD8";-5.53761319359347e-05;0.000109999724911119;1.50170734998125e-08
"ABI1";-1.2933443942329e-05;4.75929694535291e-05;2.4044006303867e-09
"ABI2";-0.000273299493506544;0.000366912212768517;2.07655153278034e-07
"ABL1";-0.000686147418656485;0.000579751210702273;8.02760222164267e-07
"ABL2";-0.000122216276703913;0.000231787023447448;6.79987681566787e-08
"ABLIM1";0.000148611785623179;9.44563924345835e-05;3.0897324625375e-08
"ABLIM3";-9.90906594030739e-07;8.91815934627665e-06;7.95335661255815e-11
"ABO";2.20730996157851e-05;5.05236968788341e-05;3.00835155015881e-09
"ABP1";-2.07508944265138e-06;3.71033231382318e-05;1.3639668237506e-09
"ABRA";0.000333973968888275;0.00102211856739786;1.14336712134629e-06
"ABTB2";-0.000280247450105896;0.000327150104920103;1.8424450109257e-07
"ACAA2";-0.000161277678856957;0.000253052488181087;8.92554889810818e-08
"ACACA";-8.23013783723862e-05;0.000137121702282526;2.53437502023478e-08
"ACACB";2.41485631919659e-05;4.57565908569699e-05;2.65097098754713e-09
"ACAD8";0.000115964283668875;0.000190163039453235;4.91632524439639e-08
"ACADL";9.8057226298623e-05;0.000148457031427868;3.13826173383916e-08
"ACADM";-1.48061727973823e-05;1.85694685235258e-05;5.59790813396033e-10
"ACADSB";6.28842062339521e-06;9.96212540232714e-05;9.84141510126431e-09
"ACAT1";-0.000192461272604539;9.40651423552482e-05;4.57803547921274e-08
"ACAT2";0.00171931219496236;0.00128560555204048;4.58841134763499e-06
"ACBD7";-3.35986583231411e-05;7.41052304193071e-05;6.55265766876811e-09
"ACCN1";2.76623969580408e-06;3.22386162975815e-05;1.03414924825976e-09
"ACCN2";0.000329075043105527;0.000261440181567676;1.75797513415289e-07
"ACE2";0.000166512897481938;0.000236872817408839;8.31425762645723e-08
"ACER1";-1.12216244237975e-05;0.000186550830584395;3.44974926490075e-08
"ACER2";-0.00011339962949331;6.07753669955268e-05;1.65075206442235e-08
"ACER3";-7.59481875008042e-06;5.22649157470741e-06;8.46602488149559e-11
"ACHE";-1.51754149192235e-05;2.76020404238329e-05;9.82760018522595e-10
"ACO1";-0.000106423778822397;0.00020410864847296;5.24720358904023e-08
"ACOT1";-5.9158749580755e-06;1.5788950630321e-05;2.81210872328685e-10
"ACOT11";-1.34674692065236e-06;2.66356952483642e-05;7.02515219973205e-10
"ACOT7";-2.56934828464256e-05;2.38628157675289e-05;1.22255898804379e-09
"ACOT9";0.000886097970177603;0.0012287936476597;2.2764622829048e-06
"ACOX1";9.47612289801909e-05;0.000131091571916028;2.59525302486166e-08
"ACOXL";-7.94211351810659e-06;2.09638018989529e-05;4.97132465957743e-10
"ACP2";-5.55698523465447e-05;4.88428423814512e-05;5.44417960280372e-09
"ACP5";1.14176133383121e-05;3.0697087080828e-05;1.06103957853869e-09
"ACP6";-2.18393575745963e-05;8.72307455881201e-05;7.99221973765067e-09
"ACPT";1.56075023996333e-05;1.62378352503799e-05;5.04006272999972e-10
"ACSBG2";0.000103635815925299;0.000300582549113246;9.99748206945191e-08
"ACSF3";-3.31347292652344e-05;3.81826404977569e-05;2.53782538015292e-09
"ACSL3";6.84134519996911e-05;0.000156522262408947;2.88771595548748e-08
"ACSL4";-0.000998300730663718;0.000780801055369083;1.59872809014295e-06
"ACSL5";-1.99122703187569e-06;8.97208908765858e-06;8.34695604968006e-11
"ACSL6";0.00135304932727708;0.00124820136684082;3.36951448420129e-06
"ACSM3";0.00063124438181956;0.000357461194171952;5.24670462506006e-07
"ACSS2";0.000655842594411751;0.00080356690057326;1.06787742340712e-06
"ACTB";6.15743950414959e-06;3.86816236850725e-06;5.26920169106057e-11
"ACTBL2";1.90185704689673e-07;9.0030790055751e-06;8.00909178423939e-11
