"gene";"mean";"sd";"se"
"A1CF";-2.50038121632914e-05;6.18795749834272e-05;4.37919238753009e-09
"A2BP1";4.56625020192537e-05;9.9203430954249e-05;1.1733417730947e-08
"A2M";4.80974460807211e-05;4.89817529818873e-05;4.66553306966299e-09
"A2ML1";3.55271591262648e-05;9.15680119671454e-05;9.48247395285282e-09
"A4GALT";0.000652299932611319;0.000266333037062904;4.95037639958408e-07
"AAAS";5.14141487613651e-05;5.47985224144283e-05;5.58741278972303e-09
"AACS";-0.00011023112254793;0.000145679849918551;3.29573892725803e-08
"AADACL2";0.000133842204702161;0.000331172811584068;1.25438668242375e-07
"AADACL3";6.67794833516838e-05;0.000194000316071442;4.13576588435996e-08
"AADAT";-2.11749283421217e-05;3.70894414339681e-05;1.79703118429767e-09
"AAMP";0.00036552961830407;0.000326711764028727;2.38259526126894e-07
"AASDHPPT";3.48810290434873e-06;2.81524435574205e-05;7.89186546433821e-10
"AATK";7.74531423344228e-05;0.000199165413474397;4.48880695755427e-08
"ABCA2";8.94557733071794e-06;1.90581868019198e-05;4.36115985325805e-10
"ABCA4";0.000463494014440349;0.000486783792247862;4.47138917495766e-07
"ABCA6";0.000355694531834302;0.000432320585876954;3.09754961715051e-07
"ABCB4";7.703492530629e-06;3.03135044722784e-05;9.60234535787932e-10
"ABCB5";-3.29469203664594e-06;1.55549826956307e-05;2.48068217833368e-10
"ABCB6";3.97970295442161e-05;3.46379153074576e-05;2.76006353784381e-09
"ABCB7";5.87502084816487e-05;0.000217176117383355;4.96922399002732e-08
"ABCB9";0.000249166923672251;0.000221184285397978;1.10047379486621e-07
"ABCC12";-1.04993996204396e-05;4.84411183525837e-05;2.41076871322206e-09
"ABCC13";-0.000277531242372199;0.000260990776934849;1.43804164654476e-07
"ABCC2";0.000258016225481675;0.000308203451243414;1.59699203355292e-07
"ABCC3";-0.000113041398300445;0.000120023906576308;2.69016304256397e-08
"ABCC6P2";8.62752527244541e-05;7.77208975284613e-05;1.33655152254425e-08
"ABCC8";-2.66212664480979e-06;9.91478935546926e-05;9.64464064016776e-09
"ABCD1";0.000688742795799873;0.000275988038117741;5.49042518358461e-07
"ABCG1";-1.43946344679121e-05;3.79991110511018e-05;1.62282554134124e-09
"ABCG2";0.000125108692615403;0.000107709091909311;2.70259579874732e-08
"ABCG4";-2.09665404729651e-05;5.69689861859805e-05;3.62142463024609e-09
"ABHD1";-2.2195614378222e-05;7.45311517501611e-05;5.9386184164557e-09
"ABHD11";-1.4713322762102e-05;0.000123477558009358;1.51642341529317e-08
"ABHD12B";2.04296914220345e-05;0.000105729283528665;1.13768638558004e-08
"ABHD13";0;0;0
"ABHD14B";-1.08754441002234e-06;5.34055851711378e-06;2.91450717405517e-11
"ABHD15";3.34116479107235e-05;6.00621766775674e-05;4.65306867419576e-09
"ABHD3";4.80071445442657e-05;6.23775667016537e-05;6.11935340535211e-09
"ABHD5";-1.44981386708287e-05;2.93153894183262e-05;1.05273725702457e-09
"ABHD6";0.000271848538459144;0.000226448672077564;1.24175158338541e-07
"ABHD8";-1.2249236539236e-05;5.45458944465947e-05;3.06696007126382e-09
