"gene";"mean";"sd";"se"
"A1CF";0.00134286216268943;0.00113931459604614;3.07369871230493e-06
"A2BP1";2.04288035871285e-05;5.23059109000387e-05;3.09503351586973e-09
"A2M";0.000153585108931118;0.000208308256752327;6.60574744563386e-08
"A2ML1";-4.12593384400021e-05;6.85821281582913e-05;6.3057666664882e-09
"A4GALT";0.0001084948699869;9.6494055480005e-05;2.0884130987453e-08
"AAAS";0.00042547015724344;0.000321742929107256;2.823408455942e-07
"AACS";-8.4952811598338e-05;8.75423814022033e-05;1.47175919625514e-08
"AADACL2";7.62366066931628e-06;3.67467807415116e-05;1.379715758677e-09
"AADACL3";1.90066151245151e-06;5.7043776443667e-06;3.54600996793682e-11
"AADAT";-1.09524937787463e-05;1.56658126953694e-05;3.60153154456332e-10
"AAMP";2.25506448147093e-05;3.51712661233747e-05;1.71923001120125e-09
"AASDHPPT";7.55064586277499e-06;3.12590780751964e-05;1.01335221586241e-09
"AATK";0.000521514296136727;0.000498472996106276;5.15165779819022e-07
"ABCA2";2.06506086895317e-06;1.0749002536399e-05;1.17347211589622e-10
"ABCA4";8.9687498456978e-06;8.59251931704335e-05;7.30648923514174e-09
"ABCA6";-0.000341324265499169;0.000331047035976385;2.23762646587111e-07
"ABCB4";4.08220410123029e-05;5.42959993446992e-05;4.55176999118931e-09
"ABCB5";-5.45686382738765e-05;5.74190717510082e-05;6.2045382157116e-09
"ABCB6";2.1132298591163e-05;5.18747698027406e-05;3.08031064238473e-09
"ABCB7";4.15977529257958e-06;6.46052635998543e-06;5.81540802509483e-11
"ABCB9";-0.000932016901997751;0.000586201170700754;1.20497600298019e-06
"ABCC12";1.39291810902811e-06;9.54936544214046e-06;9.11903803475465e-11
"ABCC13";-3.23497999963435e-06;5.52042248979321e-06;4.02917544369167e-11
"ABCC2";5.23756325429618e-06;4.02400840122867e-05;1.61224399693916e-09
"ABCC3";1.03528712916495e-05;3.5449717502427e-05;1.33712649006841e-09
"ABCC6P2";0.000134239340791928;0.000362238237547582;1.46444900065456e-07
"ABCC8";6.85787649749132e-05;6.20930555271469e-05;8.4765616236988e-09
"ABCD1";-4.77802008242977e-05;4.29420662625912e-05;4.08773415518119e-09
"ABCG1";1.60403226554836e-05;5.7617670732423e-05;3.50645397448725e-09
"ABCG2";0.000218380578481719;0.000257221933746233;1.12445474232627e-07
"ABCG4";1.34721190131423e-05;1.7172785917792e-05;4.70128001431984e-10
"ABHD1";1.57196210171151e-05;3.8127946784429e-05;1.66991616568402e-09
"ABHD11";-0.00115022838778276;0.000713669352672357;1.82151260932545e-06
"ABHD12B";-1.41466994085982e-05;4.02780345721089e-05;1.7879317248728e-09
"ABHD13";-2.24382524229518e-05;9.48948413642374e-05;9.31690968683895e-09
"ABHD14B";9.40629972706667e-05;0.000246946020167968;6.85326878030461e-08
"ABHD15";3.00796524075425e-06;9.6902852213699e-06;1.00951575589352e-10
"ABHD3";8.71963322621809e-05;0.000211576221094826;5.141526157928e-08
"ABHD5";8.40906896585242e-05;0.000158014545197817;3.15085938474026e-08
"ABHD6";7.40057134368887e-06;1.96038139969749e-05;4.30901181074465e-10
"ABHD8";0.000166386813680446;0.000142492489939112;4.755667912197e-08
"ABI1";-1.01946497984243e-05;3.88099476107885e-05;1.578095853521e-09
"ABI2";-1.14468699311674e-05;7.76618217634086e-05;6.03406261296843e-09
"ABL1";2.04224718854502e-06;2.60114095510316e-05;6.66368595584416e-10
"ABL2";-8.72329215518594e-05;7.54184751752315e-05;1.31765088641074e-08
"ABLIM1";3.13965391563865e-05;5.76231749485568e-05;4.23552550914726e-09
"ABLIM3";-0.000506895965880324;0.000290192220642703;3.39363310574491e-07
"ABO";-0.000351746046086582;0.00020970541947462;1.66765976597612e-07
"ABP1";-0.000162987083370669;0.000192730234548591;6.29194147120843e-08
"ABRA";1.88970122197229e-05;4.66155242804195e-05;2.48386998106992e-09
"ABTB2";-0.000800215008197261;0.000806754294519306;1.27734862571363e-06
"ACAA2";-0.000209181846067864;0.000245296473466121;1.02647184195979e-07
"ACACA";-3.29241171493025e-05;4.26370706556315e-05;2.86323813959913e-09
"ACACB";0.000191962672293985;0.000171394864416188;6.5600841580188e-08
