"gene";"mean";"sd";"se"
"A1CF";-6.59859051812863e-06;2.6818646050356e-05;7.55289091800479e-10
"A2BP1";2.34520961204116e-05;6.45851803411191e-05;4.67779585797241e-09
"A2M";-9.974904465887e-07;6.8874775637553e-06;4.79381953490264e-11
"A2ML1";0.000864073325931447;0.000892377098107417;1.53466442192507e-06
"A4GALT";0;0;0
"AAAS";7.10871624051863e-05;0.000105988414580998;1.61699126006169e-08
"AACS";1.25754719611584e-06;1.92669960361769e-05;3.68931716039159e-10
"AADACL2";1.08429951443864e-05;5.55861373749636e-05;3.17520360084172e-09
"AADACL3";1.76066660096304e-06;9.85880306811875e-06;9.92834865038617e-11
"AADAT";4.27435267243333e-05;6.87337742850693e-05;6.50212901547683e-09
"AAMP";7.57741188296459e-07;6.70748014621762e-06;4.50958127670955e-11
"AASDHPPT";-9.65657336802807e-07;1.83096496456995e-05;3.32683646843007e-10
"AATK";-6.22967118114418e-06;2.62017424496062e-05;7.18188742635303e-10
"ABCA2";-0.000113646257724496;7.44266239527121e-05;1.83970929732707e-08
"ABCA4";4.52316512149567e-06;1.42400625193903e-05;2.21126118058332e-10
"ABCA6";-7.17469284305823e-06;1.53704026853988e-05;2.8526456611697e-10
"ABCB4";-0.000891628952127333;0.000553343391937028;1.09800162986581e-06
"ABCB5";-6.0970603665345e-05;6.01355944579515e-05;7.29603454753601e-09
"ABCB6";2.28207610733384e-06;2.00119096314947e-05;4.0151276796816e-10
"ABCB7";-7.91197912814248e-06;0.00016909553244499;2.83580516410283e-08
"ABCB9";-1.30788100820521e-06;2.02904289729538e-05;4.09123503264079e-10
"ABCC12";4.35861152937971e-05;0.000134528995661783;1.98092787589872e-08
"ABCC13";-2.22944018467344e-05;9.1647025732221e-05;8.80872624879144e-09
"ABCC2";-7.73231008447915e-05;6.99348711532422e-05;1.08188013961908e-08
"ABCC3";-3.91805169241664e-05;8.51228982694375e-05;8.70554250988193e-09
"ABCC6P2";6.04865105051505e-05;0.000132246696685352;2.0965627687442e-08
"ABCC8";0.000160953880714991;0.00016954620315768;5.43526301077637e-08
"ABCD1";-2.36450877361659e-05;5.44216705943508e-05;3.4899571727656e-09
"ABCG1";-9.35423084939604e-05;0.000109593335485527;2.06357512114012e-08
"ABCG2";0.000166806987442824;0.000189993067366516;6.3545922481595e-08
"ABCG4";-2.86678160120237e-05;3.85481378119076e-05;2.29232386482375e-09
"ABHD1";-1.82572123493518e-05;2.67779331970962e-05;1.04291415797009e-09
"ABHD11";3.5708173566409e-05;4.66860798241606e-05;3.43195964578264e-09
"ABHD12B";-3.45308346449737e-06;2.64974858225732e-05;7.06726824133197e-10
"ABHD13";-4.05752268172142e-07;1.542885485264e-06;2.52033369438352e-12
"ABHD14B";1.12427594768117e-05;5.39707277401176e-05;3.00889701581803e-09
"ABHD15";-9.88533732787164e-06;0.000114939328567576;1.31711540492806e-08
"ABHD3";-5.46598537489891e-05;4.20873069864206e-05;4.74058954821582e-09
"ABHD5";1.04334579069237e-05;2.81561874583198e-05;8.93369905956637e-10
"ABHD6";-1.63722063383035e-05;2.86275916134429e-05;1.0790512773702e-09
"ABHD8";5.68550678293917e-06;3.78949778930771e-05;1.45339569783818e-09
"ABI1";0.00012906188269398;0.000110553396073276;2.87517098917729e-08
"ABI2";4.94331769874193e-05;7.21205492539509e-05;7.59083163650388e-09
"ABL1";3.23531657305994e-05;3.93956405748897e-05;2.58257699059434e-09
"ABL2";-0.000336522118143014;0.000469875967042591;3.31730733066126e-07
"ABLIM1";0.000238543785418242;0.000348225289452183;1.76900855898491e-07
"ABLIM3";-3.99165445234886e-05;5.5567631494489e-05;4.64892801254144e-09
"ABO";2.64899811648969e-06;8.67474235659915e-06;8.14844797771103e-11
"ABP1";3.09741583747828e-05;4.08901283477557e-05;2.61398438961065e-09
"ABRA";-4.8320944502217e-06;1.36047003643005e-05;2.06509010111571e-10
"ABTB2";-0.000132764173653244;0.000105093579529826;2.8555937717779e-08
"ACAA2";-0.000329976760265064;0.000424557938203292;2.87256506843005e-07
"ACACA";0.000133367799624197;0.000116502062985014;3.12183180451164e-08
"ACACB";-2.06557297334174e-05;4.08100916172841e-05;2.07477416969557e-09
"ACAD8";-8.28575722078816e-05;8.8829298992851e-05;1.46738274196669e-08
