"gene";"mean";"sd";"se"
"A1CF";0;0;0
"A2BP1";-2.56628565277958e-05;4.55665054158801e-05;2.70244633323454e-09
"A2M";-9.28330879156145e-06;4.81153854759841e-05;2.3650968553798e-09
"A2ML1";3.73873609896616e-06;4.11537700521498e-05;1.68114792478692e-09
"A4GALT";-0.000234857377950561;0.000225833525716112;1.05361882106786e-07
"AAAS";0.000598762503233515;0.000499261151836227;6.03883518984225e-07
"AACS";1.02114658131758e-05;2.08143147913559e-05;5.30740426471165e-10
"AADACL2";0.000210501488579552;0.000385939887872026;1.90933136290963e-07
"AADACL3";5.45820143915167e-06;3.2418431229383e-05;1.06432547939687e-09
"AADAT";3.08689948327586e-05;5.01510684303736e-05;3.42872560568183e-09
"AAMP";-6.14996185375506e-05;5.75719140449225e-05;7.04493890945399e-09
"AASDHPPT";-0.000124503240447743;0.000140949830078557;3.50574918780506e-08
"AATK";1.45268515972007e-05;4.69150869656492e-05;2.37766378068098e-09
"ABCA2";-1.02261152932787e-06;5.75329571434509e-06;3.36289519857299e-11
"ABCA4";0.000512141566116626;0.000623851962470217;6.45399141211739e-07
"ABCA6";6.4990945421086e-07;1.91548217240742e-05;3.61596652653472e-10
"ABCB4";-0.000106968763935839;0.000153925026217753;3.47650283775949e-08
"ABCB5";1.6619805680065e-05;2.30896726973596e-05;8.01020723219454e-10
"ABCB6";-5.99927561323581e-06;2.46872848581231e-05;6.35930497273645e-10
"ABCB7";1.81538815321406e-06;0.000207429894364467;4.23581573183872e-08
"ABCB9";-3.80006329018705e-05;5.96795323748221e-05;4.9500439575377e-09
"ABCC12";1.14443380329161e-05;2.4784433818784e-05;7.35643092733747e-10
"ABCC13";2.67414839488084e-06;1.56598991531921e-05;2.48551754227737e-10
"ABCC2";-0.000854211370953611;0.000438989903698605;9.193780746978e-07
"ABCC3";-0.000119305065690178;0.000129264378433432;3.06818957384351e-08
"ABCC6P2";-1.07455612013843e-05;2.67987772873059e-05;8.2242007362584e-10
"ABCC8";3.83578060483983e-05;8.33841291065531e-05;8.31559500628519e-09
"ABCD1";0.000342645513108366;0.000324640884666348;2.21150906275292e-07
"ABCG1";8.63069405438689e-05;0.00012761807524781;2.34807865358431e-08
"ABCG2";0.000171344538973014;0.000192135082601233;6.56980302213356e-08
"ABCG4";-7.28926251339704e-05;0.000150000886500219;2.74620340942912e-08
"ABHD1";1.49640143592049e-05;4.47818359779333e-05;2.19799998377273e-09
"ABHD11";0.000649897238793828;0.000413607102945534;5.90764274792479e-07
