"gene";"mean";"sd";"se"
"A1CF";2.8327529024829e-06;2.15580664196151e-05;4.69357435672648e-10
"A2BP1";-2.67938095732434e-05;0.000100591197778776;1.07620959117912e-08
"A2M";9.2220871890745e-06;2.14008545406931e-05;5.39675845319267e-10
"A2ML1";5.08281387847085e-06;2.41179261554841e-05;6.03232341596606e-10
"A4GALT";-0.0001476495785221;0.000223832368215923;7.15329379146291e-08
"AAAS";-7.93042292564427e-05;6.20864546051614e-05;1.01155450362984e-08
"AACS";-1.44021773526104e-05;7.88406328065913e-05;6.37756334838875e-09
"AADACL2";2.43504669864017e-05;8.58729626924933e-05;7.91288915726582e-09
"AADACL3";5.75507341284705e-05;0.000212553542657371;4.81588969030411e-08
"AADAT";-0.000137109738264995;0.000294408678569746;1.04838223358859e-07
"AAMP";0.000121068567680421;0.000159786357325829;4.00015451265619e-08
"AASDHPPT";3.02847687692253e-05;6.13694281537803e-05;4.65568123491625e-09
"AATK";-5.52052530986201e-06;2.08537175721094e-05;4.62156107328712e-10
"ABCA2";-1.72696752378605e-05;4.5466312692193e-05;2.35022737860262e-09
"ABCA4";0;0;0
"ABCA6";2.74243932140246e-05;8.54848666135053e-05;8.00602695117499e-09
"ABCB4";5.99346564223549e-06;1.55701414501553e-05;2.76568366765016e-10
"ABCB5";2.11258712759765e-06;3.20238229978321e-06;1.46428704980534e-11
"ABCB6";-0.000363374807658217;0.000330238400212369;2.40296759161244e-07
"ABCB7";3.90594606597073e-05;0.000144177236555924;2.21598708642471e-08
"ABCB9";-0.000291562070510422;0.000359048667913167;2.1297647552341e-07
"ABCC12";-1.24288300238542e-06;2.26634530573761e-05;5.11400155990893e-10
"ABCC13";-9.53793351498388e-07;5.61751460595091e-06;3.22341592352279e-11
"ABCC2";0.000318412626446184;0.000363796647519205;2.3276145436226e-07
"ABCC3";-6.23703198051428e-05;5.70812606381451e-05;7.12436923866477e-09
"ABCC6P2";-3.55500084272281e-09;1.45651936148121e-07;2.10711356633373e-14
"ABCC8";4.10850062063169e-06;2.28530984533727e-05;5.35303708997809e-10
"ABCD1";-4.4874802877678e-06;2.80611389067928e-05;8.01775087868053e-10
"ABCG1";0.000833593955445681;0.000540014675635565;9.84350498266906e-07
"ABCG2";-6.0327279956446e-05;8.81521132175154e-05;1.13530375726518e-08
"ABCG4";1.20013019353207e-05;4.37230385408209e-05;2.04167869959629e-09
"ABHD1";1.78880455225035e-05;4.75416230001311e-05;2.56356892894377e-09
"ABHD11";-6.40047500957912e-05;8.21291461810472e-05;1.07922076530435e-08
"ABHD12B";-3.68803692867219e-06;2.72420539096551e-05;7.50274283036035e-10
"ABHD13";-1.97470750914308e-05;4.72527412136869e-05;2.60635072134334e-09
"ABHD14B";0;0;0
"ABHD15";-1.95367920060857e-05;9.32965806331584e-05;9.0219363470973e-09
"ABHD3";-0.000128281093061105;0.000231695206345817;6.974398197585e-08
"ABHD5";4.31689193114834e-05;0.000181699683093988;3.46355747336502e-08
"ABHD6";-2.40096774499536e-05;7.33100540632373e-05;5.91131125545591e-09
"ABHD8";-0.00192880535110705;0.00254201189600889;1.01346011466198e-05
"ABI1";-5.4713910757515e-05;6.26747575175691e-05;6.89285398651824e-09
"ABI2";8.71861975152148e-07;7.18491211764831e-06;5.20035248380874e-11
"ABL1";-6.62566445438568e-06;4.41495500261239e-05;1.97874997073964e-09
"ABL2";0.000888431927115208;0.000730353536321095;1.31880539854601e-06
