"gene";"mean";"sd";"se"
"A1CF";-3.54771237029959e-06;9.94262330798545e-06;1.11326535607989e-10
"A2BP1";1.48754294926256e-06;1.00095031569479e-05;1.02285892903065e-10
"A2M";-0.00043283700075369;0.000638825589162391;5.94969252434321e-07
"A2ML1";0.000884578859250362;0.0013445488479726;2.58817943337251e-06
"A4GALT";2.18769191378925e-05;0.000100559491607811;1.0578997612368e-08
"AAAS";-4.89577353591196e-06;1.44266633624702e-05;2.31854073382698e-10
"AACS";0;0;0
"AADACL2";4.54268951598426e-06;2.63106218127251e-05;7.12076146318156e-10
"AADACL3";-1.74353816800281e-07;1.39734178499442e-05;1.95058702384056e-10
"AADAT";0;0;0
"AAMP";-5.63696994190947e-06;4.5768949426288e-05;2.12412496926865e-09
"AASDHPPT";-0.000723996166110304;0.000555986181692939;8.32929960539658e-07
"AATK";-1.40456195482206e-06;1.59476336265307e-06;4.51309335776739e-12
"ABCA2";-0.00110907650808585;0.00291132824717812;9.69598119051775e-06
"ABCA4";0;0;0
"ABCA6";7.15447662173107e-06;2.11416987018778e-05;4.97635796853372e-10
"ABCB4";-3.70266815020494e-05;0.000605071423769546;3.67054702739365e-07
"ABCB5";1.83873320302219e-06;1.46275457704944e-05;2.1709607583636e-10
"ABCB6";0;0;0
"ABCB7";0;0;0
"ABCB9";5.66634534359636e-07;6.57300489249026e-06;4.34749955901309e-11
"ABCC12";-9.53421581984075e-07;5.72865396573538e-06;3.36881507989287e-11
"ABCC13";-2.00636205695387e-07;1.74959477743526e-06;3.09776074202483e-12
"ABCC2";-1.20379690553739e-05;4.66843121725192e-05;2.32179164475285e-09
"ABCC3";-3.24920559226584e-06;8.67028669992304e-06;8.56433884963809e-11
"ABCC6P2";-3.56227713268346e-05;0.000182937159100832;3.46958902176117e-08
"ABCC8";-1.3180901075069e-05;0.000100134220147848;1.01888845738846e-08
"ABCD1";1.64163831424513e-06;8.56145644910897e-06;7.59078837533269e-11
"ABCG1";-1.91793784633753e-05;6.2435690309044e-05;4.26150999262649e-09
"ABCG2";-1.41807126380396e-06;9.07273223826719e-06;8.42292346121885e-11
"ABCG4";7.36740099787695e-06;2.59199607810331e-05;7.25338099439222e-10
"ABHD1";8.29294037126974e-06;3.26088801387782e-05;1.13086970537404e-09
"ABHD11";-2.09446046228758e-06;6.44659512740745e-06;4.58968036116023e-11
"ABHD12B";1.69408485202393e-08;6.50046748423777e-07;4.22354121719565e-13
"ABHD13";1.15870532048918e-05;2.82217441321631e-05;9.29796191916211e-10
"ABHD14B";-6.9585235292527e-06;1.42184176235525e-05;2.50348277228981e-10
"ABHD15";2.2129057658618e-05;5.8785238529974e-05;3.94136242418692e-09
"ABHD3";7.4896976313951e-06;7.70426647720868e-06;1.15381951764894e-10
"ABHD5";-2.99783386289828e-05;0.000156647024910879;2.54083249732649e-08
"ABHD6";-1.37263044785522e-06;1.97792743076122e-05;3.92646774131521e-10
"ABHD8";-5.52184270280813e-05;0.000134885883440363;2.12220213265881e-08
"ABI1";-1.326545763286e-05;1.74697802250102e-05;4.80809053182551e-10
"ABI2";-0.000141925624335065;0.00024928458691753;8.22130913824076e-08
"ABL1";1.23375210185472e-06;9.78391607082671e-06;9.71353296428016e-11
"ABL2";5.36952725297676e-05;0.000121643812435518;1.76631129273141e-08
"ABLIM1";-3.23265952888658e-05;4.10837801207042e-05;2.7309139330641e-09
"ABLIM3";1.20066920218441e-05;1.58821329101203e-05;3.96108123678197e-10
"ABO";-1.09469983711284e-05;6.66840695813358e-05;4.56140709018189e-09
"ABP1";-3.14382918254179e-07;1.74780717036456e-06;3.15009779754352e-12
"ABRA";2.01787705025808e-05;0.00015518803568781;2.44623744725098e-08
"ABTB2";-6.36015555694969e-06;1.66866629153965e-05;3.18571012073689e-10
"ACAA2";0;0;0
"ACACA";1.41237370221711e-07;9.85635184712863e-07;9.90289809383926e-13
"ACACB";5.12773060633441e-07;4.65986144153657e-06;2.19518776830233e-11
"ACAD8";2.72543780688544e-06;3.86030801381184e-06;2.23125803479417e-11
"ACADL";-4.32989865182091e-07;6.60312771625046e-06;4.37378397674314e-11
"ACADM";-1.90308547440119e-07;6.72722536240507e-06;4.52389097736972e-11
"ACADSB";0;0;0
"ACAT1";-1.15480298400442e-05;2.54779411373137e-05;7.81724153618727e-10
"ACAT2";1.42264541929707e-06;4.49406512031129e-06;2.21969471108773e-11
"ACBD7";-0.000206256390846297;0.000483790131237804;2.76321163573402e-07
"ACCN1";3.35678613990543e-06;1.31578351075949e-05;1.84194384841459e-10
"ACCN2";2.0691062552709e-05;0.000210060927549432;4.4502164762204e-08
"ACE2";0.000179143871660233;0.000569140617268023;3.55635156545139e-07
"ACER1";9.5252864303006e-06;0.000106522187378281;1.14244516718769e-08
"ACER2";5.16680282102409e-06;1.75270143395607e-05;3.33533208948104e-10
"ACER3";-3.19729952845345e-05;6.42068297190764e-05;5.13997338552698e-09
"ACHE";9.49360827001998e-07;3.54628170947969e-06;1.34627082209167e-11
"ACO1";-0.00015345816677924;0.000255332329862064;8.86678457096974e-08
"ACOT1";-2.72435881403803e-05;0.000116943036415518;1.44019106064442e-08
"ACOT11";1.99520957594505e-05;3.77138966513535e-05;1.81876251600944e-09
"ACOT7";0;0;0
"ACOT9";0;0;0
"ACOX1";4.48227904259903e-05;3.65547208211667e-05;3.34376911895307e-09
"ACOXL";4.49442258159589e-07;4.50508581650661e-06;2.0474086512866e-11
"ACP2";-3.48091754480039e-05;1.81955757792367e-05;1.54237089880093e-09
"ACP5";-5.55331443207034e-06;1.8630593672059e-05;3.77532832244791e-10
"ACP6";3.12573955947127e-05;3.82348355726599e-05;2.43721960043262e-09
"ACPT";1.3341378476736e-06;1.44235632370482e-05;2.09576063828633e-10
"ACSBG2";1.50286853253411e-07;3.12713653885094e-06;9.7901450253954e-12
"ACSF3";0;0;0
"ACSL3";0;0;0
"ACSL4";-2.92283588557051e-07;7.02347777208319e-07;5.78145820120855e-13
"ACSL5";-9.78289839011682e-05;0.000124521805692042;2.50580760716838e-08
