"gene";"mean";"sd";"se"
"A1CF";-1.3850504407789e-06;1.30205756048245e-05;1.70816402717682e-10
"A2BP1";-0.00015514414343805;0.000354137574527845;1.49011647906672e-07
"A2M";-7.45117187733818e-07;1.54311876125479e-05;2.37781556955853e-10
"A2ML1";-3.03483450776318e-05;5.38091355566048e-05;3.8055600691672e-09
"A4GALT";7.1379920046477e-05;0.000201238838658087;4.54399185455434e-08
"AAAS";-0.000230805704630586;0.000487598833209153;2.90130088586772e-07
"AACS";-1.907113122012e-05;5.67341680641485e-05;3.57037324854033e-09
"AADACL2";2.53537888857e-06;1.05441526646505e-05;1.1718933477438e-10
"AADACL3";6.38443424001806e-05;0.000247856381392789;6.52779355310938e-08
"AADAT";-0.0006549432026938;0.000729233958605986;9.58733584062336e-07
"AAMP";-2.88368679458732e-05;1.91461260975728e-05;1.19676099918413e-09
"AASDHPPT";2.54839153884623e-06;1.7727288883935e-05;3.19569654176761e-10
"AATK";0.000396094086231437;0.000603986952658029;5.20319334658795e-07
"ABCA2";-0.00139155781959169;0.000579314423727746;2.27077669311579e-06
"ABCA4";-2.45599020090863e-06;3.29734987290631e-05;1.0891960942031e-09
"ABCA6";1.01072545631738e-05;1.53349405768338e-05;3.36432935636306e-10
"ABCB4";-1.21107414708205e-05;2.07085058836017e-05;5.73900086122524e-10
"ABCB5";-7.696816495934e-05;0.000302403413357213;9.70281340137297e-08
"ABCB6";8.76315213817835e-05;0.000116625602353607;2.12296810883722e-08
"ABCB7";4.6855332778284e-05;4.95009550180989e-05;4.63655493585967e-09
"ABCB9";0.00109280632688621;0.00128435950471388;2.83760357935117e-06
"ABCC12";-6.82132668809805e-06;2.40252201132627e-05;6.21571732353582e-10
"ABCC13";1.39013472952977e-06;2.00408165686843e-05;4.02056899814393e-10
"ABCC2";-3.74575682651951e-05;0.00011225623587359;1.39571579937042e-08
"ABCC3";-5.40776547936752e-05;9.6773144501304e-05;1.22542273217344e-08
"ABCC6P2";-4.53227204527744e-05;0.000126787433684964;1.80687697983044e-08
"ABCC8";-8.44539632912552e-07;1.7598856240286e-05;3.09268628229368e-10
"ABCD1";0.000180289952459182;0.000266193691803752;1.03097160989198e-07
"ABCG1";8.0698664770824e-05;0.000116564966196864;2.00485854216817e-08
"ABCG2";9.701154676431e-05;0.000168245560961336;3.76113933166813e-08
"ABCG4";-1.01417399779714e-05;1.23176708283356e-05;2.54009509624152e-10
"ABHD1";0;0;0
"ABHD11";6.26653241445621e-06;2.16321015089252e-05;5.05458041879241e-10
"ABHD12B";-0.000441177969152959;0.000740267951937117;7.40574503384242e-07
"ABHD13";1.7947144306249e-05;2.72645207507498e-05;1.06265951626263e-09
"ABHD14B";-8.59222318148002e-06;7.83675676351261e-06;1.35010173227325e-10
"ABHD15";6.40329252982337e-06;3.2498018864647e-05;1.09315300478506e-09
"ABHD3";3.46619974341605e-06;1.28005754622393e-05;1.75253277592039e-10
"ABHD5";8.75087796783965e-06;1.99933585214298e-05;4.74809489328713e-10
"ABHD6";-7.99289143650044e-05;0.000151623098464284;2.92917684071929e-08
"ABHD8";0.000250861506654583;0.000234229580495146;1.17588738154154e-07
"ABI1";5.59634315265838e-06;1.26604068904472e-05;1.91002380732666e-10
"ABI2";0.000462748615219159;0.000170750489024279;2.43182402383633e-07
"ABL1";-3.83498487619116e-05;6.61633846083017e-05;5.83184724460625e-09
"ABL2";-8.53392070198292e-05;0.000233953495689245;6.18112505874148e-08
"ABLIM1";3.55049917011579e-05;2.86732936305966e-05;2.07967138465042e-09
"ABLIM3";-5.33368862512084e-05;0.000172595431839468;3.25220171167069e-08
"ABO";0.000478099355086011;0.000790056811668637;8.50422180931266e-07
"ABP1";-1.08590291201759e-06;4.78706635207782e-06;2.40090390015721e-11
"ABRA";-1.01593882294116e-05;4.35688138397799e-05;1.99431846221256e-09
"ABTB2";0;0;0
"ACAA2";0.000196523006315654;0.000200659627663244;7.87342086883999e-08
"ACACA";1.12148476736874e-05;5.1952018467724e-05;2.81463836872275e-09
"ACACB";8.01527024730522e-06;9.66889835691327e-06;1.57380695447956e-10
"ACAD8";3.66075427234767e-05;3.43141985698754e-05;2.51314985051284e-09
"ACADL";0;0;0
"ACADM";-4.62437248286802e-05;0.000108904405372275;1.39540644921004e-08
"ACADSB";0.00135910983069956;0.00218947496093264;6.62295832967114e-06
"ACAT1";8.10664597876885e-06;3.31824454477115e-05;1.16265301639706e-09
"ACAT2";0.000260549849602157;0.000181780776298655;1.00806248253314e-07
"ACBD7";2.14921195314007e-05;4.86136876368192e-05;2.81631727637799e-09
"ACCN1";-3.48513229109623e-06;2.90539246057533e-05;8.5310325901934e-10
