"gene";"mean";"sd";"se"
"A1CF";5.19595041080855e-05;0.000162261467206073;2.89839487498394e-08
"A2BP1";0;0;0
"A2M";0.00152246013425253;0.000863974078727554;3.06307089756117e-06
"A2ML1";0.0015735119851443;0.00265427028662169;9.50914978835341e-06
"A4GALT";0;0;0
"AAAS";1.05088095875766e-05;5.29931783744509e-05;2.91395224172647e-09
"AACS";0;0;0
"AADACL2";-8.64448122014681e-08;1.55683473100614e-06;2.42709906085118e-12
"AADACL3";-1.9278170913517e-06;1.08466150900817e-05;1.21166132465499e-10
"AADAT";-1.36473310707157e-05;2.5610319388941e-05;8.41026429202706e-10
"AAMP";-4.31092799851309e-06;2.72486449158706e-05;7.59814294621006e-10
"AASDHPPT";0.000152699986644005;0.000105058448050081;3.43358561777596e-08
"AATK";-9.49676640762553e-06;8.00515502561294e-05;6.48757782874891e-09
"ABCA2";8.35800476178826e-06;1.54962085494201e-05;3.09581718802809e-10
"ABCA4";2.98902256127647e-05;0.000232364370626501;5.47951124242782e-08
"ABCA6";0.00016925343551669;0.00022467671465498;7.90407928540387e-08
"ABCB4";-1.15974449069114e-05;3.8211110402852e-05;1.59211495953996e-09
"ABCB5";7.49209562563584e-06;4.6502547641884e-05;2.21495320195244e-09
"ABCB6";-0.00243620678195663;0.00148853543843509;8.14708574821427e-06
"ABCB7";-1.57762859606921e-05;8.17987863173271e-05;6.92859189349282e-09
"ABCB9";-0.000422338133114696;0.00026567106195042;2.48830982835318e-07
"ABCC12";6.39335825526027e-06;2.48299768730528e-05;6.56357819005734e-10
"ABCC13";0.0013127857122309;0.00226408447880545;6.84079658471525e-06
"ABCC2";0;0;0
"ABCC3";8.53267780320319e-06;1.29131868029117e-05;2.39274356114734e-10
"ABCC6P2";1.97491294389625e-07;1.31278218375006e-05;1.72086607811574e-10
"ABCC8";-3.18431193400288e-08;3.48159019990389e-07;1.22023238800479e-13
"ABCD1";-1.49731073524133e-06;1.18204999316428e-05;1.41729337362287e-10
"ABCG1";1.24881990559904e-05;9.20815095700751e-06;2.40601447770015e-10
"ABCG2";0.000162948012284198;0.000134381480063926;4.45798294641119e-08
"ABCG4";1.60264017766179e-05;4.73975981636505e-05;2.49957018370426e-09
"ABHD1";1.06124127879406e-06;5.08335241057344e-06;2.69229073721873e-11
"ABHD11";6.62172960923458e-07;3.62687354710538e-06;1.35703894827579e-11
"ABHD12B";7.153989356229e-06;6.74295914632508e-05;4.59022301300842e-09
"ABHD13";-4.65267973599496e-05;8.95115881457819e-05;1.01634870740855e-08
"ABHD14B";-2.82724612364992e-06;1.37204362478845e-05;1.95924623050818e-10
"ABHD15";1.73204624817062e-05;9.59217895944056e-05;9.48539324174481e-09
"ABHD3";3.50409386763061e-05;7.9118267019213e-05;7.47695789812467e-09
"ABHD5";-1.20146188764185e-06;5.74776482741771e-06;3.44243166016183e-11
"ABHD6";3.50153539811827e-06;9.24336578786152e-06;9.75557479933515e-11
"ABHD8";-9.81049441782567e-06;3.80613324959974e-05;1.54245546763311e-09
"ABI1";0;0;0
"ABI2";-0.00119671619722019;0.00163514651099771;4.10130206723167e-06
"ABL1";-8.47109176772196e-07;4.05955741455212e-06;1.7169668145176e-11
"ABL2";-1.85791959217029e-05;4.20798492596466e-05;2.11289902512734e-09
"ABLIM1";8.46833281265755e-07;5.6436398731811e-06;3.25138134362525e-11
"ABLIM3";6.37860727745082e-05;4.88935458546882e-05;6.45519007772029e-09
"ABO";-2.1937050301507e-06;1.66898911608874e-05;2.82892685896215e-10
"ABP1";5.29744468815265e-06;1.04575544936691e-05;1.37238009523979e-10
"ABRA";3.82730016385021e-06;4.4365483165532e-05;1.97960822797648e-09
"ABTB2";1.23133058121735e-05;3.2054600334908e-05;1.17737338163338e-09
"ACAA2";-2.55191702275217e-05;3.01884253762426e-05;1.56102442999024e-09
"ACACA";6.20079349850499e-05;7.04112150999224e-05;8.79432026514103e-09
"ACACB";2.88786897043345e-05;7.74358339268659e-05;6.82012386045288e-09
"ACAD8";0.000180290306418262;7.96176211173899e-05;3.88328161713044e-08
"ACADL";8.0575600146471e-06;0.000114229449552815;1.30911755420116e-08
"ACADM";-3.85128663663595e-06;2.55275707818867e-05;6.65384775612232e-10
"ACADSB";0;0;0
"ACAT1";-3.52611876629663e-07;3.26978634446019e-06;1.07977166828765e-11
"ACAT2";0.00507061021705021;0.00887265523608859;0.00010430166838473
"ACBD7";1.24241375010368e-05;2.17176583138606e-05;6.25216457176105e-10
"ACCN1";4.90580005449578e-07;7.1249648466964e-06;5.09197502252425e-11
"ACCN2";4.97517219448212e-07;4.08764015069964e-06;1.69280053818667e-11
"ACE2";0.00478261151910203;0.0111629294386135;0.000147273161520126
"ACER1";3.18600228780924e-06;1.09966651344539e-05;1.30872294243546e-10
"ACER2";0.000101796975963964;0.000466919791293814;2.28007200407942e-07
"ACER3";-3.66357473049912e-05;2.13782663190556e-05;1.79843362382600e-09
"ACHE";-2.65401575719491e-05;0.000127877851879652;1.70294084483467e-08
"ACO1";-2.20921212257633e-05;2.63040135332985e-05;1.17879023443757e-09
"ACOT1";-4.73851083145546e-05;5.55768312912354e-05;5.32889743893893e-09
"ACOT11";-2.31003721535655e-05;2.55639141908957e-05;1.18603325203888e-09
"ACOT7";-7.81498269100005e-06;1.10306617428701e-05;1.82543223287797e-10
"ACOT9";-3.75370641028533e-05;6.53890863594667e-05;5.67751679195543e-09
"ACOX1";2.51289017076925e-06;3.54280533863694e-06;1.88448130004206e-11
"ACOXL";0;0;0
"ACP2";-0.000135110182119564;0.000191272533303359;5.47779345256218e-08
"ACP5";3.49251772804744e-06;6.2825038404073e-05;3.95249332470571e-09
"ACP6";0;0;0
"ACPT";3.70010775716109e-07;6.09838444321059e-06;3.72641663967336e-11
"ACSBG2";6.03833126152153e-06;4.9891741366504e-05;2.52142834192704e-09
"ACSF3";-0.000179222898167923;0.000231564203888896;8.56519430376576e-08
"ACSL3";-3.36065068757686e-05;3.36627878526229e-05;2.26065994076447e-09
"ACSL4";0;0;0
"ACSL5";0.00109278080741636;0.00231141240851236;6.52774191473631e-06
"ACSL6";1.64126092719305e-06;4.75166781503272e-06;2.52338160707613e-11
"ACSM3";7.83802540835492e-07;2.28600139443103e-05;5.22308854740923e-10
"ACSS2";1.92877429567231e-06;6.38212495734891e-06;4.43826527820295e-11
"ACTB";-2.30959054125654e-06;3.71526541982996e-06;1.91140103586565e-11
"ACTBL2";1.90649852749655e-05;3.87385262017599e-05;1.86160356156098e-09
"ACTG1";0;0;0
"ACTN1";-7.5846186126488e-05;4.45881863493582e-05;7.73738064005908e-09
"ACTR10";-6.97605774800751e-05;6.21141708031661e-05;8.71816911336834e-09
"ACTR1A";2.14469117069024e-06;8.80210371118221e-06;8.19454129604809e-11
"ACTR3C";-1.76813412313832e-06;2.18899533345458e-05;4.81484202627037e-10
"ACVR1";-2.76023814141403e-06;1.03838304064283e-05;1.15260096076426e-10
"ACVR1B";0.00212959423557356;0.00107394734293015;5.6865796512098e-06
