genes;pvalue;coef
ASAP3;0.047998519699882745;-0.7746368516905068
GLB1;0.343290483850335;-0.7125486796674959
MRPL16;0.45785166693782464;-0.6080561849271119
RAB7L1;0.9069749871443966;0.07319455269383617
RYBP;0.8092319086082277;0.1835777615790639
CBFA2T3;0.02382790647908402;0.8758859579809924
KCNJ3;0.5300848304519976;0.29755311117357125
MTSS1L;0.031214978487809297;1.333820473663653
SPATA21;0.1983143828439885;0.45194270575581946
BSND;0.6241614946716614;-0.18776617051603428
CEACAM1;0.06549619151003712;-0.5504378337399488
GAS8;0.8721170388342012;-0.12144796374038534
KIF3B;0.4412627877829255;-0.6902537849769547
LRRFIP2;0.009675519224048683;2.190728944946807
MOCS1;0.29949138317246815;0.4465108234615307
NPM3;0.037581726586326795;1.4867154476573647
SARM1;0.7853763672125681;0.10358086244813494
SLC25A6;0.8819690113468953;-0.10270072390367868
TMEM53;0.5478606059661129;0.47226376862159075
TMEM61;0.620046923428597;-0.13339489888990166
VKORC1;0.14955761472887968;-1.1618907182440918
DSEL;0.6877111768395521;0.1485033936900189
LOC100132354;0.055030467139073204;0.5214312616311031
LOC286467;0.48276206414860257;0.12203896420832312
MGST3;0.9499695928622691;0.03679713543888345
PDZD2;0.9703985943776838;0.011219105538705306
SIDT1;0.4683546653887557;-0.22866354719504803
SPINT3;0.3981854645623163;1.5900092070322034
SYT9;0.6976619056010719;0.10695700258933835
TCP11;0.4776412229855381;-0.12702643035363786
AEN;0.17539492132761958;-0.8857142649520675
CRIM1;0.3150257489058387;-0.5127293402576191
GPR109B;0.05787831575828986;0.506938775673434
KDM5A;0.3013756698579869;-0.8365770210381278
LOC100130691;0.8314248973236852;-0.07975635553798559
RP1L1;0.4698149178114063;-0.1894790339996299
SMOC2;0.6949445955520417;-0.12440238089562317
TMEM56;0.34919216646554085;-0.21976590995448744
TRIM25;0.8000176313532571;0.14805217556480563
XKR4;0.6499230277753985;-0.14837891738340278
ZNF784;0.4688334754665099;0.45979810287121436
BMP1;0.045922101288587217;-1.1984962042178635
BRCA1;0.1105620042249161;1.0532074632900488
CD24;0.9912211093128075;-0.0030123082027402616
EN2;0.7685497750204527;0.04340559035115852
FRMD3;0.8666731898215864;-0.045744129732811216
g340602;0.6697135060477313;0.07745455079765053
MAST3;0.3004021742043622;0.6611842905905181
PCDH19;0.8328393263502931;0.03935135096835718
C16orf79;0.7071634171439373;0.16671171536915455
CASQ1;0.6449381568733463;-0.13232328723623393
CCDC134;0.8620949501072734;0.08325000887125801
FLJ26850;0.27692922515989726;0.30490005966439304
GALNT13;0.8726618123708922;-0.02453479130059667
GPR98;0.9947471300159884;-0.0016283081822926365
LOC150568;0.33414959408801226;0.6058449435701897
MTHFD1;0.20007542652161991;0.8362108929132034
SPACA3;0.25398433902180595;0.4925156447819197
AK3;0.17961626608862402;0.7101065874162005
CORIN;0.20550440857998875;-0.4686290309850726
GRP;0.40157357558283435;0.14785721109818228
PNPLA3;0.5633737163669397;0.12095322064731727
TIMP4;0.376034662199075;0.2051090877879204
ARL4D;0.16344358177678664;0.5288467940142192
DYRK2;0.9731500434116329;0.017846246004394797
FABP3;0.322066045093482;0.27066571260906747
FAM189A1;0.9479282737131214;0.012209024200817396
PLCD4;0.8795480722309863;-0.06432650397095487
