genes;pvalue;coef
C6orf147;0.8673622764551514;-0.041863339256622716
PBX2;0.6385947673799223;0.5421167226149762
RPN1;0.6953063896596461;-0.5372432523328496
TSC1;0.31506962733431376;-1.061927616739791
ZNFX1;0.5293496793929033;0.553795382865798
C12orf47;0.8171822378607345;-0.269233393597066
CCND1;0.6175245242791851;0.14890812140385987
CLPB;0.8185347865261228;0.20793169973588316
CTSZ;0.3193605342065965;-0.777087989569431
GUCY2D;0.6763350120626374;0.11484852182549501
MGP;0.09186244022376112;0.32048514880850204
RASGEF1B;0.7423970186939604;0.1329516405068894
UNC119;0.021108507250784145;-1.9786200287137155
AMOTL1;0.3273454461133828;0.6896710914389705
APLNR;0.7628392080455056;0.06281671934242446
ARL4C;0.20914601373851527;0.48249790652941554
ETNK1;0.23981822488125226;1.0490852113464952
FBXL21;0.27767633262773705;-0.27091325408975236
FTHL3;0.3041236595140979;0.5160088981122448
GJD3;0.7588300695410394;0.08115740435888143
JAG2;0.8003824752384789;-0.17646076081758597
KCNK5;0.6922885343140424;0.06597116073929532
MEP1A;0.04893682600798687;-0.4106033301415409
MST1R;0.395389521305046;-0.3847128752959481
PRKCA;0.24933070378231914;-0.7785405428019188
TNNC1;0.5289494838110962;0.18771519487601093
USH2A;0.48075856518872395;-0.2966499819531619
WNK4;0.32762350944394636;0.25346388801370895
ZNF821;0.34767014753964465;1.1703804279248964
BPHL;0.41775649896867606;-0.6045247798130603
C11orf53;0.4082892023342253;0.2912925781740707
CAPS;0.004148994369753388;-1.5897678127939028
CNTD1;0.21405812872536922;0.7238989377515719
DCPS;0.9873464723662141;-0.017751929685991784
FRMPD2;0.7786513888688853;0.06186420680613219
INTU;0.9389196405937719;0.03132674392701051
LOC285593;0.07897548733209644;-0.7357653755120475
MAP2K4;0.905731953593009;-0.18485187884494012
MICAL1;0.4093514250643855;-0.32474687986875134
MMP24;0.9393762591176571;0.043482607630817884
RRN3P3;0.9658838107984926;0.031111443501668005
SOCS1;0.9952298774430706;0.0021521130911722076
TMEM132C;0.6791850871283512;0.14744103799054728
WDR66;0.30648546536163956;0.379060331387186
C9orf95;0.5296640198290998;0.36880372519556415
CR1L;0.8427078833585728;0.056113337206428256
CYBASC3;0.5085215334652848;-0.6836937268645567
DLX1;0.8561127450483885;0.04411235282303049
FAM89A;0.22280579627247088;0.3776061385763756
GMIP;0.3593255350821881;0.7124636949591074
H2AFJ;0.7751169216357379;0.18563640009931526
LCK;0.20502981574720902;-0.32916617087399824
MCHR1;0.9197422119508915;-0.024456328535816793
PBLD;0.014093770687172543;-1.691927972513102
TAC3;0.04757943614315043;0.4997632184897182
TMEM92;0.45951123388018633;-0.26043185110129313
VSIG10;0.45915345403962626;0.4858922899474048
BBS4;0.330979249267504;1.0937618111440013
CADM1;0.16349458235892222;0.9003380334638219
CDC42SE1;0.15681984599035695;1.6819684461169537
CDR2;0.00903578639370106;-2.2398171213670652
CHST14;0.8014817585700301;0.2116871888466928
DCST2;0.5329653020529816;0.20573795193361608
EFS;0.9399421893788712;-0.03973909182389502
ERAP1;0.987671955125877;0.009195792312334933
FRK;0.45929099592071876;-0.23730645200851508
LRRC50;0.4529751842593954;0.2598495467869549
NUDT2;0.3229134407241726;-0.8460264103583841
UGT1A10;0.16670254627486014;-1.286093167639806
BCCIP;0.31342372149458064;0.8448807892871711
DFNB31;0.8826965639381555;0.06077969319297623
GAS6;0.9647136971728403;-0.028022204718059964
KLF6;0.07926213424695736;-0.8246124409285872
MBD1;0.2638278869360551;1.4141066669913795
NDRG1;0.322345092067015;0.36590854765910386
PLBD1;0.3788837474027641;-0.38322970817557045
CAPN2;0.49679945662807157;0.6717467898333969
CYP4V2;0.48474647107524704;-0.43866143370049826
FAM132A;0.27095929634880445;-0.3588552844608458
HIRIP3;0.4299069760086096;0.717475960797108
IGFBP3;0.22154500834684432;0.2569951898991515
NCRNA00182;0.31807411891107495;0.6311329789320287
TERT;0.6527355234530305;0.08998270520226571
ZNF546;0.6092166649272015;-0.3640025234777863
ZNF846;0.6542179216073508;-0.3425964358780622
A2BP1;0.1510938352474774;-0.4246784910177228
ANK1;0.9710003001182064;-0.009641635312813179
ATP8A2;0.6565612273696717;-0.13577492300473956
CCDC68;0.9400047884801351;-0.028650896678499675
CHCHD6;0.16141695205656914;-1.1580055649671264
FCER2;0.2621881972334378;0.16723798059470685
NFIL3;0.524769689784153;-0.3769557013679198
SEMA4C;0.3762962946794246;0.9168509419551447
UFC1;0.25556493708726646;1.3859087281535594
C1orf201;0.7400766892371307;0.13140733174286823
CHRNG;0.2989650293710606;-0.3454023458395012
KCNJ13;0.09330853222826578;0.3759854335998163
LOC729020;0.1657613747406348;-0.9192968088352701
LPAR3;0.5504986370628853;-0.14126876402968844
PDGFB;0.2036802020957068;-0.6531465630120483
PRMT7;0.8248312749008353;-0.22976749334890065
RNF43;0.3381820909524508;0.2558139702912258
ABCC3;0.09317568010996383;-0.3135155539871684
NRSN2;0.686681398795901;0.4165385320400336
PHYHD1;0.18071222285001598;0.4664275673843882
TM2D1;0.16400593242484585;1.3444178492326413
ARPC5L;0.3416320825548178;-1.0545399895761358
C17orf67;0.47980029629012;0.24063251948080258
C9orf64;0.8525204003605449;-0.07198191033510275
CLEC9A;0.5101255972872738;-0.14975944525878693
FOLR3;0.14383123579661342;0.3355341568661599
LTBP3;0.37867575892701055;0.6507057103192911
MYH3;0.5754491331310982;0.31995712154333955
PPP1R1C;0.7553269887934053;-0.0794531612662879
ST20;0.37996917903689365;-0.32726128806668375
ZNRF3;0.24766459323419454;0.7577293798871174
BCKDK;0.8965872538872195;0.160373337381184
C10orf114;0.06958952078898067;-0.6935661896942181
CD70;0.11096246554110824;-0.36503804364218567
DGKE;0.47345229823511026;0.36121227630665714
GPCPD1;0.9584898397347426;-0.03360365736433596
IL13RA1;0.6254109345329889;0.37023699035864743
NUP62CL;0.01987095196144302;-0.5640661949615033
ZNF101;0.8135438869561725;0.19364373401015048
ADAMTS13;0.2839507315828381;-0.7102968984740511
ANGEL1;0.2091766517976139;-0.8538263923831113
BEX5;0.10814629658641196;0.4528824336567098
DMRTC1;0.24805624744283428;-0.11726541818255723
FOXO3;0.27127904377426537;-0.8681095550955499
MOSC1;0.49475056069999035;-0.2311079323548953
MRGPRX4;0.6939287525611465;0.3570085771223408
SEPX1;0.7202482874238045;0.4049472226959264
SPACA3;0.7133448173012108;0.1696593841768492
SYT16;0.15845626231664756;-0.324999864907513
ZFYVE21;0.9720022603937453;-0.023741994581586913
BAT3;0.5879902579663936;-0.7356129842642196
CPLX1;0.1559800295712849;0.5278085626319379
DOK6;0.5654699243486089;0.2684001607376391
FAM171A1;0.1330204565276206;-1.0581640457627477
FBXL16;0.870690490227237;-0.11380841038390771
RB1;0.2231663270406864;-0.8357302073435057
SLC2A12;0.08119551296149294;-0.9421590747712381
ZNF33B;0.37127970556627043;0.5865930373205578
ADARB1;0.9172820345513628;-0.07159799707265557
BTBD16;0.4375053570006525;-0.21861151343074656
C11orf70;0.3181224325408277;-0.18940705131798072
DGCR10;0.8512997559675809;0.054436802872750566
DUSP15;0.8309106268820652;0.1391626342369479
ENOSF1;0.9068469558793895;0.03854848295846742
FBXO27;0.6204926768325016;0.1263435368203759
GHRLOS;0.9029877884412085;-0.053594380979110234
KLF11;0.2878277215484538;0.5572598629237522
MAST3;0.832493416146058;-0.1629281784025141
TLX3;0.9480134142088799;0.02160208689201482
TMEM132A;0.6129603342263417;0.2688901820143176
AADACL2;0.07301787529417272;3.2120299253245115
AIRE;0.10528658485456906;0.30356015319696966
FGFR2;0.1964941295675391;0.48758360774821596
GLB1L2;0.2521090310619468;0.3033868222211198
IL1RL2;0.2459533878408111;-0.3475211453053831
LOC442421;0.5055146388274975;-0.2805115596586215
LOC652276;0.9294919975725305;0.052359122086386954
MTHFD2L;0.9387850160680448;0.057407975505368664
TXNRD3IT1;0.9959000852026919;-0.0038158544518454274
AACS;0.6394042797505859;-0.3571138963063108
ANK3;0.9804456885023403;0.008794141293797148
C8orf77;0.16368504427843344;-0.6909732774574955
DIRAS2;0.6105706341541557;-0.1836325896330205
GPR22;0.01747348737074045;0.7133419359020919
SGK494;0.33483002597958855;0.5750819019136248
ALG8;0.11598852953704117;1.5628648130588922
CCL28;0.6943672347996495;0.10772209403936843
FOXA1;0.8336035433966087;-0.03842036505039098
PCSK1N;0.8895104720647179;-0.05092606460314901
PHKA1;0.4827507728233026;0.2551090196451171
SULT1B1;0.24724155147639992;-0.3332022773717975
TMEM164;0.9422086029063083;-0.05479090761488676
TOMM34;0.20470508256846376;1.01176303669936
ALG1;0.06351052108534982;1.2408254022089655
B3GALT4;0.749025975920952;-0.1381348450921924
B4GALNT2;0.6282908223799022;-0.3787970526306567
EFCAB6;0.35088068746694956;-0.4504334138233175
HAUS7;0.40641687409795746;-0.4152747820764996
LRRC1;0.21764355526055912;-0.7375244784704567
SLC4A11;0.9934390130801916;-0.0019433162739967119
YAP1;0.4074750340230827;0.4101231106982048
ANKRD54;0.6525231079776244;-0.4567771415408811
C7orf11;0.4503545316308355;0.8252869607171222
CBS;0.4531015829746793;0.4082335250724183
CTXN3;0.23351425670623038;0.2530632588599803
DERA;0.6709809047946516;0.40547201962386736
DUSP28;0.5259205015290698;-0.5990494177711877
EBP;0.0832507654638605;-1.535806798311851
FER1L5;0.031674106831466466;0.5503101795894166
LOC647309;0.12277825559478742;-0.3538913379243524
NKAIN4;0.5239629388614124;-0.23115372284773297
SLC4A10;0.7868908149645546;-0.07658098430237935
TAS1R1;0.28593682029637846;0.3291232998528686
APOBEC3F;0.7352185928883974;-0.19335111417631723
ATP1B1;0.315269314318095;0.5998388883153651
BRS3;0.5334853939239887;-0.19146565054954248
CCDC56;0.01916062030919383;3.5219688947486465
CLDN16;0.39539173609611056;-0.39285979868577225
g10357;0.057345201930303874;-1.3495326175235705
NRIP3;0.4112136397498052;-0.33820766476260067
OSBPL6;0.6148789165316995;-0.3291604767009948
PPFIA3;0.21068606766022047;0.9024427252098717
STRC;0.7160445314419837;0.15861777485757905
TMED7.TICAM2;0.6933035877312659;-0.04439266764392797
ADAM2;0.5745134960017098;-0.9069593153230305
ASL;0.8233244976014136;0.15966873640872178
CRABP2;0.9063209257670035;-0.03914708546730427
DKFZp779M0652;0.30474205060243453;-0.3722402704911301
FKBP1AP1;0.08039789131173304;0.42048384113646514
GALNT2;0.1334646066647462;1.3613541991807796
GYPE;0.6679266973548807;-0.10854645278126249
TRPM3;0.6636219819031723;0.09051720993213824
C2orf67;0.44275553628656017;0.4719291184504603
ITM2B;0.1512453904059213;-0.962070263249205
LOC284749;0.7106466733146353;0.09614994598390895
PCDHGA7;0.09676713506581971;-0.3395932542543342
PGPEP1;0.2734050175541606;-0.8338676350357543
STRADA;0.9940341420959499;0.008904383412588635
SUZ12;0.26441522989557464;1.6878894269418006
TMEM120A;0.25114608669062877;-1.0458273301686472
ZNF311;0.5573312949128868;0.1552957507668382
ANKLE1;0.8792331820833637;0.08851432558602323
C16orf5;0.49715052996236353;-0.548505401092016
CLEC11A;0.714085282142952;0.18895403560966925
FLJ13197;0.2213938981302418;-0.6006507186230886
NKX1.2;0.20658510381482031;-0.34664397328464247
OXER1;0.7197857777710026;0.14036823217759395
PPAP2C;0.5963139525021472;-0.18985802861322285
IAPP;0.15923080312442606;0.43836621982322593
KCNJ16;0.8869544244255605;0.03227018740684344
KRT20;0.6805390450610808;0.12649415881256687
PRDM9;0.6065212505663894;-0.6144172415284799
SASH1;0.19859519775985124;-0.9023186686339513
SET;0.8862655721213073;0.15056920575641847
SKA2;0.9225792748474586;-0.08749030892218332
ABI2;0.663361519813703;0.5649699998411514
ATP2A1;0.9197491342833497;0.03647299766237127
EEF2K;0.28783170920803103;-0.7756258721046301
FEN1;0.8796769240941992;0.12611247165453082
GBE1;0.08287678289154014;-1.097498301279107
LOC149837;0.05808034005751881;-0.491703084149587
PTF1A;0.003697860857043057;-1.0157167538957408
RBM24;0.029260656242899665;-0.6693598628245518
SERP1;0.31086998248431674;-1.1820981548038767
TP63;0.1960333120106149;-0.3239799909887123
YWHAE;0.6348438925386186;-0.6238853754005952
CHRNB2;0.23674309738845933;0.5934737042805536
CLSTN2;0.8637839924554482;0.059062781459388744
CNPY3;0.35037946708970746;-1.1448941618529662
FAR2;0.33498987442951844;-0.5503117392388548
FXC1;0.21055088254886223;1.2610867296754193
HIBCH;0.09186867740325905;1.564793825016279
LCE1E;0.009892347399642766;-0.5577826943274282
LQK1;0.05979806414268394;0.5815880073966995
MSX1;0.7922004111475166;-0.10758104227214886
OBFC2A;0.8214823074425621;-0.14001040996180908
ULBP1;0.16464379304304222;0.3111655107027388
ITGAV;0.4891163689890957;0.49131365283229944
MORC1;0.6589220733313631;0.10891078600578179
PTBP1;0.25786645075533254;1.1668630914252907
QPCT;0.7042354918680891;0.16198082791818486
SDC4;0.9573845562034452;0.01226246300771212
SMAD1;0.05929765357616825;1.5919335143089384
ZYG11A;0.9562523836675125;0.01422055620030595
ALDOC;0.86730670499409;0.07264878434619321
ANKDD1A;0.29791507376638815;-0.5941373360134348
CHRM3;0.6138927133287297;0.12928086543813924
CSF3;0.6294579538804428;-0.07968885132947229
ITFG1;0.3821786305975101;1.14653827637878
KATNB1;0.4301883463502578;-0.6953977543278795
KRT75;0.3906648047016311;0.164356555473335
MOV10L1;0.22455847355990222;-0.2596936726080092
NRN1L;0.38025559110414864;-0.34747296176443254
NXN;0.630516815606273;-0.2524626221134144
PPM1M;0.6632305784276802;-0.35765621023687544
RNF26;0.8623572196079591;0.20639145940671755
SLC29A1;0.6754029740129199;-0.29802822474471835
SLC5A9;0.7272445408515769;0.10950638020819219
SNHG3;0.5942094960959979;0.3193138616343386
AQP12A;0.08368876290680083;-1.0126227550931879
AVPR2;0.7326256166362679;-0.10128186604183616
KLF14;0.8550271037960936;-0.06834282677597442
LOC619207;0.9288170003372362;-0.030344283148928813
LPCAT1;0.07410143044127017;-0.8049932715966712
PKDREJ;0.14560457436470844;-0.5811648012205484
RNF5;0.04174665507552685;-2.352574861971777
SLC5A5;0.8079593375423899;-0.04870623012032789
TLR5;0.2852511498171131;-0.5000952985874904
ZNF655;0.4739279429252089;0.7280407888686583
CCS;0.14132488182829017;1.5575635826807228
