genes;pvalue;coef
CLDN19;0.4345396174984766;-0.2955907670745299
ENDOG;0.41697824304666253;0.6919030938395724
HSPBAP1;0.6197213321108477;0.549130015089227
UBAC1;0.08781348500312683;2.590172137741658
ACCN2;0.8557601516861298;0.09406867218225404
ASXL2;0.5803139558550983;-0.5988792272203065
CCDC78;0.4300648287242368;-0.3494462861961936
DAXX;0.5792800115964203;-0.8027455897359478
MAP3K1;0.9360349849137333;-0.06962924570184811
MUC20;0.9853276085090016;0.006710388291567028
PPPDE2;0.5390923860479988;-0.5698048136710048
SHROOM3;0.0789341205721784;1.3083712999977166
SNHG1;0.06714963671631255;1.6279208566636094
STXBP5L;0.07372948902697096;0.6861646226004081
ADPRH;0.8923409293205964;0.14077203836521943
BDH2;0.9917082325888922;0.009800926838875325
BTBD3;0.37480263494710286;0.7070284576526629
C8orf38;0.1287890683772221;-1.4354068124729162
EED;0.9925994137002907;-0.012812887683158998
GNAI1;0.2931967249432875;-0.6438114178880499
GPR1;0.717678005690042;-0.12856891786106026
SF3B1;0.6297375540461219;-0.69680365053519
TFPI2;0.5187472882618144;-0.15732801777992955
TM9SF1;0.07098758459805024;-2.435043136360642
ANKRD13A;0.12115153492120262;1.840834784085167
CMBL;0.2626059122120441;0.7135118143670258
LAT;0.7193429452022819;0.168328960207942
SMARCD3;0.8920942098002974;0.1063474355124536
FGFR4;0.5683831651570279;-0.24274082443362413
NMU;0.21886869652663832;0.2659338814047417
VEPH1;0.8827378094498084;-0.052136434735233717
CENPBD1;0.9224226583276687;-0.07669928013809763
HRAS;0.054738742453359884;1.7756300302222932
IGSF11;0.16916958108924762;0.4325050220686465
MSTO1;0.4031313192401563;-0.7674545955640629
NAP1L1;0.11073677891788877;1.7803097936447265
WIPF3;0.3724074190117427;-0.28477349111435496
FH;0.6256048656142279;-0.7758074835770621
NDUFS2;0.8696298313050675;-0.22966436941153745
SNHG3;0.03168267878766814;1.3965162179398776
TMEM192;0.3054009643857203;-0.8457632054589717
IGFL3;0.8652163429159876;-0.0357223068022268
KCNC4;0.22224874517872528;0.7704107479983215
LPIN2;0.5364684693839183;-0.3714236313627913
C2orf48;0.026504541681438773;0.7492191839739282
GSDMD;0.7446237642773517;-0.23186966779277599
HIP1R;0.8874459783150994;0.10880435229399349
SLC25A42;0.8502453486636821;-0.18748824067872533
VAMP4;0.09144343253713896;-1.7822375096582606
C11orf74;0.5311431706457905;0.7120679571749892
COQ7;0.7809910810678642;-0.34839586541867873
NYX;0.2601840613574654;-1.1917363921793074
PANX2;0.24030471657634112;-0.3792088093774155
PLEKHB1;0.6386261930576371;0.18974479417096402
PSTK;0.15973738068154797;-1.2166438424706347
RAB40B;0.5297880168095696;0.4041956482000703
TMCO1;0.10691078163008877;-2.038081148505027
ARRB2;0.10946302397305571;1.7984574590791123
ATP6V0B;0.7480882583679838;0.3296273823932469
NCRNA00092;0.10430114670300626;0.8567926866102069
NRXN3;0.9489160659573419;-0.03323827425327904
RAB40C;0.7434002884002333;-0.32702300608386803
SLC26A6;0.8533700436731911;-0.11121272875461191
ZDHHC4;0.9253610721008068;0.09733127210180238
ZNF331;0.10203982338513853;-0.9080250330959597
IFRD2;0.5068217374402271;0.6065152462569113
MAMDC4;0.8321908282876963;-0.06884336336927006
MFSD6;0.7673669210581282;0.27988743767765095
TMEM53;0.592084624117704;-0.542800339437314
AGAP8;0.83338309161593;-0.07032533047235746
ELOVL7;0.31702157855072766;0.5410215524463002
