genes;pvalue;coef
AFF1;0.4862974637633962;-0.5483029646707223
ALS2CR11;0.41403453872128737;-0.17521215260488893
CYP2J2;0.11963482279019544;-0.36445311221220683
CYS1;0.30158115381409567;-0.5357233033281145
DCXR;0.7116672510828186;0.1837749504674663
DEK;0.7989782956841152;-0.2365459697178043
IMPG2;0.5417197291362686;-0.1481147150444004
PATE1;0.10813581283159715;-0.38429574884633655
RUFY4;0.5552691121088045;0.12189455632974434
SCD5;0.9977814313634404;0.0008646938666570916
TRIOBP;0.5353010457883103;0.6931258696965528
UXT;0.4194234561721296;-0.8758692945553042
CRH;0.44937693168625914;0.35238167733117476
DCLRE1C;0.7445692456546953;0.20046004897490252
ITGB1BP3;0.7098056508753323;-0.08141989157869853
KCNJ16;0.3529067390519538;-0.14200071412428256
LOC344595;0.33107742647966865;0.23215050532640621
LOC643837;0.40316024536217854;0.3801663267520251
LSM10;0.8021567381208714;-0.2651274897370264
MRO;0.9526942732111588;0.01834039590437772
PDHB;0.739005108238691;-0.29344761483481374
SLC5A7;0.024816949365836383;-0.47988405563162073
TMEM190;0.8102452388891102;-0.05062273441653094
TMEM64;0.4215343642739299;-0.4776298323729063
TWIST1;0.8024088248308945;0.04557279489430037
VWA5B1;0.18331017392666027;-0.1464945998914509
WNT16;0.043316062438236005;-0.4358020776853449
ABHD13;0.9320179700297655;0.06656155269995154
BCOR;0.15117921730064468;0.9191379488615689
C12orf75;0.9727929818178845;0.013293929057632606
C13orf31;0.7863003110671954;-0.11839522848322198
CYP17A1;0.14817807064761135;0.30710661836486675
DFNB31;0.10850716971849114;0.6479978767151571
EFS;0.43023917331066563;0.24954166306066414
MC1R;0.18262889837890683;0.46192676017410667
PYGB;0.35379361518263963;-0.48558488063411503
RHBDF2;0.4875826401080807;0.4015992787441458
SLC20A2;0.24277443638071416;-0.6252097410336492
SLC6A2;0.03299978466689637;0.46797108110056734
ADCK2;0.837920975245195;-0.1489407427618238
C6orf147;0.8889742644248451;-0.0254523450961135
CCT6B;0.11105993916868889;-0.6090925984118667
CPEB2;0.7473305293960886;-0.14871876528038305
GP1BA;0.5719477212532591;0.1237225414140532
MYLIP;0.6498796573102446;-0.30595767911066934
PIP4K2C;0.5048865612759297;-0.5440362389497085
RBM42;0.30506151685121996;1.1205475607101136
SRPK3;0.2918211827600088;-0.30867927972536335
SSX2IP;0.47882640987396774;-0.5363968672956175
XKRX;0.5560512818103569;0.16679943398840888
ZNF438;0.5954194847971355;0.42716039832370656
COQ7;0.7797066140000306;0.23981550341031235
HOXA13;0.334472937724586;-0.390625231148838
KCNK5;0.5100328354242625;0.1976448502643001
NOD1;0.9179204586726685;0.055165740785585185
PSMC3;0.7057867324402782;-0.3753750841471578
TMEM140;0.361914657370068;0.4257802259003057
TMEM90B;0.1947773211269337;-0.41852461097378313
UCK2;0.5102560888303016;0.34753156577321853
BRS3;0.7368735183172097;-0.1481568316686949
C6orf142;0.6565283116080182;-0.08938439982864309
ENO1;0.02981619944411133;-1.528633247817062
FBXL21;0.45525172024083904;0.19540682460685949
GUSBL2;0.2774532047329392;0.44700433872822254
LRRK2;0.3799352859097439;-0.4673902249078235
NIPAL3;0.0680653296742411;0.6387115699798166
