genes;pvalue;coef
CCDC78;0.3015316461368287;-0.5075334503439588
CHST14;0.895202600373991;-0.1540859315718848
DPP4;0.9070931336780139;-0.06467287121782354
ERCC5;0.345974746192665;-1.5529717174636988
IL18R1;0.1736058797925637;-1.070777082087011
MAP3K14;0.25100883324936785;1.3590950535861313
PPP1R3E;0.5283876594093823;0.5875081970629815
ZNF546;0.5233977733479344;-0.7260518731990192
LOC286467;0.6620725410246234;-0.240668009406715
PAQR6;0.13103498072785535;-0.8722087751739265
PPBP;0.08228186003317772;0.44957169457684304
SYT10;0.32012109593221016;0.33529312560535507
ATG16L2;0.9604238444337517;0.05683342443849576
CHADL;0.3027638490823251;-0.6053369558737093
CHSY3;0.8536618225733863;0.1051085978381802
ZNF71;0.18646644848816174;1.737268687811639
FAHD2B;0.8549212983541491;-0.1433483810294639
GPR149;0.5987014985723726;-0.2601073091002123
ISOC2;0.12127502053065599;1.0564160448625697
LPPR2;0.02129921178061556;2.666615694840536
ZNF717;0.06076635303097013;0.7405602522392545
BMPR1A;0.3336963738704498;1.0116224663918056
FOXP4;0.9169849415374641;0.09161433483255443
RGS20;0.5607693562875383;-0.2707841954423197
RHBDF2;0.28676515207590636;-1.2477859727914349
AADACL2;0.14009165663585424;-0.6526737597381211
RDH10;0.3353429125384051;-0.6323420974347388
RPL39L;0.13001460185887864;1.2043581145923388
SLC5A7;0.18929525732900676;-0.484802027760274
CCNDBP1;0.47718881441719385;-0.8391783099456824
MGP;0.6358974765990969;0.1982547745731891
NCOA4;0.2098408044355795;-1.730052581846112
CFC1B;0.07843196763882748;0.5233721465923274
CRYZL1;0.588967102240633;0.5933502460274745
MMP25;0.3465354919004915;-0.5608681703008463
PARVB;0.6119292878843527;0.4649892892390696
PSCA;0.08382581865380748;0.4104602007394519
ALCAM;0.18350832739856615;0.8133149906861369
CACYBP;0.3585628297004827;-1.235775075238918
FAM49A;0.01192917152645856;-2.892268492594815
KIAA0146;0.8297125988337855;-0.2450309754343669
APOL4;0.4031918774887051;0.38792540786845203
FAM71D;0.017057812091373876;2.96076281946491
JOSD1;0.06645034179174009;2.6292342503113026
LOC541471;0.194314261384552;-1.0423506195516783
SFTPC;0.8650187217230775;0.0498422787709283
SLC35C2;0.7976033584560464;-0.5486304114917461
TFEB;0.30568821036676164;1.2502760800132076
CCDC13;0.8973260762588707;-0.06723274015665981
EXOSC1;0.123550584487991;1.6706598537240533
FBXO10;0.7015029652193114;-0.33549228744724174
GKAP1;0.7234984572609702;-0.24928991162427377
NLRP9;0.86823173556798;-0.06828692236286804
TM2D1;0.17705767774210213;1.684686773267175
BLM;0.15236066480386617;-1.4644745026758688
C1orf156;0.34045137586125707;1.1163132832831253
DCTPP1;0.1743717473464994;1.2563424430520729
EGOT;0.809401607446958;0.12412730503589794
HLA.DRB6;0.5237480856200142;0.14751636309439967
VAV1;0.7673149951795145;0.22970090628788464
CD36;0.43898997067243417;0.3982460119219854
MSH6;0.9481772687397501;0.08175902001870756
NIPAL4;0.3033382217257016;-0.38879980884282356
PRTG;0.0340015445949771;-0.924636320161269
STAMBPL1;0.5040805226322493;0.52074092317941
C20orf112;0.9880739639782645;0.015684543074206515
EXOSC9;0.01826748699744004;3.640943494303317
SGPL1;0.4111213764849829;-1.31096463464015
SRF;0.5381350162406666;0.8667296289365801
UBE2D4;0.8811772240473436;-0.14467574901830965
BANP;0.6221378601842681;0.5920469277759154
C3orf14;0.07483730706850036;1.7088112701165055
EPHA7;0.10028583677946204;-0.6138798370324771
FBXW7;0.7558417299395994;0.4891483138799081
LCORL;0.749416666952184;0.28039620507119156
SLC12A5;0.02490593741741603;-1.794322813288504
TNFRSF14;0.2596224900428995;1.4153212890260107
C1orf91;0.020785384272316826;2.406380006315767
CTSA;0.2908664610036157;1.3610692504810815
CSAG1;0.7109307131075857;0.07452023110324187
CXCL5;0.3863583071132982;0.24376285384360136
PPARG;0.9984207084380511;-0.001241909287056923
RAPGEF3;0.6707261512083696;-0.33101627137754497
C14orf166;0.3384095572661173;1.4554106740936323
DKFZp686O24166;0.6163167722752143;-0.23573791458771914
EMID1;0.26615444699841984;0.800588146087607
HMGN2;0.48140318614829725;1.0059360484259376
IL17B;0.8160556402175466;0.09030772120662421
ATRN;0.6758862106126549;-0.6190998664877618
CIB1;0.27379831561441237;-1.5047766461035406
KANK1;0.1358461491489468;-0.9663303886017229
LOC283392;0.05772585401386692;-0.7075069768561415
SLC13A4;0.9375404542053768;0.019275854803779666
C12orf24;0.39279219568793866;-0.6568208850341027
DDX25;0.26999572520899495;0.5782274634114702
GGT8P;0.9946022178189243;-0.0031873324501114457
H3F3A;0.711041157362649;-0.4118469587419391
MITD1;0.344675207131081;-1.4036107160040272
NEB;0.7760212111753165;-0.08818190996012355
PRICKLE4;0.7064240307370737;0.287221205411463
SCN1B;0.5344890035092347;0.5441512273676671
ST3GAL1;0.7780949175523261;-0.24322864902590724
TSPYL6;0.4551365803253802;-0.24048646983160735
VWA5B1;0.5996621664156394;-0.18666687749037048
AP2M1;0.9138166129924965;-0.102090532112438
DRD1;0.4378700706143278;0.2896507383187306
ATR;0.08804460351378447;-2.033487129825483
