genes;pvalue;coef
CLCC1;0.31878186562699784;0.7164383348607102
DDX28;0.07806471351798103;0.8353839995425044
INVS;0.21375601458419835;-0.6530684306397733
IRS2;0.36489125241829024;-0.1812970632928347
LOC440957;0.08110846363114621;-0.6981764997217277
MUS81;0.7882684103248652;-0.18406804816216762
NHP2L1;0.19635658092954345;-0.9914696006869099
NICN1;0.4892811845519578;0.33958441605244044
NONO;0.21313504436915465;0.8755277206809354
NRSN2;0.07382637320230474;-0.44140666751250585
PNMAL1;0.7750592040676443;0.043314258819038415
ARAP1;0.15248394356867842;-0.7517265409111219
BARHL1;0.3940887066734403;-0.36598869038562715
C19orf76;0.18675617842910452;-0.3463655002083742
CLCA3P;0.5563281382762559;0.10801701647372297
CTNNBIP1;0.11276293656575635;-0.8804854511099554
HADHA;0.8208821872678795;-0.1575922581279896
PLEKHA4;0.8630355774767495;-0.043076055741984816
RNF144B;0.9951286338125858;0.0014497393019791598
SCUBE2;0.8588967254292519;-0.030587175201726435
SS18L2;0.532723943922176;-0.37190070173009987
BCAT1;0.35835734540488995;-0.1728634490190089
C17orf101;0.42723602532610394;-0.39830464567283325
CRIPAK;0.7969469335348222;-0.10550372974455952
CXCL14;0.3060664462390006;-0.13053951850013804
CYLD;0.7366768460945963;0.1743328108525452
GOLGA8A;0.9744839663791302;-0.010694051692396738
HTN1;0.4734505268050282;-1.0970937520521278
IGF2R;0.4795829686025439;0.38693388181633637
JAKMIP3;0.05726031148747796;-0.3710266496217543
MEN1;0.7358323780409912;0.2407371569394167
SCN3B;0.25643097961270256;0.27852688207858584
C1orf104;0.7787255767035224;-0.12068143043635564
ENPP6;0.31860541748627025;0.14720224777344473
MAP3K14;0.051285658767743894;0.8104756642218963
RBMS2;0.17116020969187562;-0.6866314592138444
TCF21;0.6756321802127285;0.11321395353458263
USF2;0.6707348978206029;0.2844434054162777
ZNF662;0.9570605223471804;-0.0068637005393255394
ADAMTS4;0.4279318056536;-0.2669554145165751
BMP7;0.7228023668886978;-0.03725805957645732
C21orf82;0.11006710129612696;-0.43605665390573306
CDS2;0.8469258763690022;0.10538189258670468
GALM;0.7167332823625405;0.1461514794776816
IGF2BP2;0.5331891940702603;-0.09954318309878635
TLX1;0.17163194178184893;0.14427828537513485
TP53TG1;0.2090956028197165;-0.5598972015535728
ACE2;0.6556603500203446;-0.05920665462596519
C14orf139;0.6871655679412925;-0.12287097681784209
CDKN2AIPNL;0.9948194308205647;0.003553475929788497
ERCC1;0.3332764252089264;-0.49414210801041486
FGD1;0.12730154680357908;0.447296216877301
GJB1;0.41610716252373914;0.1127277160032971
GPR153;0.07005567462740589;-0.5259849374040942
LPPR3;0.8265224929945894;-0.04071774480824703
NCRNA00230B;0.5440130747842984;-0.05624929327469961
PFKFB4;0.9510949482658078;-0.01782646494877973
PP14571;0.5619985760775104;-0.07612833413012039
AIFM1;0.07145961954634153;1.2501293782190936
AQP10;0.012168360726260787;-0.4773646161302954
B3GALT4;0.4828086058997382;-0.3087029871832446
BCOR;0.06484229742474781;0.9950663225856557
COCH;0.003567220306924078;0.48447980994680745
CPNE8;0.68229259433715;-0.08857531375750392
GGH;0.8939224079581591;0.04044640898978853
KLHL14;0.03294107277453356;0.4404452550961005
PAWR;0.047108876684200045;-0.9403408176880399
SCML4;0.27945704665937965;0.2615103352327859
TMEM38A;0.14750831780751347;-0.33760264085536157
ACO1;0.006785258151933289;1.245335413834221
DNM2;0.04423539408513603;0.981157669308056
MAP7D3;0.7653363728699052;0.07322956189779972
NFE2L1;0.5773489207682911;-0.37238654922385994
NSUN6;0.740927628012833;-0.1633732149727077
PGK2;0.9921689284749111;-0.0026992329741847504
PHTF1;0.05294039251705047;1.0940911802994437
RNF166;0.9635242854055652;-0.027152196219548695
STX4;0.38129916114977236;0.6593651289335287
TFPT;0.4855591333303274;-0.35273764282957004
TRIM8;0.5785527990967748;0.29892096192496537
ANK3;0.39656931689852426;0.20648857451229993
CMTM4;0.9597083909998487;0.017476190899716127
FBXL2;0.5532771942143351;-0.15807100596938806
IFIT3;0.15983121049675575;-0.3281214686154172
KCNK7;0.8596507286743251;-0.03992158455886599
PABPC1;0.29245145038552023;0.3521563622457735
SCAP;0.5033585554770218;-0.2880807679012421
TTC4;0.9279500756893984;-0.057319855601888486
ZNF441;0.5493399658879531;0.2791112207616207
ATP6AP1;0.20441762167261657;0.7751667743341504
C1orf175;0.18776944453411848;-0.26836314815317247
COL9A3;0.6875396475188807;0.061174040009419006
CXCR1;0.1497106275525558;0.2414747776494628
KIF3C;0.7340225790071762;0.12320165526349955
NNAT;0.5194496843968767;-0.08989666136484505
NT5E;0.9851838431741108;-0.004226246341656173
PPP1R3F;0.6213495725793711;0.15270642458141703
SIX2;0.31516691367225147;-0.11617746537273362
SMAD1;0.27089821398101066;0.5700730523620546
