genes;pvalue;coef
C15orf39;0.998886610197206;-0.0013392061780705855
CDK10;0.3707407321338104;0.9572175964146276
DMRT1;0.19895266922152288;0.4149329846959856
FUT9;0.6347145234803409;-0.07782916202052147
NF2;0.5584352104651091;0.6834361835037084
UBE2J1;0.3239586771282249;1.0740544311094808
EXOC4;0.5519892431995683;-0.5783760445583769
KRAS;0.9993293636863735;0.00040173136557832315
MMP19;0.23379369989330545;-0.9828392132764445
NKD2;0.05537373192243021;0.6606890863418609
PDE6G;0.14270469781133366;-0.7376820337058169
C3orf58;0.514028561219499;-0.5294199042680615
CYP11A1;0.6064842752285972;-0.1647300141718527
FAM69B;0.21139608792049136;0.8739188150757031
HOXB6;0.351791543834575;0.44786188463518695
MAP3K13;0.8910506696925723;0.0828453196114087
MUC20;0.4861201172995355;-0.28204169237951365
NOS2;0.4841573621531109;-0.17694545633793868
POLM;0.08346448529445238;-1.9844859232067016
SLC38A5;0.1155966897005577;-0.38768188786760516
VWA5A;0.11839693275705594;-0.9844141322955333
EFNB1;0.6293423382283492;0.2975218616463992
IL26;0.7550757155614036;0.10218593869053946
LOC440896;0.8026137561780444;0.10333101599157252
PLSCR4;0.40406852565537477;0.5130991133451768
PPP1R14A;0.46630761317783254;-0.4083617262341551
TULP1;0.5715921577704945;0.22019802533102026
BCAR1;0.5760004089922237;-0.6169362185865013
BMP8B;0.7196428948102945;0.2039349653467659
C7orf42;0.08169574510568728;-1.9402311935786856
CTAG1B;0.024541522757130823;0.4397084260954404
GRB10;0.7175532572421596;-0.23059544658678033
HIST1H1D;0.022276644149720765;0.941208887212889
LGR5;0.49737706791470937;-0.148505979816714
LSM14A;0.20256518414597324;1.5929984894700262
FAT1;0.7622125312747134;0.1941394912847983
KLK6;0.27265043345034856;0.25349698262932163
KRT2;0.5228311493912815;-0.15285920432793082
NR3C1;0.02960030870691988;1.717448820313862
PAFAH1B3;0.3437864785212392;0.7878837314546067
SLC2A8;0.9775707554200466;-0.02043044145083644
TRIM6;0.2979621422167833;-0.3895827037339452
ASPSCR1;0.4122374652482136;0.7129484060126318
CNGA4;0.9891759343592792;0.005685862653452859
RASSF1;0.36932420946546995;0.876930012493621
ALG14;0.0741407339153732;-1.7125045992006038
CDH5;0.05700281412980032;1.7820570392704373
IL1R1;0.9157247516331627;-0.09450126434668395
PQLC2;0.328758486480329;1.0395754835310238
ALAS1;0.348195828138512;-0.9462552954954352
ANP32A;0.25342444720789503;1.7956979193840699
g90288;0.11548240866198006;0.47673535014629215
LOC100126784;0.19713063326060465;0.6609824750516167
LYG1;0.2666808217420644;-0.38931095267520666
PRKCZ;0.11016892311443624;0.9449202424125266
SEMA5A;0.33323594595361417;-0.45984583447457944
STXBP5L;0.5072815608901137;-0.17853870300769842
BEX2;0.7944910312717588;0.073473747886576
CACNA1S;0.6180053208026013;-0.19415773047111548
H19;0.031104417740824248;0.5632231131811622
LOC100133985;0.5829003463700291;-0.2635874464467033
LOC723972;0.11787948031391703;1.0217297107990382
MARK1;0.05766419559661854;-0.8222850316307923
UACA;0.3520674787237009;-0.8354519766295689
C13orf26;0.05780216189078672;-2.394815761812111
C9orf3;0.14448072380197383;-1.4100966602743954
CCDC6;0.3508329220440337;-1.0926070114433295
DSTN;0.4310912357078689;0.8885432813041725
DUSP27;0.8821599645155171;-0.02044016704755991
DUSP3;0.9344259893124849;-0.09712293231851296
GFPT2;0.11773410834980533;-0.835588603068856
LOC286467;0.06451292017495357;0.5148909312004507
PRMT8;0.026365055507603867;-0.8042885371904084
SLC26A4;0.6259491589592336;-0.2332178353191771
TUFT1;0.649188218381509;0.3762137306971903
ZNF230;0.46284547143641397;0.6392877801791503
C15orf57;0.0019499011933223668;-3.338949728517627
FLJ45983;0.7614045786059426;0.0840234279383232
HSDL2;0.18717703958279852;-1.2096450953136408
RNASEH2B;0.5269521290108587;-0.6047839198906202
BEAN;0.8839964895645407;-0.05190067425399094
CHCHD4;0.5579378325985966;0.6028913833243054
CTBS;0.08919353517968334;-1.6857008567530374
LGTN;0.5986950257228209;0.5577830332207875
RALGPS1;0.740113379591999;0.24914656783758796
TICAM2;0.5076712123513984;-0.2412440355498082
UBQLN3;0.7231812741730785;0.29447799712056166
OXGR1;0.8622027207616366;0.0334162738817334
AP1M1;0.03612449462176823;-2.1949938719827995
CALCR;0.11607558679319548;0.46044297525840816
ISL2;0.26501966882725503;0.5177808866224081
NCRNA00162;0.6291555287029482;-0.09554747917566853
NCRNA00171;0.11308580636105783;1.2572755954193255
PGP;0.7079211055208934;-0.4345484023035549
PRKCSH;0.7942300547987665;0.3799685508829762
SLC13A3;0.15297433740812344;-0.33469069452895067
SLC23A2;0.9502389984778858;0.051730412085907604
XIRP1;0.4551072217200355;-0.22455983243654135
LARGE;0.30361959113648895;0.5457987239409389
MAN2B1;0.480741660041464;-0.6911994058899014
PLA2G3;0.7925124438651814;-0.05989089606887331
PRR5.ARHGAP8;0.7797147486171088;-0.11208532108252948
SCNN1D;0.7967147620470587;-0.09196891870280406
C7orf54;0.6557702050529186;-0.3514805673408807
DAB1;0.2223901501531499;-0.3659405353389663
LATS2;0.676497144285011;0.41222277503498894
LOC285830;0.48405378911529473;-0.42004801458787744
MRPL4;0.08809734904580954;-2.318286849235422
MYH6;0.794434777590798;0.13518973330753414
OAZ1;0.26894147124883716;-1.5393331197682172
RPL22;0.7262363640441654;0.3986546510410483
SLC12A8;0.1450706589987962;-1.2483424959255978
CDC42EP4;0.299470102422422;-0.7207356926414084
CPS1;0.5719496308576852;-0.09312678765809893
DHDH;0.4730178167211486;0.19642288790018922
SSX5;0.1791220083745888;-0.743649095939241
C2orf56;0.5700006679727065;0.7698194234264756
FDPS;0.29273013181145147;1.1746350425416383
HSD17B3;0.021000693853615165;0.6412073423026315
MRO;0.35191375084508836;-0.34837317169947835
PRG4;0.14923654047998663;-0.7113659884041216
SLC6A7;0.02138156521834713;0.8488680657852201
TIMP4;0.026181391147510703;-0.88811607718984
C5orf35;0.9847262406998117;-0.008982370506228132
CAMK2B;0.14134028171867216;-0.5345913580548465
CTSA;0.9765838304764495;0.027974572984500453
ENPP1;0.5621321167385844;-0.26067751564624625
FAM71D;0.6350106740211006;0.21073528596409188
TIAM2;0.25089520029227397;-0.5562924473261797
CPLX2;0.7581321246745576;0.06829579742565971
FAM101B;0.727779626663069;0.2968025651828924
FAM55C;0.05186459124498678;1.237322294684472
FRMD4A;0.6844608697894767;0.27648838749551036
IFI6;0.7150979367520218;0.13849679623846342
SEMA4D;0.06246093330784538;1.5832613434654106
TMEM101;0.05750637052459999;-2.248352935889884
C17orf63;0.5042859713785479;-0.7085453906457558
C6orf129;0.5965741807874951;0.46587364282664057
LRRC28;0.2900732567524221;-1.0509580286892528
RHBDL3;0.5954472970787399;0.19506058543806004
SKAP2;0.5328246285524958;-0.5450146782769437
SOCS1;0.859515463393818;0.0946713037436523
TBX4;0.13168357344916806;-0.293267625382862
FAM196A;0.4213813616286717;-0.4188395765554032
NPS;1.0;-145.48837615572793
PAQR7;0.7824366160787863;-0.19624520759502184
SPRR1B;0.3502076966221762;-0.20460085727003333
SS18L1;0.942484099393047;-0.06925207513623341
GLB1L3;0.16754529334086132;-0.30972393054906516
HTR2C;0.9757822736501017;0.004661417810241982
POLR2L;0.4442822229015132;0.7074432586998205
PPAPDC2;0.3290885926990397;-0.7225556585076885
PPP1R3G;0.08694994909452193;-0.6011732152948575
CLIC1;0.8554479235885684;0.1790497115614344
LOC100287718;0.013248719375955493;3.4290688723537355
RPS6KA6;0.7186015716990719;-0.09037308432825619
SS18L2;0.12584701719871152;1.697425720866582
ATXN1;0.525475442024524;-0.525214356213355
C20orf108;0.6445263564503538;-0.3269013883121826
FRMD7;0.6753898041169508;0.19742504846617473
NRSN2;0.5367945696660686;0.40454582241589965
PABPC1L;0.09328047203407126;1.0236975570262885
RGS7;0.41119178429213776;-0.19222962875002547
CXorf22;0.5175686331196498;0.15305727631819435
DCDC2B;0.953897169774192;0.023455332753537585
NSUN5;0.7235259973348491;-0.355827152357158
PM20D2;0.6876809813673703;-0.23920966719111625
RASD1;0.9059455959997165;-0.04282129345764377
ASCL4;0.9459581513030955;0.028955677862766874
C16orf57;0.9094175763212762;-0.11083392063509215
C1orf130;0.5989813138993911;0.16825637647796196
CSRNP1;0.11195040855723626;1.1298600673826802
FAM171A1;0.10909338287281431;0.7432667739553737
LPPR1;0.6851684606823722;-0.0713463019912492
USP8;0.3731425013377234;-1.336573213100209
EEF2K;0.7800953129933914;-0.27719016227494375
EHD1;0.22308159973563213;1.137700309104882
MDH1;0.28218202772003786;1.3537543432995476
DIRC2;0.029947811324378328;2.056287754154693
ALG3;0.44470782279144805;-0.7778561877685118
CEACAM22P;0.3050011922376339;0.37752398415803695
FCRLA;0.1896155289486795;0.3869087915867351
FREM1;0.21184399857718494;0.2954275973582552
GAS2L2;0.06606596892564404;-0.5963817487460993
MGAT4B;0.22834462920976095;0.9923813003775249
ASB16;0.5208100451233837;-0.5307147183877685
C2orf79;0.05859908731108496;-2.1415142145204973
FBXL16;0.2279797302763915;0.46444824850508465
GRLF1;0.9739513778805324;0.040632326846912196
HSPH1;0.4850092587221895;-0.43257764187631487
PEX13;0.002709547205509423;-5.002093390851481
POLG;0.3708745229959779;1.08349632892229
PRKX;0.8632223359202373;0.11496402434960919
DGCR11;0.08354912258809163;-1.1434882434857216
FAM38B;0.13025652953391925;0.6798298774168866
PRKACA;0.01661073617510773;-3.8255776655277405
DDX25;0.48522536538820726;0.20371426046190758
