genes;pvalue;coef
BCAR3;0.059413132477476385;0.8750440973308676
DDX43;0.6369208340532511;0.05716279920152512
GPR81;0.9443327309932931;-0.01680603365266019
KDR;0.5744727270791903;0.2625374568152111
TNFSF11;0.3375467949265579;-0.1181746221590554
C9orf23;0.12911802364689454;0.9000363971960785
FGF12;0.7053535124458441;-0.04997929610319874
FOXJ1;0.9736946181891549;0.004362122891576896
HOOK2;0.3476797844970997;0.37849491944475194
MED6;0.13169557091748374;-0.9164784437620768
MPDU1;0.8962835066887594;0.07146178343030281
P2RY1;0.7611578479352852;-0.08074327859801135
PRTG;0.5765988807286486;0.10101478589912667
SLC15A4;0.19631851592888294;0.6345069488235794
SMCP;0.9788120644948587;0.028422424850716773
ATG9B;0.006953679724633775;-0.9547486848311698
BCKDHB;0.23849979514335196;-0.5151464271655354
C3orf31;0.20729993877634612;0.594302279091051
C6orf145;0.017147631831883448;-1.050245589415351
CRYZ;0.19257880311412667;-0.5467735118034847
EPHA7;0.05034781142502368;0.40759832301375937
LOC100130691;0.1196766568253617;-0.5704492991335265
OSR2;0.9599323009176735;-0.006483514695048406
ADAMTS9;0.08583539769660635;0.5681858767545449
CASP7;0.10861874501833249;0.8726893418480407
CCDC60;0.0008666175368965639;1.1684357021848681
FAM19A2;0.19222143856569207;-0.30406020693738633
GATSL3;0.2048909615755462;0.5052508822936035
HBQ1;0.6434848171736878;-0.19772656232391236
HSP90AA1;0.34538465153570896;0.49355593904270534
MAST4;0.5201389380919292;0.20696877258423757
NMNAT2;0.0003722433174563322;0.9111129408245526
ALG5;0.5162979591866637;-0.3330075427603217
CRAT;0.8978026336922921;-0.07096884996795284
LSM14A;0.04651839374618844;-1.8570047972240658
MEOX2;0.031086496335745343;-0.43989282621082176
MSRB2;0.49145520439453294;0.3920348831816044
NRM;0.0014073107746542775;1.6498337558333478
PTHLH;0.5615102197180162;-0.09087066760143306
RAPGEF2;0.5832029999039106;0.3145236496209172
ZNF296;0.1045745548762805;0.44769589196089565
CCDC24;0.8744966433552992;0.05532070099479098
CORO6;0.08354290099177712;-0.48687045394414236
MBNL3;0.049222520438085324;-0.5296929206474755
NICN1;0.5128378612315162;0.38676905016407376
PMS2L1;0.743776467594699;-0.19766123897088927
