genes;pvalue;coef
ACVR1B;0.06373099980318826;1.9828847369573865
C1orf212;0.6443607482469741;-0.6494675696051083
HPDL;0.01571315973289773;-1.1430429878048673
LOC84989;0.41129543331662166;-0.4271888799901366
MIR17HG;0.1642826324196187;-0.736552117717164
SHOX2;0.7483044674848341;0.10747715566178316
C12orf29;0.2818298361163929;-1.5308274489721376
CCDC147;0.9341638881269394;-0.03647871405133394
CSF2;0.7166037501245077;-0.12555196412733682
FOXO1;0.1756056273671337;-1.2044275034203975
LEPROTL1;0.19141740548547415;-1.4418713713296711
LOC399959;0.10805002768032448;-1.244145484966561
MPP4;0.8797494622147086;0.05606425732804255
SLC13A4;0.3098902595484483;0.4690866895065916
VDAC1;0.1795236490430453;2.772144132817535
VSTM2L;0.6468365663360536;0.19081434788059223
C10orf47;0.03336035878994751;1.5387250807550672
FLRT2;0.37136921512291055;0.30679902169320433
PLEKHA5;0.32386374660327166;0.8124504817476903
CNGB3;0.003867975945584492;1.541024421299893
DICER1;0.7399127559961833;-0.4202160820650985
LIPA;0.48621199807684923;0.7703556369509893
SLC25A28;0.07557880937430961;2.616644550029904
ZNF10;0.13022540052289372;1.0295823994851179
GRAMD1C;0.42385058122061625;-0.37025797623300655
NADSYN1;0.9075546309608149;-0.0772207237239136
PTGR1;0.15793433074289887;0.8846751628321257
REM2;0.44747249832104696;-0.5049021956419711
RNF39;0.8765575825622285;0.08330574816593106
TEPP;0.009150138556630374;0.8618275577363579
CDC37L1;0.7700202126534401;-0.2966504550147518
CPA2;0.27574838049922135;-0.3753506850708301
GUCY2C;0.21912932818014708;0.6391448469212787
HMBS;0.5726924266030617;-0.6571421680840188
MVD;0.024546522662707446;1.941694756240628
SPTLC3;0.17516964492046483;0.6702880247190863
TMEM101;0.5836967723554557;-0.678244960396095
AADACL3;0.07772840011240116;-3.240840419571109
ACTB;0.6075905485497254;-1.0299225222140949
ARHGAP17;0.5289231137008807;-1.0807700086666405
CES1;0.4642099923619829;0.2184156682317466
CSRP2;0.9869804610412541;0.0111642710896333
MOCS2;0.0070402767240471155;4.0138784601712025
MYH7B;0.014678701701944893;-1.6596354412536267
NICN1;0.6421389157056123;-0.6457557778989149
PHOSPHO2;0.46354590754093916;-0.5698308876833906
PSMG4;0.01756128454708646;-2.602366309327754
RGS13;0.343813228431736;-0.41647173073708293
CCDC11;0.553039032284421;0.23181751298664852
LGR6;0.5029726283368896;-0.16428558719523992
SATB2;0.9009948029715497;0.05576056788302319
ANKRD58;0.10270771159797426;1.5830928827166237
CDON;0.4525858602892162;0.41489907335537124
CPLX1;0.0728653894282104;0.8816322019211559
CYP2F1;0.27394310701075253;-0.36364533090727147
P4HTM;0.311103632754161;-0.8215565983667444
RBM10;0.3951187737055466;1.449999091287691
ATPIF1;0.010526080016052795;4.648095419952239
CIDECP;0.5311512415160307;-0.9455650221355262
ETV3L;0.35710716057822445;0.8822835098262607
GAS6;0.003643213048613986;-4.202884148069837
GGT1;0.13624957859373474;-0.9998230077206389
MCAT;0.02051772608274627;-5.208038544915547
NIPAL3;0.8196093705204771;0.2942429644969612
NKIRAS1;0.32359852950180845;1.5471639136099353
TK1;0.9092507923771027;-0.1372281576318734
UFSP2;0.3694530985848645;1.3659572307957337
ZNF389;0.6226805298997777;-0.2713290674128844
CCRN4L;0.07197552022124755;-1.8910833072035491
DNAJC6;0.3517185482027445;-0.3484011093602323
FAM13C;0.5228260376564774;0.47171588150189037
LOC440173;0.20235929938307962;0.3280018313250172
NEUROD4;0.7274714333369006;0.3778014755144575
PABPC5;0.7899499791909655;0.14285701638065412
PKIA;0.3262827961533117;0.4047278783007956
