genes;pvalue;coef
CDKN2C;0.9893601285538427;0.003829270573031707
CECR2;0.31233628252664936;-0.16225800948675534
DNAJA3;0.21092402628586226;-0.9827381915104099
TSPAN14;0.441034595603396;0.49880189961611426
ZNF747;0.23126892377269648;0.7583413856010102
KLHL38;0.10008848050752864;0.3327322602144308
LOXHD1;0.3636991207298482;0.2763071615374226
NMU;0.20515423840962022;0.18294928205198827
NT5E;0.45241805267821;-0.19274522824075918
OR4N2;0.19336371428645027;-0.5280731164214142
PTK6;0.127208911082736;0.4036276693849532
RHOBTB3;0.5451531044884139;-0.1440185897787587
TEAD2;0.1530093630107231;0.5725627254123015
TIMM8A;0.8346816102734653;-0.1165025001520245
AWAT1;0.7240384435341275;-0.11310799994547228
CASP7;0.977976509998713;-0.014241766968202698
CHSY3;0.787254373454863;0.07200561516726799
KLHL3;0.4724828460793361;0.21409113581952982
OPRK1;0.5145533004031841;0.09966002339547245
PRKCH;0.6874923201234604;-0.16999437017331304
RB1;0.09840925335527237;0.6267528793239765
RFTN1;0.9051265299432874;0.04128378891410345
ADAMTS9;0.3907290543718789;0.27512057338587814
BEX2;0.3517951929421501;-0.16309420335749827
C19orf54;0.9069203970915729;-0.06426564541237684
HLA.E;0.05696380563330253;-1.2031500599511893
KCNIP3;0.853594017877695;-0.03645580939051848
KTN1;0.6505878829245315;-0.29294173104907795
NOX4;0.822388734830382;0.04436687045924654
NUAK1;0.22475729551701318;-0.402177618018069
ATP2B4;0.8863445862807138;0.06319441336585295
CASKIN1;0.41145479921094175;-0.15380230488193603
DHTKD1;0.08904096956816107;0.88689194387836
FSTL3;0.5693101130137761;0.1088723116567439
MALT1;0.20981296634043645;0.6195247954671524
NSA2;0.1802973552388749;0.7561893824396723
RAPSN;0.6072457652703536;0.09082599532628113
ALS2CL;0.10219353742064523;0.4813343899420639
BCL9;0.5194103395106093;0.3263327164237885
BLCAP;0.9028855157265449;-0.07517633502074596
C11orf53;0.03952471588258019;0.3247291521157556
C17orf51;0.31304011932835873;-0.37404963803748403
FAM182A;0.9731497788052931;-0.005860992395383364
GPR12;0.06858453814955298;-0.5391335014561919
KRT77;0.6665517226047455;-0.150269085305907
RERGL;0.0329852069308809;0.27825533693902155
RHEBL1;0.3255504925385302;-0.4033181933088148
SCARNA12;0.45569199441035846;-0.28877664854490426
TMEM189.UBE2V1;0.42399071368683794;0.09858952860383219
ATRN;0.025369554521535994;-1.321234357245199
C11orf74;0.44849992775410086;-0.39349856224296015
CDK4;0.8845478531115186;-0.04101171178696177
KIAA1467;0.7667888506615439;-0.12828731704293672
SIK2;0.7143703541190105;0.18920706535482562
ATP5B;0.3536121582777345;0.7483308349946434
DAGLA;0.23923067886547023;0.5532496695140892
FAM40B;0.7596421535441795;0.0830159085270309
FRMPD2;0.8688746239206478;0.04904128376677596
MGC87042;0.07822278875742772;0.38899737039414006
PA2G4;0.5718263710010423;0.4015086523032146
PCDHGA2;0.9025588452338371;-0.022310502151042563
TPSG1;0.0503749068065693;0.35877229083386936
TTC36;0.5250195015772899;0.17548232770722672
VWA5B2;0.36350769917964076;0.20676018699299104
CRABP1;0.4582455994176051;-0.07282217353290221
SLC16A6;0.42615870979416126;0.20966232873914892
UBQLN3;0.7658827583569876;0.2567054273652199
C4orf27;0.7189943920780314;-0.2458933512853095
CD151;0.047828106431707595;-1.0126841370298638
CDX2;0.018440217525772823;-0.7632651661101267
COL1A1;0.0035068180547963416;-1.0538579048582477
GUCY2C;0.626253928317495;0.10968287649749656
KCNC3;0.01952775726658279;-0.7021795474639568
KIAA1486;0.9234484597695359;0.02233960427518073
PEPD;0.19356018860990465;-0.829191611320242
TAF8;0.1131187654303709;-0.8634116162239708
ERF;0.8438814838896189;-0.10483789628061724
IL1R1;0.9981550454572264;0.0006003575900402045
ILVBL;0.7283058808268985;-0.22238668940828843
MRPL4;0.5778963197387179;0.44134498854828513
MYBL1;0.862709593693514;0.053473466332979835
PRDM13;0.11219463046271855;-0.35377230074364024
ACOT1;0.692829543664819;0.15353043587219087
ADCY1;0.9541082528370607;-0.009440148936101293
DUSP22;0.293531551051474;0.5609862721456674
FADS1;0.17825445411013385;0.47399851275402466
SH3BP5;0.4876794263635045;-0.21546932354655698
SLC24A6;0.6458658388071387;-0.21360366719399185
SV2C;0.20843893390121448;0.370175531269603
VAV2;0.5296383348603034;0.3112378023408299
ZDHHC2;0.4663397412959226;-0.19424978497763923
CHRND;0.828669600987382;0.07864875486268737
FLNB;0.5685987896781636;-0.19923255958061825
KHDC1L;0.11937843179040578;-0.3665591083139024
LPCAT3;0.4136084059973436;0.48204458711890147
LSP1;0.1389240681470918;0.4287468619301307
LY6G5C;0.9202965439253475;-0.040704094459263894
NEK8;0.07617546473787487;-0.7761486212602733
NLRP2;0.936029601439003;0.010620748794796773
PQLC3;0.2665650371716528;-0.5109242087269538
SEPT12;0.010710421031812058;-0.9489731362925816
SYNJ2;0.6259065024125445;-0.16893681055977444
C4orf34;0.20909396866879315;-0.5855037290774948
CYP3A43;0.8621498921791543;0.052417269526064056
FAM177B;0.7807540832386913;0.05257109825748117
GRLF1;0.22719935941951297;-0.5785219088376156
HSPC072;0.8394944995384948;-0.041256077417951474
IDH2;0.5955991853506168;-0.2820398362788521
IRAK2;0.14074302511326864;-0.5849036390449747
LUZP2;0.3578213381494316;0.10873766588049272
MFSD5;0.3539876829840659;-0.8209391087681364
NCRNA00162;0.6468267328783532;-0.07373558334249937
OSTalpha;0.0978618772395714;-0.5602964679252068
C10orf107;0.177368732908194;0.23273541758408972
ESYT1;0.23622834854211316;0.6602672016252233
GLS;0.8420616515786965;-0.10957099363625136
HYAL2;0.7426645225264132;-0.22237438176707341
LOC728723;0.7049359345228046;-0.11215801376647995
MGC23284;0.3381083018092176;0.47432369901312976
MUC4;0.9675317188448056;0.007241236185616652
PIP;0.2633329356250699;0.24830454356470977
SCUBE1;0.8084888348754851;0.025248180172137504
TMEM9;0.1317916355602267;0.9056157945175828
TSEN34;0.21835005492624215;0.820449097352029
ZEB2;0.9515248957752958;-0.029071905365437065
ATAD3C;0.749043537547623;0.07876803760756938
MGST2;0.07971532203095683;-0.9871076022321309
SLC2A12;0.36146052274558393;0.2168836819422342
SLC41A2;0.9762864697550329;-0.010869855918817183
TNFAIP8L1;0.06369177222718822;0.9494176154100123
CNP;0.12164253140810198;-1.1457182556951617
GGA2;0.8843052640755933;0.10228060855266044
GNB1L;0.41609745486319005;0.4013035043500732
GPCPD1;0.29895542559019606;-0.4881352560573482
KCNK2;0.17484209939177608;-0.14925559725912815
LAT;0.3497532326534034;-0.3955658432936093
MAP7D2;0.4387608281554386;-0.11071989597060966
MEF2D;0.6380701432578089;0.30991819910187346
MRPS30;0.8156924042997475;0.13505188350406164
NTHL1;0.019946033582519562;1.4345965213593215
OVGP1;0.4904335038900931;-0.2639164948125463
RD3;0.8124561174637887;-0.06693307145763043
ZNF404;0.6810365003250113;-0.11706043869044956
C6orf10;0.12244376071968421;1.0326095720635617
CCDC67;0.3196077054355859;-0.1940117033821343
CDYL2;0.018431603838279062;-0.8178377126851177
CIDEA;0.13326457166516348;-0.2688225882139028
HIST1H2BN;0.4514269864324818;-0.20030682904255284
IGFBP2;0.011380407785792284;-0.622833516387228
MMP19;0.28115153836811124;0.41128890389648
PARP10;0.3785205317702076;0.41067772886267356
SUOX;0.0755939429302978;-1.1883596496605071
ZNF319;0.6283947080946304;0.3524268556720725
C11orf95;0.2848325721866348;0.5686570604429876
F12;0.009864832165403105;-0.5331340083155788
MST1P2;0.8018849877402214;0.05997062652044878
PCDHB6;0.36825631046917995;-0.15708495399551328
SLC19A2;0.5999408380888533;0.15580806990308638
TMEM130;0.07320001836125598;-0.2724465761144832
TRDN;0.17216815674369335;0.1783527889534916
FN1;0.4925572156359965;-0.176470698392869
HES5;0.24816515409077167;-0.22194800614491153
MUC6;0.13074304380818727;0.22023147905610005
SUZ12;0.7010201518712891;-0.19975744441105478
ANKRD2;0.003139045269691579;0.3502493641398613
ATP6V0B;0.9846651013686547;0.014542051554486703
CRIP2;0.12303651577335836;-0.6856458273843165
KANK2;0.6815736532419134;0.22138271281295188
LOC149837;0.020686807656348196;0.5068570644579561
LOC283663;0.26745276066537627;-0.3418927544888884
LRRC16A;0.09472333072965405;0.5169678408034803
MEOX2;0.5190944943194498;0.1201232821108365
PVRL1;0.42672441374393366;0.3170548995164519
STEAP4;0.04962189919091547;-0.3800889039193418
TNS3;0.24942056858621497;0.45871336960063525
C14orf184;0.7605192248831398;0.09974306590843088
ENTPD2;0.5129582239922748;0.08955771372213199
TBX5;0.06895377431101771;-0.16670272887282
EMR1;0.19863140457459427;-0.24952654278615738
FCGR2B;0.9733968563766571;0.006919679091249958
FGF23;0.5648905034587547;0.20861981202848554
GDA;0.6751162292085999;0.05404547113227329
ITIH5L;0.4890266647387198;-0.20148470135960908
LHX3;0.5022815891908914;-0.21937662442354824
SAMD11;0.7024247864718978;0.05037715892512515
TMEM132A;0.6269415791578368;0.14541274429803083
WWC2;0.5036258002696681;-0.23698428327596496
ZNF154;0.2100761754766053;0.25701400137655617
ABHD1;0.7362029904694858;-0.07922822716017634
ALDH3A2;0.7969153529919117;0.10862656001962448
CEP70;0.21204524693303084;0.474218297998034
CXCL2;0.6193368912008157;0.09845591346643809
FDPS;0.4364062531077032;0.5374000762077509
FLJ45244;0.8231514970641164;-0.0885411649227258
NSL1;0.502095322617188;0.4954833370894625
TSPAN12;0.25930724945171724;-0.3152478577706595
ACADL;0.8167402228999308;0.030386123343855948
LOC100188947;0.3351321961370288;0.2130384794675945
RBM11;0.8770001380599257;0.027173305989350006
TMCO1;0.6856428498755835;0.26967337982963185
ANKRD49;0.7863466721733643;0.1677900250814554
C21orf62;0.21785472523283544;-0.24959790023621906
EMR2;0.2863069544685253;0.41633281370417285
KCNJ15;0.9459093556050946;-0.010210982866785371
KIAA1257;0.8913498539548433;-0.032281208585893506
PLCG1;0.036576476878144755;1.3930889751935023
SLC26A11;0.19624286643557132;-0.6655141063358565
TMBIM4;0.613366735075017;-0.3243381610172573
TNFSF12;0.9179526635844197;0.04618675345025209
TXNRD1;0.6632364116268492;0.16861254459010186
WARS2;0.5687036432498047;-0.3040273841155707
CCDC153;0.0402030101011244;-0.7201570655297566
FAM13C;0.06691073751178049;0.48158015809849514
HESX1;0.7418567454773057;0.11776512627066067
MGAT4B;0.8780346192272337;0.0844245653619297
SLC35B2;0.5629674163240374;0.31161645608448213
C15orf24;0.3170873272244964;-0.7570696351004774
CCDC123;0.019797548614255193;1.3887310367182262
DIP2C;0.7298141831247202;-0.08960169473810829
FAM125A;0.992728891126566;0.005431339248076616
OBFC2A;0.8357541403608493;0.08414556735291949
PAX1;0.48278061393344907;0.0900975703679028
PDE7A;0.3074370272109255;0.5131747459855494
PNMAL1;0.7769702211916707;0.045394074641626016
SCO2;0.0505026290063592;1.2218790269036948
SLC5A5;0.15217144040744404;0.36947259819430844
STK32C;0.2886215995833804;0.4236534715207072
TMCC3;0.4853991906308184;0.25137618383241633
WBSCR28;0.07142286197750491;0.39557621945833255
DOM3Z;0.16681845557609476;0.9010087362739452
LOC150568;0.2708964218993587;0.323959785060902
NAGLU;0.058495745913352375;-1.0256421057974268
PGP;0.9098505719728387;-0.06538289028083759
POLD1;0.3599909807889142;0.5385506055288191
SLC26A4;0.8574175734711295;-0.040713335574455146
TCAP;0.29549660267954425;0.29323339843968643
ESR1;0.9141683843371116;0.01893233205173696
HMBS;0.71971576433428;-0.18191757997141056
NKX2.8;0.6442037399134759;-0.07231034965872203
NOMO1;0.927118312858952;-0.04986400267863018
PAEP;0.5126745711412586;0.10737627918769789
RAD17;0.07971496744696545;1.2383797836016446
SLC6A10P;0.924183029587542;-0.01717284468980365
TRAF1;0.4335275077046453;-0.260507977034462
ACTG1;0.5299827016781995;-0.35891448520840824
BCL11A;0.3232415179941205;-0.18984178180750183
CYP2R1;0.4528675028757393;-0.2591200333262394
GMPS;0.595661877598949;-0.3026383548132155
PCSK1N;0.48531118598815215;-0.07761735750026984
SND1;0.2909543942864048;0.6571471478763579
AADACL3;0.055363930592015616;0.9106253212030484
EDARADD;0.8623945407168495;0.07966903981935838
LPIN1;0.5780756098634101;-0.2774740027552028
PDZD7;0.7784370450243738;0.07359200394287427
TMEM101;0.47395259118357735;-0.4483350307737311
ACTN1;0.11591780571740037;-0.5366913666867411
BCDIN3D;0.4260858276425731;-0.4480663926613963
DPP9;0.7220332066963837;0.238880948400669
MAN2B1;0.6592552594909084;-0.21084280819625484
C11orf16;0.7679034624590109;0.10047014976188744
CXorf38;0.62692584083507;-0.26618563613383894
FBXO11;0.20548916211297896;-1.0364147158344523
HTR3A;0.36142161734966405;-0.16917635802957356
LOC729234;0.6109315020634014;-0.1601575077286121
PLA2G3;0.2668917026951041;0.2923792590806641
PLA2G4D;0.09469143796638332;-0.49950689760042766
RBMX2;0.6312407256522061;-0.3246065033710502
ART5;0.004273656880735692;-0.5081132401314579
BCL7B;0.41349376399469184;-0.7176275703276778
CACNA2D2;0.6447932929448502;0.11404626115069906
CPZ;0.9893182159834636;0.0017827360909710174
FAM81B;0.1967934159044029;0.35429831039626425
FOLR1;0.04990520628218496;-0.30004239680274025
KATNB1;0.2973498614007374;-0.6988359644342566
LOC145783;0.7439906331151154;-0.1417131620371133
LOC344595;0.039209808587693455;0.8102255792511763
MST4;0.4986020978737421;-0.1542329150854691
PMM1;0.6638489603366544;0.23990591780707152
RDH10;0.7544288975298702;0.08549789545795553
USE1;0.20319352321007345;0.8953415432661523
ZNF763;0.3161740873398733;0.4746091463216799
CCNG2;0.2538751347167967;0.5834220473095675
CPVL;0.8696728056565377;0.05375992044954855
ELL;0.8379373268178477;0.15922186456410797
EPHA4;0.19649026770289024;0.2824232312795925
