genes;pvalue;coef
ADC;0.5597034068441435;0.18957759897124057
BACE1;0.20446242434459883;-0.4899639656423731
C15orf2;0.4289185840547395;-0.2334610513323333
C19orf76;0.3984358016737263;-0.22727578957486527
ERC1;0.08659108027686432;0.7358990103442615
GBF1;0.3619225642556374;-0.6289270658363388
KLF12;0.2557679039288677;-0.3236047003962682
PDPN;0.9659386979583751;-0.009075918064143935
RORA;0.8684854301470788;0.04467826815654776
SMYD2;0.8215131970523081;-0.11172843807291957
TBC1D10B;0.43636328905417454;-0.6425126114447381
TREX1;0.27492642279118995;0.46889679067798734
UBTD2;0.0009069197846827878;1.7175897419912058
VRK3;0.6612407399925058;0.271428523366115
ADCY9;0.0013751101299357648;-1.446420388736469
ALG3;0.6903926848585759;0.2205654811132348
ATP6V1E1;0.4433558523117732;-0.4308437726357582
C14orf109;0.7488356322285887;0.16932292206039695
C17orf96;0.0021375644190840598;1.0095796540172544
C20orf112;0.8067443664301577;0.06658019915144714
ERCC4;0.04785469039271338;-1.2388536338521627
FAM92A1;0.7778192347284518;0.062321500198030906
GOLGA7;0.06080796440960228;0.8805511028953716
GRM3;0.4374615389506925;-0.14423544800582966
IL1RAP;0.5829252234722483;0.12995466081158527
INSL5;0.19099179874779415;-0.5747916092540795
LANCL3;0.08116367966560271;0.35172218211869194
LMO7;0.3531198460555387;-0.25266382226567347
MAK;0.5717953535271563;0.15700265671634808
MEGF6;0.3911075957472022;-0.1711984605827116
MOCOS;0.5890972272877439;-0.10442011582263047
NFE2L1;0.5193027555140008;-0.4312694539226641
OIT3;0.5128110674600772;-0.10266532500829284
STK19;0.4037602626740603;-0.48434863430652286
TCAP;0.6511267388794988;-0.1052044229682403
YWHAE;0.7232950431738847;0.21302441161660668
AR;0.18172958620177815;-0.1979381206447787
CKMT1A;0.2779727382664957;-0.10828004315754218
CUEDC2;0.5448472533936005;0.33765166546407566
DEK;0.4756044774146404;-0.3684771907484994
FAM107B;0.529839759998318;0.1782640632985327
FZD1;0.1834875942865658;-0.35356820704444575
GLDN;0.9799022910060323;-0.003764969938261777
LOC157381;0.706610348460373;0.0627383485846441
MOXD1;0.099330917599426;0.19940006708169844
MYOZ1;0.3093522125270002;0.1619829974437416
PCDH7;0.3038269876838311;0.20200492902482142
PML;0.21763108851858703;-0.6009439530634317
PQLC2;0.2854427007994744;-0.5732729302644737
SLC2A12;0.4958829080642214;-0.16950418820672744
TFB1M;0.821130285700566;-0.07564640028625379
APTX;0.6349327075017033;-0.22826875116086093
C17orf95;0.30111397299589016;0.5717233641831797
CACNA1D;0.8786407506958075;0.017978538345110703
CEACAM20;0.47994886921773505;0.6643264765158374
CUTA;0.6233447769822587;-0.25506780811206603
HSPA2;0.4777427206167125;-0.11770881732246645
LOC731779;0.2721019836403058;1.4531965021305573
LRIG3;0.4237533685029523;0.15828858437847954
POP4;0.03831276856948233;1.3971351334731266
SHH;0.9300301606663237;-0.016887915148521306
STX3;0.9490464968811795;-0.024092845483151475
TJP2;0.4184085448848255;-0.2313665976565325
TXNRD3IT1;0.6274522662079884;-0.148561780124535
ACCN2;0.4196381506140723;-0.16109186241753454
ADRA1D;0.5173566752324235;0.12221294326938681
AMPD3;0.6714880108938263;0.16509627481092473
BMP8B;0.07332604058350678;0.2721402764273636
CACNB4;0.6445043958803667;0.09631113306304855
CEBPG;0.3401304931440319;-0.49692219629656526
FRMPD2;0.39024498094310534;-0.38122170022696367
GALR1;0.8007617747627092;0.06705409284296104
HMGB3;0.6660900787283852;-0.13249560444501646
KCNK3;0.3861091701370164;-0.1400184235141379
LOC550643;0.023268237632691525;1.0056375290661759
LOC92973;0.5605450343095697;-0.12029691551581326
MYL5;0.893866286507435;-0.04940976266564724
NCOR1;0.21007308974601835;-0.7619755952889418
NXN;0.3838077861745589;0.1887099652129907
PFDN2;0.6388631544027137;0.25424791573431077
PLCH1;0.42929669894180067;0.11861219371478642
SUZ12;0.7492823642499571;0.17494802447412644
TMEM132C;0.901882081414632;0.020327847477023715
TMEM67;0.8955344657061799;0.03817109547714861
TP63;0.30322072497919195;-0.16503187351640788
UBE2E1;0.2660202213231596;0.7118308037829731
WFDC1;0.7806018499142943;-0.02583348538164377
C12orf52;0.09862031518680799;-0.936341426034031
C14orf139;0.1802774269148496;-0.33769756794560923
C14orf180;0.7666062109555849;0.06549593501570464
CA4;0.9604046778419411;-0.006787464054896848
ERBB4;0.5852876875983581;0.05942450449056513
FAM65A;0.23470251990392954;0.5982848313869632
FLJ13197;0.8584433324838485;-0.041618830836186144
FLNA;0.46777468937030575;-0.2849063711759618
KCNIP3;0.8262862979190665;-0.04254724851585704
LYNX1;0.8839672374332744;0.026147862918304732
POLH;0.6441504498950097;0.1811941410610743
SCCPDH;0.6807783308152262;-0.0700883472562625
SLC25A20;0.020800896516504297;1.0318624130376677
UBE2G2;0.10898811177255953;-0.7571552171146135
ZSCAN21;0.927115944875519;0.045806402604257425
ADH1C;0.9673495287669506;-0.006498304678435062
ALG11;0.28894824942160113;-0.2719397954835998
C1orf125;0.8737741966387731;-0.03513464420784656
CALM3;0.9614047811338374;0.026825876560968742
CG030;0.9307741210839224;0.026343062094007334
CH25H;0.8193077445127165;-0.045305735315262184
IL6ST;0.34452199375632064;-0.3009994920197195
NDUFV3;0.11776189996797706;-0.6444811758647697
PIK3C2G;0.4080027453754175;0.20441140199442603
PRR5.ARHGAP8;0.0271233248581855;-0.24995327821250884
SNRPB2;0.4582087890925831;-0.3675153329112736
TEAD4;0.48039590617157035;-0.3025421375528533
TMEM63C;0.6259400979456626;0.06672817484333485
ABCC6P2;0.826468828915948;-0.04127502159080372
AURKAPS1;0.9676317453205902;-0.012456854889833517
BOD1;0.39375843078107353;0.5153293936961623
C18orf21;0.5720361284636608;-0.30546509327515803
C3orf58;0.0622237469618413;0.6203163236551337
FANCE;0.7712361256181537;0.11201963296069731
