genes;pvalue;coef
ACSL3;0.021221516980197013;-0.2895801042517633
ACY3;0.6238913743902674;-0.020927903151209678
ADAMTS4;0.4675011553839674;-0.04462314872307067
AKAP3;0.5513878521506834;-0.03400838509308108
ALAS2;0.6253799397537269;-0.02369437771809978
ANKRD57;0.8200609550875981;0.023991737093327494
APOD;0.8173169088292747;0.009323844541495563
ARMCX2;0.45959760687361106;0.04644699882258978
ASTN2;0.27606843813036763;-0.0647139214804467
ATPIF1;0.9537687777065332;0.01086297265373009
AXIN2;0.348561422988653;0.05819454638564391
C10orf107;0.029679980205404122;-0.10374496610177282
C10orf11;0.07176815359839957;0.12317723469338095
C10orf91;0.7846428316050735;0.014063710555073888
C12orf63;0.877066386572635;-0.009126218668424052
C17orf69;0.059804713947865844;0.14432876494861657
C1orf87;0.25373268960663253;0.06260034536217565
C1orf91;0.12256564115193877;0.24204304710765465
C20orf203;0.9761943749315544;0.0018911651046226335
C2orf27A;0.8701174378300475;0.011070105060481476
C2orf67;0.47573134835657127;0.10853679366097889
C6orf165;0.6893899365239298;0.024855482938527546
CALCR;0.2550499054457164;-0.05564104840235017
CALM2;0.191124714855765;-0.24823070337947334
CCDC81;0.6923237556676781;-0.02813947943445323
CEACAM19;0.9149267079602371;-0.0071969980424284544
CIDEC;0.6595701251245538;-0.016723388954846062
CLGN;0.5880050178547989;0.02008938852481613
CLYBL;0.6029604434969069;-0.041927562774390074
CMTM4;0.8680226069902329;-0.016793411496144585
CNPY3;0.9724151405325732;0.00482833101572013
CNTD2;0.0726888547688477;0.07835266609719946
CXorf26;0.8659656610224474;0.02472250640751827
CYGB;0.9498920366263971;-0.0040788747854757
DEK;0.34840396733299694;-0.1467945289850027
DHFR;0.3256972192568457;-0.11352002591350724
DNAI2;0.21845852806716903;0.07407289430773302
DNMT3A;0.3148665586715066;0.1406189011609197
DYSFIP1;0.7080279797741666;-0.02291082850847898
ELK4;0.30265736965030876;0.13283097505848868
EMID2;0.81335432984704;0.008943845704251703
EPHA5;0.19186356974490237;-0.04776025457319349
ERBB4;0.11300760518478362;0.06207424356817824
EXOC3L2;0.1703054075257392;-0.11789612344762207
EZH2;0.8791348876844607;-0.01909508898403384
FAM176A;0.22654752778381226;-0.06565568359245208
FAM19A3;0.6307435453447809;0.02448202247995
FBLN1;0.972865142545335;0.0020168517344703357
FRG2;0.49908009599061964;0.05378082949082904
FUT8;0.16494112687838514;-0.13858605083741468
GALR2;0.6381752813444358;0.026697970271648316
GLI4;0.6947735312977663;0.04583818623419828
GLRX2;0.19524941891885572;0.1864963939602385
GNB1L;0.06002050367397611;0.2084564797403868
GPR1;0.7147203133010127;0.017525495145087146
GPX1;0.09773974383627859;-0.22555642298408643
GRAMD1C;0.5010881002403403;0.04653120733650941
GSTK1;0.7787410368944383;0.04261048521939734
HOXA5;0.5063366777862914;-0.03151890245679736
HOXC4;0.07834693799469862;0.08638219300049532
IDH1;0.022662238072037547;0.27986000744321243
IFI35;0.02172317041791687;-0.23846210444390908
IQGAP1;0.5355430511864866;0.0992363416895941
KANK2;0.3539581351018517;-0.11284771299127083
KATNB1;0.12737388162602117;-0.22841435529365733
KIAA1467;0.6108463304337886;-0.04764680947849177
L3MBTL;0.13796824761778628;0.12523312433950756
LGR6;0.4336519426630685;-0.028210195558160928
LRRC70;0.07441857393446329;0.2063623305451018
LZTR1;0.002530816425028262;-0.45834338707229016
MPP3;0.8888408119164196;0.009642660130954831
MTSS1L;0.5889581874633703;0.05648961295848312
NT5DC3;0.41496307410287137;0.06674698840684881
NT5E;0.3956147915121234;0.047602833651014836
OTX2;0.2445683512564757;0.056990571336719906
PBX1;0.8364360945197754;0.013654849187060985
PCSK1;0.5204470142991773;0.022634198950434985
PDHA1;0.9915881964941476;-0.0017909786573449653
PLAC2;0.10859679390161174;-0.08138472694270647
PPFIBP2;0.007754567948106203;-0.22877683655186465
PPP1R10;0.06150853439148196;0.29187911574953973
PQLC2;0.3717332117230452;-0.15841470337319008
PRTFDC1;0.16861875498067758;0.08829967874877181
PSRC1;0.13876613079681666;0.149043952241957
RAPGEF3;0.6182089450760337;0.0389270161339777
RARS;0.16339103764835383;-0.2854443308080935
RGS17;0.27497509279856236;0.05754561559273911
ROBO2;0.2271549237630507;-0.04222846915975465
RRP7A;0.3137380943003192;0.12224061366434646
RSAD1;0.8133821747994019;-0.04078620442445163
SDHAF2;0.3054027445433607;0.22243596681711697
SDHD;0.7186434493349394;0.062376961834135325
SFTPA1;0.3614991697220241;0.03559933834311191
SH2D6;0.2885269809581874;-0.055819641486363765
SHISA9;0.09341169117687272;-0.05885990507203263
SHMT2;0.5823032211080093;-0.07039127811094144
SLC16A1;0.3814225179015618;0.07551277294881595
SLC35D2;0.21031997631487642;-0.16415481945042631
SLC6A12;0.2771896373239633;-0.05798154756819816
SNAP47;0.22044783057386497;-0.23236220352424297
SOX21;0.7046993149049218;0.01370808261395038
SP8;0.7167282179536263;0.013642876419417825
SPRR1B;0.003387524573635817;-0.1051875064131967
SYCE2;0.05479521924025214;0.13431316427357717
TMEM117;0.9372903172443868;0.007679482744577208
TMEM145;0.08736640598732544;0.07581267215160459
TRAF1;0.6716774531795328;-0.0381930820751394
TTC12;0.2840456241643916;-0.080612354464967
TXNDC6;0.9526689534717192;-0.004501843452311522
UBE2D4;0.8935167658234329;-0.020134900150640112
UBIAD1;0.4178129750135675;0.15204346203221505
UCN3;0.21278295701319394;-0.07831292882323396
UROS;0.19344656652384173;0.1955749378003037
ZBTB10;0.12059826987922842;0.14964108358254044
ZNF362;0.44508155307543107;0.12424252438783079
ZNF521;0.511732894067593;-0.04475413889497095
ZSCAN21;0.6929774616796421;0.0635546515935134
ACOT11;0.001997424225394507;-0.17297444877876636
ADIPOR2;0.06835568132650417;-0.24847869370562012
ALDH2;0.166029626605794;0.09940393576765925
AMTN;0.17314730938195877;-0.047751058587948876
ANKRD39;0.26365071553479036;0.17103070418604457
ARPC5L;0.6288171741786381;-0.08798271961203492
ATP10D;0.004181650744769844;0.30485129551129797
ATP6V0D1;0.6330177812581496;0.08887885542893754
BAK1;0.6868533354782895;0.057841974232570155
BIRC6;0.784935130254832;0.0658460438136434
BMPR1A;0.16733797272014994;0.18521998894066422
BNIP3;0.9718140639323765;0.0027782487695647
BTBD11;0.3059619114576131;0.04616387801298847
C17orf107;0.9775952469676871;0.0018029157935995671
C1orf177;0.6869759706345122;0.026032223929093493
C1orf230;0.7447619587334147;0.017079114060325914
C2orf42;0.922051637081447;0.01976351998610642
C2orf43;0.9513026347063459;0.005433612025140599
C6orf129;0.2662483077464364;0.16649439368706287
C9orf21;0.8928357731191032;0.01708999152614992
CATSPERG;0.3718119084261068;-0.06021486226441588
CCDC56;0.9353065686608298;-0.014862353397216007
CCT6B;0.4093855634822312;-0.05843265219321143
CD81;0.8020494497041042;0.03200058326465576
CDH22;0.49242825491838704;0.027067781970583002
CDKN2C;0.32664604666556174;-0.07686982824686892
CGNL1;0.5469403649634521;-0.033887819535143145
CHPF2;0.9739601749359063;-0.004995684718374018
CHRM3;0.5471943719705288;-0.02248507198938159
CORO1C;0.15965876416711144;-0.21749850259573322
COTL1;0.7872430965200976;0.028746447867280735
CPEB3;0.4973545032989184;0.08116158482490508
CYP2W1;0.7856104652657661;-0.009649499725658964
CYP4B1;0.040055707287367424;0.07676666396931461
DGCR8;0.41526423892180164;-0.18456687007412076
DRAM1;0.0889096119317258;-0.16730837170470914
DYSF;0.9061806409950712;0.010453046443413227
ECHDC2;0.2085401385022987;0.10558113998475205
ENG;0.17107713398284774;-0.19427958212130977
FAM107B;0.25228354764971483;-0.09131139196581253
FAM125A;0.9987748435526156;-0.0002344720217540337
FBXL13;0.2580507410629673;-0.06778979479895927
FKBP6;0.5412510550816225;0.0341340044007323
FRK;0.30991246083966684;-0.06930883865487583
FTL;0.9709369294100357;-0.004317479048842196
GAS7;0.21887286205827028;-0.08854272647671857
GATA1;0.2799492514569044;-0.06849306179227378
GLI1;0.428781936023513;-0.03958979097846576
GLT25D2;0.8933701095378628;0.005771137896002675
GPR15;0.9272984765845247;-0.00460565605818687
GPR75;0.7966009034398466;-0.020435074745691638
GRM4;0.6299995340032492;-0.021021964796107243
HAUS5;0.47998503088832367;0.10856430094414733
HHIP;0.5406497639429602;0.02195863661796792
HMGA1;0.07565574334210556;0.15685001722261108
HMGCLL1;0.4779821082332779;-0.034089702809299856
HOXA11;0.7877281257972433;0.009546861160424384
