genes;pvalue;coef
ADAMTS5;0.6973680799202016;0.04531271995540895
BCL7A;0.018128163560998497;0.41819440137321806
C9orf156;0.012506728213473848;-0.696340453837405
C9orf169;0.29757324302225563;0.10569040787841416
CARD11;0.3676071749537927;0.09686918054516001
CHRNA6;0.6663668136139222;-0.036252256081989495
DGAT2;0.16673716953172846;0.13155833071180356
DOCK11;0.7991701388276176;0.03868717424434653
EMP2;0.8859174500216584;-0.0210371743633897
FNDC3B;0.7366813553049611;-0.09112354795436714
FZD9;0.7699540808563256;-0.02579908231465727
GHRL;0.04458297075508657;0.21943020726213427
GUSBL2;0.2872725067979389;0.19591004368073747
HAMP;0.23209128862770967;0.08068028993243855
HOXC11;0.1300409254108656;-0.09088987846716119
IGSF11;0.6689802566421272;0.03204579926086901
IL1B;0.21703734394984586;-0.10005364211017066
JUB;0.23298509586206018;-0.18205502645588614
KCNJ13;0.364516590479548;-0.07086575177880877
KCTD6;0.4058290299958215;0.18909120837625928
KGFLP2;0.007601191975119499;0.41461281934973504
LOC100130691;0.33458389594659865;0.16559596422070683
LOC255167;0.3855286949679402;-0.06449488054517344
LOC285593;0.4427856344441111;0.09297074302432287
MID2;0.8198677347823118;-0.024481617262428795
MORN4;0.05100400427683259;0.34023763795942785
MRPS21;0.29347155334911823;0.2614325883920005
MYOZ1;0.9295155496467342;0.007712609396715858
NCRNA00162;0.0023443233727542096;-0.2166651219559285
NTN3;0.1530479513603641;-0.15865627668124982
NUP210L;0.8276161457938512;0.020326135515790232
PAX7;0.41033447666106326;-0.057261314649202595
PHOSPHO2;0.08894760828260583;0.3280144363544097
PLSCR4;0.6757759645078192;0.0576447763662103
PRR4;0.9812903477445394;-0.0026935557030187797
RTN2;0.6545323355471299;0.061577417128228534
TRIM35;0.5224777058060934;0.15803773045391298
UGGT1;0.9942054104721891;0.0024684039973456124
WBSCR28;0.1677122643377834;0.13449193237007293
ARSI;0.5989426679171035;0.04313257500043595
ARV1;0.400856993538214;-0.2529266130423128
AURKAPS1;0.7174100712975261;-0.06215517387566987
B4GALT6;0.23383916097642654;0.13706045654052662
BMPR1A;0.6093274163211769;0.12364567119645627
C20orf200;0.4834899371635074;-0.05922791194741676
C2orf47;0.06748486501788313;0.6347713298751899
CALCB;0.4375541285475152;-0.057218065343991105
CBX4;0.16668200036818148;-0.33312798467196253
DHX9;0.12985603850037483;0.8712666919785191
DOK1;0.4620659043999281;-0.15643877781595156
DUSP27;0.5241285952096539;0.04345262864531766
EGR3;0.22413186698270215;-0.11390768396375132
EIF4B;0.34507334042612203;-0.26505324884982706
EPHA6;0.21982160101154258;0.09023615708812455
ERCC4;0.09319082891731245;-0.48430110177524677
FADS1;0.35611229020059987;0.11264668675941689
FAIM;0.9420268481698697;-0.015342726136811643
FER1L5;0.8787342566675025;-0.016284266930405605
FLT4;0.009792267590431286;0.4627924985692094
GDF11;0.004607033297527725;-0.4314825329294595
HEBP2;0.2375738026905736;-0.24424267724882018
MLF1;0.2771269013156279;-0.12371999734699175
MPRIP;0.0028027694802796417;-0.7670003782205871
MPV17L2;0.3198220698244788;0.28630967147109265
NFATC3;0.028335431199831593;0.5687441286263188
NFIC;0.7201535299979642;-0.07588410482436361
NICN1;0.9250185518160609;-0.02205826031224743
PNPLA5;0.22252782410448657;0.12459563827497
PRKX;0.016355913528573393;0.3823967851675818
RAD9A;0.4035543387984831;-0.2166052416404436
SFRP2;0.1810648612256981;-0.07439652145151178
SLC34A3;0.40905313631743145;0.08271271362692478
SS18L1;0.5310121596577022;0.13856052544484013
STAT5B;0.9250716675862661;-0.02982574929958937
SYNGR1;0.21134612570771283;-0.1422915622415079
TMLHE;0.4392325662262614;0.1438245568156381
TNFSF12;0.7894624936460928;0.0579969416984835
TRRAP;0.4708307229785772;-0.25358869321373245
UBE2D4;0.9585271983111876;0.01375030425011524
ZNF502;0.9606168496450282;0.004749048506710172
ZSCAN5A;0.7923176340631575;-0.05014751631290218
AP2M1;0.04015807444101598;0.6115890304109718
C7orf26;0.1264222497054182;0.5028277321744272
CTSK;0.3973849257341192;-0.07514093412874132
DCTD;0.026596770199409144;0.6171992332156464
DYRK3;0.21538624322259536;0.20291138488372154
EMILIN2;0.1181946847113384;-0.2089169994467988
FAM135B;0.6050672828538369;-0.034962706037004035
FAM155A;0.3532908366356121;0.07989931028140983
FNDC5;0.4392267224620886;-0.07405258309570349
GBA3;0.9436840500390171;0.005093237841589161
GOLGA7B;0.0842171687978818;0.1551348833601945
IL2;0.06218158520639423;-0.3605443702435335
LARP1B;0.6395177997953858;-0.12646725089190086
LOC100133669;0.9240287881042115;0.007486402409678151
MCC;0.9009153828296632;0.01768514088068423
MRPL18;0.059201016057500784;-0.55315046275778
MSI2;0.4027453195471338;-0.14131496485384465
MYO1D;0.07814907747913624;0.22976162450094129
NAGLU;0.490612098773038;-0.1641796878217364
NCKAP5L;0.992474493060188;0.002272270757796983
NEDD8;0.3177926795106123;0.3229498025866463
NID1;0.4104182763907165;-0.11297616558457044
NWD1;0.7964117387356724;-0.021054171690326983
POLE4;0.9272951890103996;-0.020986423784550283
PPIE;0.5655656259594898;-0.17861111840382804
S100A10;0.029354063254851927;0.2910844941125778
SCN2A;0.9818811248074943;-0.001446339682323704
