genes;pvalue;coef
AMOTL1;0.2214677812934811;0.13128411255266192
ATP1A1;0.13597769582685815;0.23135708803103405
CABP1;0.08026188294943347;0.12069922975503201
CANT1;0.7738425943660302;0.06279439107580946
CASR;0.06618570692947484;-0.10621850031936464
CCKBR;0.37098200233754874;0.046752253085042696
CCNE1;0.1013561858405157;0.15567784248140562
CD274;0.7545667687155722;0.023348621159349204
CEP70;0.7913562424975196;-0.032749170115793126
CHMP6;0.8355266154793677;-0.04536366894218919
CIB4;0.5562259506450873;-0.05140765160764293
CLCC1;0.27861753428315095;-0.2607866487137942
CLIC6;0.025315830092608384;0.11024868613071463
CLLU1;0.09737697301948749;0.1043974880831882
CNGA4;0.19038285954507383;-0.10694272839971052
COX6A1;0.4050170430761788;0.19205109073292176
COX7A2L;0.444161624875248;0.18427352053520082
CRISP3;0.6857716073600404;0.015177344453189478
CSGALNACT1;0.04752181331263063;-0.1774924504171944
CYCS;0.20535313038432446;0.24270788681202285
DCC;0.45222385049840896;-0.04120532938076573
DCTN1;0.04535354870376577;-0.5786247701603473
DLEU2;0.5900172302173786;-0.05430357703926491
DLG3;0.581648951597842;-0.06111452872392076
DNMBP;0.9287353767845639;-0.012607762671508089
EFNA1;0.01691567744832862;0.26173498844335924
ENPP2;0.012059720131931143;-0.1711771643325858
ERAP1;0.30990509974626;-0.14361825597769315
F2RL1;0.5667716299271142;0.03672709656754725
FAM117B;0.30405622059027093;0.15028322525970395
FAM18A;0.0022039476165666744;-0.31057927704541405
FAM45A;0.19525921398565949;0.25655594428745676
GHRHR;0.341774419791512;0.0563711363769011
GNAI2;0.5819364727263208;0.1432507731971493
GTDC1;0.6162839530422328;0.09035679070166742
HMX1;0.7511585339796605;0.016491689652435648
HSFY2;0.5045988576302709;0.042727115761134506
IER5L;0.31373996507783275;0.10466121410041006
ISL2;0.4625671139896258;0.038273287881939864
JAG1;0.09472139169241701;0.15780162332694564
KCNJ3;0.015952604940009874;-0.13450482450180792
KIAA1324L;0.2885331233785494;-0.06204984098977985
KLF17;0.8262502892348711;0.014845918209311717
KRT71;0.9360306718167006;-0.006190176615138943
KSR2;0.6438578465085216;0.02706837051276937
LOC100132354;0.27634074602814784;0.06695081199109346
LOC550643;0.20150685956549952;0.18897977379760414
LPPR3;0.6699294204257249;-0.023696990785065004
LPPR5;0.7440683569926028;0.01835744088906254
LSM14A;0.28746132733318985;0.26724903856446036
MOCOS;0.10841495589618781;-0.12655241234719136
MPZ;0.9600185326708315;0.00262944347287477
MRM1;0.5605632040219115;-0.09436453194416818
MTCP1;0.46200796249423304;-0.09319900004107438
MYL6B;0.36090004448649793;0.150008794878665
MZF1;0.18564323835784025;-0.22542842401951502
NME6;0.6939378361416608;-0.08411936890845585
NPNT;0.9137383604090702;0.006787280458961322
NXF2;0.22760333218870143;-0.0558379911763841
OTOP2;0.9825019985614426;-0.0020562906719721725
PET112L;0.7713625397414917;-0.056320350763559714
PLCL2;0.20337340400316106;-0.1317487780829259
PNCK;0.022803085255072523;-0.10435234413183875
PSORS1C2;0.09014509325933595;0.08770284978053752
RHOB;0.5708192828035463;0.06053798226739202
RNF208;0.374490015725949;0.09342038943559479
SBDS;0.4649609386495588;0.1645724873716123
SCGB1A1;0.9517525486396201;-0.002684073701149538
SH3TC1;0.3197090036235597;0.10364189746045693
SLC16A4;0.5534473692683729;-0.043302046248105734
SLC22A23;0.4870653852257415;-0.07300940311806038
SLC25A21;0.5397863846150397;-0.035764346530846376
SMC1A;0.440796355511074;-0.18947717661318744
SNUPN;0.6607576210461723;0.09286317107457692
SRC;0.9659071124377185;-0.005700435406250732
SSPO;0.0478777449615906;0.13188550222983203
STAT6;0.05984299275760085;-0.2982174528174885
SYT2;0.3418617058041935;0.07159386239600955
SYT3;0.7802336400232466;-0.01417022676217755
TGFBR1;0.49554146453455084;0.09827026529858696
TMBIM6;0.004329860221412973;-0.7338853120238327
TMEM56;0.06504202062604783;0.12878056251853254
TMEM81;0.4975768965073397;-0.10597371944324206
TUBAL3;0.25193904260875166;-0.06617348898068771
UBL4B;0.33380291854446265;0.06373816528699573
UMODL1;0.3286742087595764;0.05705969016615102
WFIKKN1;0.0012897855339815449;-0.23327806967358988
ZC3H12C;0.02428527527462079;-0.25776218167888565
ZNF485;0.4584595634605011;-0.10517370999384755
ZNHIT2;0.5990368817279925;0.022045275073920158
ACAT1;0.5752528721932851;-0.09128710410125532
ACSL4;0.12737455876812276;-0.14656590135123707
AFF1;0.7591464464353167;0.05894155277892797
ARMC4;0.6268024342288587;-0.026680392075691103
AXL;0.910001311500539;0.012774145630001676
BOLA3;0.5550499983401933;-0.1218982340031183
C11orf20;0.5960620264080341;-0.03192747329243994
C7orf23;0.6103716761645671;-0.06921995643449515
C9orf103;0.08085398104991823;0.23326661869395637
CAPN12;0.9868660619780057;0.0015955353728649756
CDA;0.2917661428616629;0.07104344609233562
CETP;0.645025730278445;-0.03095617450007522
CNNM3;0.3388724136065915;0.19548024398669886
CNTNAP2;0.6466727269649633;0.018700429373800495
COL11A2;0.8173481037376646;-0.013050749492942626
CYB5B;0.7885201046043597;0.049353719837803796
DLK2;0.7429434252014637;-0.019317944803777996
DNASE1L1;0.6470752837431024;-0.07042116731707421
DOK7;0.9028549388685252;-0.006599443636814148
DYNLL1;0.28838474756241816;0.2712679816671726
EGR4;0.39198761300833707;0.04153619083644905
EZR;0.6027311534683775;-0.06683872818921399
F3;0.6867330941535577;-0.02668741777694562
FADS1;0.04372651235563723;0.1706430368040075
