genes;pvalue;coef
BCL2L10;0.9919688312257988;0.0013905463751310812
CLU;0.26861641913360446;-0.15157490374649918
DLG5;0.10358268202959968;0.5238906539049064
DNAJC28;0.45886563761678245;-0.23416061934463842
EDARADD;0.3301544474545851;-0.20200472225754587
FETUB;0.38047935256241816;-0.18594908207913036
FGF19;0.7857090930755177;0.03885005287037358
FLCN;0.35140905081145124;-0.42331517462026635
LMX1B;0.3049623569352998;0.12099967926759549
LOC407835;0.8107579691022668;-0.12068802936334586
MCART1;0.7826653403481284;0.11652853925405172
NLRP2;0.0698309672792784;0.10873132394198166
OR2B6;0.2348249746929838;-0.20615318016556972
PRDM8;0.6180582974090079;0.09223917042029571
RUFY4;0.8004934603671061;0.04180816762067434
SALL3;0.22121219123065472;-0.247213715785834
ATP4B;0.981154456308278;0.006046567303852105
ATRX;0.5046332423425219;0.21343291903473574
BTN1A1;0.42379504877899665;-0.15262584382098668
C20orf123;0.4142203501602343;-0.17923692280597447
FIGN;0.4465886144002281;-0.09519935084015926
HTR1F;0.603181692477287;0.07357420328614338
LOC387647;0.5755067086573552;-0.17605219689059445
NPR2;0.43001327356232244;-0.21368618669191303
RANBP17;0.6174113763991869;-0.05287070628751965
CHRNA1;0.5451174406365266;0.08542865201517892
CYP27A1;0.5668094116880473;-0.11229605396627569
DHDPSL;0.40786229127273677;0.117217131000791
ENPP4;0.07672851044488664;-0.3370389578144543
SERPINI2;0.5647473441796125;-0.19573894377013729
TNFRSF10B;0.6148457929628401;0.09523106681918614
TNFRSF17;0.7371962484763622;0.043307409022461156
C9orf4;0.9668982296633765;0.008704106262988738
CSNK1D;0.0988383347429689;-0.7651470995152503
GLCE;0.9789280007047632;0.00809715009506735
KEAP1;0.8078765576640596;-0.1189450643564807
TMEM115;0.46219520080073717;0.3551717187375527
UPRT;0.16886305200007545;0.6132063247640299
ACAD8;0.29389381041740203;0.4881547622224576
AK7;0.8889143486108634;0.024772173692872695
CCT6B;0.32698958201139516;0.22210963747598522
CORO1C;0.1382930234125882;-0.5968319184347646
CRABP2;0.6215970734412757;0.06829991263306726
HOXA5;0.39024439506642716;0.16394442163679532
NAT8L;0.7790876741493681;0.040428700216201374
NOTUM;0.7390760896519375;0.04322771306145537
PRR22;0.7759055265293157;-0.08123060042564417
RILP;0.9925910592772124;-0.0032807729449335094
SLC4A11;0.9765991361382776;0.005148678107329055
TIGD4;0.023819578643354097;-0.6612162667512832
TMEM198;0.682617014506024;-0.10680021247933077
C8orf4;0.3654314238080836;0.1308253904884248
CSF1R;0.9795659191948914;-0.0062287870448202885
CYS1;0.7748478616488033;-0.05240915358985053
FOXL2;0.16010314037667672;0.1364464746582423
GALNS;0.6733393972434781;-0.13729180060141769
GMIP;0.5849724635315079;0.2506846289774598
GRB14;0.4596626053588382;-0.09479693063005515
LINGO3;0.07151089850807965;0.31475076085865855
LOC100129066;0.4190585568159766;-0.20466474860018607
MORN5;0.0658670807958942;-0.40138763722805465
NPM1;0.8934678650917155;-0.07211724529323256
RFNG;0.22279508920555002;-0.6987054908210875
RGS7;0.5340973609672407;-0.11872148044222118
TMEM91;0.9027198204448617;0.030253221186005524
WNT5A;0.3433068750858045;0.12827086530080162
ZNF823;0.39101169536329805;0.3526721066081717
CD207;0.1360511793656069;0.17981323407057145
FAM171A1;0.8029390950221126;0.040689250249012605
HCG11;0.12201368122564163;-0.20858829095981804
IMPG2;0.4395831870466498;-0.17090686634781757
KCTD8;0.051094425600858744;-0.471569935099407
LOC729799;0.17295969743099127;0.3458397050053122
MGC45800;0.665580489849918;-0.06613785144302264
XRCC4;0.25991509816521086;-0.26408206077463275
GOLGA2B;0.15348075878362494;-0.38741276659815893
GZMM;0.13488946399906018;-0.29873737687015156
PLEKHA9;0.6520058820234927;-0.18943964289511975
RAD21;0.42958281355833183;0.3264558799541498
RNF26;0.4589591795787753;0.3169371466249822
TM7SF2;0.9323108693319022;-0.022719776619458776
TRIM25;0.4740820988965557;-0.26274333234319236
ZSCAN4;0.16883123819291812;-0.15298169714797288
ACOT11;0.0853947954244789;-0.3676921812130885
g10357;0.9217316689804831;0.035148582503708226
HMGCLL1;0.1435081951010257;-0.28121998212938587
IL1RL1;0.6958967304667311;0.04862751956112774
ITPR2;0.19450756452263906;-0.3574412265273954
KRT75;0.8458834108323416;0.019221740429880473
LCP1;0.7330151747460627;-0.06506514946384613
LOC100126784;0.5419270572303145;0.10794129454268063
NF2;0.1935405163602112;0.40440523389778316
PLA2G16;0.8711045586210812;0.026860435538917878
SYCE1L;0.32010239754814807;0.1506255999505149
C6orf48;0.7469955915221373;-0.11902124776574244
CABP7;0.3559344760705766;0.13147414185755424
CNTFR;0.7566224294230632;-0.035065448514301115
CYP4F8;0.19295154116823066;0.11257320891512847
FAM84B;0.8671170158229864;0.0431668586696762
FKBP11;0.27979361849834994;0.34418982787186814
HSBP1;0.1914072435756492;-0.5484954179288004
IL13RA1;0.4285095651701607;-0.2687018902340418
PEX7;0.6226349352148711;-0.21341636053243707
PPP2R2C;0.13111217343352766;0.16582649666568447
RALGPS1;0.3891888483761273;0.2837217672573524
SCGB3A1;0.5254612097881174;0.07359756072768277
SNURF;0.6244660188086376;0.05771025004097767
SPTBN2;0.43422825494367145;0.1934051610619484
C6orf15;0.6266495225529134;-0.05998403398705505
DCBLD2;0.13426750511586444;0.25577210241670756
FUT3;0.8332898930169231;-0.031648408126319985
GFRA3;0.8768761787159406;0.0217702975327327
HLA.E;0.07229686788629132;-0.4900092052042501
ISM2;0.33257519264371815;0.12273004640192622
MCOLN2;0.5651313257485093;0.10278242693981608
NRG1;0.8135159737759627;0.028162101347726735
PPP1R1A;0.682285405935801;-0.04658460949765612
TRIM4;0.7586835218869049;0.10524504498407579
ZIC2;0.2493454036249756;0.10510150569432858
AKT1;0.611024861349131;-0.25874147278525306
C12orf23;0.28837898797430006;-0.5026018498442512
C9orf84;0.2138959648817429;0.20233800117914524
CSNK1A1P;0.15580959723935414;-0.34428426177606947
HSPB8;0.07754690330873769;0.24851346482280207
KCNT1;0.4288410774792337;-0.13838107966088864
KRT71;0.6792477252904889;0.08243034171309177
LQK1;0.7677948422113726;-0.05723794849592722
MAPK1;0.28161375552225054;-0.6275167779060097
MLLT3;0.4874110806008587;0.15798395963147316
MMAB;0.5601474404647822;0.2670041185584072
MXI1;0.17492690001170275;-0.5169316736455732
PCP4L1;0.8288350066133734;-0.025935669896611703
SPNS1;0.05085146196846077;0.9630005412650801
STAT6;0.7393730500065115;0.16217927578163382
ADCY9;0.9615369227666687;-0.015377780586623402
ADRA1A;0.34837840349547256;-0.27323513205154654
ATP6V0E2;0.38205565842854217;0.2780721614352707
FBXL18;0.12064447175895142;-0.5741836894561396
GNPTAB;0.04947353207085129;-0.7433442227272069
LOC440461;0.28078698497636567;0.2257763322566267
MAN2A2;0.1077756567385225;0.6702849796353579
MUC16;0.015974113018139054;0.19251631550720344
ODZ4;0.43566848370588385;0.11259685614216672
PDK1;0.11435605816847787;-0.46034242855488505
PHF16;0.08482312523011785;0.7070872055116304
RAB40B;0.4100619220457642;-0.3002839436127292
BRDT;0.5270779062598208;0.06525659856527447
C1RL;0.42596771193349126;-0.25649378114491017
CARNS1;0.3482416055412363;0.2242938900669034
CGA;0.07152194863968277;0.24443003912664474
CRIP2;0.4088003005666875;-0.1616227494974879
FFAR3;0.8921782728213179;0.02663466631329325
GEM;0.2089803333786111;0.333202916400787
LOC100133985;0.4694227692205659;-0.16822470296535114
LRRC7;0.0008281151852512622;-0.7042338602276402
MTERF;0.5409227283180269;0.2650800526800894
NOSTRIN;0.3372494800329878;-0.2550121814470346
WDR72;0.35863440448303363;-0.0814198881659897
ANK1;0.03566215468999441;-0.3225596836561969
ANXA3;0.3435146190294027;-0.1324811958379256
CUX2;0.8069675898748371;-0.03827102635363089
