genes;pvalue;coef
GMPR;0.4514030044863575;0.22734343701015575
HTR1E;0.9601504042181319;-0.016079762585504562
KLHDC2;0.8393184054860119;-0.20885930740863895
MAP2K2;0.6016368642852961;-0.4638085143752438
POU4F1;0.40021669332604604;0.12018650080779977
SEC11C;0.6392093571160191;0.30408492332955817
FLJ45983;0.05760616336413406;0.41497487747689554
HTN1;0.43737954683733415;1.5951595306417916
IFITM5;0.11927207271840454;0.43129071418737946
OSBPL2;0.2102028944995732;-1.0597197025510023
RNF26;0.10872901644804686;1.568270060223879
WNT5B;0.010057312459535252;-0.9940144799675069
ARMC4;0.6614109509198723;0.11604390761491942
CHD1L;0.6796367493955481;0.22809844125655798
PLEKHA7;0.5899167440753719;-0.22737234750607996
SLC38A5;0.5611795366282174;-0.28070712986735596
ACER1;0.6686194622115169;-0.1632793889771455
ACO1;0.49143751976766215;0.5539373946944796
CPEB4;0.24811392913856645;-0.7946147700006988
DAB2;0.2610791613627971;-0.6068845392156287
MDFIC;0.7222485019548062;-0.12236848818313333
SNRPF;0.6807373702084734;-0.39551580831685546
TSPYL5;0.1055440665344757;0.5611479482956462
ZCCHC8;0.4052469912281562;0.8441247479992663
AMY2B;0.7166789675931414;-0.22210178265487696
C17orf101;0.6356371066755366;0.3808593562820865
C1orf130;0.06153060216358306;-0.3814109267445558
CACNG4;0.25858838448864463;0.4592000248034803
CIDECP;0.9082563041454066;0.10733454559985854
DAGLA;0.5419402331100229;-0.4197224024580212
GNG11;0.6397247244248667;0.3417415483336052
KIFC2;0.055592018800754164;-1.121170870132243
LRRN1;0.10626868570442727;-0.8413803042196819
RPS6KA2;0.1166193105613219;-1.0474250663687852
VDAC1;0.05750213908163666;2.163479626785872
C2orf24;0.2648310842679208;-0.6595564099695072
C9orf84;0.611060708766077;0.15305231288453336
DDR2;0.9427675111933015;-0.015233722396848878
MT2A;0.7481959292910942;-0.12699768528060024
NNAT;0.025949275629480233;0.4675098652168153
SNCA;0.9125633991124074;0.04165137652514178
WNT3;0.4867778566889176;0.41079893003884127
C17orf37;0.30981899159366977;0.6977567883006255
CPA3;0.32700511422038236;-0.19645262703265856
ESPN;0.20707515787663822;-0.2649126402028902
FOXO1;0.15588632573658492;-0.6812733738201949
SPATA12;0.04467885189404535;0.6220009591855468
STL;0.8758623920449077;-0.05588419039564727
TMCC3;0.6391031318370701;-0.2756063514318933
PKN1;0.23342172459592492;-1.0050739353233225
ProSAPiP1;0.872194533534956;0.12465806677778418
SC65;0.917354692594617;0.06110443576385199
SPATA20;0.29499354842763836;0.33370696607536976
TRPV1;0.4140472123243396;0.5991605028824111
AGPS;0.47852523166294825;0.6023672301595722
DEM1;0.17185404132323812;-0.67817725760601
NKAIN2;0.023040478212256663;0.815164861988238
RBM15;0.5401336236795864;0.5642598920748131
RBM24;0.08414885301223678;-0.48638985860858003
REEP6;0.5890825026753418;-0.324650340284913
TMEM38A;0.7614195135862356;-0.14053189436086522
ZNF846;0.19334049560499278;-1.0940088699469068
AREG;0.6909574372110849;0.08917915849752396
