genes;pvalue;coef
ACE2;0.5705990390486662;-0.12801321710733865
C19orf40;0.9530506055750043;-0.015656591146666645
CTSB;0.9942280272021222;0.004467567075013678
FAM18A;0.52771944574809;0.3782602396532823
GKN1;0.09233715647533983;0.4321884322221723
LIMS2;0.9465490390019696;0.04200269045207787
MAP7D1;0.684463399506733;-0.30119226157525336
RAB40C;0.9822877568596354;-0.016982787171110934
SLC1A6;0.6011602522724833;0.11511473108594815
SLC6A16;0.6478367642229177;-0.12725640521043904
TMC1;0.7304624955213381;-0.06434311874106868
WNT2B;0.866544892140176;0.04696222457720047
AFF4;0.07680872442893816;1.6348302589453052
BCAM;0.23793892223768376;-0.5772494157840065
CACNG6;0.6738474833285553;-0.07511821551110662
CKMT1A;0.6003082197225419;0.07947739762583612
DDX10;0.8154340547603669;-0.17891539802383502
FAM163A;0.03135117936239922;0.4117907568444797
GPR78;0.11412975739004709;-2.0667250824718284
IGFBP3;0.7540431707551384;-0.12401345322050741
IL5RA;0.3345921707836551;-0.09282336453337683
LNP1;0.26563485054099756;-0.46554696103796184
PNPLA7;0.4849856269085143;-0.37459821267224325
TP53I11;0.9884777714047749;-0.007240130384006947
TRPM5;0.6169486564256415;-0.08817475689594635
ZNF740;0.7921230793029241;-0.25559053845417873
C7orf46;0.9392956219985824;-0.025529167326263945
CHD4;0.4023262624865557;-0.6247703038979124
CLP1;0.311977538548574;-0.8153883710894863
FTHL3;0.9643604536258769;0.025606460177042472
HESRG;0.2812598498870218;-0.5402305073140014
PCDHB16;0.2778309184448009;0.19382977869954782
PKN3;0.8091421649904811;-0.11777508893066609
ZNRF3;0.015589527999298622;1.2206032582126751
BST1;0.22543376330447962;-0.517833097873264
GAS8;0.7048404400974146;-0.21599596941362595
HSFY2;0.5028083309406401;-0.14003016501457918
HYLS1;0.23798551320264905;0.6992787335130474
NPSR1;0.9990877021980965;-29.566077858563176
RALGPS1;0.1963366382326861;-0.7933972581575293
UBTD1;0.3797278808968426;0.5395675325345977
ANKLE1;0.7809317208405815;-0.11361802298936409
CCDC64;0.3580028390289336;-0.3441865282212514
CSRP1;0.04751545872397318;1.0108739315793205
FAM110C;0.6608694515990596;0.09620125606300316
FLJ45983;0.9072635697103582;-0.027415981795064548
IER5L;0.8437725169163994;-0.08106824231396263
MFSD1;0.0448535463851977;-1.4115702955241665
PCDH19;0.7588879229367771;-0.10516857578671003
PECR;0.027720441710935104;0.8997099056698369
PIGZ;0.9429775262733859;0.03231109112965637
PLCB1;0.6996271710535585;-0.1507548585494149
RIMS2;0.706092259802484;-0.05758840190044394
SOCS1;0.7107489880519107;-0.15752460598926868
SPTA1;0.4358645174922129;-0.24570311933719816
TMEM25;0.8429752082307855;-0.08356413500041793
CAPS;0.02955671131362577;0.9134277380319485
DPP9;0.9032132215501503;-0.11182509169430914
FKBP7;0.028242265683964454;-1.5648849144557258
GREB1;0.9335988984151982;-0.026230156683898456
HOOK3;0.18034982110153386;0.7471766686503323
NDRG2;0.9109219068264395;0.05029311475347384
PIP;0.04103778621792292;-0.2185862015478361
SCAP;0.6927508240492144;-0.3012301270433272
SLMO1;0.8906282232073176;0.047024133915578574
TNC;0.6757907934634388;-0.14828821281222418
ACVR2B;0.46002035579974465;-0.4943243605513723
CNTN6;0.3965603944418773;-0.2420823210336364
FAM190A;0.632022911264426;-0.19427003166365495
IBSP;0.7941802669761265;-0.04394488284015856
MCAT;0.7983465010516554;-0.2016288946032541
NAA10;0.24302398518553014;1.0528704286933606
PAGE1;0.7851327660005438;0.2734326412006884
SHROOM1;0.15202055938532572;-0.4917581371220443
ATRX;0.5432548865094904;0.5608843162114092
DYNLT1;0.8899891290009554;-0.10838877742377474
FAM149A;0.3970922360637341;-0.23292147145642703
KLHL34;0.19351288360961727;-0.357968264494475
LYL1;0.025761219196491263;-1.3236158605492268
MDH1;0.5012947222293873;-0.6455698784073037
RFFL;0.7294227391985921;0.31930300054024346
RTN4RL2;0.17714228379644092;0.39217765092356516
SFXN3;0.6484727708986968;-0.26863525670506483
TCF7;0.3103773117335684;0.37858527040104367
WHAMML1;0.6883874959001823;0.23762116561766658
ZNF439;0.2051743727098575;0.4563997499036662
ANKRD5;0.04023481835892354;-1.4484079244031884
C3orf36;0.09226082039854726;0.5413777360876785
DDX60L;0.2885584257103261;0.41858972162926344
EPDR1;0.7004373354993425;0.14099028462744762
RSPH1;0.8321345040791824;0.07596678030159275
SCAND3;0.9883989721551015;-0.005005348990818136
SLC35E4;0.1376510558192463;0.8061965909567789
SLC4A2;0.9153435189383622;0.06246853549685943
THBS3;0.3019125473137255;-0.6414939233298379
TIMP4;0.1618167017602844;0.25974794558297437
AUP1;0.10584443945932188;-1.071279433473025
C1orf230;0.5880805880843276;0.11971236882085642
COQ3;0.44258566340368943;0.47092480279080795
EIF5B;0.8046783751286508;0.16550472485180592
FGF8;0.8567366491887163;-0.05942856821885854
MUM1L1;0.30715696346034826;0.23264895623772286
STK32C;0.3925596718280744;0.39054413002288174
C9orf72;0.0;0.0
COX7C;0.0;0.0
CTNNA1;0.0;0.0
FZD5;0.0;0.0
GSTT1;0.0;0.0
KLRG1;0.0;0.0
LCE3A;0.0;0.0
LIMCH1;0.0;0.0
MYPN;0.0;0.0
NDUFS5;0.0;0.0
NEDD8;0.0;0.0
NT5DC3;0.0;0.0
ODF3L1;0.0;0.0
PRKAA2;0.0;0.0
SLN;0.0;0.0
SNTG2;0.0;0.0
TNFRSF11A;0.0;0.0
ZNF117;0.0;0.0
ZNF389;0.0;0.0
CORT;0.027686157001322483;-0.8373002494506973
CYP2R1;0.03737905535969578;-1.952967904256429
HTR2C;0.30480869350576223;0.18455172217033305
IDH1;0.24451482069114616;0.6165770469136245
LRRIQ1;0.189607462688533;0.3425361320631819
NOTCH1;0.5011624182602683;0.4177630214433453
NRN1;0.015462820746728976;-0.4572946315011347
PRMT6;0.7876684237920955;0.14552351209352662
PTPN13;0.34041589535090444;-0.46566163217781303
SALL3;0.6285233911096402;0.08695792885307657
SAMD12;0.9989903133109921;0.00031641306349789524
SLC22A8;0.4982656466091151;0.22570122490014546
SLC25A19;0.8098783054552139;0.18063159262561584
TLR4;0.8300329541974957;0.08652054442725991
UBE2G2;0.5285059267351276;0.5070313298172366
WWTR1;0.618898948704738;0.28899269739956973
AKAP14;0.0019252148066802412;0.6446815750167694
ARSF;0.9345311480572436;-0.021288762684378622
BCAT1;0.6389064662576;-0.1262456199664641
CACNA2D4;0.030486777490038752;-0.8682612746566228
CHAT;0.262867215077209;0.24568030901925939
CLVS2;0.5396812928891561;-0.13165390765115828
FBXO27;0.7539631936842761;-0.07409971672445763
FLRT3;0.9454164182390924;0.02142366230535256
GPATCH4;0.255977478863184;0.85458824977889
HIST2H2AA3;0.8593216970516648;0.051867482349482984
IL1RAPL2;0.03843065546332003;-0.5522316019987545
LOC440925;0.5196752012399064;0.1512915003750715
NKPD1;0.2709106600122263;0.3720716835194721
PPP1R14C;0.21352538802179744;0.2888949385241308
SEPT5;0.6435036917290062;0.23542386095384543
SERPINA5;0.48402827621651523;-0.15862639469031714
SLC18A3;0.21008505983096482;-0.2494972732134217
TNKS1BP1;0.2218258718791738;-0.8244684782596641
VSNL1;0.6006157939247675;-0.12094478654448834
BOK;0.025743589926520084;0.9387454443687784
BRE;0.7139150753890925;0.2845099655820212
FAM119B;0.4907411367130423;-0.4196860383977308
HS6ST2;0.9059853887264665;-0.017746407615905808
PKIG;0.17035584027511974;0.9843702658148838
TRAF2;0.005510046637626619;-2.217850521738483
ADRB1;0.6776167308334526;-0.1026777121299756
HLA.DPB2;0.6116506585151754;0.11344179965969675
INHBB;0.8887887118492134;-0.032224805423699585
MICAL1;0.9488657537727581;0.01683672519710359
RAB3C;0.41454114734612624;-0.1673156882165386
SLC26A3;0.04812452425447679;-0.2384648506392581
SSX5;0.8143803150513673;0.08457693210706518
MAG;0.3217196734590658;0.1326399298295352
MUC12;0.1944533845354779;-0.17766282639042227
RGSL1;0.5042091934560495;-0.34536742577436663
SLC14A1;0.6234751200453592;0.10363266065098298
TMEM217;0.1665988559125514;0.3653789523876206
TMEM229B;0.2124478993154174;-0.33927917321041284
TUBA3D;0.44038276871638926;-0.12119848298771817
BZRAP1;0.41530625569050283;-0.5767320635075392
CDC42SE1;0.962851785812002;-0.0436965482509694
CXCL16;0.5927263107709523;0.39142107617820165
DFNB31;0.22160027840078378;0.5280333252454968
FBXO10;0.9606186947499201;0.03658796248298078
IGSF1;0.0725111605651662;0.45012618012281563
IL13RA2;0.05759221736105033;0.35746343515524187
LOC284900;0.62750677494061;0.3570187321181675
MAST3;0.26331480270168717;0.7101923332468797
NEURL;0.4948110847830598;-0.15141657640344117
OSGEP;0.6459915599761686;-0.4085871965482995
RPA3;0.5503763554862053;-0.42217537123323096
RSPH9;0.12883578996601805;0.355097156473072
SLC6A4;0.7744172661096774;-0.05070355258878642
SNUPN;0.5561232896719691;-0.5590074362859948
TUBA4A;0.857702526200968;0.0651328938223944
VTI1A;0.3830765248750896;-0.7028692089566655
CCKAR;0.010170579642084803;-0.5381437411916321
CXorf41;0.1209453502233319;0.4461783827817383
EPHA3;0.7934872279623616;0.13767353441632496
ETNK1;0.12046510962560349;-0.9963105737140476
ILVBL;0.20383742618187184;-0.8436115637431103
KIAA1324;0.397890676894469;-0.2190205869936034
NCRNA00182;0.2686838753969013;0.5946945108477569
PNPLA3;0.1324715735322153;0.3860649974313709
RBM10;0.06438405242983897;1.4754901227286967
SCGB2A1;0.07959191170149948;-0.33224148808309667
C16orf7;0.10227488611725594;-1.0362316925852715
CAPN14;0.31532006341138563;0.2257642203436233
CDH26;0.7218053266033155;-0.06524500763313434
FAM63A;0.27528931518155586;-0.4764201954076647
INPP5J;0.5268431467479165;-0.21482175257125097
LDHA;0.5106767952324418;-0.3765316451226495
MPZL3;0.03991620991008861;-0.9271177028327847
PRSS27;0.04789111839641835;0.6211512847158882
RPL26L1;0.9020685820275309;0.10446245319557143
SARDH;0.2666797811048208;-0.15924968533950978
STX2;0.018942448140969754;1.5223826945731458
TRMT12;0.1853032374862551;0.7959032484970217
WDR16;0.08026552223898656;0.42956426033547696
C3orf70;0.09826948691261124;0.7961701717903553
EPHA4;0.5709487181273862;-0.18141237384019954
NCOR2;0.503541009543641;0.4400023667422315
NDUFS2;0.6842637779539149;-0.2847243063818209
RP1L1;0.25904593923660924;-0.2989052713128954
STC1;0.7335780548199309;-0.08941360670492449
TTC39B;0.9021884866643305;-0.049529182785613614
USP44;0.9190861461425394;-0.02817330804300945
ZDHHC8;0.30773607004738235;-0.7279428974857997
BDH2;0.3272792719417159;-0.44798715208788603
DPH5;0.7335060961304034;-0.24786657827059588
HHIPL2;0.5194873736438979;-0.11933404050958586
MAP3K5;0.8698340426465977;0.07319733482687586
MGC23284;0.666721847278422;0.1961295793821219
MIF;0.7786204307577382;-0.15274766357431743
NTHL1;0.36869372048555116;0.6329202802704355
PTS;0.8096369854392655;0.1897785600678729
SCXB;0.4181972322614512;-0.2630645767565419
SHD;0.011185526941451444;-0.42090615890311756
SS18L2;0.8062294211436853;-0.1415046245851335
TBC1D10B;0.6310636931257632;-0.48571708155523885
THG1L;0.8180568991736489;-0.15252473592535504
TMEM108;0.48532497963589205;-0.17639778662553737
ZSCAN21;0.3109523777148099;0.8388621092415499
ANXA10;0.46155642299339095;-0.12445898447862744
C15orf59;0.90688107471993;0.04503374740161808
C3orf66;0.8830633730571035;-0.16020864219527317
CPPED1;0.7692818680295845;0.15621839418231906
GRIN1;0.12953066355044124;0.45180591003246523
IL17RC;0.4821192305617462;-0.49407233457566674
NBPF1;0.2475105471779796;-0.5240799005298987
NUDT2;0.29228175757038066;-0.5411849698467024
PM20D2;0.06253541178331423;0.8222885728247631
POLR2L;0.8873795846565211;-0.10926235785093392
PRIMA1;0.061970080937980496;0.6168037743119494
SELS;0.22147461947203495;-0.8901812233154224
SPON1;0.6687101854672137;0.17908710606775907
TMEM86A;0.2963033465887698;0.5705111881523821
BLNK;0.3262902895547094;0.47350637473623974
