genes;pvalue;coef
A2BP1;0.22579152634989474;0.2646688724231027
ACAD8;0.6786751349680735;-0.1622529260204604
AMT;0.33834428048324416;0.2067664358730625
ARMC4;0.10737582616599518;0.31156694742819013
CCHCR1;0.21580119815436138;0.45827143318156643
CHL1;0.0527487177257684;0.18721001630717507
CNTN1;0.48662897182807974;0.058501576685876286
COL9A3;0.9714844207374577;-0.004110504255304114
CXorf49B;0.2699744923491286;-0.13943327557283458
DHH;0.4206550244909848;0.11798610276213052
GPR50;0.1780309320843757;-0.3343138457125173
MECOM;0.14447384427352436;0.4410200774590399
OSR2;0.80431238249029;-0.042039862127433526
PIM1;0.20071119177694652;0.44790595490571106
SCO2;0.6044330120046312;0.22529540674099902
SGIP1;0.2658696401759155;-0.208043182937116
SNCA;0.3344134327208419;-0.25103101895643937
SRPK3;0.741146872703949;0.06843354139751028
SURF1;0.20794305349881193;-0.5379586651190331
TGM6;0.3333696732972762;0.4884298129568183
UBE2D2;0.38273431426636095;-0.4103686651240814
ZNF717;0.3651769556703065;-0.22943895441401904
ABHD15;0.7072264744218366;0.14654920765798304
AK1;0.5693683301917034;-0.2266495131465183
ENOX1;0.16471871622365009;0.2315877197260754
FAM86A;0.7917822648815488;-0.1272160811376648
FOXF2;0.7962095602445384;-0.035574778536500234
GDA;0.5089537559979491;0.08296645879628768
IGDCC4;0.8750190000364104;-0.02355718590232968
NKX2.5;0.2640845643738795;0.07848026503469595
PAX2;0.6755962974113487;-0.0709423708860806
PMS2;0.6266889827427804;0.20981658944423326
PTPLAD1;0.9785157521519967;0.01128156159970934
SLC38A5;0.034983117279028725;-0.33033033159132535
TGFBR2;0.3847210063647085;0.25253924865843985
WNT5B;0.22958270481539333;-0.18927702628561166
WT1;0.009680433567351002;0.26879907327976993
ADCY6;0.5216256158739416;0.16243686790063624
ARHGEF10;0.07041137123147495;-0.5498203288459891
AXIN1;0.13964440548871962;-0.7676739655317888
C8orf85;0.10824929578201327;0.16623412914266902
FAM23A;0.7809192458365244;0.04706399086784026
GOLGA7;0.02866252868260416;0.8403608027225746
KANK1;0.6747890424713577;0.09011024878693041
LATS1;0.49644136519362636;0.2885224059644132
MAML3;0.4826391585030452;0.1842227011515395
NPHS2;0.38890827047050613;-0.5345768193710246
RARS;0.04856036165622498;-1.009089993835744
SCN5A;0.9801296083310492;0.0031929205746927362
SEC14L5;0.1556337514658513;0.163021133325595
TP53I13;0.012097575113988528;0.9452360478469686
TSGA14;0.6941982253280312;-0.15675057172617307
VSIG1;0.4009041988648776;0.17174372582201455
WNT9A;0.4417868860583033;0.1234309390860125
ABCA4;0.1847132917614186;0.181995019612717
C11orf75;0.14081763198227373;0.39557522654127925
C3orf31;0.11582328821619968;0.7666222493171002
CLMN;0.13276684811061282;-0.313754918215055
CRNKL1;0.5271149592602227;-0.29587729079793185
CXCL16;0.7578460622424933;0.08522740788579666
FAM86B2;0.9974020279640011;-0.0004045330242685958
FANCD2;0.6937702116424026;-0.15355677555183705
IAH1;0.11041881382871825;-0.7508694915033858
KCNK1;0.11270234884766189;0.22685989675020884
KDM5C;0.9139781858064889;-0.05325346151045893
KEAP1;0.7859217666903685;0.15148913276897963
PRDX6;0.08322567066326499;0.7588970494860333
RECQL4;0.698672020166923;0.1469326985435028
SETD1B;0.48441131999557674;-0.35534811507671066
SLC25A34;0.069999860265204;-0.42494031767943724
WBSCR27;0.291558681450126;-0.1468229348986806
ADIPOQ;0.47431503716508594;0.0635250913424464
C11orf87;0.5724696842921166;0.13898270156539777
C1orf103;0.9338930061893109;0.0343514128684652
CDH11;0.786313744810064;-0.0713660222722985
DYNLT1;0.2981810586838127;0.46345936946981603
ESYT3;0.4456965508529468;0.1056548342368653
EVX1;0.9806094131941955;-0.011949029410303234
FBXL7;0.5147455762190745;0.08244575095442497
FNBP1;0.8368009305580383;-0.08418791631041032
GRN;0.2722693097692058;-0.3991638771212366
HLF;0.8790055689366771;-0.023524942025521956
HTA;0.11542479489757757;-0.19087800414318276
IP6K2;0.5434621415844647;0.2922085251375078
LMOD3;0.8187975898115674;0.035061891358149404
LOC100132354;0.7105911264035045;-0.09584719142627342
LOC219347;0.9535446098967223;-0.011699091401182051
NTF3;0.41962201038236424;-0.09970455564029705
PABPC5;0.6293527553956673;0.06650355094899611
PRDM16;0.3953586987859976;0.12034041174476186
