genes;pvalue;coef
AMT;0.0695920163129219;-0.14150017755292468
APOBEC1;0.9338345886940218;-0.0060954725984155075
ARHGEF10L;0.9468532712993907;-0.007122207441295758
ARHGEF37;0.7076684495327235;0.022345597546820847
BCL2A1;0.23524811645925148;-0.07002513579428363
BRS3;0.497365300640491;-0.04862311696957327
C14orf166;0.45208757687815326;-0.15588692069078133
C19orf44;0.7443262013476326;-0.05065409023363335
C20orf196;0.6124322517937331;-0.06004550951880545
C3orf14;0.48693515966897427;-0.031374704795046206
C5orf27;0.7428376148016899;-0.014291922328752042
C9orf89;0.5101942091547692;0.08107524494994851
CABLES2;0.0317043232346472;0.26291259182021903
CATSPER3;0.6112713596328485;-0.038406026042125375
CCKBR;0.9271541528765621;0.003548922159214181
CES1;0.05714693297754542;0.05311650790104919
CFC1B;0.2524827495818943;0.04805012726121872
CGNL1;0.9993020436084743;4.6203925032871656e-05
CHRD;0.56909363086093;0.031241468310086836
CHST7;0.26256905484064963;0.08216688181214965
CLEC9A;0.5085166532765677;0.03599338208003334
CPLX2;0.9605208686237612;0.001506461188320869
CPNE5;0.45367689907697584;0.04693404906362914
CSF3R;0.6315721974748547;-0.033599593491806856
CTNNA2;0.46642351948579297;0.022884329960966513
CXXC4;0.7067851380684383;-0.019809248578706515
DAB2;0.7668392353567436;-0.023709714992747502
DCAF8;0.24106413545065586;0.2320162103991466
DLEU2;0.7103977318735677;-0.02866713722190228
DMGDH;0.048122206639396654;-0.09891047558059625
DNASE1L1;0.8761678500919841;0.020033822873890356
DRAM1;0.003208852152797496;-0.2576324260245275
EGFR;0.8166541978407694;0.01306593351072131
EPHA5;0.6868961439504339;-0.013705775682688588
EPHB6;0.5280131333471862;-0.029271427030676082
EPN1;0.2221744429437671;-0.2148780761786226
FOXI1;0.7653567629568275;0.011614499080660609
FRMD6;0.00014320238989306997;0.31859642366705343
g340602;0.10180244826450732;-0.07210850231836642
GANC;0.729221043013014;-0.04872791460515371
GLRX2;0.49910877806189646;0.0993953787947406
GPC5;0.07860210347299634;-0.0692028644775991
GPI;0.8132762112119232;0.03193047918084394
GPR22;0.9560868458704643;0.0033597764201626695
HIST1H2AM;0.04246662930442958;-0.11801361313175444
