genes;pvalue;coef
BASP1;0.14999654895182749;0.13289034405865272
CASC2;0.9040452050964345;0.016841602886841445
CBX2;0.7050733801494415;0.04288837431784852
CDH1;0.1422669541806892;-0.0863018956604257
CES7;0.6012202698780067;-0.03998545792287972
CRISP2;0.8791224492038279;-0.012336826239304785
CXCR1;0.9621589068051198;-0.0034235301204492276
CYP2R1;0.6476094922691964;-0.08358360846018192
DDX3X;0.4739048180521187;-0.22705762885353764
EMR2;0.16163965128604252;-0.17736071206725024
FBLN1;0.13649681961214055;0.13538320904469356
GALE;0.5274931818193944;-0.109444439100708
GPRC5B;0.434268873979054;0.07383420099666968
HOXC12;0.7951994973494095;-0.01901249966429365
IMPG2;0.020489578237592027;0.262324256037588
KIFC2;0.3565955204171003;0.13805406943397242
LCE3C;0.8759663587773202;0.023160462515941973
LOC283392;0.009455269575691821;0.13165586563016204
MEIS1;0.04460240929696402;-0.23391338196428355
NHEJ1;0.009782060655865375;0.6263493723152442
NRG3;0.6922744539551728;0.020170421264300874
OBFC2A;0.2543144468658609;0.15969834426570875
PET112L;0.13158683618300882;-0.36104573731279443
PFKFB2;0.44820545123928135;0.1072056293405775
POU6F2;0.8801971517376606;0.010262587231342749
PSMG4;0.048012418521073866;0.4253025389064897
RGNEF;0.5911116879045968;-0.05137681580233522
SCGN;0.11625339208152044;0.08754442855737168
SCRN2;0.39689568099458983;-0.16031245023228563
SH3BGRL2;0.7451584844512716;-0.042310180178267966
SRA1;0.3445004882200374;-0.24765221498722184
TSLP;0.48382497653296686;-0.04488245275719868
ZBTB46;0.674667365616397;0.06174185598876094
ZNF555;0.30118646457246523;-0.22535284147786808
ANKFN1;0.1604458606003022;-0.08775005593108648
AR;0.13519140462969095;0.1041793774878083
CEL;0.25359632717736424;-0.06492913166650736
CLCN2;0.32577032236409587;0.15050992307648633
CLDN17;0.3646762876147297;0.10781427196553815
CREM;0.4166140847229317;-0.15236446244439325
DLX3;0.0621042725884653;-0.11003714269635044
ERO1L;0.34966248140131984;0.16250444838783715
GLS;0.31293923582550753;-0.1654706366325886
HEXDC;0.44975251604384425;-0.1411963184198392
LOC100131434;0.27119816260322305;-0.16351372422135146
MATN1;0.2838645002738537;-0.11163059484713268
MICB;0.6496718127655687;0.04888395800409593
MRPS5;0.03808044168950938;0.6521527088590423
MVP;0.15219590799638774;-0.2675663012679492
MYO1E;0.5086926292053071;-0.1035483629737138
NAT2;0.9577105365661958;0.003774493969395093
OR4N2;0.7870794847428694;0.02979125022118832
PCDH20;0.31441205189797916;0.04791892588242766
PCDHB6;0.41054586216786293;-0.05466472150698121
PIM1;0.862687311557561;0.022534190285897465
RPLP2;0.21939579813799148;0.2713761363234019
SPATA20;0.2708106235822464;-0.1762468278764363
TMEM173;0.34629255603472175;-0.1452151858365832
TRAF7;0.2116563302502671;-0.32128270584867064
TRPM3;0.24886361399543888;0.08039783581370137
WFIKKN2;0.9868219080142713;-0.0010556229108075348
ZAN;0.9341730412889517;-0.009902367856931
ZIC1;0.08268439501017165;0.06994406071815595
ZNF512B;0.644957609880854;0.08686377298999541
ZNRF3;0.1343197830288733;0.1913013153591367
AGER;0.24958311507431008;-0.17183608883016824
ARHGAP36;0.2080049262292758;-0.07582860464266186
ATXN1;0.8101782304361197;0.046291716077043514
BCL11B;0.4063568676492674;-0.06858156625898262
CADM1;0.45317815426379526;0.06764979172057192
CARD6;0.020217538477462327;0.31560978145427954
CLEC2A;0.3796683387301395;-0.10343315745440053
CLIC2;0.9746754684298004;-0.003888396616371462
CORT;0.05543614553225194;0.23315362324944547
CYP4B1;0.049114986626386824;0.10940935296103914
ELOF1;0.1223679272054421;0.4701584040787075
FAM190A;0.7689564232666767;-0.02253201210976632
FAM38B;0.0020534677882434226;-0.20630606998819756
GABRB3;0.6885859430345211;0.017766480602125746
GPAA1;0.703047311868927;-0.08015456845475064
HSP90AB2P;0.32366027364416927;0.11413875868585159
IL17RC;0.2922277762463734;-0.20336546699777086
KRT4;0.901843296239016;-0.0054655815643777335
LSP1;0.2950279832524665;-0.11434542651617217
MGST2;0.6559079897526436;0.08074782868898488
MID2;0.7680288938688901;0.030002033761232432
MLH3;0.8986535821942929;-0.022396737129366337
MMP3;0.07673788418071813;-0.08435610523929946
MXD3;0.5614628898383633;0.12565535636273975
PLAC2;0.45627379850047156;-0.05703080233796747
PLCG2;0.05660895944222919;0.2759188793352642
PRDM2;0.1407691419775398;-0.3984684237772367
RUFY4;0.6671666079449922;-0.03354956370278195
SASH1;0.42622653872899363;-0.1300289188402649
SCML4;0.3069163143530995;-0.07611664675754212
SCNN1D;0.39916536825787263;0.10324312042722246
SERPINB9;0.8563453412572802;-0.021066581108439744
SIK2;0.05733185077823407;-0.38249585036449296
SIRPB1;0.5536982627637311;-0.08313740057660597
SLC2A9;0.5658325401833847;0.05269415996988316
SLC5A4;0.4432925206529327;-0.052683941646486196
THSD4;0.8253706904109763;0.019142449969671124
TMBIM6;0.6540114018062417;0.13487289091114193
TMEM194B;0.11955059695837131;0.28114185465108016
TMEM63C;0.6595624918845233;0.031300267956584464
TREH;0.6715940592399228;-0.037762252649817384
UQCRH;0.22087420544200354;0.18208199030841737
WIBG;0.17068314549167618;-0.4559702993198199
ACP5;0.04772579874756497;-0.1827840172896595
C10orf57;0.5855097470936544;0.11792771671565637
C1orf21;0.14618756448525946;0.17549481663343017
C8orf34;0.7830014582878474;0.020170963459112512
C8orf83;0.872629026968435;0.029992735677902838
CHST8;0.9145087150646477;-0.006280028272936728
CLEC4F;0.26597211606082505;0.08779098925143716
COQ4;0.22655673928911602;0.28056905321011044
COTL1;0.8285505177917689;0.035421747951001725
CSRP2;0.3528286846444103;0.08399099368687521
DKFZp434J0226;0.4334851453353975;-0.041135161440211676
FAM63A;0.022997566649907365;0.4092926472566245
FLJ35390;0.041342948281753805;-0.24709129657628434
GMPR;0.4560222337510613;-0.05906508507004638
IL6R;0.3479350755806495;0.11112176272452778
