genes;pvalue;coef
AGER;0.07206520230293095;-0.19456907663072298
ALG14;0.8851849964544664;-0.026589372567083304
ANK1;0.16431308830767544;-0.07347963068655934
ARHGAP26;0.07108055707504733;-0.20381725782064486
ARVCF;0.1286568600937234;0.1719644569870126
ATIC;0.9429835228511956;-0.012627094504435698
ATP5E;0.040171017268536856;0.44188926152815206
C1orf123;0.8125899277913604;-0.05824403449663454
C6orf162;0.3856646562833813;0.12862607630682266
C7orf25;0.407351382208083;-0.19098535581775883
C9orf140;0.6551987578701177;0.039073825659797605
C9orf169;0.6527120954207765;0.028172661911214023
CAMK2D;0.18892030548882022;0.163614752257861
CAPN8;0.10125701251202207;0.07971243353092969
CARD8;0.9834348001422122;-0.003643648704446793
CCDC153;0.25617827627348866;-0.09380514109869431
CD24;0.7757257085218022;-0.012813180413773599
CECR7;0.7537616835665557;0.012743432489580573
CHKB.CPT1B;0.0526878435793672;-0.3114053145343121
CLTB;0.9774634898154736;0.004777546458969137
CNTNAP5;0.8812310074960374;0.008486206312159492
COL3A1;0.7665816946861883;0.024472666441165983
CYP4F11;0.06858857109807796;0.07293046954908312
DCLRE1C;0.2083449074494722;-0.18680113339858004
DDX19A;0.6266590338218982;0.12067088847203204
ECHDC2;0.5737847611477602;0.05808508993085314
EEF2K;0.9261527134877456;-0.016198267975986252
EFNB2;0.5008815913482512;0.05947212795559994
EIF2AK1;0.6709084998372302;0.10826231834899024
ETV4;0.08279207149936749;0.0874358167921847
EXPH5;0.8866211489715727;-0.009223290953670948
FAM118B;0.47863219496052745;0.12925148612422924
FAM166B;0.1279618594098549;0.0894530373520435
FANCF;0.5714011317081451;-0.08944845671953457
FLJ26850;0.931510900256415;0.004764009169142747
FLJ35220;0.618383294508667;-0.062103197306364835
FOXR1;0.4835225840945204;-0.08439699462928983
GLB1;0.12936961214508008;-0.2907758486097768
GPI;0.6172825199760698;0.07878423189017832
HPCAL1;0.9867999361750774;0.0021569766240107993
HSD17B3;0.39107398654666914;0.03960306319083545
HYAL4;0.6840114853997269;-0.02336350990422263
KDSR;0.06102216992035322;-0.3458937027742525
LCN15;0.15832052147656261;0.08144897499000776
LRRC19;0.49539057925521923;-0.038710777374462324
MAP3K14;0.8350367498422172;0.02808633331866758
MAPKAPK3;0.041898653590006475;0.3282832454846531
MASP1;0.008197295731939658;-0.12047341301026583
NCRNA00105;0.32353706954935957;-0.10430315203976362
NKX2.5;0.12337053530239127;0.05338513812699653
NTHL1;0.9150285829060452;-0.018159865390263853
PLEK2;0.3153457856505829;-0.05693925411597987
PMS2L11;0.10421764230762488;-0.1842826736111551
POLM;0.4981165683054196;0.14157560621465892
PPP1R1B;0.6796190766246651;0.014469857929958795
QPCTL;0.7072678689196914;-0.05909806114986067
RAB8B;0.06651826738770976;-0.31769367847247304
RANBP10;0.27376883793835627;0.23078097921496998
RFT1;0.7556325097294829;-0.07251255414969916
RLN2;0.7034010660847375;-0.02069911378980652
RMST;0.5605947841469643;0.03631589268873043
SCGB1A1;0.7611239693541085;-0.011383493421076443
SEPT6;0.0288633740073948;0.2179260254752324
SIRPA;0.7091886803685064;-0.03989922973877419
SLC25A5;0.5242206146409979;-0.110098705529212
SLC26A5;0.05724078993797981;0.12813062675868517
SLC36A4;0.7540546374901134;0.03294612470077391
SMPX;0.32224121867105493;-0.04126051616668862
STAT2;0.13057988868341633;-0.25069515439085216
THSD4;0.43575663130111686;0.050465159977864694
TKTL1;0.7420757151264968;-0.012148253455561682
TMEM17;0.052939591529068096;-0.2680564665171014
TMEM54;0.09460528732107996;0.15051378363779946
TMEM61;0.8124120756597426;0.013408493017587515
TNFRSF14;0.31045311176648005;0.13603689379136094
TNP1;0.8189478334596832;-0.02161036685813263
WDR38;0.6062859852067248;0.029854882734768315
WFDC1;0.7509092265567838;0.01568459830715122
ZFYVE27;0.439628633362507;0.14783971210641408
ZNF204P;0.5183490717042307;-0.03813765387013399
