genes;pvalue;coef
DISP2;0.42096922724820207;-0.190756542364286
FAM47E;0.9839146743886544;0.005483688111108575
NXNL2;0.4166493678240779;0.3297638386798501
SLC7A2;0.3363793913181038;-0.1826481434829688
C3orf15;0.9746885294265459;0.007303103852527899
CCDC96;0.3501050017315577;-0.7772398913374261
CHPT1;0.9022246129790998;0.08031694988780995
CYP17A1;0.07540386608963914;-0.4171064884901407
HIVEP3;0.04035461422886074;-1.3071596654828848
STX2;0.4489834381993518;0.6694633967585164
TP53TG3B;0.2694254424800723;0.3544408307941936
TTC9;0.07436017079716652;-0.8258662567296976
WDR19;0.0742503344631037;1.6545521197914148
AACS;0.7339453702266612;0.2942151411959102
C10orf110;0.6693749465542967;0.24963508761375933
DGCR11;0.16465235444016568;-0.9824678830959489
DIXDC1;0.6115144071469023;0.45352952805336194
SYT3;0.594873987818623;0.1489911131679495
TPMT;0.47369751240266167;-0.46857164930214235
DACT2;0.9290867179084527;-0.017418031529568414
GMPPB;0.0002609896192793698;-2.7943829317895283
REM2;0.2087845959121981;0.6481521958295863
SLC35E4;0.0012830481662878845;2.3279330896935897
BARD1;0.9358240361841915;-0.06793193560671304
CHP;0.3467556156327456;0.8054389382984272
COX6A2;0.011092768637249067;-1.9865687261160458
CTBS;0.0925545087338919;-1.561927674429303
IBSP;0.8442455908726243;-0.047129900202479404
RPS27;0.38025767884359096;0.5393765493014545
AHRR;0.9687270034803497;0.014989104358180952
GPR27;0.9289667426224405;0.02521177165448923
KCNE1L;0.8149189128895938;0.10508694579918988
MYO18A;0.385233038221627;-0.5784066269555048
RANBP17;0.038869292368287886;0.4403706569011893
RBM19;0.6531893552546408;-0.35466121840194137
RETNLB;0.17915139653761813;0.3196720411267061
ZNF204P;0.17550057601518054;0.6194204493030022
CALCR;0.07712295396807528;0.49438481960366826
MED9;0.6887362112191049;0.21884733522869512
TBC1D4;0.2567289290655107;-0.5384717683423371
ADPRH;0.18952735404058785;1.0178504233792915
CCNH;0.6836304290343564;-0.3470167287248975
FOXE1;0.6130684536667403;-0.10207305230807977
LOC254559;0.653163131464807;0.11376348930135675
MAGEE2;0.6536948652224776;0.15281295187510474
SRF;0.4300609524422019;-0.6317859074011599
