genes;pvalue;coef
ADAP1;0.14822357106990236;0.3185748673896603
CDC42BPA;0.01845499868524406;-0.9551880337018869
DEF6;0.49558793961258796;-0.32817176715212204
FLJ10357;0.9887176532954512;-0.007042652869569861
FUT9;0.3197144215177785;0.3326398042776634
GDPD3;0.0379395581807037;-0.5827526440386926
GPT2;0.21668563161811882;-0.3789804582756748
HIST2H3C;0.1324713870546014;0.34360954566681934
IL28RA;0.035806504364643076;-0.589891718091769
LOC652276;0.5415348993149856;0.2537143779699265
LRP1B;0.4118820419421615;0.10705501164963376
MYH15;0.2877251718283257;-0.31201740455295224
NTN1;0.15821152882987166;-0.3572669608372962
PRSS50;0.32778553688340695;0.15787762971932695
SLCO4C1;0.12975209968102697;-0.1865308245244221
STARD10;0.7237457406199412;0.15184273414502977
U2AF1;0.011095246209140427;1.8714822549818184
BCL11A;0.5488563467859615;-0.10505367715022701
CA2;0.04278390615242324;-0.5881739210497094
CD81;0.5609058468011416;0.21948256625867316
CHIA;0.13462622758012532;-0.37525434181324757
COX18;0.9618705919787865;-0.027056044655897765
DHH;0.3019058647584558;-0.28604357302119937
FANK1;0.8256920796376805;0.054791861484390525
FGF20;0.25776054335541365;-0.37700092078301195
HPCAL1;0.7447499646755398;-0.19410301671045657
KIAA1984;0.10297399251800418;-0.3766070097604476
LRRC70;0.6325126470715778;0.24026800133083892
MFSD6;0.692107417820131;0.1358041947344068
SH2D6;0.8530775576062632;0.03548121099348893
SOX13;0.45821189423373954;0.4444217181225045
BOK;0.17314204249709997;-0.3867101283377241
DAB2;0.8372789504119329;0.0608341279707657
DNAH14;0.9903388647871344;-0.004847688979544348
FOXD2;0.1545272309392897;0.4657961730367827
LOC400804;0.12319607236633098;-0.2466257668255163
LY6E;0.9919662715942517;-0.0017164934443799575
NPHP1;0.6240954683957571;0.14593787981904435
SLC38A1;0.04538527479239459;-0.3673567966339914
TLX1;0.2135459313910797;0.21348292540887703
TP73;0.7997680725296137;0.049118677788963006
UBASH3B;0.3540126174402267;0.2877416849966944
AMELX;0.34791401393503985;-1.7627564766254062
C15orf51;0.37901561030990916;-0.1601218632817224
C20orf103;0.2163302742465928;-0.23527971423312907
CTSF;0.3033898196981417;0.2395971532150742
LPCAT1;0.2419405676673313;-0.32437197505324844
PTPLA;0.4012713702856868;0.14172373017745726
RAB38;0.5634076624187765;0.11456965508404167
TNP1;0.794898035558531;-0.06160638240923122
TRIM67;0.48536567916601114;-0.14861349248842654
YSK4;0.8015538897105191;0.08376141329857616
CCDC106;0.30530962351637636;0.39307439607106015
CD24;0.727905911746752;0.043248731257575654
FES;0.6476547854501393;-0.09536609819516047
IL2RB;0.9784499404715254;-0.009775699708290841
KLK10;0.4823561776465074;0.11260765930176005
POLRMT;0.20840639211770962;-0.7379607271774528
ZNF428;0.47164304428145043;0.4024173500743417
B4GALT3;0.2634978672055929;0.7314339841721914
BEAN;0.6920531246098386;0.07075649494412936
ELOVL4;0.6403148394488873;-0.08824238885921341
FBXL8;0.9622290629623297;-0.01851145681015829
KRT82;0.561226036953633;-0.5951917499658425
NHEJ1;0.44332055962878236;-0.37906075275396267
PAX3;0.35001456502329065;-0.3055535192368704
PNPLA4;0.04811162330908473;0.8230045084124288
PRKAR1A;0.06100123470972173;-0.9917019798454355
SLC6A19;0.9648866704777386;0.005069095012165751
TEX101;0.06496698783522549;-0.43790148783519
APOBEC3F;0.5872406756125621;0.16259341850323547
BOP1;0.2658970244240081;0.271911820577097
COPS6;0.12870360822857677;-1.0859605844172917
HARBI1;0.6471759610625359;-0.3204330196157355
IRF4;0.6773405706480888;0.09146464513344998
KCNJ15;0.02107603412594158;0.41702418890611653
LAPTM4A;0.40512597870929057;0.49654464381205543
MTP18;0.6571922694431517;-0.21076614807813304
PPP2R1B;0.26994676258972305;0.39460833982132376
PREX2;0.39073613590993306;-0.16321688490385328
RAPSN;0.7428534084082521;-0.08098486542075499
XKR4;0.2765358732660086;0.48782999046292386
ZNF835;0.13390306955729037;-0.27560476268079437
CCDC22;0.05922201263900539;0.9706796886003679
INO80C;0.2216643648236568;-0.5338406601877799
MAMSTR;0.5010244879612223;-0.17064610241580247
NRN1;0.8762413254108972;0.04070809879542571
PGK2;0.48425311253336467;0.22258359463353303
SIGLEC14;0.36460646448625034;0.1152951210413098
TNK2;0.14999611742539334;-0.5758153692061861
CCL11;0.752164264394185;-0.05596926447895036
FAM81B;0.8043775122423527;-0.08600181124908642
GNAQ;0.15042203531600165;-0.7644058639345079
LOC440461;0.9558121445707859;-0.013654248860928959
SCARNA12;0.6328540275121369;0.13895901883994102
STYX;0.586673523027591;0.24863159117823225
SYCP2L;0.4332325117100563;-0.15268270942280843
ZNF823;0.2704631628904366;0.6018621277129402
ANKRD29;0.09645180202855973;-0.33763290289154435
DTNB;0.44856510437130337;-0.3785470178282177
KLK2;0.4871882494063494;-0.0831054620282433
LOC150568;0.2319625388874127;0.8863752372975119
LRCH4;0.5512683977047543;-0.3514308390054072
RBM15;0.03186581160801402;1.1721947622172446
STEAP4;0.08302467488555468;-0.36655034655908464
STK31;0.7225044155728064;0.06240065106128875
STX10;0.804556621260178;0.15830566705740512
ADC;0.7325147581655809;-0.0976684878561798
AFP;0.6308243425985394;-0.054564493060759146
ASB11;0.8893955234223051;-0.058769625664517426
CDC42;0.4546305613340612;0.3792476553526765
CHCHD7;0.37244730687459626;0.38285424617116837
CHST14;0.05140775515743207;-1.0702047173656142
CLCA4;0.9840539785833445;0.007023350924446032
HIST2H2BF;0.4567703409310905;0.15330711635317948
IL17C;0.15749926720581675;-0.6485141397631106
KRTAP3.1;0.35022781907436096;-0.39941713582376137
LOC284379;0.7577856462276641;-0.19526407973044316
PTH2R;0.004122343073102772;0.19459785057652615
TDRG1;0.6313392618498717;0.12281678384262179
ANKRD22;0.41031728813233836;0.10120921125889086
IQSEC1;0.6843334756598412;-0.18939998994455645
KRT84;0.7621338315046107;0.3870123560324802
RERG;0.031637086969214266;-0.6469736235364554
TMEM219;0.428216527249938;0.37595295302837434
TP53TG3B;0.9574446983963366;0.012097026173633245
C8orf42;0.9534297974592555;-0.011090217188413609
LILRA3;0.8767729797088428;0.021728318737061564
