genes;pvalue;coef
DHRS4L1;0.014041763547578323;-1.9036185235082606
DQX1;0.770482356534411;0.18246474492125664
FANK1;0.055365183157511974;1.6132864015549353
IL27RA;0.06608418715495246;1.2989803799263775
KCNK12;0.09540261130352055;-0.8857273231737234
KRTAP9.2;0.7186980302624864;0.678267644828891
RXRA;0.0380917919412677;-1.6995075285014236
SLC29A4;0.7600354345363824;0.19632763194691336
ASPH;0.9890669611269708;-0.003373881089233817
HBA1;0.4272425971662851;-0.1607110225242853
IL1B;0.37930644991215956;-0.33742263139709766
CNPY3;0.5724990784915747;-0.6408951329531334
COL7A1;0.9702692025995742;-0.023937306788834333
CSK;0.15076854620119245;2.0231807433344304
FAM70A;0.7895834827215671;0.12667961338184217
IRAK2;0.7183922155538289;0.31761786555951144
NAALADL2;0.9059119106828388;-0.057654862756264705
PCM1;0.04695607343665286;-2.689309357210718
SCGB2A1;0.6606206032073768;-0.20017461603099174
ZMYM2;0.6193120177202394;0.6917076494866933
SNX33;2.6823979022228447e-09;-0.3378030087050477
C15orf62;0.6705210380025713;0.3437767255559128
CAMK2D;0.21076761298101576;-1.3701909225834135
DGCR10;0.13081532041779453;0.8356526976309574
FKBP11;0.7992638251105264;-0.2758627421880288
GPR1;0.8158918597710811;-0.09835629818907807
MPG;0.281109783410902;1.3353447747709064
SPNS2;0.4607758043634054;-0.5263837293615751
FAM125A;0.23958240248459395;1.27446459703147
FLJ36031;0.3602265048636868;-0.7802443545826999
FTHL17;0.4574599191576848;0.1658116817376619
IL9R;0.10156299234721555;-0.834571597077448
PRKACB;0.45752118692241817;-0.630479940667001
EPS8;0.003270156147967704;-1.0499256008848468
NLRP10;0.13703285259928366;-0.7752700428646783
SCG5;0.08352384868570085;0.7212735569403806
ZNF429;0.13987529950787647;0.6540605224824066
B3GALTL;0.2874004074226456;0.8950276040333972
C14orf93;0.9643625348850731;-0.04627334464006203
PDK3;0.5768978311769515;-0.4635930709059279
SNED1;0.32901653892809135;-0.8235119441894693
PARP4;0.008252291495641315;2.6605058317766614
PRR7;0.0434225253454964;-1.7522300558131336
SLC1A1;0.017551910254711492;-1.2252647060402828
SPRY2;0.08181607202404144;-1.2915752026384935
UNC93A;0.07626236678483958;-0.6062636217226615
GPSM1;0.5139173300118929;0.4806614472616589
HIST1H1D;0.6298421382312174;-0.21472454624155238
HSP90B1;0.06955796392738976;1.5250882191783917
PTPRU;0.5760820268597722;-0.397880432382525
TMEM120A;0.0251986130273928;-2.701287117369587
GOLGA2B;0.48140642252305743;-0.5592971794200766
GSN;0.7347492684782345;0.2637566499160133
OMD;0.20475413301844259;-0.6614235213246005
PAX3;0.836531384048244;-0.06287497731667753
SLC25A34;0.7870540570994795;-0.2003128949538651
UNC45A;0.04957119593949053;2.4182208222124024
WIPI1;0.01838369432907838;-2.652475354261694
DLG3;0.15600785988552904;1.7033289666017901
KCNJ15;0.29741644058515215;0.5316846060874777
MINA;0.16748303817516763;-1.5925446499840579
MUC12;0.054148944605778945;-0.9908570778718141
NT5C3;0.3148143085674503;-1.0993227480163144
ZNF90;0.35051194478934455;0.4509347953238904
POLG;0.1538695426628125;-1.7490541992609188
PPP2R2D;0.015825074741412152;3.50322379728591
SELM;0.07567449985188644;-1.5625576062404394
SRPK3;0.343830859052756;-0.4895400569722924
TKTL1;0.8185308714268655;0.04022430629289435
ANKRD19;0.6864125731691831;-0.23719998848142065
IKBKAP;0.08530944423269395;2.484137831272409
PEG3;0.33112349983468004;0.4251078782173169
TMEM14B;0.026131696902749066;-2.825976216135134
TPM3;0.9111885013076968;-0.13666893746479306
MSI2;0.28172351880594626;1.0953139954222297
PAFAH1B3;0.3387268258465359;-0.973894702641738
