genes;pvalue;coef
CYP2C8;0.025406043122519116;-1.013186849936474
LOC221710;0.09087868486358532;3.2388845956730297
NLRP10;0.02607300814965576;1.517305052969614
PHLDB2;0.016827752263062316;-2.7247497873479776
POLR2F;0.979556740298209;0.04328334298155418
CACNA1B;0.017134178644198212;-1.5260130863948242
COL1A1;0.8310301353638114;0.13704281530054369
FGF20;0.17832975339963986;-0.4689264086793025
PALM;0.7824967057908371;0.3210493085876504
RHD;0.814923681627143;-0.09263034919968174
C12orf56;0.3277225933861664;0.2896135314697035
CD55;0.9003667068883014;-0.11026881029701774
CDHR1;0.34213924560058195;-0.5149938041755935
CLDN10;0.8080287345621459;-0.0988673456538217
CSAD;0.825266569282473;-0.4018901368447947
FBXW7;0.6120226531134914;0.8971428847217875
GBF1;0.16567268883627628;3.5382032810368935
GPT2;0.34667612938915104;-0.9546582836269644
HLA.DRB6;0.4124636079406061;-0.27495102941658633
MPZ;0.4285816171445954;0.5837859612267707
PIK3CA;0.8602340355707163;0.33711615814611706
SH3BP2;0.2985085629122206;-1.6178941779845868
SNORD116.20;0.7331837377514578;-0.19756434219290073
WNK2;0.0009756713077831128;-2.3954267039657555
IL1RN;0.9481304458077768;-0.03563446592896126
RAD17;0.6927419666022719;-0.22854231634763117
CLSTN2;0.1783154796569596;1.1252169539982326
FBXO16;0.7951937718102511;-0.17467826931400926
LOC286467;0.5668531235333182;-0.2240049730187623
PRB3;0.34471849140680066;-0.33451434118816115
PREX2;0.0681091371459031;1.661094147368276
SPNS1;0.30534704036573024;-2.0936764846967004
UBE2V1;0.829328565974279;0.4270523702792955
UPK2;0.33008100568244825;0.2074952523315
ZNHIT2;0.2645179193589128;-0.3317524538576061
CEL;0.009145458987405633;-0.6858475346986839
CROT;0.01806672791613641;-4.986071704737647
EDARADD;0.288413778291278;-1.5142421517166618
EN2;0.13917098399020159;0.3222065718957566
FKBP7;0.021902001475335327;-6.744779092021904
FNDC3B;0.75023845685174;-0.6453434411762972
MAP7D1;0.00739460813039425;10.236309874882375
MRFAP1;0.9112248580976434;0.3187273193209352
ODC1;0.2739501257309295;-1.8595535834153645
ZCCHC3;0.615495302544462;1.2387193573906132
ZIK1;0.2284644417081595;1.4211806843424233
ETV3L;0.5438899854781292;0.3556514630361168
LINGO3;0.9869653076456884;0.005010991994487104
MYH9;0.2685468047248044;1.0418181931502943
RHOU;0.1630113640734785;-1.293278887974941
SS18;0.9939676251470106;-0.009536374696145412
SUCNR1;0.689499141726745;-0.11799704437839995
TMEM100;0.35017535544454503;-0.7001999461257981
ZAN;0.23432647557386466;-1.772679928401481
BCL2A1;0.11229777671746702;-1.2932896109536678
IGF2AS;0.8908585310484843;0.04859510832662967
PECR;0.3821161288856252;-0.8478975231059188
SLC25A44;0.8623706530514759;-0.22759690019030024
ZDHHC1;0.29636770922839595;1.8893394713165306
HTA;0.5655649632108872;0.45222802640883214
KLHDC3;0.6917954612706672;0.6758153620940845
MGAT4B;0.8928543666775396;0.18436241319878424
MUTYH;0.257690969340023;-1.4734966031902144
ENOSF1;0.009360616829529501;-2.8891969203827736
GPR126;0.4720138284359122;-0.5125317889439329
SGMS1;0.6092645074021902;0.7803739431744736
SPCS3;0.16526729545114727;1.8543076008944666
CIDEC;0.4472431681531588;-0.20142879587763665
MMP23B;0.023434786282999755;-2.0551485461546433
PART1;0.6283918800302712;-0.16229849377080238
POLQ;0.29487882824124867;0.7443823601699261
RB1;0.1843025984601222;1.046055754770292
ADRA1A;0.04832074939407626;-1.0045905385433695
APOL4;0.21671042403406926;0.7997446926226043
CYP2W1;0.7788930936514509;-0.0784055354745867
FLOT1;0.11701225692745383;-2.570011769115168
KDM4D;0.03009460933977275;-2.316485754483947
MBL1P;0.1068357968030106;0.9851224894437093
SLC1A1;0.013464273082897457;1.9777545665885923
TMEM141;0.5783701118812976;-0.7886211369558861
UROS;0.2689003571872872;2.1026306417021603
C12orf44;0.35784229542379486;1.4923249215596357
CDH22;0.66692027743311;-0.16258686762987226
LPXN;0.019767103065677843;-3.0174018356965004
MREG;0.4411442815187545;0.9151716224226156
PLA1A;0.6525801853666218;0.33592638777086425
SLC25A15;0.985361049174113;-0.023510204726587533
TTC9;0.9211412793047667;-0.07094611727561972
GLIS3;0.4824337202024265;-0.8580298714610731
GP1BA;0.12682974577967723;-0.6820241794981847
HSPB11;0.18701332309270702;-2.676487667715333
KLHDC2;0.08419399889291826;-3.6320507074614774
MICA;0.10827605459569739;1.8603151457797422
VPS72;0.9316805940374384;0.25398001509253887
VWA1;0.0038590672561355076;4.179996334794555
HIST2H3C;0.5056115940054984;0.3020780075769361
HMGCS1;0.6798196121573823;-0.09922942859096909
KCNG1;0.33616221825975046;-0.3846271573746189
HDGFRP2;0.9008157894711468;0.19392986535842288
IDH3A;0.9439985648326471;-0.11403730406085885
SFRP1;0.30150776402515844;-0.4041232462317231
COL3A1;0.3025111302914062;-0.93082686868698
DCC;0.0075180273731020025;1.2138337116190212
GLDN;0.7074799020791407;0.1636266896028386
ISOC2;0.5897495404705911;0.7820642214679526
PP14571;0.21926396434047546;0.3683141248434301
ANKS1A;0.5722933289323324;-0.9545721391921004
DCUN1D4;0.8933274828490906;0.17620996895774035
ENOX2;0.7096146391833775;0.7302223694824729
IAPP;0.5975023256656793;-0.1131388122694502
TP53TG3B;0.9178659350984156;-0.033641811341677354
AQP5;0.14739473865659947;0.5263251165554985
ARHGAP24;0.2217219703855574;0.9666316893622379
CCDC60;0.6230628098791082;0.19513860862079754
PNMA6A;0.10171623006259402;-1.0097310858888333
RCVRN;0.621059970139706;-0.21460514726615829
RSPH1;0.12980792903254393;-1.0545844576515515
TMEM27;0.4539398441775868;-0.38426784305710865
FAHD2B;0.363694673389215;-0.6016851932945593
PDXP;0.6990562647095774;0.21384927195699024
APOBEC1;0.8586647404150605;0.06479478888616923
DKFZp761E198;0.5146966725429298;-1.1896258944995404
FOXF1;0.8281621302964808;-0.1988505810766046
KHDC1L;0.08057063750220822;0.8586212461870236
RXRA;0.042825911797166064;-3.4090702935880874
RXRG;0.008901211996959224;-1.4609147548799024
SLC35C2;0.01224754905317083;5.232973614823347
VAV1;0.6438011171667237;-0.34581676669084127
EFNA3;0.04443453238653637;1.1235814553971408
PALMD;0.6557353619141946;-0.3866378071248013
