genes;pvalue;coef
ADRBK1;0.08463999015889935;-0.4216603604055171
EBPL;0.28239036742667;0.3222132646373672
FLJ42289;0.2670576332883531;0.2930261540196692
ACCN1;0.1638131610180109;0.19082711383422288
CRNKL1;0.39608463717765074;0.4913438500079131
KRT77;0.44607982171216687;-0.24489486102394759
OBFC2A;0.569993435699995;0.1975327950420621
SCGN;0.9552058153034115;-0.01173695128476765
STK19;0.16116932337594314;-0.8287152593209958
CYMP;0.14664572845860904;0.9053484382127247
ENG;0.8275723193683704;0.07937120496070643
FZD7;0.23643544020767826;-0.24973354333352205
LGALS3BP;0.7897492583351866;0.06489491262953126
WWC2;0.9861133368623832;-0.005733605938918793
ACSL5;0.8288282586736452;-0.08234534445168935
CCDC42B;0.7138165739563731;-0.13599699755975822
FITM2;0.08884311950112656;-0.793610293591555
GNG13;0.46223759276057585;0.20184078489613744
ITFG3;0.0013097862916907753;-1.8929015017670445
KCNQ5;0.48173664293390184;0.10554609814922078
RALGDS;0.00038905747804087414;2.3427643279587227
SV2C;0.19084465724316113;0.41339638605366996
TFG;0.8137326285708993;0.1296137937135541
ANKRD13A;0.7196341863273921;-0.1591627682759908
C11orf53;0.08920404791384952;0.25161095625536745
C1orf85;0.046823044684328394;-1.0942517969107874
CFDP1;0.6388408632003;0.2861385388543241
FLT3;0.368939342070811;0.19201741620719273
GOLGA6L1;0.6501119794852502;-0.27234855341574454
HHEX;0.5686385454939995;-0.25831350652431684
PAMR1;0.087782776806804;0.24405214268867614
PLAT;0.7837933450243183;0.06434557580569926
SNTB1;0.014514909069263435;0.6543984897409937
THSD4;0.2947932473067084;0.21252464636761675
C11orf75;0.23142346922501744;-0.3575237382844981
CPLX2;0.9845010182294557;-0.0041750077585919285
KLK2;0.09172655985654676;-0.1989167166365208
PTPRB;0.28388153069665667;0.3044338898170178
FAM108A1;0.9887524193100077;0.009322513174336721
IL10RA;0.30984783434167573;0.4877797838807599
NLRP6;0.7822949906784595;-0.058440695897853265
SGMS2;0.45232734822802767;-0.24757533781049929
SLC5A4;0.06838570063940816;-0.4416847554981637
STAT3;0.5685466673166117;-0.38839714681472637
TMEM185A;0.7148134771824863;-0.1906065433628425
TOMM7;0.46330422514895253;0.43590435056699794
C2orf42;0.846865127775426;-0.15038030415868756
CACNB2;0.228492293208721;0.2551940993093572
COL11A2;0.6857296999365299;-0.08624528716345967
MORN2;0.1708308076654319;-0.7881765404671529
MTCH1;0.8793494943678103;0.08090878260219467
PPP2R3B;0.09143462335665438;0.668728625309681
SEMA6B;0.953331315218244;-0.0179116649816531
SLC7A2;0.6975745875465453;-0.0637507126938162
CALCRL;0.35808838165404633;0.30240995998020853
CUZD1;0.7581466862419299;0.06175378912643922
DCI;0.628371023714959;-0.30043443848953777
FAT4;0.8994644073932809;0.03641242644249743
FLNA;0.2262547949804109;-0.4503530065625809
GPR172B;0.8175514563975734;0.039180631529624706
PTP4A1;0.06850784822560821;0.9040601840456493
SERPINB7;0.4331355639006913;-0.10529401175050572
TCL6;0.7238915866439755;-0.05810618816188786
TRAF1;0.25422345695418946;-0.3894262754523097
VSIG8;0.5600673938732172;0.152638376434711
ZFP3;0.7583350148251726;-0.13043989917313764
BCL7A;0.5124829059504832;0.20435335348448283
INO80C;0.32278775720473163;0.4915401610555411
LOC388387;0.09406534240901557;-0.44400484674356433
SLC39A7;0.16529103185710503;-0.539833618856885
STMN4;0.4909366344731897;-0.12719601007754466
TET1;0.56257658060177;0.19572327046857171
ACAD8;0.792179909999041;0.14246051928612352
CLEC2B;0.8795868127291747;-0.04098108095297014
KIFC2;0.9457052615648138;-0.02437819658621443
MAST3;0.33254921164457274;0.4557162549451694
SMYD2;0.3886134339261045;-0.4208512256272693
TRO;0.9904224013343101;0.003208286897488192
VPS25;0.4388260633472548;-0.5028882449149628
ZNF238;0.2344313504100125;0.3933892721733507
BCL7B;0.08796128503092797;-1.3087687096409708
COX6C;0.16524678979128327;0.8273929693900021
CTNNB1;0.5298952714653757;0.33950975074375833
FBXO22;0.6286852675609857;-0.3195914048050577
LOC644165;0.7444942053106518;0.0793696705268298
MAOB;0.683378659239677;0.06592387651852265
MFSD6;0.4364225727527492;-0.3047107161471892
PNMA6A;0.5346328857312381;0.11735415662943288
RGS1;0.053631121224524035;0.3717464277314047
SLC14A1;0.6446995529167758;-0.06692730731862964
SLC47A1;0.8594334780054464;0.03720565120530965
AEN;0.5906809100045848;0.19959402667079962
ALDH9A1;0.2990787444433769;0.4634418505638128
F2RL1;0.9861810165038032;0.0029585317169478383
KCNE1;0.5869299729532051;0.09454353460760855
OSM;0.030308230752622692;0.47998511320331205
PPP1R16B;0.6337310083322503;-0.17926341474425891
RNF183;0.6605324513830793;0.11476403774645422
RORA;0.012596078216168202;-0.9053501391157072
SLIT2;0.354776455457929;-0.17757933542904583
STRA8;0.5403226459665856;-0.3619284431253954
BCL2;0.012659410184418194;1.0046814933933244
BST1;0.04963140777934479;0.5998473567051383
CTNNBIP1;0.3821466644111231;-0.45743301471922587
FIS1;0.11660040902365018;-1.074124635356168
MDS2;0.36947679628456287;-0.2434517149287156
PFDN2;0.4154849032081296;0.5547976007464165
PRR15;0.2702507990088394;0.1941176248253625
RANBP2;0.3550212389254006;0.6532876262197013
SLC2A13;0.0019530620463354613;-1.4408370043609309
AG2;0.6953081617989081;0.09143232747558601
BTBD19;0.9341917872812797;0.02785681269301355
COQ3;0.17303255161220865;-0.6720839103868648
IFNAR1;0.8399245603392633;0.10008493942181167
LRRC8C;0.6349442153880124;0.2092271655129122
MAP7D2;0.17198914518546693;-0.18595438673204098
MYO5C;0.97520521084537;-0.01059795386796215
POU2AF1;0.5740908478326098;-0.09505030939578073
RIMS2;0.2374204870331178;-0.1835332058335799
SCRN2;0.6743355174768279;0.19845858831856023
SLC45A1;0.38737593509844226;-0.23424833462882
USP51;0.11384297153982499;0.4737099992169914
WISP2;0.5744523060318318;-0.06995938036927474
AKR1B15;0.5498039178844669;0.10254392842590307
FETUB;0.4896482088691382;0.13770411859240086
PSORS1C3;0.5075144225444699;-0.13862214103717854
RXFP1;0.23209413945112145;0.13924368796155198
SAR1A;0.3037953093376442;-0.4491492972864986
TK2;0.42737443108556483;0.3999887728339864
CIDEC;0.00946803893769656;-0.4106606267620936
CPEB4;0.5104573496156457;-0.34496626510297734
FRMD5;0.07329171584495793;0.2808576276085712
HSD17B11;0.5542919927069484;0.23941988624800645
LEPROTL1;0.23693387640277241;-0.701711289674783
NGB;0.03151916952101005;-0.5321050389304333
TTC9C;0.27631048371757994;0.8109537854911796
UGGT1;0.9545242555547683;0.03216201893961981
