genes;pvalue;coef
ADAMTSL1;0.08973295784433652;0.24299075384564997
BEAN;0.756157522242737;0.040023394497349096
CC2D1A;0.38791723636486697;-0.40588488919170335
CHD1L;0.9117367012767464;0.047374747544703444
CPEB2;0.2641034036225074;0.30570973238953103
ISM2;0.0980391399519335;-0.2109659735250187
PABPC1L;0.04420296402121093;-0.5507965708283926
PSIP1;0.07830498618132868;0.644471982660037
RAB26;0.8780967101042639;-0.026458614908009687
SEPT4;0.4860740169387968;-0.15781421803569234
SPAG17;0.02169169216512537;-0.26271270002039787
TEPP;0.13826427205570369;-0.29947938264569557
UBE2QL1;0.009352158006677377;0.26054694823657193
ARID2;0.36753886883007014;-0.36289630212772983
C12orf54;0.5924665205209408;-0.06191056875446207
CCNJL;0.25482447801570807;0.18493591871745507
IFNAR2;0.5489841446137447;-0.2525167604808512
NPTXR;0.36905656324303004;-0.1225714124063166
PAGE4;0.36961893687005165;-0.11800201673277372
SGPP2;0.5296852820230487;-0.09450670019565673
SNAP29;0.5498102167582998;0.25944749219775953
TH1L;0.8431032312859174;0.08907822903134324
UBIAD1;0.32103954143533653;-0.4696861842305334
UGT1A7;0.8337585522736473;-0.0892013006435244
C2orf79;0.6399084875983522;-0.14980100313103545
DCLK3;0.7638108906712442;-0.04771251037330265
EFNB2;0.7261905738406635;0.07304944274895682
GFI1B;0.34433501758742324;-0.1773898047872791
LOC285629;0.01951593424810113;0.5004828054207721
NME6;0.0513815358682882;0.8931506754793548
SLC25A45;0.7002726293165323;0.10013284893208153
TMEM61;0.49001309741790566;0.07703288370234518
ZNF259;0.1469818984595866;-0.6112256341848643
C12orf63;0.7849736368881806;-0.04456595199427507
GLRA4;0.6626652287216901;-0.05304494630148072
HES1;0.11065979677390755;-0.3668732774161279
LINGO4;0.8285883350615424;-0.035787335286408525
STARD3;0.0631263271517644;-0.9148526299003825
TFAP4;0.5487164901011997;0.18278631400909293
ACVR2A;0.6749908375599195;-0.1647264742875703
CSRP1;0.4611846668880557;-0.1538929262331478
CXCR2P1;0.1959654384348266;0.13628419548074078
GPR19;0.19767095529498702;0.23385946948159797
GSTT1;0.278472545280383;-0.06893160013074599
H3F3B;0.6160048890447445;-0.22167076077264536
ISOC1;0.8974211398828801;0.03037816575580138
JAKMIP3;0.6507809923043796;-0.0683702203725704
LOC100272216;0.9832521450397463;-0.003869045305438906
LOC168474;0.653725944569164;0.11608986205772322
NENF;0.6000310374210465;0.19233297444417272
ODC1;0.7583243763493394;-0.10164370528956686
STRC;0.44329730518406973;-0.13722506422726316
TMEM86A;0.08170448328477907;-0.5461284459277845
ANXA3;0.06379459236584133;-0.21881336543023677
C9orf152;0.6283165185243506;-0.08897839264749179
FABP3;0.5858690815791138;0.06836342188222476
GIPC3;0.5251140268672225;0.11017981313031006
HMGXB3;0.1299273998611647;-0.7705379403713657
KDM5C;0.6631614731538307;-0.18999101182495162
METRN;0.09587005970914657;0.3254053652974415
MORF4L2;0.17716161317999213;-0.6064617519423989
SEMA5A;0.03654812531401366;0.34255982181265515
ABCB6;0.4163520042094694;-0.25439509987608167
COL1A2;0.23732618156734542;0.1708499781017485
GABBR2;0.2011480564123841;0.08777461532311803
GPR12;0.29642739149407704;-0.21515484509496155
GRN;0.2718096584558666;0.39760490876710136
MYH10;0.6307134460476197;0.0713639425791519
RAB11FIP4;0.27265775686731275;-0.15025273718800564
XKR7;0.7734951138131627;0.08967081343068227
C6orf176;0.14861632927175844;0.12247428000053788
CORO6;0.2863816751089967;0.15940966051389682
DHTKD1;0.20912990080045357;0.43355509670579506
MYL10;0.36476734690892976;0.16084779047140033
RAD51C;0.6145337291596082;-0.20256382163701528
SMPX;0.9000884714712498;-0.010673558341049185
VAX2;0.3609673772761265;-0.14712229133143592
CACNB2;0.16093862622288513;0.2526474862982903
CSMD3;0.70795968636776;0.03966185654120967
CYP17A1;0.611105389822248;-0.12418343536813507
DEF6;0.8849155479268144;-0.031149349219903436
KRT38;0.19683478027353163;-0.5346168099309706
MEIS1;0.0905672720457621;-0.304212071048547
MUC16;0.016443512484692675;0.33713141339934305
RERGL;0.011444294771820197;0.26118581843781746
RNF180;0.2412080079718213;-0.20026998223203246
SCTR;0.15634263953007882;-0.2333126825357136
ACY3;0.3401108163058433;-0.11761179780563946
ARHGEF5;0.41767053107821683;-0.101424771611408
CASK;0.1668647562686465;0.49494793237581036
HOXD12;0.35358370559739205;-0.1802712318367293
KIAA0114;0.21677690154037133;-0.3067251691983986
RHOBTB3;0.7230716227162467;-0.055783521593814195
SEC22B;0.020373343773459493;-1.053473741938888
THSD7B;0.07601545423872441;0.17735828503461196
ABTB2;0.4368404489697225;-0.15784973565998248
ACADM;0.5306944019291113;0.23451220545238055
AS3MT;0.27970358643936444;0.17778765833084156
CD320;0.6600606897620367;0.14424493104420347
CSNK1D;0.036993939011174516;-1.1270875512488134
GPATCH3;0.652643299000784;-0.22381745657863433
GRAP;0.02686627792974075;0.49801023839971265
SLC13A3;0.292297435905858;-0.13736260122299815
ATP10A;0.1748041529938923;0.20076360229828297
BIRC3;0.746560766176404;-0.0449715590716036
FBLN1;0.2801402413070412;0.17968259866009856
JOSD1;0.07197819958481902;-0.8836396414551573
PDZD2;0.3889369922440521;-0.13214511317852967
PPP2R3B;0.004535489956617845;0.9507848887479053
THAP8;0.2775823971320768;-0.42587489817964264
BLM;0.9229391497211034;0.024695687034462597
CCDC163P;0.23087428056675763;-0.28860374333374866
COL4A3;0.2880028771226061;0.11413859318894214
EPS15;0.4106041521693623;0.3875401421420458
LPGAT1;0.3922630728070533;0.3603703815232929
LTF;0.9709304994593712;-0.004381849947190173
C6orf141;0.7794370014211132;0.031517621929285866
EGFR;0.7399435865486195;-0.05493626754592135
SF3B14;0.2416872686890691;-0.4898964061485991
TMEM198;0.5536051874561401;0.11926646460644705
UPK3BL;0.9919211507137169;0.001081606518584127
BRPF3;0.8337239000178512;-0.06993963842516832
CLEC2A;0.7972156016201484;0.051453846807146625
DHRS3;0.8755369507719035;0.027833309290206575
DPP4;0.24435197178970958;0.14669665889409148
FBXO22OS;0.18636359074490927;-0.46037695252960714
UBE2Q1;0.9714321800113213;0.017468422468342317
