genes;pvalue;coef
ARID3B;0.5108107898558256;0.094535108548807
C15orf37;0.7027793852127895;0.048771069095380024
CGNL1;0.6664877149539663;0.0290542785251124
CHD7;0.501478354167811;-0.07162678622563323
COQ3;0.02799497680499933;-0.40542733773017964
CPNE1;0.16311211691737093;0.21651013421991047
DDX26B;0.8913051141632389;-0.015394607884024105
DIP2C;0.07345192740115794;0.24971902849655322
ELAVL2;0.9015839900880332;-0.006364863769577667
FBXO11;0.5441571307011848;0.1815263812318703
FGF12;0.06809674533214455;0.11082724816942995
FGFR3;0.0029475311661984072;-0.15400361738411195
GPRC5D;0.6309080543266345;-0.033765025732374
HHAT;0.6668226306467797;0.04903716327167086
INPP5B;0.6266007636307822;0.11218647183725576
JMJD6;0.20190588418681876;-0.2868891922808862
LAMA2;0.27404115993063216;-0.06479759750343858
LOC550112;0.21671931896277974;0.24615762815895723
LRRC7;0.8293508746575234;0.011795812573184543
MCART1;0.3652536058097886;0.18097308013191551
MRPS6;0.08710088503412146;0.28374239601944085
MSTO1;0.8310469571338145;-0.04338141283813438
PA2G4;0.16542537694052373;0.35925461277662957
PAK7;0.8555322122133124;-0.009919203101578447
PGBD3;0.035568186271751234;0.4077960953695098
PPIEL;0.743893911899429;-0.030709071953543884
PTCH1;0.18502934098592694;-0.1291815312630386
RAB33A;0.06180950424819907;-0.14671806028813814
RPL23AP53;0.6723559948508622;-0.06161578830872866
RPL3L;0.04946520889460086;-0.14521226945246893
SIK1;0.8412300413929701;-0.01835784524803882
SLC24A1;0.31478381414766865;-0.20542653509692524
SMCR5;0.012889702824604233;-0.2681024539418085
SNAP23;0.49808233210573216;-0.17436793499043027
SOCS6;0.2346695994621536;0.19729110520047227
TM2D1;0.9418944011798887;-0.016613741138703064
TMEM164;0.9569164193078811;0.008352372536480853
ZNF32;0.4146936563792768;-0.16002733900014426
C4orf49;0.26523697204978003;-0.061646148459110144
C9orf3;0.022529679409306575;-0.2748920077633283
CA6;0.8128528113252711;-0.018100674040623387
CD207;0.315883741971435;0.058357100572267215
CHST8;0.9755744254923775;0.0017319084048118337
CSF3R;0.7284545881202813;0.03162697045777211
DNASE1L3;0.027897009576511082;-0.11818027494151113
DSCR6;0.28648006532025905;0.06382492772775349
EDEM2;8.123319900841245e-06;0.951114922825824
FAM55A;0.19018194662771937;-0.2016994559802401
FGFRL1;0.12549492463587522;0.1415894197284686
GNA11;0.5776312139867037;0.07742561893241523
GPR144;0.5235768517627418;0.05914287878543174
KHDRBS3;0.002150851884294744;0.2428407269592624
KIAA1239;0.28828435674091335;-0.05625182573822215
LASP1;0.30602493979336454;-0.23420551348508567
LGI4;0.9901606305280369;-0.0007556451539359837
LINGO4;0.21529308840237826;-0.08993582525518601
MBNL1;0.038190580721417594;0.43545943541566107
METRN;0.7524736576220767;0.032550843217037204
MLF1;0.1959903424640368;-0.11482368527851872
MORN1;0.8790204716894102;0.017834523470279126
MOSC1;0.6368080923620982;0.03275090833848974
NARFL;0.005840456548370883;-0.7753233107317891
RNASET2;0.2640564419289422;-0.1636524664908512
RXFP1;0.7396944929858611;-0.01931037241513622
SALL3;0.06628346227373777;-0.08871226504234776
SIM1;0.23407257209437105;0.07065023231260652
SMAGP;0.14372471961078406;-0.13255695024019926
TBC1D10A;0.7479270857108894;0.0538827207199119
TNF;0.4512525367343353;-0.0522512354033685
UFC1;0.05569396317963061;0.4467384770890714
VPS25;0.34780108463396586;-0.26428344482984484
WDR87;0.8494034328188269;-0.014461409265653632
XRCC4;0.5032353352543084;0.11229899652808842
ZNF518A;0.9989773097266723;0.0002121461503004468
AURKAPS1;0.8795947399738957;0.019126737137441542
C10orf67;0.9787550334497965;0.0019952388174714957
C11orf92;0.9923441624815988;0.0005511843850678231
C2orf55;0.9867248842977447;-0.0016371184575911164
C7orf10;0.041114787622574936;0.1602473916723723
CARTPT;0.3051215410238245;0.06959354256191042
CDH17;0.7909134635230947;-0.012272569607072447
CHRM3;0.4772023803972214;-0.03917219264830746
CKMT1A;6.68438796947002e-05;-0.18702920838243292
CLCN5;0.3905088292703083;-0.10294143047324454
COL11A2;0.010303862048312653;0.14022270494395034
DDX10;0.19061298497152668;0.30113274903674475
DISP2;0.3136283051854294;0.07675286108675024
ENOX2;0.13691780191836417;-0.31920844712988894
FAM196A;0.22095469219241137;-0.09234788907788642
FBXL7;0.18420183658345046;0.1230190135971482
FGD4;0.0031046929676592327;0.34489759521626495
GPT;0.017253945108026345;-0.17189014577704334
GRM4;0.9741552402699609;0.0019221334643475757
GYPC;0.9846057722511005;-0.0020006990713602023
HN1;0.2269440877957296;0.19579746202957185
JOSD2;0.022461121137981977;-0.4058309260271245
PARD3;0.12973734275717386;0.24409168518078775
PLK5P;0.27550432494028276;-0.08366793677291354
PRPF40B;0.876523119012632;0.025195549386423155
RASL11B;0.0005788595426519562;-0.2267504974640569
RGS14;0.0534091536884573;0.2184325511220514
SIK2;0.20695180024650262;-0.25549738436982217
SLC35D1;0.9614743312661271;0.008161249747708203
SNTG2;0.5516378656658074;-0.04682191757543556
STAG2;0.9523738343997562;-0.01452020009334671
SV2C;0.036267512784182956;0.17675664267834043
TAS1R1;0.48306753843378347;0.048172392670526705
TNFAIP2;0.45050774293037266;-0.07165420327588672
TNFRSF14;0.5363867558800917;0.07591046231868155
UBL4A;0.3730356785977079;0.20837955250123497
ZFHX3;0.41625428257655817;0.13284011831684575
ACADM;0.15811769238540507;0.25424002409388374
ADAMTS19;0.5596801353928731;-0.03107345573139289
AHCYL2;0.2353619873168754;-0.12366000839725103
CDH10;0.41229801004464817;0.03909535779582972
CEP57;0.7136295192962361;0.06975082200081506
CLK2;0.04758359846752967;0.47045267071114866
CNGA4;0.7994655424481198;-0.0232611543796871
DBN1;0.997462482475707;0.00038023997705478673
DCBLD2;4.398882649574318e-05;0.4570516798808211
DNAJB4;0.9515445583046607;0.008036457330593808
EMILIN3;0.07076335394487589;0.09143632884912103
GALNT2;0.970222641250013;-0.005904486569310277
LOC285359;0.1624018332509225;-0.2502228260163681
LOC643719;0.3856159353936941;0.07382983126661201
MRS2;0.5470055969212515;0.1267647306288579
MYO1B;0.9877376591188275;-0.001802677142139119
OLIG2;0.8396520696338705;0.008315597518299715
PNCK;0.009047566037355905;-0.12456584411112448
PRR3;0.34146254149392985;0.19451158704138433
RASSF9;0.37583584757391475;-0.051837025927121784
STK10;0.8085717487608707;0.03320233290281491
TMCO1;0.218670020465357;0.2913605939736862
TMEM65;0.3469305220897222;-0.13584814244601054
ZNF606;0.06667568597375872;-0.23687460580122996
ABHD12B;0.6995495813429995;-0.02275322217163857
AMH;0.025985522522450993;-0.1220939627342161
ATP6V0B;0.3936070307018231;0.18857521888642337
B3GNT6;0.05774157578136048;-0.1277866273172321
BIN3;0.9779240009713925;-0.004667317209090577
C15orf56;0.3409002569490749;-0.07137610328245252
C17orf107;0.1634118123516215;-0.1273854178630332
CASKIN1;0.9511809367858388;0.003804378718144263
CCDC102B;0.3092934849675669;0.12699374857520526
CCNI2;0.8042592010166547;0.018568159234436613
CDK6;0.09646800177121602;0.14567738024197313
CHGB;0.6693032310263154;0.020150284245349988
COCH;0.029444629993503037;-0.11116781062037377
COX18;0.2934421072329839;-0.24328241152074004
CPLX2;0.03287549288815517;-0.09789881114953963
DCUN1D4;0.39753550438488794;0.1746077420074509
