genes;pvalue;coef
ADCY2;0.002768061151323794;-1.0737926548619194
BAMBI;0.7400291348994852;-0.11238470285225793
HESRG;0.09727172632759104;-0.6695733835217921
PNLIPRP3;0.7200838570103005;0.17625515745292747
CDRT4;0.726015691403721;-0.13047147565562223
COX7A2L;0.6267598860732377;-0.4923896709486397
LCAT;0.002733970824371425;-1.213591936766074
RP9P;0.00027376151499639673;2.734017268001128
RPL10;0.012391695316309235;-2.137226352852511
STAT6;0.4404525736474393;0.41173821035564184
ZNF185;0.1050829727515746;0.912880012906833
ZNF233;0.08036608776797334;-0.49243791605160836
DNER;0.13374646168127888;-0.7023381274039939
LGR5;0.3857791864704121;-0.23007809150595526
MET;0.26380517753822275;0.20528599882112872
PCBP4;0.000572097492678768;-2.541477906303979
POLR2J3;0.6217963112507747;0.20058958048336345
PPP6C;0.06783948746005979;-1.9758733260954582
SEMA3B;0.00353144837991068;1.4483736431512297
U2AF1;0.00970394968355445;2.1393787055262283
ALOX12B;0.8762126403851017;-0.034346812940098836
CARD16;0.47601590847087016;0.2309330210509366
CDK2;2.6180209258146777e-05;2.0553770997758782
HOXB2;0.04122238778993825;0.4246379533243847
KRAS;0.013817492654919173;-1.908530048138664
NEU4;0.3418992690137498;-0.27318406940364237
NMNAT3;0.8091760242711974;0.05151905051913344
RIC8A;0.3503651165745236;0.8426627587369137
RPUSD3;0.8160042853316979;-0.2729955671842703
RSPO4;0.04860840324451346;-0.6459442856734608
TKTL1;0.2257927375843113;-0.22976978589047753
TMIGD2;0.030418427684619165;0.5710129806940801
AKT3;0.8460305577960117;-0.13481644046952182
ALPP;0.5263029374625992;-0.2703516640654186
B3GALT1;0.6275205849557264;0.1461004268159828
FOLH1B;0.34591799922832467;0.15882407721369482
GABARAPL1;0.2980210454841751;-0.7896186554372014
GIPC3;0.17212328576762626;0.6555975257784854
PCP4L1;0.0002816161073143316;1.3307712590554244
TNNT2;0.0016383790108659515;-0.8211529520471563
USP8;0.34332370244187715;-0.9260925300110402
ANKRD35;6.966616014758403e-05;0.9651159872795797
ARNTL2;0.20411040582922768;0.45152702818277335
C10orf118;0.01824355813144708;-1.521450315818502
C1orf126;0.8007333419542362;-0.10130643884997725
C8orf85;0.3956177390747613;0.2279807676847793
CYBASC3;0.012694836037988464;-2.158758923363836
FER1L4;0.09758830052340452;0.45587961316500164
GSTK1;0.3090325455423045;0.7753246600496443
MAT2B;0.05721166129396946;2.027383150623613
SCN2A;0.9099601819460856;0.045263958207014746
AMPD3;0.0728427324163716;0.7633849940642805
C1orf212;0.24233562273340348;0.8566667167435421
FOXA1;0.04562926449944957;0.412328978525579
FRAT1;0.3522106816769668;-0.31673949485316166
SNCA;0.4985633294862776;-0.1804763114493839
VAX1;0.4072304089461838;0.16924560688161056
COL23A1;0.05731501343029171;0.3307536107751864
DRG1;0.09866027229680109;-1.304348041161956
EVC;0.3600708534029591;-0.25210957075839363
FLJ35390;0.040820879508093974;0.7990063283685896
MORN2;0.9891622998641099;-0.009442888931831962
TMEM106C;1.5935289169734245e-05;2.91372232997533
TOMM34;0.7054691280965042;0.3076070000562333
ABLIM1;0.010177614182705014;-1.9538422674767497
ABLIM3;0.494157594088791;-0.23043515474144313
BNIP3;0.38355836516850417;0.67774674647971
C3orf33;0.8724071003555023;-0.1426227790143949
CLDN19;0.30357176034409317;-0.40330822872827077
CLTC;0.7736410614060436;0.27705317367196364
COL1A2;0.0016902813925701499;0.9429252940528984
GNA11;0.005569143734011151;-1.9706661718647693
ITGA2B;0.13435779291430747;-0.5030042323613481
LAMA5;0.03906470274659188;1.4057418504619568
MAP3K1;0.031768421231489555;0.9963928152315328
PLCD1;0.9378003041999589;0.0428315193872346
SLC10A4;0.007240397932763931;-0.6440447102174931
SLC25A28;0.3750293430554843;-0.8014222874737347
CROT;0.002350202440001104;-1.8398552527295358
FLT3;0.009730317330272575;-0.6414237791923116
KLHDC9;0.016762093285182862;-0.6981736722043624
LRP2;0.0910481487445993;0.30891502151111594
NR2F2;1.9932385543592005e-07;1.968338911829855
PARM1;0.062123810673506634;0.5114457651296183
SMOC1;0.0033410103714362894;-0.7261327508019685
ADK;0.1811525373805869;-0.9797533670961245
KEL;0.33819444054621906;-0.2869198684504733
KLHL13;0.012582175360855498;-1.5334495206149972
NUDT2;0.004057902766806523;-2.229298143428585
PPIE;6.944609866955546e-07;5.253582599748381
PSIP1;0.3729252370998648;-0.7449237288254701
SLC20A2;0.0001163670198454995;-2.4725396138492433
SLC8A2;0.22615367569690648;0.27614655589450904
TAAR1;0.4653128065520188;-1.5570205403096309
BRCA2;0.20864585538102343;0.3589982191476339
CCBL1;0.1743654720910206;-0.8376966038250175
CORO6;0.04353095837159191;-0.5462057722553126
FBXO32;0.009981707319270247;0.7934308251336875
HTN1;0.4755540073804423;-1.700608798108783
LOC731779;0.6896324857444038;0.15451744632199543
MEG3;0.020638793530887697;0.5760248595906466
TNFRSF10D;0.08237703423751962;0.5737073351908549
WDR49;0.02560768485207725;-0.7195195685232464
ADRB1;0.5945035080937311;0.16583343716800986
FAM155B;0.2592419934311737;-0.44803468747209774
GDPD3;0.005501099765054419;1.3196778166678853
GNAI1;7.256092945947845e-05;-2.501700355414478
KIF26B;0.06083853781096628;-0.5258498053853767
LOC283267;0.004417834618368857;2.5902422696544893
MRPL16;0.21435234172892892;-1.4081169530603448
MTMR7;0.8828175861085836;-0.056107305722643004
NAP1L6;0.8066736574412331;0.04037276348193418
RFX2;0.02159426278022875;-1.0717127017142511
TMEM8A;0.26235137988919977;0.9677858021742971
ABHD13;0.4724665546799496;-0.45323062167588385
ACAA2;0.014997143263777234;1.1512544815949786
BIVM;0.06418284418790968;-1.5215820137316973
CDKN2A;0.3766586776961428;0.16899413628222323
CHST11;0.9802201447344445;-0.01311799236223644
FAM55C;0.6248718554986763;0.3128001249162103
MMD;0.7435491408801662;0.23137273831535995
NEURL1B;0.1749090790502138;0.5720718907400347
PLA2G4A;0.0436708709071962;0.605559287084685
REEP1;0.0541666984464575;-0.9074939444633853
ALAS2;0.31945352792889803;0.16042514525203705
BCR;0.06626002405197239;1.2662492591166514
CASP9;0.04922273937115449;-1.0975391565235313
DLG3;0.5996832376218142;0.2811659049413367
ENDOU;0.38094860113333995;-0.2744034365799588
HEXA;0.07270857043996679;-1.709537539502442
JOSD1;0.5380503709512348;0.5931860254592641
LOC149837;0.06580847230893257;-0.5483402501470911
LOC653786;0.31817552783707115;0.2729973514898196
MIPOL1;0.636630215255032;-0.1358847230376755
SLC24A3;0.7290025566637763;-0.1502309750471119
TP53I13;1.0621459711035785e-05;3.6005640379860973
CITED1;0.08628826968573994;0.3790983460722747
CNPY3;0.14482397055184515;-1.2341935988552613
CPLX2;0.0192636338607646;0.5252037240400619
IL9R;0.9183281768736622;-0.03694788264419981
KIAA0664P3;0.3545140693051848;-0.35803240352349996
LOC151009;0.6798760350689544;-0.08807306319271754
MRGPRX3;0.4713281813000859;0.24583113407507634
MUC20;0.9053934387752555;0.03212888068745276
SLC1A2;0.0074055280881268745;-0.9219232699795887
VOPP1;0.021091603198644657;1.2668682862811191
BMP2;1.9359773378242763e-05;-1.5277203725276023
CHRD;0.011469099251905023;-1.3227103779196658
CRIP3;0.7167189157498018;0.15727499471459908
CYLD;0.4500599822820859;0.6265981445929003
EML4;0.3087986143243131;0.8395983686630779
GNAQ;0.342785963800712;-1.013543838921629
IDH3B;0.045754927709130554;1.9340581967482517
SCN1B;0.060604042245638694;0.6854876099252112
SOCS1;0.10122902134741771;0.5215030707804187
ZNF479;0.9701809707633051;-0.046379948935668235
BIRC3;0.0003291450817889266;1.0062930422965342
CLYBL;0.3201584330710827;-0.4512611685166845
KRT31;0.009682247842492187;-0.566917244366049
LIMK2;0.40232300154447587;-0.43054058893804065
RRP7A;0.038877984424828496;-1.4420860327517846
SERPINB7;0.68897054946751;0.21057048748762477
SETDB1;0.9718182056209229;-0.026101120616294746
ARRDC3;0.3769592616831088;0.46644893939209153
C7orf10;0.6150893070286848;-0.2047519499013245
C9orf4;0.00023505734217351868;-0.8102910696065247
ENTPD8;0.1150732760294252;0.4652076404435261
FAM84A;0.412280094434758;-0.2884978012325045
LPIN2;0.20784562127773232;0.8837434549272974
SIGLEC11;0.02631144133544948;-0.6381876846704359
SOHLH2;0.7399095723724578;0.07046464956383429
ARL4C;0.0002317913378324827;1.2560471037602905
ASCL4;0.9422331512375519;-0.02132349612017859
BPHL;0.0008222097938029112;-2.415920694874769
NOX1;0.4256610135256139;0.19169185851887255
NPNT;0.8238155610536201;0.04112161629137437
NUDT1;0.0010552732401451393;2.089281281741033
OSGIN1;0.0006810908254556222;-1.6452120072426808
RAD17;0.6270405572008966;0.4951088961822902
TTYH3;0.3306277474605549;-0.5459231862364122
VTI1A;0.12229809827771009;-1.0357985265444407
CECR7;0.00021266803314157624;0.7242310115762196
HTR1F;0.7071667638416125;-0.11393475837634173
RPLP2;0.029818797469959725;1.4056101159353909
SMARCB1;0.002892135370874839;-2.9111071665227644
TPCN1;0.8153482816024045;-0.13992119883572843
ABCB9;0.6337485559947543;0.2859978748636842
AKAP6;9.326351887737963e-06;-2.815561707474928
BTD;0.10339553476949083;-1.2051427861379886
CH25H;0.5081793812955993;-0.11279959214250457
FEM1A;0.3586193214141765;-0.807792438570178
G6PD;0.10213135548336863;1.3882420053038989
RNF32;0.004906809324393981;1.0756678617614615
SH3TC2;0.5016206410891841;0.17534871903068083
SLC25A16;0.7432748845828077;-0.28676243969771953
ZBTB33;0.0006137245180482925;3.002519833675189
C7orf42;0.007752327946914768;2.3885654409236796
EIF4E2;0.20817292567255874;-1.1846375638096034
GPAM;0.4332698397109711;-0.4144373138035014
GYPC;0.18414521971748354;0.47777998259765
HIST1H2AM;0.4077125040030394;0.24395094152596059
LOC399959;0.0962785212137083;-0.865350626659021
PARVB;0.23577133341207668;0.6842076513977079
TYR;0.6316430249994998;0.18508940156723364
C6orf1;0.21546069085886332;-0.953212673879659
C9orf91;0.9059374562240673;-0.08997820393733535
CA6;0.07144076129669207;1.1496639468882457
