genes;pvalue;coef
EEF1A2;0.009979610917162549;-0.2565855341839286
ERVFRDE1;0.029583207703273256;-0.7153664352234035
KRT2;0.6586187989914596;0.2337848998104849
NDUFB3;0.005167656704954523;-2.0043096617760696
PGK2;0.30532418108672255;-0.4325086293432575
PRKCB;0.0014754653476899374;0.9589104924795019
PRR18;0.10105216218025614;-0.3809302871759254
STAT5B;0.00020524055634885767;2.395127780456283
ANO2;0.0025800860764604904;-0.6258442469778065
BTBD3;3.217959341626674e-05;2.11055537510253
CIITA;0.08907365785982019;0.482642026358571
MAST3;0.0012603618856635917;-1.9157351436576981
MYB;0.000568831567413171;0.906995808626008
PLAT;0.6988218693023709;-0.09134026327556065
TEPP;0.008655119130543528;2.341857050176517
WNT11;0.0658347039603297;-0.2863239491825361
ADAMTS4;0.03379331063351004;-0.7992250955916599
B3GNT8;0.3766452776486108;-0.2540889195738757
BET1;0.0008687449220320787;-2.8605907362339598
BNIP3;0.7233848754533754;0.2143125984331873
CD58;0.0002328102975994157;2.109022245780331
LOC100129034;0.1486925358043393;0.781048130063835
LOC100216545;0.5378576874684651;0.3164423831680896
PART1;0.19775769339316285;-0.17807562180791503
PNMA6A;0.6380847987797942;-0.07717024568648423
PRR5.ARHGAP8;0.37654057089299586;-0.16130869484137686
SLC13A5;0.32797159014795396;-0.1670398450743693
USP3;0.07668501843583103;1.428825294467562
AMN;0.11609661930109508;-0.18822405334960063
BCL2L10;1.2203763923702851e-05;-0.570334079677164
C11orf16;0.0025331548261780953;1.9165452931391276
FCER1A;0.6671187603901136;0.09515758317073517
GDA;0.8136611602978423;0.04123245550627844
LEF1;0.5542226617681958;0.09557475291634378
PFKFB2;0.940569423924155;0.026086392202831488
SCARNA12;0.018822006327045226;0.8788919436447733
SEPT6;0.21879032490343486;0.38413658210856566
TMEM141;0.5664254187277518;-0.2539404168803607
CHCHD2;0.11073931528923346;-1.3795386929719977
CPAMD8;0.009837250597806218;0.7936557264831288
GPRC5D;0.10845050620171073;-0.6359092136145611
HEXIM2;0.0764420778748486;0.8935470452216208
LOC100190940;0.5854897376462953;0.10551419995920475
NFE2;0.0015655539248998927;0.7465766876896864
PEG3;0.0014435321585197656;0.5021332094003802
SLC13A4;2.569867071533164e-05;-1.4260847723017658
SLC23A3;0.00032271658468851133;-0.8447468125914595
STAG2;0.024693314967770188;1.4286256883671893
UBE2E3;0.019921258262751804;1.869103210221166
BRE;0.0;0.0
CSK;0.0;0.0
CTPS;0.0;0.0
FAM135B;0.0;0.0
GFI1B;0.0;0.0
IL13;0.0;0.0
LAPTM4A;0.0;0.0
LOC100131551;0.0;0.0
LRTM1;0.0;0.0
NHLRC4;0.0;0.0
SHF;0.0;0.0
SSPO;0.0;0.0
A1CF;0.5265804454903456;-0.2904090655709285
KCTD8;0.9142212627656507;-0.05049272892410615
LHX1;0.37598933878216056;-0.40326789340056607
LOC113230;0.010350638967479998;-0.8069356255240433
MAP9;0.0025450081830058753;1.0231396663693708
PA2G4;0.012266815281050114;1.8791650840972292
ACAD8;0.0025912980257646843;-2.172845218242273
ANKRD49;0.00819017882651606;2.244837309234342
ARID5A;0.012091799234270083;1.3234921430124038
CLGN;0.02196382171771916;0.3572399483853801
FAM71F2;0.00047545650075587044;-1.1411444996628768
HEY1;2.0004421210395796e-05;2.111391496057464
LOC440896;0.08039496902208514;0.8237444196567418
MAT2B;0.15089653382194115;1.0375893683517539
RBM24;0.011126822851801136;0.5928028759955803
SARM1;0.20259268362826555;0.3577860599683493
SMPDL3B;0.06326284961659066;0.350298594659326
TH1L;0.0003932985142763179;-3.015420884233063
TUBA3D;0.5905217747549751;-0.10055022483325053
UGT1A10;0.3535626146459052;0.11191350087062296
ASB11;0.11670960406779712;0.9769168932647518
ATP2B4;0.8550484394318014;0.06821536444505276
CHML;0.3763276156518991;0.2824352234676171
CRABP1;0.9269009849493609;0.025028500465221124
GALNT13;0.21877338362729015;0.3157136709872622
HINT3;0.012684269604993163;1.6663181726600498
LAT;0.16778659332316936;-0.561367049383951
LYNX1;0.30700139445151386;0.23114216810219423
NBPF4;0.03323892735884393;-0.9131156050422248
S100A13;0.003964655243136864;0.8390414349600186
SEMA6B;0.16317286244452833;0.5597495986868568
TIMP3;0.5833041524180926;-0.25078891319999447
UBA1;0.0016191158900859114;-2.4958150176471983
ZNF71;7.931298580307911e-06;2.478435391203326
CCL2;0.03804280782326975;-0.637492600843899
KIAA0319;0.017014089218850538;0.8172882140497231
LOC153328;9.37553771252409e-07;-1.1903457315900223
MPP4;0.062276046805626345;0.7101682345674583
MT1B;0.17059845560587183;0.27938687822907765
OXT;0.6142344523331225;0.06302167301002415
PLEK2;0.762818265051678;0.04127667733360516
RBM11;0.036702442826822806;0.6435114135475147
SFPQ;0.011867865075121475;2.0539012003077786
SLC25A20;6.053424562571926e-05;-2.515664866755714
TNFRSF8;0.036377753190896006;0.8107179406153019
C5orf27;0.5191220987266674;-0.07199742336446038
COQ4;0.006338173226255443;-1.9461063195982857
DEF8;0.0011863907042100523;-1.934313144668403
DGKG;0.16904104002663367;0.3611645422374413
FTH1;0.9808967759552738;-0.014410862912058425
KCNC3;0.8153625112777362;0.08424435690748393
MYOM3;0.32047152743213925;0.27267859763045976
NXPH4;0.004070691658021544;-0.6262006039297335
PPM1J;0.5512548944328838;-0.18935956828823397
RAD1;9.272849198249338e-05;3.421843136694446
RNF145;8.199727970127854e-05;2.919181097887114
SLC26A6;0.05070598818604476;-0.7190787602407482
ZNF702P;0.0034347986638106685;-0.8308492622522948
AFF3;0.15474207682124147;0.2505843827563374
C15orf2;0.28897975308236257;0.5513283442847866
CNP;0.000540902499061387;3.02825289751633
CNTD1;0.08284352849588746;0.865752599793316
DALRD3;0.9846742553482987;0.012349828232968285
DPH3;3.735341827116483e-07;-4.797112780931253
KLK14;0.0163452757023326;1.126092156241333
LOC388387;5.337843940934027e-05;-1.5837304452076384
NEURL3;0.007223099200921603;0.5628154554215065
TYSND1;0.785726912198402;0.1415537351038416
UXS1;0.01080617759515061;1.9972801987764521
ACER1;0.0;0.0
CHST11;0.0;0.0
CNIH3;0.0;0.0
DNAJB1;0.0;0.0
GDF15;0.0;0.0
JMJD7.PLA2G4B;0.0;0.0
LRP1B;0.0;0.0
MAD2L2;0.0;0.0
MORN3;0.0;0.0
PLXNA1;0.0;0.0
SCRN2;0.0;0.0
ALDH3B1;0.0012507530162633102;1.197929397130544
AVPR2;0.0553449457789425;-0.4608163589166594
C13orf27;0.13313805561023004;-0.7231620784419921
C7orf25;0.009405981496952726;-2.0012053469420166
CMYA5;0.015593160477412571;0.49844244326392234
FAM181A;0.01019387047912148;-3.747696063715188
RHOB;0.8394157493498369;0.07386161340392731
SCARNA7;0.4865526958734355;-0.21788748358983434
SNHG10;0.642633626467117;-0.21788382270013057
TRIOBP;0.0031624572022682005;1.9137549309300375
CRYBA2;0.002630237189975515;-0.9651261256246725
EPB49;0.17400455038496576;0.3889052282422523
FAM13A;0.3977539564514989;-0.2180238774022506
FRMD5;0.01662434191648501;-1.442960148483898
NBPF15;0.3897816389480805;0.2247484875884286
RNASE1;0.007796224339858609;0.8935459945431585
SCG2;0.001669252212330594;0.7784419328751452
TENC1;0.03961912789547293;-0.9679474770314029
ARMCX2;0.26916802050769484;0.3775986691353262
ARSI;8.762672771366288e-06;1.113368271634827
CLK4;0.1983436776306008;0.7855850163847127
DLX3;0.06100826696960124;-0.476475549428474
EGLN1;0.14846795763412618;-0.8963657472560963
ACTN1;0.4598803062208061;0.43197786521594683
ATF1;0.2194987319069699;0.8781482432252204
CLCA4;0.9612788040786463;0.022904286216972214
HECA;0.08004551255806884;1.0899750050069872
IFITM2;0.0049751127696527455;-1.1440831793871875
LRRIQ3;0.02382851585381587;-0.700697455760944
MPRIP;0.07803181314867241;-1.2439959673618124
PPAPDC2;0.31483822498119896;-0.6253881285162299
SHMT2;0.05243029743515439;-1.0572609291808368
SLC35E4;0.0013183660456702762;1.6043154745035393
SLFN12;0.4318399120365247;0.23806348591958568
TEAD4;0.3821747697498814;0.2592747583043348
BHLHA15;0.09100663196934652;0.406872829845352
C12orf24;0.2972534567874662;0.44645882050723107
C1orf194;0.9974666823669269;-0.002045447282656746
CABLES2;0.06915972964659212;1.0429021946302255
CALCR;0.0014566100123525427;0.9906424711915529
DHCR7;0.014507041385418489;-1.2261881992005792
GPR12;0.3078381503531391;-1.4019976690722924
JMJD4;0.0014113423161165085;-2.268311176101271
LOC116437;0.00012470128410434713;-1.9361924105186876
LOC221442;0.27763347874580524;-0.32653389662427534
PYGB;0.02735015593511519;1.1637222699237564
SH3TC2;0.14389035328286465;-0.4644723680694515
TULP1;0.00048152855712862367;-2.490553428152412
ZNF629;0.05206872307129076;1.3693665069490528
ZNF727;0.15374706321841514;0.35126585461957505
C4orf48;0.4989143216469637;-0.1272043124116642
CHRNA1;0.7329174472250723;0.08978115504551322
COPS7B;0.2450856710358602;0.8179449821308354
CPA2;0.8538986297355762;-0.04720601710984848
FAM132A;0.011923759787235453;-0.6828567369777191
FAM186A;0.4670285429936709;0.23137433389651538
IGFBPL1;0.7644233973973096;0.058440415937712445
LAMA1;0.729927208229356;-0.07178145620448466
LOC284749;5.151099289386433e-06;1.3007000997044007
NCRNA00107;0.3686745533252168;0.29927930509767886
OSR2;0.6556967392761615;-0.06436790920694278
PJA1;0.284815003362739;0.4348859021885718
UPK3A;0.9220864132416282;0.01051359350697108
AP4B1;0.5597904916331098;0.38070352346864655
C5orf25;0.03645100368100012;0.8779396889275718
EBP;0.07935070845167387;-0.7677168236524062
KRT32;0.8765444670014333;-0.2661914143375671
RFNG;0.05719589508239182;-1.1616624125794404
SIM1;0.9883492480333886;0.002529049989049706
C19orf54;0.0017714992347989272;-2.175645270980286
C5orf49;0.030151560334758874;0.367383079426028
CAP2;0.0005821315986313923;1.3218103379631834
LOC643837;0.48355215961756826;-0.34266746810797305
LRRC3;0.17200612043431918;-0.3849035255573199
POT1;0.00018427155850974094;3.087860028372563
PTGIR;0.10608078803168362;0.4446895067060527
RRAGD;0.5428493052633259;0.19242770701443318
SYT10;0.9220906167274818;0.04137940317704317
TAF13;0.0008018327621178511;-1.5468799356767673
TEKT2;0.5935301611696722;-0.19086919163784327
TLR1;0.005679613183562072;0.9813637075156006
UCHL1;0.1366167116292368;0.2297735561581998
