genes;pvalue;coef
CLDN19;0.2478440981070129;-0.3670343559851104
DHRS13;0.38731615384335694;0.42092308688841534
FLYWCH1;0.20121655913089886;-0.795723690124062
GPR50;0.3380717731310702;-0.5022322433852643
IGF2R;0.3781756886969875;0.4109021031459161
KRT73;0.7678188861895673;-0.0799996327359547
OLIG2;0.532778230630191;0.16241601479080645
DLC1;0.9850525776816592;-0.010300501879842314
MAPK1;0.3941712211058781;0.8968685552368324
MTMR4;0.7231431431870301;0.27159849057719476
RNF183;0.3377827493502933;-0.24989462600800216
RPIA;0.2189040424249864;-1.0359666923367938
SLC39A7;0.13666164380517498;-1.3805349388427326
VSIG10;0.24643531593064016;0.6772699379960752
BEAN;0.09473626600556499;0.375534286845006
C11orf51;0.11901697986736332;-1.1558745322120405
CCL7;0.16488710552814378;0.2638879525641036
FCRLA;0.8822513186432935;0.019937180425736657
FGFR1;0.820243701547446;0.13930636737826704
NUP98;0.9157350853344564;0.07148201174803107
PTGIR;0.9107187152551137;-0.06414693488635305
GADD45G;0.2835436568060167;-0.35739543547330943
HIST4H4;0.9802518906828674;-0.008234130695203658
HS1BP3;0.3768969907760227;0.5222385816872374
CD209;0.18169192095964093;-0.3256286793450378
LLPH;0.5880406605062398;0.331127348937078
ALDH3A2;0.1525756542207826;-0.8560412490777849
BCL3;0.09178444558167288;-0.8877783314046491
LIF;0.18940018522866175;0.4196744528269515
TMC7;0.5013891287597998;-0.27438272924419305
TRIP11;0.7685402978351836;0.20744306597981557
UBXN6;0.38328732283664824;-0.7372833860238288
ZNF174;0.19741421788272917;1.4050946206216486
KRT9;0.5743637611716649;0.12108674270326965
LPAR2;0.23970670637896074;-0.5847859391929262
PAPPA;0.6606601581353122;0.12759891726595715
CCDC64;0.02659304762141574;-0.8863783291000221
NAT14;0.1747067862906173;0.5620616627582881
C14orf179;0.41748068038865216;-0.6941918288153567
C20orf72;0.5721564391417902;0.40468319951502785
CCDC155;0.04737852802323776;0.582545019978559
CNNM3;0.08007519688315175;1.443758212781542
LOC643837;0.2320586845688849;-0.908559898895459
LPPR5;0.004660804320731602;0.7182782443949824
SCLY;0.026613665532027955;-1.9283390675614873
TMEM191A;0.8115422500190352;0.09087721307403888
C6orf204;0.6637432424544797;-0.13344882462231478
FHIT;0.004066156057051689;-0.9729132736981871
HSD17B14;0.845845563090038;-0.07494131002532495
OR13A1;0.4571516868620821;0.17772882914124427
SPG21;0.8106632938682085;-0.19840361306354057
TWIST1;0.4453147605965029;0.2225658965397566
ACTB;0.9056925734236604;-0.09566080009922391
BSG;0.5445318267348911;-0.4678395831736354
RGS14;0.3118670687243429;-0.5039340487941919
CCDC112;0.7725920977825977;-0.19109286532856143
CCT6B;0.4283071463645536;-0.29811286015625005
CDC42EP2;0.9742138579937465;-0.016974420438875197
MTP18;0.8765950720256493;-0.09129547567957881
PITRM1;0.41157521225453375;-0.681276215110129
PRMT7;0.025766646555774934;-2.216916985857485
RAB40B;0.3058609939222504;0.6190207141034606
RAC1;0.04742382286247271;1.9889960897785162
TEAD3;0.5707181087275401;-0.41660933224677543
AFAP1L1;0.6281643450779317;0.23652724253339688
FAM160B1;0.311881725046827;-0.7503610180409206
SORT1;0.1682533133237355;0.801572758966244
ANK3;0.7190238290913897;0.15694946181562616
ANKRD7;0.987751479870366;-0.005006940891453227
FOXF1;0.5896553697527129;0.22050277985880845
MRPS15;0.561571513224704;0.4184114844922073
NFYB;0.21476466038984854;-1.0176616267920389
SH3BGRL2;0.7160548016576731;-0.17776787992569842
ZDHHC1;0.34138428726678904;-0.5790545021809332
ALG3;0.8750858226881242;-0.10555036580408594
COL18A1;0.15794390479003184;0.6047191178742525
DNMBP;0.7469956720021795;-0.1481823800757973
PPP2R2C;0.22927278734563972;-0.19386466160063753
ABL1;0.38865767691906106;-0.5770622929848979
EMID1;0.6956866347734144;-0.15009186721841825
NPFF;0.06450651846787037;-0.5328662075488411
TKT;0.18406794456173847;0.7485043726590013
CARNS1;0.9061417911857198;-0.025172994470203817
CTAG1B;0.9282925747746361;-0.02131658849100019
FAM19A2;0.07545154146718698;-0.5659113091009751
GBGT1;0.508762328935735;-0.28335216710107947
GJC1;0.3759775210280353;0.4418292303308089
LRRC8D;0.05149952478307905;1.7206126933461183
NMNAT1;0.2573226360334391;-0.7547683471705265
PRR13;0.1543136401379208;-0.9663713612415248
ARPC4;0.18918955727056586;-0.9366524484701164
GPRC5B;0.2186990060406948;0.4418441154615869
PNLDC1;0.9169461303672681;0.01731637929521701
SMPDL3B;0.06878392929216762;0.8375070522158334
EPB41L1;0.9187307556880141;-0.06058892488108596
LOC152225;0.9404148429448606;-0.016482923761133358
PHF16;0.7717008952760257;0.26460765621592114
POLE;0.30433370285386196;-0.6715303443825017
SLC13A4;0.8761497749950276;0.05436321402549117
UMODL1;0.19269788562964674;-0.36743370317631063
VDAC1;0.44311199072017293;-0.6064734860026488
ZBTB33;0.3023685766437888;0.9150512005507607
C21orf63;0.14715918009185228;0.7061385864791279
GPR22;0.04049315415219284;-0.7538739566387372
NQO1;0.9363267514703241;-0.0282334342408421
PPP2R4;0.523197232661343;0.41409863341602604
SLC13A2;0.5707769367901181;-0.07125851707844948
ANKS3;0.15477698155581193;-0.8899195597386389
CCDC125;0.40750141042579635;-0.5422326854621843
CEBPD;0.7119481975904846;-0.16346182536252302
ROS1;0.1504896437296271;0.1756772757159364
TACC2;0.3190113613528196;-0.43773587307903006
AKR7A2;0.8852585612051651;0.08596064722865941
AVPR2;0.6429928271845298;0.11419589361179662
CD99;0.8942188746936225;0.05745244027562558
CRIP3;0.6380450475801027;-0.10007249320838307
OTOP1;0.8190962758971099;0.17216869098646423
SRD5A2;0.5707645783521158;0.10607601309333063
TMCO6;0.48223053969340124;-0.4899036716719489
ACP2;0.04259592622673859;-1.7289229798978296
ANGPTL6;0.6301595235350742;-0.1507996558638042
C10orf58;0.8642395464323437;0.11098518800486251
CD177;0.8757572596326783;-0.02275360259868274
NLRP11;0.4666139346193763;0.17355616406814897
POP4;0.32763954595788347;0.6200204310922546
TM7SF4;0.030548434277004127;0.538873841293077
TRIM34;0.8011366747491848;0.14538052157379144
ANXA13;0.2907381529214075;-0.15203138068053434
ASB11;0.5625211562702296;0.48449919312983947
ASPSCR1;0.031156943223926908;-1.27294863681912
C19orf38;0.301704039787555;0.3397889967141211
CLDN16;0.44081906554342454;0.19182413443025592
COX4I2;0.8673890493671516;-0.0662794465163694
CRYGD;0.8068986153887867;0.0525978198815059
ENPP6;0.3687940409201865;-0.2753230285483273
CALCB;0.4701416609063216;0.14263780979507812
CAPZA2;0.6904107960019503;-0.3334596951536527
DBC1;0.9410704760593981;-0.020197889555009216
EFNA1;0.2973003701362703;-0.4255692519741028
LNP1;0.39651167621564043;-0.445224204728574
MPZL3;0.4314056022621239;0.2818184411001813
NUMA1;0.6567767883033636;0.387342945835089
OAF;0.9186461102019039;0.05924893646108034
TCL1A;0.7444490741793675;-0.035674757686210264
TM7SF2;0.7487177707453627;0.1588974589230344
CACNB4;0.857240489274329;-0.057868180445547715
GDA;0.8571875170654838;0.04096874654981487
RNF186;0.24978918606236133;-0.20083008392347504
SRMS;0.6457928552405934;0.07866652204886793
MEIS2;0.8760655279023833;0.0609862086286946
STK32C;0.09667508032284622;-0.6587335685799066
WNT4;0.8755945526161778;0.030800661874883877
DACT2;0.09815930283819083;0.338165098486971
H6PD;0.0070712061879933475;1.8539584923146686
LOC100133985;0.3879794753946022;-0.32567296829121917
NKX3.2;0.29154212025823045;-0.32817125811140924
PCDH19;0.6815120729017861;0.12478500312714744
PPP1R13B;0.06996929485146205;-1.2415287462476432
PTP4A1;0.10768280819779993;-0.8770078405383817
RAMP1;0.6362146407764335;-0.19377185762143095
ACSL5;0.3329000907729317;-0.32815349561846463
COX6A2;0.7565180748833527;-0.10514687671692041
NPL;0.3763405678260471;-0.39757142490371283
PAK1IP1;0.7861507553370874;0.17995955396583563
PIK3AP1;0.9566474633213573;0.020294792573217518
TMEM27;0.41695904901901026;0.19816223078334028
TRPM5;0.07787959579020151;-0.3469707051464597
ALG1L;0.28895137854547015;0.2009920843416242
BAG2;0.709571022317798;0.12653425930463538
DERL2;0.9690485991813249;0.03308785631438408
