genes;pvalue;coef
LATS1;0.5823048048223399;-0.33817636485603697
PANX2;0.7182437796419157;0.16308122625812688
SPNS3;0.956075323162548;0.0191161302836518
BRIP1;0.06534276862781303;-1.028043832078659
C3orf74;0.9203444027819918;-0.04618780501899108
CD74;0.7375787938878299;-0.19030943358647895
IGFBP2;0.519764748353847;-0.2618117458032828
LHX1;0.6491755539345355;-0.09542013484830791
MAFB;0.5018283996806299;0.5038333469380666
RAD9A;0.02707777123444755;2.8095064879585463
USF1;0.26430524209955764;-1.4597554062830933
ADAMTS7;0.7401807511460214;-0.16421854434369515
ANKRD58;0.818307494600061;0.11378650753767408
GPHA2;0.4324963014327453;-0.1817193042312872
LRRC10;0.796981954654652;0.078179852525227
NFE2L2;0.4594041091202822;-0.6366925145313078
NLRP2;0.9746674004663856;0.01313151545224553
SLC2A4;0.39809507341956074;0.3493165922042283
C18orf16;0.6021002747812134;-0.19313132869146302
DNAH17;0.33320474902435515;-0.5785026503679382
FBXO31;0.8295356764429769;-0.18652143589801343
NCRNA00171;0.5333965566885126;-0.37500003542005816
ATRX;0.10596314490249505;-1.160928632197329
GLB1L;0.1061509254649092;1.2737391747550244
HSP90AA1;0.7187966537422038;0.2979467507682361
KISS1;0.7761986458193395;0.06023894482468827
KRT4;0.044030242892469214;0.37369260456081843
SEMG2;0.9998494695797258;-34.03276854586497
ZNF662;0.26924652269916205;-0.4530896280095761
CLDN12;0.11630074498400204;-1.2377383747322612
POPDC3;0.2499393881974239;0.5008971526907938
TRAF2;0.4711218126365454;-0.8689741862746275
TTC36;0.22784644566356005;0.6762516135448244
COL9A2;0.1218382292008452;0.517348296069249
EXOC4;0.04352183312141309;-1.8483233689389433
GPR3;0.4125927215119167;0.354342962547294
TRO;0.6694824504947048;-0.2731088592655392
ASB4;0.7222613357668295;0.12309755255927286
DIRC2;0.7879500622151385;-0.20294051954549913
LOC440040;0.44032283690699026;-0.2692091059230012
MUCL1;0.04895041983115611;-0.6184281483896941
NTN3;0.9713042306639139;-0.011747208794751598
PCSK1N;0.6028377125853557;-0.15947518771096028
PF4V1;0.8060922497912664;0.16089235622962447
MX2;0.8686960775306831;-0.06356935825262806
SOST;0.44333396290577964;0.21420022281890377
TEAD3;0.8650115751541723;-0.08948431984102355
C17orf37;0.5193439972294738;0.7711026667178601
CCDC123;0.9285685721291721;0.09607321597769017
HCN4;0.4331844794889882;0.2774813362939259
NDUFA4L2;0.7593651258042521;0.1278800137803352
PRELID1;0.3517789647886659;-1.1582955091550522
