genes;pvalue;coef
AHCY;0.08991498689096643;1.2573536043040439
BAGE2;0.6749342977060212;0.09362088891469855
C10orf78;0.024745932279955453;-1.703712429100343
CHEK2;0.2967348037370221;-0.6627162104544321
CUX1;0.22332910208540369;0.9173940978982299
DIXDC1;0.0024981025074973604;1.3269656503025502
GATA4;0.007376908917444777;-0.6662555272411314
LY6K;0.11076043431796044;-0.36113387553135046
NR3C1;0.29030305061112716;0.43200292292661147
NUDT8;0.003364754467340326;-1.477545108274515
PACSIN1;0.1173528275690666;-0.4045795780508242
TMPRSS3;0.17639862565975994;-0.24175294034857198
TTC39A;0.5091463683629316;0.2627947678406656
TUBB8;0.5793604760178225;0.22684026579146765
UCN3;0.8983307886311579;-0.051053558986226474
VWA3B;0.1327924502991303;-0.46733595165100894
ABHD8;0.003796214769790667;1.7590354915536963
ALG12;1.7352946979738612e-05;-5.021535912796564
C11orf10;0.09096415596268057;-1.423597228725646
C6orf124;0.047931846284474715;-0.6508132305892264
ERAP1;0.0004741129687515213;2.116860209602772
GPR85;0.00019905985304294937;1.5656158848372137
ID3;0.991523106794719;0.0036692117493641457
LOC400804;0.5272716606311828;0.2757372458152944
PAX9;0.0016998726110394782;0.7583309654302522
PGF;0.8651624368799957;-0.05462009461619158
SLC35D3;0.00878203754161772;0.6449416153699538
SYCE2;0.004612350216388752;-1.1869706107641609
ART5;0.9196602394285704;0.025452086723775608
ATP13A4;0.0012429307007139393;-0.8568159498608401
BCL10;0.32046044353541137;0.7957919779115536
BHLHE40;7.923168238511863e-05;2.2622792937968286
BMP5;0.006923231418515124;0.5686218991861824
C20orf197;0.27286201793014997;-0.24010591659333164
CD82;0.6695139024191479;0.16196041085949678
CES8;0.0391169895014868;0.7912333565610312
LOC168474;0.6829767770745252;0.13673292435261747
MAP3K5;0.0581090414063027;1.0395197064367612
PKD1L2;0.024756009317791948;0.6198079452530063
PLEKHG2;0.0033986596425415023;-1.5514769674254436
RTEL1;0.413755785842574;0.5332374271792163
SETBP1;0.028830132127314403;0.8215692989978787
SFI1;2.0125977377369912e-05;-4.112182047425348
SNHG4;0.5062173695587906;-0.21407099138129126
TMEM150C;0.6916874014072785;0.13202963754872749
TMX4;0.004071906078364431;-1.871278939036832
ZMAT3;0.000374901493627403;-2.352361362652231
ZNF428;0.0005062342323973266;2.918572287004446
C11orf87;7.377464355835395e-07;1.7478387344925648
CRYGD;0.1529380480152881;-1.0658069856106676
EML4;0.3504121839888531;-0.6459787202913676
GALNTL4;0.30576773265730217;0.39849975402415017
GMPR;0.618587620747855;-0.1320936782742308
GMPR2;0.5668525278841978;-0.41678107299645756
KIAA1614;0.05149627745554943;0.8104978362152907
LGR6;0.19935673375759255;-0.24425971213502695
LHX1;0.003328430579373532;0.6094477431678801
LOC728643;0.008977937475563335;1.2101973846182796
MCART1;0.6338394372138183;0.2756250449583011
MCFD2;0.5318412252006188;-0.4498143201536567
RWDD3;0.25758987136595957;0.8821397172932629
TMEM2;0.01515171532184643;-1.0491437102748087
TP53TG3B;0.04416686477325587;-0.42672141080922465
FRG1B;0.5329779977729601;-0.34567798708770087
GSTK1;0.00026067251282926293;-2.1344018152618034
HIF3A;0.9647988882643461;0.007474516602729575
MMACHC;0.5390203022856558;0.308551989736481
PBXIP1;0.05461657069760246;1.2051092196203166
SLITRK3;0.008472394897405186;0.6148501966831879
TMEM190;0.006515046773098845;0.8316515365336274
BTD;0.15536305057572156;0.7912165966156561
CHMP2A;8.761104021668495e-05;-3.0908054332173838
DICER1;0.35387084861698415;-0.6670612841525828
DMGDH;0.0037464798173162625;-1.0726094067706264
GRAMD1B;0.3131533553332554;0.2717921527494072
HHEX;0.00848744226911835;-0.8979702878051015
KDSR;0.5184417148336873;0.483632142364878
MEP1A;0.0418722913576099;-0.5385498096313439
MMP28;0.1017948172638783;0.37544370656237736
PCDHGA1;0.010021138271938098;0.7390683849489139
PRSS12;0.4213510863552249;-0.12953563508628843
ZEB1;0.0005993836191599013;1.9516609796374358
ABCC6P2;0.8622898940893022;0.049432923751169144
C1orf115;0.800715511179847;0.07268670656178008
C5orf49;0.03847549523154164;-0.5342547899439957
C8orf12;0.8573103440232612;-0.0693757100978872
CAMK1D;0.0010725331421795297;1.0138558596485678
DLX1;0.25898309850113466;0.2885508093770192
ENY2;0.019403558944629782;1.7783873389764653
GOPC;0.16513184642341483;0.8311480659957784
KCNF1;0.005508169507050036;-0.5629244841808104
LCN15;0.7439100652881103;-0.06986660131838401
NRSN2;0.8509782335852372;-0.06924377413984373
RABAC1;0.5909804279636064;-0.3314364179455916
RING1;0.35204463193733326;0.8493430411333682
TMEM173;0.46575617899693744;-0.34053352158590916
TRNP1;0.1199655044558269;-0.36191033918377546
TSEN34;0.00017105014282381594;-3.7275629266415353
COL1A1;0.00014716744753944804;1.3551352231181961
CTNNBIP1;0.4338879171935732;-0.5665165617243432
CTXN3;0.790156438201643;-0.20578175164711465
GRPR;0.36331838202283817;-0.29274378312109467
LPPR1;0.24280149787569327;-0.20572367632815336
NQO2;0.058114317806511204;0.9169671214425621
SLC10A4;0.028969308603443877;0.41467696887536815
TENC1;0.0009750126923410585;-2.167143803346175
ALDH5A1;0.49855429197029266;-0.2322056162735931
ANGPTL6;0.28025188838069404;0.3292458429906677
DKFZP586I1420;0.402824583751616;-0.4651930104223116
FLJ42875;0.06119973691168025;-0.4162539253070821
LOC619207;0.47469148452287346;0.22084930066905198
RPP25;0.9131397265897062;-0.03882325563942217
SLC22A8;0.053698677143929306;-0.8903592517204554
SNF8;0.020542855838643816;-1.7937653655592956
TRAF3IP1;0.2668377203925809;0.6758569872610567
USP31;0.3669345273617186;0.48749946091332713
ARL6IP4;0.0;0.0
GKN2;0.0;0.0
IGSF22;0.0;0.0
IL20;0.0;0.0
KCNK3;0.0;0.0
LOC100009676;0.0;0.0
SLC29A4;0.0;0.0
WNT8B;0.0;0.0
BANP;0.006638544292074682;-2.556215999158364
M6PR;0.5266599773190164;0.48018330428745604
NGFR;1.0464065675555685e-05;0.910685788628816
NHLRC3;0.16664894349507486;-0.8932749472020879
PABPC5;0.6749489781068463;-0.122076561829105
SLC44A2;0.9803608988639323;0.01319696748464453
ANKRD34A;0.3117738719741451;0.32630524343254963
CCT2;0.7824198515050851;0.08783358211443763
CD81;0.020680282958676716;-1.3241555261948752
FAM84A;0.00038212846533308367;-0.8741796113832125
FANCF;0.09178015715392067;-0.625968600041378
FOXA1;0.00017774789654871801;0.8528118315697811
IL13RA2;0.0028638836155577855;0.5190681799668155
MGC87042;0.37488338388442854;0.20040746679101282
STAG2;0.0016416495058555803;1.048854441003523
TBX22;0.6288006571999402;0.33758481702973026
ABP1;0.17863048123301684;0.21473661455065626
ADAMTSL1;0.15349768467287336;0.4603836045203543
C10orf79;0.005024311184224505;-1.1094220336608047
CLDN10;0.1814932526113916;-0.2270022044574962
COL22A1;0.004997828737734057;0.41848011187433126
CUL1;0.27832874152879705;-0.8737846750440988
CYP26B1;0.0017976451258348955;0.8960621648225802
