genes;pvalue;coef
ANO10;0.9454772774808291;-0.04425194517525571
ASCL3;0.0003420986621028768;-1.7641461927574176
BNIPL;0.0016722139531337378;-0.6079807256005888
BTN1A1;0.01222964351835643;-0.5986709348617314
CHRNE;0.40730803712790387;-0.24299579626370063
FAM5C;0.3603007061209885;0.13675725830828342
PWWP2B;0.061865810244022115;-1.2734515583096633
TCEAL2;0.1427649748159748;-0.282259556699157
THSD7B;0.9441134197870086;0.011920725243438368
TMEM198;0.012555627574892396;0.9178368014959642
TMEM208;0.07248243654958071;-1.3711156736306778
WWC3;0.17937232479817777;0.5969837808393821
C2orf56;0.41527856646984207;-0.5861001383136462
GPR153;0.24579122323065128;-0.34187745814144577
KRT4;0.06471149182866683;-0.11860259725321724
LOC642826;0.012377092407656123;-1.1489815745448035
NDUFB8;0.6120048208897793;0.3543737903354904
PCDHB18;0.001711261751043281;1.2675219988259179
SLC25A42;0.5510428020538353;-0.2244248104290966
VWDE;0.07125221442026008;0.20617627601078356
C2CD4A;0.9895185079986484;0.001909219303327223
C8orf83;0.6695889344800616;0.17421935665582222
FNDC5;0.5883148465013202;-0.13502826100187446
KHDRBS3;0.346990240193076;-0.20088209446404912
NOV;0.7329865836752372;0.07024866751901372
TMEM8A;0.28508361482983036;-0.5298193315615055
TMEM145;0.3934717077738048;0.12395069585530703
DPH5;0.9004734048196269;0.06642989548012503
LYPD5;0.6997455576491588;-0.09747174591066848
MARK4;0.46080341246643075;-0.4504709108576281
MSI2;0.7950886763543948;0.10844130145528866
RNF180;0.032958000208788994;0.6880807103690489
TTBK1;0.28503473919259037;-0.22419256593559805
VSNL1;0.44644078209063776;-0.09669672668612042
ZNF568;0.08952350225594541;-0.4744769377494738
ATP1A1;0.6895572103944402;0.14383425649243223
C11orf46;0.46076639908888517;-0.44493100872756824
CXCL1;0.4128653622632761;-0.13133675410054968
LIPT2;0.9485121197565192;-0.02083132523275313
RHD;0.2824528838896604;-0.2025634854608835
ZNF821;0.8344922333866425;0.09631002846041853
PCDP1;0.9515482523280472;-0.008097458919183202
PPY2;0.014505710825639251;0.7328250198284427
SOX2;0.5183567352260978;-0.06380233290247618
VSTM2L;0.017132702034905682;-0.34979452223117613
ASXL2;0.5187035797055475;-0.33798216503961703
C10orf88;0.3966495934134944;-0.5195861623018432
DENND2C;0.9864693329929912;-0.003403231575302227
GPATCH3;0.5457838872637255;-0.4796100856929863
MCOLN3;0.028837693036170158;0.38749906224978165
P2RX2;0.6993560961186216;-0.07045559505670133
PTBP1;0.8336780749856607;-0.19075674671862133
TRAF5;0.25110197934356193;0.47151645271211334
TRIB3;0.169479662435302;0.40233306460249896
ARMC3;0.1381239463067352;0.22194929949244785
CHCHD1;0.6277742374216013;0.3537007588400089
FAM110C;0.01102767973283227;-0.6796679764070194
GAB1;0.3906454365409793;0.39324431862632164
KNDC1;0.7443994855006537;0.04374925311087922
LOC100272216;0.7768827071287819;0.09461893207731045
PRSS50;0.013306329503056533;0.39031736746403256
RMI1;0.10672382822180902;-0.9222095696714931
VAX1;0.021419249648661813;0.35218514556745856
ZNF57;0.5778028230815087;-0.2814920641133893
AP2M1;0.9845441746381113;0.00906541847549545
C6orf70;0.8228275131484801;-0.11899434175227788
FBXL13;0.08383879397054145;-0.38524407619337797
KCNMB3;0.5235508914891516;0.2466314274043943
PER1;0.23040011226844526;-0.3433554664457529
SCG2;0.1459752887780477;0.2521658632836194
C1orf161;0.4344053807646402;-0.1080930204574145
FOLR3;0.4659720494457359;0.12261854755115308
FTHL3;0.7277678589016212;-0.15723429645056833
GOPC;0.11355083975897286;-0.8845863737029309
PPP1R3G;0.18700199151486396;-0.3195543488428246
SARS;0.21171737024810489;0.6816838645399252
C15orf24;0.37107320795449705;0.6268178018466457
FABP6;0.0893690551270404;-0.1997223145595302
FBLN2;0.6947724199123739;-0.09303586153512462
GRAMD1C;0.8412976306016439;-0.05976338916561165
JMJD4;0.37110435050425405;-0.45043584001002174
LOC728758;0.9962018874130959;-0.0025112224314165947
SLC36A4;0.25375779095397377;0.4179785416906914
EIF4EBP1;0.16308043321184817;-0.6233579012242462
FMO4;0.28356822917186386;-0.34569907546415396
HSD3B7;0.01317665033669023;-0.9019128888047565
HSF1;0.7233383711137218;-0.19506464067863644
IRX5;0.13197525377324648;-0.229566745026686
