genes;pvalue;coef
ALOX12;0.13928145731816127;-0.2321009387025831
GABRB3;0.14826831646300165;-0.1980353384640523
LOC100132354;0.5558645467606094;0.14924775256587655
LYRM1;0.5475010577123991;-0.3243243296547354
UBE2D4;0.21457541740418595;-0.6807684684893501
BNC2;0.9564215457030578;-0.014648306800421184
VPS72;0.8688201683136993;0.09748519871069872
CHRNE;0.4949588879827933;-0.19607567048028668
GPC5;0.1154715781426044;-0.37744627995387037
PPP1R14C;0.5379421504245663;-0.15905885862959387
TNFRSF10B;0.7181405577555835;-0.15253386159925353
CCL28;0.9233065321183096;0.02000362073270929
GALNTL4;0.9851347004837032;-0.006515078176174061
KLHL31;0.42537466026476034;-0.28985496611871325
LOC643387;0.9541543351541231;0.04787829920396805
HSD11B1L;0.35755326838798707;-0.3471364134972368
MID2;0.9511822590833621;0.026285076621311628
PGPEP1;0.646630542354135;-0.2261244211325323
TYRP1;0.46280862434745484;0.15384553896756706
C17orf107;0.4602721948609041;-0.28302695957260493
COX5A;0.3996920194979464;-0.5454756160461026
GPR172B;0.10577135216155586;-0.44613718363725496
ICAM3;0.016825899117284254;-1.1392331018028172
LGI4;0.5811787763337524;-0.24425961312294142
SOX9;0.2817190774800873;0.29823950835055896
STAG1;0.8711959695099879;-0.10684744287987606
ZNF322A;0.07626095052274709;0.5932938133774086
C15orf27;0.08933218292068487;-0.8015177485287069
FOXL2;0.3080045322310718;0.1401867923485948
LOC100129034;0.7626360252843862;0.17990985331274345
RICH2;0.3685508450823053;0.28909547667776553
ST3GAL3;0.3232373535675318;-0.4556808843407546
APLNR;0.5226285625690766;-0.17876864168728543
C11orf95;0.3865258505789171;-0.49519622334822266
HTR1E;0.47675827459885667;0.15968546829195343
LOC401397;0.24940089009964017;0.7872596652150078
PABPC1L;0.05921186411303367;-0.7622684763425355
C19orf24;0.23983037069511004;-0.724090501351772
DGKE;0.38444713735659086;-0.38498850362889536
TMEM20;0.6256516851968505;0.1503955872336669
C17orf103;0.9591067851793087;0.021801176736484112
IFITM2;0.06804756474506411;-0.6849511677959573
MRPL35;0.5193727367726231;-0.480101467323713
TCHHL1;0.9769239884395393;-0.00653814139691208
CCDC11;0.03843734243351764;0.5367336401785493
EID2;0.9363887883273166;0.0488806854658891
EIF3I;0.9875655118029449;-0.013674640638428156
FHOD1;0.6441636499602643;-0.2552094917109312
GUSBL2;0.8473142947868573;0.09280966052131963
KCNJ1;0.6310290540804258;0.12228426554377736
KIAA1107;0.8764141742184631;-0.07079274694561022
TMEM64;0.014172516014174024;-1.3010025927119135
TMEM80;0.9562677045006495;-0.034812254081903284
TUBB6;0.5645127637016281;-0.2568502457890276
FAM5C;0.04027963163370874;-0.4980225128878437
MLEC;0.7157264713477518;-0.20433294831322116
PIK3R1;0.6201399004748078;0.19589942126936058
ADPRHL1;0.5150203379899253;-0.21012081050613055
C11orf80;0.7473364353837688;-0.16432564395239863
SND1;0.8711487944744661;-0.1112752014408999
SSX2IP;0.2315455662893563;0.6403516851082984
VOPP1;0.09213638693576294;-0.8860843578183931
ARHGEF1;0.3912620999646135;-0.6849503491590566
CACNG6;0.3330083183502863;0.18888940787574204
ENG;0.2991142787835661;-0.5073617864264253
GDF9;0.4996184660227595;0.2898007043365207
METRN;0.21297966573915628;-0.37923437258025744
TTC4;0.6466679268884356;-0.3443215551185275
FOXF1;0.5683190454818081;-0.1734238647776889
LAYN;0.3138546475684798;0.24495411702919945
LOC202781;0.41189992698205724;-0.3014032506758552
TACR2;0.9620153236910846;-0.016069636073075266
ARHGEF37;0.7542134511004635;-0.10248350760995328
EIF4EBP2;0.8634298511085887;-0.1307596464917637
HLA.E;0.9896739949294361;0.006970508080068261
NFKBIA;0.17366192132306368;-0.7229066407109194
SFMBT1;0.5945470244902393;-0.32019416032895515
TRIM24;0.5672335881095629;0.30339507519112574
TXNDC17;0.5355762198693945;-0.29031516695466364
CLGN;0.49271093951308875;0.12224235175244645
LOC729799;0.24407566467391706;-0.5293449957788339
ROR1;0.5505509213010111;-0.13421661651218614
TRIM46;0.41986846959702584;0.26724327911541157
TTLL1;0.6571026155680395;-0.21281153076393353
CLCN5;0.3326932683946515;-0.4659105930987801
LCNL1;0.7097771149996701;-0.11025633505623586
LOC728758;0.04380678325868637;1.09410908399099
NAA10;0.17504523979204356;-1.06345861929311
OLIG2;0.981264084577423;0.007173508823559285
RSPH9;0.3377699317505263;0.25202442879761244
TEKT2;0.34578602179658047;-0.20483201791586314
DEPDC5;0.09404386133140624;-1.1730817949413106
HS6ST2;0.06999795471757138;0.406503726930506
PRAME;0.3808765445174592;-0.11791327880200805
PSRC1;0.40032549393668204;0.4177139867874403
TBX22;0.7007272399825395;0.11896665743963442
TRPM3;0.8553563561935669;-0.04180714897298951
UPRT;0.9128693550561598;0.0462271600678818
CNBP;0.7231828494611692;-0.26019073582537244
HECW1;0.07796720816079077;-0.4073262233269115
HPCAL4;0.8185939941020146;-0.0600859473378307
LRP3;0.5461270421637914;-0.24970669405563758
P2RX4;0.7075824288099589;0.21990926562654517
PCDH1;0.37334433657730903;0.2758289103103932
SPATA20;0.5726115406114232;-0.23936762827996141
STOM;0.23359848275730866;-0.5581208296241181
ARL8A;0.5238449875929982;0.5554066359847929
COL9A2;0.09457438592573798;-0.42011434587427066
FAM98C;0.6750103308517144;-0.2828421915307815
ITGB1BP3;0.7725145889604811;0.14744841307878256
MAP2K2;0.011532139242071776;-2.2235999102350403
