genes;pvalue;coef
ACACA;1.74505166608473e-07;-1.862218516877516
ACP2;0.8133383696821808;-0.10424353971104608
ADAP1;9.070903356009079e-14;1.4267168878598209
ALG8;0.10141376642394791;-0.5792836216003953
ANAPC16;4.9751159363550774e-12;-4.011350665688663
ATP6AP1;2.453402223255588e-09;2.5894369042650225
BCAT2;0.879546285525788;-0.03659016073197754
BEAN;0.03290194041119333;0.24935679733522348
BMPR1A;0.005184806100573818;0.8388624643771457
C2CD4B;0.571483346505635;0.06617477971478046
C3orf36;0.1470589146371539;0.2097698301447814
C7orf54;8.435719824177967e-06;0.7402086231886064
CACNG6;0.01641265556990905;-0.2467842251326684
CDK4;0.11608711805476869;-0.418579086449379
CLCC1;0.0006735220166844631;-1.5918409782727478
CLTC;0.8078059290532129;-0.11439178050605717
CNPY3;2.952270748729986e-10;-2.582029170450883
CRISP3;0.1334783718257039;-0.10582229402499939
CTCF;0.20463719168050754;-0.837712751157004
DEF8;0.0028619394987554054;-1.242437209764501
DNMT3A;2.043818192884259e-19;3.8394723716257024
DNTTIP1;0.004104196799610798;1.1542098019773643
DUSP27;2.7481634381420797e-05;0.34222236183408805
EDEM2;0.022380574926818803;-0.9211514701016085
FAM22F;7.877562235066003e-23;-2.6356141874220738
FANCC;0.3376904242329921;-0.32525174256708306
FBXL8;1.2008356783111272e-05;1.0810375709080322
FLRT2;3.9149824921924827e-20;1.4583604551593268
GHRL;6.855748331106542e-19;-1.7240138147396573
GOPC;1.145439583573962e-05;-1.8290645781827226
GPR20;0.007364581798262516;0.403256726492304
GRIN3B;7.027387952749984e-10;-0.8120915513472692
H6PD;0.09777935166657264;0.4820936651958067
HARS;0.005927433553592535;-1.6486144951953838
HMGA1;0.7460749844287482;0.06692892246860233
HOXD10;6.600819823115828e-12;0.6859867056176483
HPS1;0.024503607764651998;-0.7785936768731535
ICA1;0.22835591970603974;-0.1941554327896199
IRAK2;2.216146868529223e-08;1.1351417104175279
KDR;0.38221592922284375;-0.1760630600953639
KLHL14;0.942022734324276;-0.007365438699281836
LMTK3;8.280280848636185e-06;-0.599487814023785
LOC100127888;1.0201766822215597e-08;0.6271614536826541
LOC100133991;0.0032263684032493353;0.5809035683300666
LOC728024;0.05849159809024518;-0.5101781771414649
LRRC8E;4.255805036558222e-13;-1.1080442704580182
LTBP3;0.0008794958601480448;0.811751038111352
MEIS2;5.745957305985581e-17;1.8928108581005247
MEN1;1.5180591499260384e-08;3.337939406279747
MORN4;0.3457286055105623;-0.20756544645084304
MYH15;0.08789208624722183;-0.20146540735261162
MYH9;0.00887872503615551;0.9899139062757731
NDUFS4;0.0015144392242057467;1.2170856925524585
NHEDC2;0.20906648566094932;-0.20958300473017297
NTF3;0.1310003737346939;-0.15798327726197658
NTRK3;0.5381676049612045;0.07104048186404241
NUAK2;0.20229361702883975;-0.23158391635481138
NXN;0.8815943479856622;0.024284892177091247
OPRK1;1.303874390405175e-06;-0.590513314459092
PCA3;8.40344630670638e-26;-2.357110805275816
POLR3G;7.45971952690129e-17;2.044622367273034
RAET1G;4.748554390291645e-07;0.6118469062033534
RFTN1;3.1377389725912575e-12;1.856295254739824
RIC8A;0.20661429444326085;0.6787310346830864
SEMG2;0.00011184858974048524;-0.6458415219679521
SEPT12;7.947084598912848e-05;-0.8509261268987909
SLC29A1;0.007393324482473667;0.6216296003263853
SUMO3;0.012607770416407357;-1.0160271559733882
TBX1;5.762914164820036e-17;-1.045939183646934
TBX19;1.1440534580787812e-16;2.764755802668911
TIGD3;5.5704811615560196e-06;0.9798209266803832
TNFRSF21;0.004568103065259512;0.4504809524733016
UPP2;1.3296343429952082e-17;1.3755401200624362
USHBP1;0.841437779607933;0.04955796010679644
USP3;0.008198291353299183;1.0596474004424292
VAX1;0.23373225412025922;0.10566729003036594
WNT7A;0.8523728727267023;0.015930674837843006
ZMYND8;0.661686816132669;-0.14110619426483847
ZNF479;1.0805557747856529e-18;-3.8632303164337056
ZNF622;0.3493637095435853;0.3598302036005589
ZNF833;0.5512393329053542;0.13002553162781877
ANKRD13A;0.03284413293021254;-0.40347104429265407
ANXA5;0.0006622692704496615;0.47435741662843883
ARFGEF2;0.49360788969982516;-0.1362188963062011
B3GALTL;0.10316909418504701;-0.22075417639600803
BTBD11;0.9256979946397526;-0.0052873119177659625
C13orf29;0.836232822974894;0.014955429971004382
