genes;pvalue;coef
AMPD2;0.9518114959404989;-0.04155659081993832
BICC1;0.6715502948172996;0.08947309996955448
C19orf45;0.287922103448508;-0.3242604941614182
CDC42BPA;0.569946445211946;0.23335293011325473
FGF17;0.17054697832096777;-0.34195523593892263
MCTP1;0.02346274130878743;-0.6426986071720706
RB1;0.5068627266412595;0.3109636561376989
RNF165;0.6584561204365185;-0.08293465568916085
SEC22C;0.028247331014270086;1.605466571907012
ATP6AP1;0.3109322251067359;0.644896214295154
C11orf16;0.0051156908381558425;-0.5697628797998118
CCDC3;0.0368487376709116;0.5539215110770308
KIAA1875;0.07679605683988341;-0.42706634611943695
LOC100287718;0.017163380433191256;0.8335267250229074
SCN2A;0.9157811633580519;-0.013486219478269522
SLC28A2;0.9027932803307296;-0.036498987276725015
SMYD1;0.15473259251948496;-0.16763072119972464
UPK3BL;0.5566509978826575;0.1185314366639912
CHRNE;0.003171058560888669;-0.8554618736006548
CIB1;0.759585776194992;0.16385541864975872
MEST;0.8453431006149663;0.05454278924161219
OLIG3;0.583569099060429;-0.25209890747209696
ORAI3;0.6611075126716757;0.18286018100882886
OSM;0.6041760237139611;0.10649509851077757
PAX3;0.45143630880814234;0.1014641245902202
SLC39A7;0.594407167489335;0.30837290487048696
SPATA18;0.8738554582856023;-0.03759038807018904
BLM;0.06527862615856685;14.35205286534031
CLPTM1L;0.18017964087614124;-3.5446227406390296
CNTN3;0.12441947068831433;2.7888265736002937
FAM101A;0.06615370741211937;7.014633227352175
GRLF1;0.055543050120842735;10.345446862273048
MSI1;0.0493261876057635;-5.02924108088964
NMU;0.06192171761377941;-2.721053095248518
SVIP;0.044540567564606164;-11.887378406289939
SYT2;0.9204098963817793;0.09824341070081392
ZBTB16;0.04853797131533319;-3.6361769135952953
APCDD1;0.2031879939260801;-15.28281440584251
C17orf37;0.20399929042362808;-21.862789632368347
CA3;0.20157919104262234;-7.4842223400236785
CLK3;0.2238382469207587;-9.569184859699227
CPNE6;0.13348581379789348;-10.656996099937745
EID2;0.11166852693870148;-23.082767011178692
ESPN;0.1827396607280538;6.647498069011121
GPT;0.1682989272900598;8.687704619526626
LOC541471;0.2446332930164471;-11.91056679040468
MGST2;0.1927509641539228;-30.16024425566363
MIF;0.45358301441047344;6.556462064534746
MRS2;0.1756274164749546;52.92808901912182
NAA38;0.1910646506132999;31.328635684598595
PGPEP1;0.17022367023430363;-19.112296716161108
SH3PXD2B;0.1355631908697934;-17.471618124989163
