genes;pvalue;coef
AKAP9;0.1032702040865982;-0.9581645833594524
BLOC1S3;0.31055636864079894;0.9273737643103802
COX7A2L;0.30297625532719663;0.923806200209341
DACH2;0.0022673346331733607;-0.5117373158423688
METTL7B;0.6158767603444145;0.11924451291058469
MYO18B;0.18555697095614354;0.22845172134898015
PTPN13;0.2492131053852823;-0.4816553360424123
SIX2;0.6911512958967869;-0.09593724375240645
TNFAIP8L3;6.841649984694748e-06;1.8280825771726272
UBL4A;0.048137843565768126;1.7314015378574872
ARHGAP39;0.1657309902411872;1.0604748456018807
C9orf21;0.07446050007599368;-1.0043747739100826
CUX1;0.004794496393144118;2.9019308758244664
GATA2;0.5101390137865279;-0.4425690359789317
INTS12;0.0976662349097371;1.67247843725578
LOC100192378;0.014992126045264741;0.6770189031056201
LOC731789;0.4186615338302909;0.3824216129037114
PLCD1;0.028197158016632286;2.010539910184428
RLN2;0.24671319162886873;0.2040357029577829
SASH1;0.19048756248820842;1.0294496886935205
SIDT1;0.009309925712200896;-0.7658711414209624
SLC25A20;0.5901134077643766;-0.2238413257822375
SOX12;0.006455670738787917;2.3104422930583737
SPRR1B;0.9823478880105462;-0.006596362693286237
TUBA4B;0.003040234256624553;0.48329621626798935
ZC3H7B;0.2349738883280318;-1.2395334423859978
ALDH9A1;0.32696348525016483;-0.7084863032406942
C6orf186;0.5328816529327818;-0.1745776291531947
CCDC74B;0.39364056654309587;-0.2340411901889567
CCNYL1;0.8291679340230504;-0.14813540250521096
CHRD;0.6106110361550665;0.1562684792444642
ESYT3;0.00762885858307682;0.9145805168909082
GDF11;0.14125244301364623;0.3777749738069133
GSDMD;0.005529935714138503;1.0563514425335216
IL21R;0.3581213985663817;0.2574691888336807
LOC729991.MEF2B;0.5508605917248866;0.25860756225553705
NKAP;0.7479347657557622;0.37261177515175226
OSTBETA;0.22046905140651263;-0.3254984689251371
RAB42;3.973295507112313e-06;2.066783003721939
RHBG;0.08778920087800506;-0.4522851768081738
SGK1;0.037493502626113076;0.45678089938504957
SLC14A1;0.011751045612754384;-0.5736322540005664
CYP4F12;0.12649635633144257;-0.5043121059478929
DEPDC5;0.00540395641318998;5.334829549506532
ENPP1;0.789553887124715;-0.16474385820723147
OSBP2;0.07023164290815533;-2.5142538146295292
POM121L9P;0.37567580684633184;-0.5718619110238349
RPL39L;0.8453751505782067;0.10181636054916958
SBK1;0.0010200942246232545;5.135412221903758
SFRP2;0.23425067027117596;0.6933255255948396
TMEM92;0.12815494141061204;0.5318031026717297
ZIK1;0.9960716305958839;-0.002483286405624197
C5orf33;0.5606023177457661;0.4353785046919363
DCXR;0.6792996376646724;-0.19468735650894595
FN3K;0.028214508538700885;-1.4559041119765295
HKDC1;5.0783500016819505e-05;-1.0937569993821274
ODZ2;0.0403619519083852;0.6437790597416951
PNMAL1;0.42572742136956854;0.21640367225017104
PPP1R1C;0.47455952578295246;-0.13715636307418827
SH3D19;0.13437725705567446;1.0622218648906492
SLC7A4;0.004238703568685601;-0.39340896327841984
STX4;2.5733089210129398e-06;6.23061880121807
XIRP1;0.7022689295688477;-0.06343250162140754
BTBD16;0.05208606099526051;-0.4720136922108704
CBFB;0.001902804781346896;-2.0567927787476776
CYP4F8;0.3599467994100375;0.09643844026638998
ERCC1;0.020008099089711056;1.976728019558393
FAM177B;0.057250876404216944;0.4803417917900708
HSD3B7;0.9709238361000511;0.016301762212182654
JAZF1;0.0003118509465577083;1.7392796321491624
RG9MTD2;0.14547978026269437;-1.047058856611459
SLC5A6;0.0090975689090569;2.0744159711655668
ZSCAN5A;0.20491983978341044;0.799407685100026
BSND;0.008357574183514115;1.408389452413223
CACNA2D2;0.00020613038172701106;4.235711400653295
CDH10;0.5388879034478706;-0.21596131861514656
GOLGA5;0.001936325964525297;-4.937509659670303
IL18R1;0.0006166725646004546;-2.2894731730636426
ITGB1BP1;1.1359857439956223e-06;12.877575188167222
KIAA1407;0.012675900463916482;2.632968460133477
LOC550643;0.012702969795656669;-3.638371392101413
MOCS2;0.007752582267959661;-5.2149148032277
PCDH19;0.14935185050276184;0.9349263303155492
TCEAL8;0.019135138113892714;3.861327177402223
TDGF1;0.04116178568849077;-0.7841024778885262
ARID5A;0.008707017728605949;-1.9221828839665882
BCCIP;0.00014144160673038562;7.093395162255092
CD83;0.952677307457884;-0.052473189470872886
EIF1;0.04989926160649933;3.978477547722912
FAM181A;0.2559554722531502;0.8486867287302113
