genes;pvalue;coef
ARSE;0.39233832907711264;-0.08825563254240677
C14orf64;0.812974249722097;-0.025871502627437017
CXorf42;0.6440886275470936;-0.05221135510679912
DIRAS2;0.26437700625385563;-0.11634174413183711
FHAD1;0.014869593403278468;0.22264844100868617
HOXD3;0.407476876078363;-0.0988419919453656
NODAL;0.26360656597508936;-0.16048396567848808
SELM;0.699647572247706;-0.0472076019030372
SLC8A2;0.6941384010959569;-0.03990160752196211
TNIK;0.053058318720538414;0.23449214285283118
ABHD13;0.2066153155513859;0.5172377942886031
ASAH1;0.09101938918272717;0.3473722051169522
ASL;0.9946786255111251;-0.002195416603290177
C2orf40;0.8380344297799837;-0.017533400003027014
CALHM3;0.9152741067908281;0.026699221121127423
CCDC13;0.022963541664228093;0.3700750767454691
CHAT;0.6624120591634134;-0.23051475467663746
CLN5;0.5318106995558702;-0.2789385136584359
DNAH3;0.12191251411126873;-0.1971800447029264
GSTM4;0.8024086107348716;-0.06670937228594193
MMP12;0.8897184054323893;0.01033148373868463
MUC20;0.004840300246176498;-0.34152951944929216
PABPC1L;0.575288990219346;-0.09339659648490538
PABPC5;0.1446800901176047;-0.1766904767941099
SLC44A3;0.5759852050614774;-0.08058289771491729
SMYD3;0.7259179038660939;0.09265806582544521
SPNS2;0.7376565742653496;-0.06073307327719052
TNFRSF17;0.48999386720080096;0.053986819283156524
TOMM7;0.4912984826995008;0.19234918698619577
USH1C;0.5162152675413074;0.10069552807021566
ADCY10;0.6161417345369822;0.09884796356056745
APC;0.3673751301439151;-0.21229931332491037
C14orf109;0.7077629397069096;-0.10663396270930925
CDK4;0.4379667178430581;0.21579865876391777
CYP17A1;0.4965771261719155;0.09146014679011882
DDB2;0.26362293718487595;-0.24229017128271974
EIF2S3;0.0955604313069981;0.6064565620641982
GPR19;0.716054597497121;0.06411502253234946
HSP90B3P;0.3404483796625558;0.17046843999135053
KRT4;0.7147085624583074;-0.01993254668971078
LOC100216545;0.42489760095233975;-0.17313605452622433
MCTP1;0.0101195037489859;0.30940602578152643
MRPL36;0.6527980176029307;0.1429577777930199
RLN2;0.7193798401694073;-0.03701028229082223
SYK;0.25826721962352983;0.14753738476711015
TMEM38A;0.49926470259574784;-0.07566759760503224
TTC39A;0.4778772744570722;-0.04910877675702848
VEPH1;0.6718676674937001;0.0312735286883419
C9orf66;0.34397694126080314;-0.13512521917690276
EIF1;0.0567460560282785;0.929331139015413
FKBP9;0.025965158184992197;-0.5567625223811633
