genes;pvalue;coef
A2BP1;0.3388070389884841;0.04147626007453884
AADACL2;0.0023509939654110757;-0.18430832276129025
AADAT;0.9254406372521865;0.006850276493036066
ACADL;0.013209659030505562;-0.1074167330981333
AGPS;0.3153115461714491;0.1768709392452487
AKAP14;0.964524571288974;-0.00312510882288448
AKAP9;0.9112728016202345;0.016098704807892068
ANXA6;0.08562384711195799;0.20082115136725057
APOL5;0.11007873273918603;0.10792139818579612
AQP12A;0.47433672112798386;-0.07462699634391501
ARL4C;0.005745497037880771;0.2303105482267584
ATP12A;0.43210682874034034;-0.02963717339982992
ATP2B4;0.0955106833193657;-0.1939257611188964
ATP6V0E2;0.4176477152487633;0.06999081170094604
BAIAP2L2;0.06825628009471976;0.08823067311159677
BTBD16;0.718933232616914;0.01640598571837356
C11orf53;0.04491659135249095;0.09340402519023937
C12orf29;0.08194074503450237;-0.31948624142688264
C12orf54;0.2800029214881252;0.06611974411519506
C13orf18;0.09682420434317258;0.12022689573818711
C13orf29;0.006014110902335188;-0.17836713478049862
C17orf76;0.9052763566248078;0.009184012914922003
C19orf45;0.13036519797701832;-0.09254102219297841
C1QTNF6;0.6497037459568054;0.04288363540344717
C22orf42;0.19646096430744608;-0.1328619012667311
C5orf38;4.9456514659935114e-05;-0.14205285434295914
C8orf77;0.9478288590185748;0.005904237310232964
CABLES1;0.11529108031134766;0.11770841957240283
CASP8;0.013800882299033172;0.3645512240038875
CCDC147;0.1641306583535359;-0.09896759704991558
CCR7;0.7859481976148067;0.018103593377892312
CDH16;0.4899382143352673;0.027766683824491545
CHDH;0.04925775899687859;-0.1138242016485751
CHP;0.3813154431456107;-0.15998079442674515
CLDN10;0.58798139190458;-0.01856934958866309
CNTFR;0.15603497980315797;-0.05094638038779602
CPEB4;0.1109037044298598;0.22049556270041454
CREB5;3.1932176790671126e-06;0.3078889246258583
CTSA;0.5221913517573853;-0.09167576404251318
CTSF;0.06961936672063916;0.17696354815155674
CXorf38;0.8525390520543795;-0.03127112425330499
CYP4F12;0.4682320912192809;-0.029781958813549444
DCAF8L2;0.12970464994100628;0.08613891012522003
DNAH17;0.04061688366673092;-0.14102880846393628
ENC1;0.005274724673289682;0.22659314917586426
ERBB4;6.311932398961175e-05;0.171718115230313
EYA4;0.0007406846049650417;-0.12001318221800031
FAM107B;0.11651197851181887;-0.15088162959749832
FAM181B;0.006333556700048652;-0.12825951604479086
FAM71E1;0.013283387462714152;-0.2008063271555557
FGFBP2;0.07794293500629268;-0.07115391035248284
FKBP11;0.9454340286240379;-0.006825181296564323
FKBP7;0.48608807061964965;-0.08724647277469007
FRMD4A;0.9141485544860433;0.01037018452709761
FSCN1;3.0459161315995614e-05;0.35060961494593285
FUZ;0.8021567387782275;0.02524790588464716
GANC;0.5039428604905486;0.10514852532940452
GHRLOS;1.035766217144507e-05;-0.4009599879060229
HOOK3;0.7037000740237334;-0.05578622706928556
HOXA1;0.06054351273813987;0.12178262706929759
HOXC13;2.6131001726540374e-08;0.20334726222803323
HPCAL1;0.03108396490359338;0.2745548975332388
HSPD1;3.503073833150933e-06;0.835960787807954
IGDCC4;0.009513845769427178;-0.1535974488108197
IGFBPL1;0.3570668649056489;0.03880381952415284
ISOC2;0.2845442218084676;-0.15841480778745806
KEAP1;0.00135282559092817;0.628678267930402
KIAA1239;1.2509295873104929e-06;0.21692195550952376
LANCL3;0.0005568869469437962;0.21297643906011257
LARP6;0.011295865078376668;-0.1914248677132793
LDOC1;0.798931459034405;0.013934611764754115
LINGO2;0.9301501567563482;-0.0036574346317257214
LMO3;0.004926894460671644;-0.1072574700563443
LOC84856;0.8955301844014683;-0.005482200446807386
MED18;0.7155515006141522;0.07095510767558136
MEIS1;0.8661342601439143;-0.014637317920962758
MGAT1;0.4499379784734562;-0.13147004845361918
MLH3;0.675254183929924;-0.05557593631505175
MPHOSPH6;0.004308044344199052;-0.4590633184833558
MRGPRX4;0.9396064340565096;0.005683245959692165
MRPL51;0.8894786268734572;-0.02684909440917735
MSI2;0.992057883215497;0.001026942134351277
MTAP;0.26489459590326336;0.06987487363286997
NCRNA00086;0.4380246031425823;0.046923115911424486
NELF;6.887805426013138e-05;0.4488449146393631
NID1;0.9231251541943214;0.008251099404684919
