"gene";"mean";"sd";"se"
"A1CF";1.84594067138888e-05;7.6672222686802e-05;6.21251186986549e-09
"A2BP1";-4.30117533860277e-06;2.70613881601263e-05;7.49963325912372e-10
"A2M";-1.03533263377061e-06;4.37716045708968e-06;2.02090646968713e-11
"A2ML1";-8.85945241185611e-07;6.05247449204627e-06;3.73745515319734e-11
"A4GALT";2.36265156464628e-05;3.43683321795213e-05;1.73801461258045e-09
"AAAS";-8.62816004921344e-07;7.05004395542312e-06;5.03895068394878e-11
"AACS";-5.75809001303934e-06;1.056588764845e-05;1.44663164194894e-10
"AADACL2";9.31273471013193e-06;5.57339149464684e-05;3.18936748379467e-09
"AADACL3";4.05121175860752e-06;3.58617590387129e-05;1.30097566479118e-09
"AADAT";3.61403983254644e-05;5.8774041858626e-05;4.75648088752696e-09
"AAMP";0.000119312221353154;0.000112241100567279;2.6818753455525e-08
"AASDHPPT";0;0;0
"AATK";-3.98981573260239e-06;8.60585834717369e-06;8.98929078480354e-11
"ABCA2";-0.000449551510301746;0.000853935955805943;9.30451300144218e-07
"ABCA4";-6.15455158961869e-06;4.01521502306787e-05;1.64819026784601e-09
"ABCA6";3.02998264832178e-05;6.08797959838579e-05;4.62009919633357e-09
"ABCB4";2.02372436508242e-06;9.52577343661917e-06;9.4729814778677e-11
"ABCB5";-6.20775747644031e-07;2.9216761263101e-06;8.91158172971355e-12
"ABCB6";-1.3808409614799e-05;1.18734901152275e-05;3.31487247616389e-10
"ABCB7";0.000276879950626095;0.000133419958610199;9.44425969874389e-08
"ABCB9";-1.26221120030161e-05;0.000180713373065101;3.27784898374731e-08
"ABCC12";1.31770580821175e-06;1.32191254273574e-05;1.76277483982389e-10
"ABCC13";5.59763299965672e-06;6.70889881635187e-05;4.52700772948397e-09
"ABCC2";1.71930163774853e-06;6.05822263834437e-06;3.96151834172011e-11
"ABCC3";6.3887593735586e-06;1.05957303549016e-05;1.52954592127022e-10
"ABCC6P2";-4.8255808512363e-07;1.30077786121517e-06;1.92290868731084e-12
"ABCC8";5.86589018844323e-07;1.71621151242091e-05;2.94538195536606e-10
"ABCD1";1.91970341945299e-05;6.9583156950268e-05;5.20468552624284e-09
"ABCG1";9.77642125619541e-06;2.12048216623414e-05;5.44697588724156e-10
"ABCG2";-1.81055017721658e-05;5.01994567972885e-05;2.84485074891387e-09
"ABCG4";3.81576987227946e-05;0.000111910824416256;1.39654117141148e-08
"ABHD1";1.02809170394274e-05;8.87023255811406e-06;1.84286363720594e-10
"ABHD11";-2.68682397759487e-06;2.99871989721538e-06;1.62008390606113e-11
"ABHD12B";-3.74128244207919e-07;6.13382430723575e-06;3.77198195370288e-11
"ABHD13";0;0;0
"ABHD14B";0.000198011351895032;0.000153149358298071;6.26358210456299e-08
"ABHD15";-8.10920971852815e-07;6.30296066745685e-06;4.03384955855106e-11
"ABHD3";-2.13151739199384e-05;5.55207252688952e-05;3.53328646271671e-09
"ABHD5";-1.14967810912882e-06;7.3513286128768e-06;5.53006589137203e-11
"ABHD6";-0.000125495090386479;0.000494642679017219;2.60134566565151e-07
"ABHD8";-1.26798763811938e-05;2.01870326047086e-05;5.67819479999076e-10
"ABI1";-0.000170282285378165;0.000150351914312201;5.15753463250926e-08
"ABI2";-2.74707161426897e-06;1.53839392414439e-05;2.43935510549359e-10
"ABL1";0.000115239371493666;6.57421752223563e-05;1.75970972405458e-08
"ABL2";8.0699793110789e-06;2.33055923007025e-05;6.0764067680088e-10
"ABLIM1";1.55585091149432e-05;5.69828873541416e-05;3.48532337502538e-09
"ABLIM3";2.05715469649515e-05;3.39478433289927e-05;1.57429828404033e-09
"ABO";5.8747117272252e-06;2.4132127751993e-05;6.16191501092867e-10
"ABP1";-3.09027586420348e-06;1.31618684503696e-05;1.82582208940984e-10
"ABRA";-7.49278236862981e-07;3.90007010906841e-06;1.57541954014466e-11
"ABTB2";-8.30634773118211e-06;1.53446216769484e-05;3.04177759967081e-10
"ACAA2";-2.46040505560965e-06;8.7781010580679e-06;8.3018633631984e-11
"ACACA";-0.000439189867299767;0.000220135119395247;2.41290598798648e-07
"ACACB";-1.18124716200072e-05;3.15634588100669e-05;1.13462257211325e-09
"ACAD8";1.5867987246413e-05;1.49891949415152e-05;4.76206512325346e-10
"ACADL";3.58996843569674e-06;2.07749785943703e-05;4.4398340366725e-10
"ACADM";-0.000234731860513682;0.000571128755549716;3.8090604094358e-07
"ACADSB";7.40213887191495e-07;2.5612102360861e-05;6.55761372414743e-10
"ACAT1";1.16438576572684e-05;1.95764232726491e-05;5.18368063278453e-10
